Absolute Clean Energy PCL | Price History                                          25-Sep-2024 16:36,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ACE.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"36,073,278,300",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
4.50 - 5.00,"90,560,700",0.25%,1,0.39%,,,,,,,,,,,
4.00 - 4.50,"9,506,232,100",26.35%,23,9.02%,,,,,,,,,,,
3.50 - 4.00,"12,765,697,300",35.39%,56,21.96%,,,,,,,,,,,
3.00 - 3.50,"4,534,483,200",12.57%,34,13.33%,,,,,,,,,,,
2.50 - 3.00,"5,547,756,500",15.38%,53,20.78%,,,,,,,,,,,
2.00 - 2.50,"1,276,139,000",3.54%,17,6.67%,,,,,,,,,,,
1.50 - 2.00,"1,645,364,700",4.56%,30,11.76%,,,,,,,,,,,
1.00 - 1.50,"707,044,800",1.96%,41,16.08%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ACE.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,5.05,15-พ.ย.-2019,Max,"1,546,833,600",15-พ.ย.-2019,Advancing,"17,607,613,400",Up,103,Up,+17.09%,27-พ.ย.-2020,Max,"7,185,026,630.00",15-พ.ย.-2019
Low,1.25,21-มิ.ย.-2024,Min,"5,158,800",27-ก.ย.-2024,Declining,"15,355,714,000",Down,132,Down,-29.20%,24-ม.ค.-2020,Min,"7,303,878.00",27-ก.ย.-2024
Avg,2.78,,Avg,"141,463,836",,Total,"36,073,278,300",Unch,19,Period,-66.19%,10 Years,Avg,"491,992,789.64",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ACE.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
27-ก.ย.-2024,1.42,-0.01,-0.70%,1.42,1.40,1.44,"5,158,800","7,303,878.00","14,271,933,697.00",,,,,,
20-ก.ย.-2024,1.43,0.00,0.00%,1.42,1.40,1.47,"15,663,800","22,499,338.00","14,279,237,575.00",,,,,,
13-ก.ย.-2024,1.43,-0.04,-2.72%,1.47,1.42,1.49,"17,020,400","24,822,480.00","14,301,736,913.00",,,,,,
06-ก.ย.-2024,1.47,+0.07,+5.00%,1.40,1.38,1.49,"19,429,800","27,788,118.00","14,326,559,393.00",,,,,,
30-ส.ค.-2024,1.40,+0.05,+3.70%,1.35,1.35,1.43,"14,123,000","19,625,627.00","14,298,771,275.00",,,,,,
23-ส.ค.-2024,1.35,+0.03,+2.27%,1.32,1.32,1.35,"6,378,000","8,508,456.00","14,279,145,648.00",,,,,,
16-ส.ค.-2024,1.32,+0.02,+1.54%,1.29,1.29,1.35,"8,557,100","11,280,677.00","14,270,637,192.00",,,,,,
09-ส.ค.-2024,1.30,-0.01,-0.76%,1.29,1.28,1.31,"9,513,800","12,294,916.00","14,259,356,515.00",,,,,,
02-ส.ค.-2024,1.31,0.00,0.00%,1.31,1.29,1.32,"9,251,100","12,043,078.00","14,271,651,431.00",,,,,,
26-ก.ค.-2024,1.31,0.00,0.00%,1.31,1.30,1.32,"10,230,200","13,384,640.00","14,283,694,509.00",,,,,,
19-ก.ค.-2024,1.31,-0.03,-2.24%,1.34,1.30,1.34,"10,559,600","13,866,790.00","14,297,079,149.00",,,,,,
12-ก.ค.-2024,1.34,+0.03,+2.29%,1.31,1.29,1.34,"10,239,800","13,450,597.00","14,310,945,939.00",,,,,,
05-ก.ค.-2024,1.31,-0.02,-1.50%,1.32,1.28,1.33,"11,405,300","14,854,881.00","14,297,495,342.00",,,,,,
28-มิ.ย.-2024,1.33,+0.06,+4.72%,1.27,1.27,1.34,"11,467,800","14,902,567.00","14,312,350,223.00",,,,,,
21-มิ.ย.-2024,1.27,-0.05,-3.79%,1.32,1.25,1.33,"40,158,700","51,808,461.00","14,297,447,656.00",,,,,,
14-มิ.ย.-2024,1.32,-0.02,-1.49%,1.34,1.32,1.34,"8,118,200","10,768,039.00","14,349,256,117.00",,,,,,
07-มิ.ย.-2024,1.34,-0.03,-2.19%,1.36,1.33,1.37,"13,843,500","18,625,015.00","14,360,024,156.00",,,,,,
31-พ.ค.-2024,1.37,0.00,0.00%,1.37,1.35,1.38,"16,227,000","22,168,670.00","14,378,649,171.00",,,,,,
24-พ.ค.-2024,1.37,-0.02,-1.44%,1.38,1.36,1.39,"9,881,400","13,557,747.00","14,400,817,841.00",,,,,,
17-พ.ค.-2024,1.39,+0.01,+0.72%,1.38,1.36,1.39,"17,152,000","23,493,144.00","14,414,375,588.00",,,,,,
10-พ.ค.-2024,1.38,-0.02,-1.43%,1.40,1.37,1.42,"10,634,300","14,803,656.00","14,390,882,444.00",,,,,,
03-พ.ค.-2024,1.40,+0.01,+0.72%,1.38,1.37,1.41,"8,754,100","12,147,968.00","14,405,686,100.00",,,,,,
26-เม.ย.-2024,1.39,+0.01,+0.72%,1.39,1.37,1.40,"12,036,500","16,669,508.00","14,393,538,132.00",,,,,,
19-เม.ย.-2024,1.38,-0.02,-1.43%,1.39,1.37,1.42,"12,744,300","17,764,119.00","14,376,868,624.00",,,,,,
12-เม.ย.-2024,1.40,+0.02,+1.45%,1.37,1.37,1.44,"18,431,900","25,764,882.00","14,394,632,743.00",,,,,,
05-เม.ย.-2024,1.38,-0.05,-3.50%,1.43,1.37,1.46,"29,029,400","40,946,905.00","14,368,867,861.00",,,,,,
29-มี.ค.-2024,1.43,-0.02,-1.38%,1.44,1.42,1.48,"24,488,800","35,322,320.00","14,409,814,766.00",,,,,,
22-มี.ค.-2024,1.45,-0.02,-1.36%,1.46,1.43,1.48,"14,575,600","21,127,333.00","14,445,137,086.00",,,,,,
15-มี.ค.-2024,1.47,0.00,0.00%,1.48,1.45,1.49,"15,028,800","22,022,356.00","14,466,264,419.00",,,,,,
08-มี.ค.-2024,1.47,+0.02,+1.38%,1.47,1.44,1.50,"13,869,300","20,236,822.00","14,444,242,063.00",,,,,,
01-มี.ค.-2024,1.45,-0.02,-1.36%,1.47,1.44,1.52,"15,363,000","22,546,381.00","14,424,005,241.00",,,,,,
23-ก.พ.-2024,1.47,+0.01,+0.68%,1.47,1.43,1.49,"16,023,000","23,356,893.00","14,446,551,622.00",,,,,,
16-ก.พ.-2024,1.46,-0.04,-2.67%,1.50,1.46,1.53,"23,790,700","35,513,808.00","14,423,194,729.00",,,,,,
09-ก.พ.-2024,1.50,-0.05,-3.23%,1.55,1.49,1.55,"20,256,700","30,705,115.00","14,458,708,537.00",,,,,,
02-ก.พ.-2024,1.55,0.00,0.00%,1.55,1.53,1.60,"20,490,200","32,110,196.00","14,489,413,652.00",,,,,,
