CPT Drives And Power PCL | Price History                                          12-Sep-2024 14:23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPT.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"11,834,774,600",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
2.50 - 3.00,"439,147,600",3.71%,7,1.99%,,,,,,,,,,,
2.00 - 2.50,"1,935,051,900",16.35%,29,8.24%,,,,,,,,,,,
1.50 - 2.00,"153,531,500",1.30%,6,1.70%,,,,,,,,,,,
1.00 - 1.50,"6,421,622,300",54.26%,48,13.64%,,,,,,,,,,,
0.50 - 1.00,"2,885,421,300",24.38%,262,74.43%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPT.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,2.96,27-ก.ค.-2018,Max,"1,218,972,600",08-ก.พ.-2019,Advancing,"6,733,809,600",Up,130,Up,+40.48%,08-ก.พ.-2019,Max,"1,419,580,063.00",08-ก.พ.-2019
Low,0.50,13-มี.ค.-2020,Min,"79,100",14-เม.ย.-2023,Declining,"4,223,017,700",Down,173,Down,-21.17%,24-ส.ค.-2018,Min,"56,374.00",14-เม.ย.-2023
Avg,1.01,,Avg,"33,621,519",,Total,"11,834,774,600",Unch,48,Period,-66.97%,10 Years,Avg,"44,586,996.57",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPT.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
02-ก.พ.-2024,0.65,+0.01,+1.56%,0.66,0.63,0.67,"752,700","486,632.00","3,934,629,247.00",,,,,,
26-ม.ค.-2024,0.64,-0.03,-4.48%,0.67,0.63,0.67,"1,173,100","760,554.00","3,934,142,615.00",,,,,,
19-ม.ค.-2024,0.67,+0.02,+3.08%,0.67,0.65,0.69,"1,736,000","1,161,270.00","3,934,903,169.00",,,,,,
12-ม.ค.-2024,0.65,0.00,0.00%,0.66,0.63,0.70,"5,165,000","3,449,737.00","3,933,741,899.00",,,,,,
05-ม.ค.-2024,0.65,-0.01,-1.52%,0.65,0.63,0.67,"1,502,300","972,660.00","3,937,191,636.00",,,,,,
29-ธ.ค.-2023,0.66,+0.01,+1.54%,0.63,0.61,0.66,"1,684,400","1,064,399.00","3,938,164,296.00",,,,,,
22-ธ.ค.-2023,0.65,+0.01,+1.56%,0.64,0.62,0.66,"1,807,100","1,150,881.00","3,937,099,897.00",,,,,,
15-ธ.ค.-2023,0.64,+0.02,+3.23%,0.61,0.59,0.65,"2,495,300","1,556,534.00","3,935,949,016.00",,,,,,
08-ธ.ค.-2023,0.62,+0.01,+1.64%,0.62,0.60,0.64,"970,800","605,794.00","3,934,392,482.00",,,,,,
01-ธ.ค.-2023,0.61,-0.04,-6.15%,0.66,0.59,0.66,"2,125,600","1,298,422.00","3,933,786,688.00",,,,,,
24-พ.ย.-2023,0.65,+0.03,+4.84%,0.63,0.61,0.69,"1,441,500","935,044.00","3,935,085,110.00",,,,,,
17-พ.ย.-2023,0.62,-0.02,-3.13%,0.64,0.61,0.64,"1,234,900","766,843.00","3,934,150,066.00",,,,,,
10-พ.ย.-2023,0.64,-0.01,-1.54%,0.66,0.62,0.69,"4,655,900","3,038,697.00","3,934,916,909.00",,,,,,
03-พ.ย.-2023,0.65,+0.06,+10.17%,0.60,0.59,0.67,"875,300","553,763.00","3,937,955,606.00",,,,,,
27-ต.ค.-2023,0.59,-0.01,-1.67%,0.60,0.57,0.63,"888,200","524,046.00","3,937,401,843.00",,,,,,
20-ต.ค.-2023,0.60,-0.04,-6.25%,0.64,0.59,0.64,"1,313,400","809,023.00","3,937,925,889.00",,,,,,
13-ต.ค.-2023,0.64,+0.01,+1.59%,0.63,0.61,0.66,"1,785,700","1,135,448.00","3,938,734,912.00",,,,,,
06-ต.ค.-2023,0.63,-0.07,-10.00%,0.68,0.61,0.71,"5,055,200","3,273,090.00","3,937,599,464.00",,,,,,
29-ก.ย.-2023,0.70,-0.01,-1.41%,0.72,0.69,0.81,"22,695,600","17,257,052.00","3,940,872,554.00",,,,,,
22-ก.ย.-2023,0.71,-0.01,-1.39%,0.72,0.70,0.75,"5,374,900","3,946,373.00","3,958,129,606.00",,,,,,
15-ก.ย.-2023,0.72,0.00,0.00%,0.72,0.69,0.73,"810,100","576,621.00","3,962,075,979.00",,,,,,
08-ก.ย.-2023,0.72,-0.01,-1.37%,0.72,0.70,0.73,"1,436,200","1,031,369.00","3,962,652,600.00",,,,,,
01-ก.ย.-2023,0.73,-0.02,-2.67%,0.75,0.70,0.76,"2,021,400","1,475,970.00","3,963,683,969.00",,,,,,
25-ส.ค.-2023,0.75,+0.01,+1.35%,0.74,0.70,0.75,"3,326,200","2,437,334.00","3,965,159,939.00",,,,,,
18-ส.ค.-2023,0.74,+0.02,+2.78%,0.73,0.70,0.76,"4,551,300","3,358,439.00","3,962,722,605.00",,,,,,
11-ส.ค.-2023,0.72,+0.04,+5.88%,0.67,0.66,0.79,"1,074,700","804,661.00","3,959,364,166.00",,,,,,
04-ส.ค.-2023,0.68,-0.01,-1.45%,0.68,0.67,0.69,"101,600","69,504.00","3,958,559,505.00",,,,,,
28-ก.ค.-2023,0.69,-0.01,-1.43%,0.69,0.66,0.70,"135,200","91,539.00","3,958,629,009.00",,,,,,
21-ก.ค.-2023,0.70,+0.02,+2.94%,0.68,0.67,0.70,"349,300","237,868.00","3,958,720,548.00",,,,,,
14-ก.ค.-2023,0.68,-0.02,-2.86%,0.70,0.67,0.70,"655,000","450,059.00","3,958,482,680.00",,,,,,
07-ก.ค.-2023,0.70,0.00,0.00%,0.70,0.69,0.70,"1,040,000","727,489.00","3,958,932,739.00",,,,,,
30-มิ.ย.-2023,0.70,-0.02,-2.78%,0.72,0.68,0.72,"1,475,300","1,027,312.00","3,959,660,228.00",,,,,,
23-มิ.ย.-2023,0.72,+0.01,+1.41%,0.71,0.70,0.73,"776,800","555,224.00","3,960,687,540.00",,,,,,
16-มิ.ย.-2023,0.71,-0.01,-1.39%,0.72,0.70,0.73,"730,800","526,759.00","3,960,132,316.00",,,,,,
09-มิ.ย.-2023,0.72,0.00,0.00%,0.71,0.71,0.72,"283,600","202,440.00","3,960,659,075.00",,,,,,
02-มิ.ย.-2023,0.72,0.00,0.00%,0.72,0.71,0.73,"250,800","179,802.00","3,960,456,635.00",,,,,,
26-พ.ค.-2023,0.72,0.00,0.00%,0.71,0.71,0.73,"220,400","157,052.00","3,960,276,833.00",,,,,,
19-พ.ค.-2023,0.72,0.00,0.00%,0.71,0.70,0.73,"682,300","491,580.00","3,960,119,781.00",,,,,,
