,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,21 ,25 ,17 ,13 ,19 ,18 ,14 ,43 ,46 ,39 ,45 ,43 ,34 ,29 ,33 ,30 ,36 ,45 ,35 ,23 ,16 ,41 ,47 ,60 ,72 ,32 ,19 ,15 ,15 ,13 ,31 
Period End Date,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserves,"541,677 ","558,404 ","559,382 ","29,870 ","29,325 ","29,042 ","28,442 ","32,827 ","32,729 ","33,417 ","31,829 ","32,702 ","31,494 ","31,330 ","742,990 ","30,322 ","34,996 ","33,919 ","32,784 ","31,812 ","30,479 ","31,246 ","32,674 ","31,342 ","28,928 ","27,475 ","27,889 ","27,757 ","26,805 ","25,758 ","25,703 ","25,420 ","24,831 ",450 
Pension Benefits - Underfunded,"1,325 ","2,958 ","4,504 ","4,555 ","7,865 ","9,745 ","11,507 ","13,228 ","17,322 ","20,009 ","21,074 ","13,804 ","15,235 ","17,414 ","19,208 ","20,921 ","23,463 ","25,278 ","27,108 ","21,884 ","23,515 ","24,716 ","26,774 ","26,225 ","27,447 ","28,675 ","30,389 ","31,959 ","33,504 ","33,287 ","34,873 ","34,273 ","35,817 ","30,194 "
Other Long Term Liabilities,--,"32,995 ","33,163 ",--,"1,603 ","3,314 ","3,725 ","4,135 ","4,645 ","5,309 ","5,540 ","5,873 ","6,285 ","6,756 ","7,071 ","8,468 ","84,187 ","82,269 ","240,380 ","240,767 ","218,929 ","215,312 ","188,298 ","32,804 ","27,129 ","93,744 ","85,843 ","43,242 ","38,749 ","54,494 ","868,320 ","799,729 ","847,366 ","33,386 "
Total Liabilities,"8,358,802 ","9,267,258 ","11,374,822 ","11,971,992 ","11,546,074 ","10,369,097 ","18,523,156 ","17,730,441 ","17,748,325 ","19,049,941 ","16,602,690 ","16,415,780 ","16,124,745 ","16,110,281 ","22,918,589 ","21,630,852 ","27,282,880 ","27,849,386 ","30,186,583 ","28,739,465 ","27,877,568 ","27,708,094 ","30,541,496 ","31,561,568 ","31,462,838 ","28,668,341 ","27,606,220 ","26,935,537 ","27,810,181 ","37,354,162 ","40,014,184 ","44,681,055 ","44,251,080 ","37,935,745 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Common Stock, Total","7,000,000 ","7,000,000 ","9,950,000 ","9,950,000 ","9,950,000 ","9,956,666 ","9,960,599 ","9,961,522 ","9,971,890 ","9,982,621 ","9,983,746 ","9,984,137 ","9,984,967 ","9,992,838 ","9,994,239 ","9,994,460 ","9,994,680 ","9,994,855 ","9,994,877 ","13,201,888 ","13,202,678 ","13,211,595 ","13,561,500 ","14,470,061 ","14,470,448 ","14,470,486 ","14,479,821 ","14,538,439 ","14,538,698 ","14,540,851 ","14,544,615 ","14,978,797 ","14,978,797 ","14,978,797 "
Common Stock,"7,000,000 ","7,000,000 ","9,950,000 ","9,950,000 ","9,950,000 ","9,956,666 ","9,960,599 ","9,961,522 ","9,971,890 ","9,982,621 ","9,983,746 ","9,984,137 ","9,984,967 ","9,992,838 ","9,994,239 ","9,994,460 ","9,994,680 ","9,994,855 ","9,994,877 ","13,201,888 ","13,202,678 ","13,211,595 ","13,561,500 ","14,470,061 ","14,470,448 ","14,470,486 ","14,479,821 ","14,538,439 ","14,538,698 ","14,540,851 ","14,544,615 ","14,978,797 ","14,978,797 ","14,978,797 "
Additional Paid-In Capital,--,--,"2,820,904 ","2,820,904 ","2,820,904 ","2,835,913 ","2,846,809 ","2,849,333 ","2,873,466 ","2,898,408 ","2,901,093 ","2,902,545 ","2,904,778 ","2,923,041 ","2,926,322 ","2,926,874 ","2,927,417 ","2,927,818 ","2,927,871 ","6,989,800 ","6,991,450 ","6,997,483 ","7,207,660 ","7,752,540 ","7,752,894 ","7,753,888 ","7,756,268 ","7,790,869 ","7,791,011 ","7,792,300 ","7,794,547 ","8,054,295 ","8,054,295 ","8,054,295 "
Retained Earnings (Accumulated Deficit),"620,223 ","1,079,669 ","1,444,520 ","696,746 ","1,149,382 ","1,035,878 ","1,233,541 ","1,303,328 ","1,868,494 ","1,406,908 ","2,235,385 ","2,246,959 ","2,684,392 ","2,501,515 ","2,580,778 ","2,702,087 ","2,841,807 ","3,189,069 ","3,585,097 ","3,990,651 ","4,513,318 ","4,653,770 ","4,907,440 ","5,149,869 ","6,488,057 ","6,327,095 ","6,394,033 ","7,039,907 ","7,654,327 ","7,449,198 ","7,184,482 ","6,886,784 ","7,252,399 ","8,497,985 "
