,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,21 ,25 ,17 ,13 ,19 ,18 ,14 ,43 ,46 ,39 ,45 ,43 ,34 ,29 ,33 ,30 ,36 ,45 ,35 ,23 ,16 ,41 ,47 ,60 ,72 ,32 ,19 ,15 ,15 ,13 ,31 
Period End Date,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Equity, Total","15,959 ","14,624 ","26,512 ","48,914 ","49,717 ","73,001 ","47,873 ","12,672 ","(9,852)","49,670 ","23,228 ","8,456 ",(86),"(38,070)","(44,068)","(117,702)","(556,114)","(1,273,598)","(1,022,039)","(1,702,233)","(1,073,019)","(807,650)","(110,978)","(212,806)","(19,526)","402,638 ","813,707 ","(144,337)","(262,646)","172,532 ","1,116,602 ","(361,396)","1,083,282 ","1,117,230 "
Translation Adjustment,"15,959 ","14,624 ","26,512 ","48,914 ","49,717 ","73,001 ","47,873 ","32,678 ","(9,852)","49,670 ","23,228 ","8,456 ",(86),"(38,070)","(44,068)","(117,702)","(441,807)","(1,169,118)","(904,151)","(1,588,187)","(976,986)","(713,818)","(64,056)","(170,239)","19,743 ","426,659 ","836,803 ","(127,552)","(242,669)","91,520 ","1,062,128 ","(347,885)","1,105,782 ","1,123,669 "
Other Equity,--,--,--,--,--,--,--,"(20,006)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Comprehensive Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(114,307)","(104,480)","(117,888)","(114,046)","(96,033)","(93,832)","(46,922)","(42,566)","(39,269)","(24,021)","(23,096)","(16,785)","(19,977)","81,012 ","54,474 ","(13,511)","(22,500)","(6,439)"
Total Equity,"7,636,181 ","8,094,294 ","14,241,936 ","13,516,565 ","13,970,003 ","13,901,459 ","14,088,822 ","14,126,855 ","14,703,998 ","14,337,607 ","15,143,452 ","15,142,097 ","15,574,051 ","15,379,324 ","15,457,271 ","15,505,719 ","15,207,790 ","14,838,144 ","15,485,806 ","22,480,106 ","23,634,427 ","24,055,198 ","25,565,622 ","27,159,665 ","28,691,873 ","28,954,107 ","29,443,829 ","29,224,877 ","29,721,390 ","29,954,881 ","30,640,246 ","29,558,480 ","31,368,773 ","32,648,307 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities & Shareholders' Equity,"15,994,983 ","17,361,552 ","25,616,758 ","25,488,557 ","25,516,076 ","24,270,556 ","32,611,978 ","31,857,296 ","32,452,322 ","33,387,548 ","31,746,142 ","31,557,876 ","31,698,796 ","31,489,605 ","38,375,860 ","37,136,571 ","42,490,670 ","42,687,530 ","45,672,389 ","51,219,571 ","51,511,995 ","51,763,292 ","56,107,118 ","58,721,233 ","60,154,711 ","57,622,448 ","57,050,049 ","56,160,414 ","57,531,571 ","67,309,043 ","70,654,430 ","74,239,535 ","75,619,853 ","70,584,052 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Common Shares Outstanding,"1,419,264 ","1,419,264 ","2,017,382 ","2,017,382 ","2,017,382 ","2,018,734 ","2,019,532 ","2,019,718 ","2,021,814 ","2,023,990 ","2,024,218 ","2,024,297 ","2,024,465 ","2,026,061 ","2,026,346 ","2,026,390 ","2,026,435 ","2,026,470 ","2,026,474 ","2,640,378 ","2,640,536 ","2,642,319 ","2,712,300 ","2,894,012 ","2,894,090 ","2,894,097 ","2,895,964 ","2,907,688 ","2,907,740 ","2,908,170 ","2,908,923 ","2,995,759 ","2,995,759 ","2,995,759 "
Shares Outs - Common Stock Primary Issue,"1,419,264 ","1,419,264 ","2,017,382 ","2,017,382 ","2,017,382 ","2,018,734 ","2,019,532 ","2,019,718 ","2,021,814 ","2,023,990 ","2,024,218 ","2,024,297 ","2,024,465 ","2,026,061 ","2,026,346 ","2,026,390 ","2,026,435 ","2,026,470 ","2,026,474 ","2,640,378 ","2,640,536 ","2,642,319 ","2,712,300 ","2,894,012 ","2,894,090 ","2,894,097 ","2,895,964 ","2,907,688 ","2,907,740 ","2,908,170 ","2,908,923 ","2,995,759 ","2,995,759 ","2,995,759 "
Treas Shares - Common Stock Prmry Issue,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Minority Interest - Non Redeemable,--,--,--,--,--,--,--,--,147 ,147 ,147 ,147 ,147 ,147 ,147 ,"49,428 ","49,471 ","49,438 ","49,574 ","68,836 ","68,677 ","68,487 ","68,374 ","68,508 ","68,995 ","69,547 ","69,908 ","51,125 ","52,047 ","52,987 ","53,422 ","53,314 ","53,926 ","54,286 "
Total Equity & Minority Interest,"7,636,181 ","8,094,294 ","14,241,936 ","13,516,565 ","13,970,003 ","13,901,459 ","14,088,822 ","14,126,855 ","14,704,145 ","14,337,754 ","15,143,599 ","15,142,244 ","15,574,198 ","15,379,471 ","15,457,418 ","15,555,147 ","15,257,261 ","14,887,582 ","15,535,380 ","22,548,942 ","23,703,104 ","24,123,685 ","25,633,996 ","27,228,173 ","28,760,868 ","29,023,654 ","29,513,737 ","29,276,002 ","29,773,437 ","30,007,868 ","30,693,668 ","29,611,794 ","31,422,699 ","32,702,593 "
Other Property/Plant/Equipment - Net,"12,084,865 ","12,626,632 ","13,095,118 ","14,194,632 ","14,196,359 ","14,029,240 ","13,878,691 ","13,890,324 ","13,823,460 ","14,762,306 ","12,766,711 ","12,945,349 ","13,732,751 ","13,805,295 ","13,726,653 ","13,675,581 ","14,504,011 ","14,274,827 ","15,166,273 ","15,064,723 ","14,940,330 ","15,541,734 ","16,486,287 ","17,804,536 ","17,752,647 ","17,421,264 ","17,865,833 ","17,817,919 ","17,688,356 ","23,832,324 ","23,625,460 ","23,973,527 ","23,707,561 ","17,003,990 "
Intangibles - Net,"18,193 ","168,581 ","246,908 ","2,015,830 ","2,057,248 ","2,018,195 ","1,965,068 ","1,892,267 ","1,909,456 ","1,942,140 ","1,650,329 ","1,765,577 ","1,722,781 ","1,711,994 ","6,021,541 ","6,683,726 ","10,664,873 ","10,005,104 ","11,285,904 ","10,787,042 ","10,981,216 ","11,099,563 ","11,542,036 ","11,223,590 ","10,780,835 ","11,103,249 ","11,640,232 ","10,806,289 ","10,609,202 ","12,987,057 ","13,055,010 ","12,304,610 ","12,659,398 ","11,389,944 "
Goodwill - Net,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,"1,084,038 ","318,354 ","573,033 ","541,619 ","555,074 ","526,655 ","549,488 ","562,007 ","594,777 ","585,968 ","583,818 ","618,880 ","664,637 ","606,000 ","597,871 ","1,061,774 ","1,078,764 ","1,037,823 ","1,077,130 ","1,083,473 "
Accumulated Goodwill Amortization Suppl.,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Right-of-Use Assets-Cap.Lease,Net-Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"391,799 ","374,763 ","411,470 ","396,901 ","403,057 ","400,597 ","403,940 ","432,756 ","430,821 ","412,370 ","810,020 ","804,058 ","852,252 ","951,398 ","989,906 ","962,571 ","959,173 ","794,479 "
"Curr. Port. of LT Capital Leases, Suppl.",32 ,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,"23,350 ","22,731 ","23,605 ","23,273 ","25,004 ","25,581 ","28,580 ","31,096 ","29,755 ","27,128 ","27,194 ","32,614 ","36,474 ","41,745 ","43,192 ","44,180 ","76,330 ","75,056 "
"Curr Derivative Liab. Hedging, Suppl.",--,--,--,--,--,"41,162 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Current Assets less Inventory,"2,736,551 ","3,259,927 ","10,928,426 ","9,181,545 ","9,176,539 ","7,169,857 ","3,459,397 ","2,696,918 ","3,069,022 ","3,067,417 ","3,651,646 ","3,175,242 ","2,614,893 ","2,329,370 ","3,577,914 ","2,452,877 ","2,908,684 ","4,650,928 ","4,879,387 ","12,492,939 ","11,999,606 ","11,089,256 ","12,356,312 ","13,932,948 ","28,092,234 ","25,280,443 ","22,678,226 ","22,878,336 ","19,220,388 ","20,021,623 ","12,697,457 ","12,334,836 ","11,131,306 ","15,965,214 "
Net Debt Incl. Pref.Stock & Min.Interest,"5,818,368 ","5,883,888 ","477,128 ","2,089,210 ","1,717,488 ","3,260,182 ","15,128,305 ","15,024,554 ","14,655,892 ","15,997,624 ","12,750,549 ","13,142,002 ","13,535,585 ","14,194,196 ","17,312,346 ","18,485,387 ","23,824,932 ","22,994,349 ","25,036,354 ","15,987,270 ","15,885,089 ","16,931,281 ","19,656,538 ","18,324,790 ","3,367,465 ","3,634,990 ","5,102,781 ","4,932,516 ","9,207,869 ","17,790,960 ","27,237,714 ","31,196,339 ","32,592,922 ","22,668,626 "
"Tangible Book Value, Common Equity","6,560,451 ","6,769,981 ","12,837,272 ","11,500,735 ","11,912,754 ","11,883,263 ","12,123,754 ","12,234,588 ","12,794,541 ","12,395,467 ","13,493,123 ","13,376,520 ","13,851,270 ","13,667,330 ","8,351,692 ","8,503,639 ","3,969,884 ","4,291,421 ","3,644,828 ","11,166,409 ","12,103,723 ","12,393,628 ","13,428,809 ","15,350,108 ","17,327,220 ","17,231,978 ","17,138,960 ","17,812,588 ","18,514,317 ","15,906,050 ","16,506,472 ","16,216,047 ","17,632,245 ","20,174,890 "
"Debt & Lease, Pension Items (THB Thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Operating Leases, Supplemental","6,823 ","64,008 ","63,537 ","56,606 ","91,959 ","90,183 ","88,308 ","87,204 ","84,319 ","84,209 ","84,688 ","82,048 ","80,083 ","79,564 ","77,743 ","281,423 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 1,"3,467 ","4,321 ","4,056 ","3,234 ","5,382 ","5,389 ","5,379 ","5,363 ","5,887 ","5,892 ","7,309 ","5,898 ","5,614 ","6,984 ","6,744 ","22,203 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 2,839 ,"2,624 ","2,551 ","2,284 ","5,340 ","5,645 ","5,579 ","5,484 ","6,319 ","6,478 ","6,412 ","6,331 ","6,278 ","6,571 ","6,395 ","23,472 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 3,839 ,"2,624 ","2,551 ","2,284 ","5,340 ","5,645 ","5,579 ","5,484 ","6,319 ","6,478 ","6,412 ","6,331 ","6,278 ","6,571 ","6,395 ","23,472 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 4,839 ,"2,624 ","2,551 ","2,284 ","5,340 ","5,645 ","5,579 ","5,484 ","6,319 ","6,478 ","6,412 ","6,331 ","6,278 ","6,571 ","6,395 ","23,472 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Payments Due in Year 5,839 ,"2,624 ","2,551 ","2,284 ","5,340 ","5,645 ","5,579 ","5,484 ","6,319 ","6,478 ","6,412 ","6,331 ","6,278 ","6,571 ","6,395 ","23,472 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Pymts. Due in 2-3 Years,"1,678 ","5,248 ","5,102 ","4,568 ","10,680 ","11,290 ","11,158 ","10,967 ","12,637 ","12,956 ","12,823 ","12,661 ","12,555 ","13,141 ","12,790 ","46,943 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Lease Pymts. Due in 4-5 Years,"1,678 ","5,248 ","5,102 ","4,568 ","10,680 ","11,290 ","11,158 ","10,967 ","12,637 ","12,956 ","12,823 ","12,661 ","12,555 ","13,141 ","12,790 ","46,943 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oper. Lse. Pymts. Due in Year 6 & Beyond,0 ,"49,192 ","49,278 ","44,237 ","65,217 ","62,214 ","60,613 ","59,907 ","53,158 ","52,406 ","51,733 ","50,828 ","49,359 ","46,298 ","45,420 ","165,334 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
