BCPG PCL | Price History                                          25-Sep-2024 16:41,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BCPG.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"23,245,882,300",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
25.00 - 30.00,"824,828,447",3.55%,5,1.20%,,,,,,,,,,,
20.00 - 25.00,"3,323,476,195",14.30%,25,5.98%,,,,,,,,,,,
15.00 - 20.00,"5,327,322,829",22.92%,127,30.38%,,,,,,,,,,,
10.00 - 15.00,"11,987,186,029",51.57%,174,41.63%,,,,,,,,,,,
5.00 - 10.00,"1,783,068,800",7.67%,87,20.81%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BCPG.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,27.62,19-ม.ค.-2018,Max,"1,095,136,599",14-ต.ค.-2016,Advancing,"12,088,950,602",Up,177,Up,+16.81%,07-ต.ค.-2016,Max,"13,684,685,220.00",14-ต.ค.-2016
Low,5.05,09-ส.ค.-2024,Min,"4,746,100",16-ส.ค.-2024,Declining,"8,224,588,145",Down,184,Down,-23.03%,13-มี.ค.-2020,Min,"25,710,505.00",16-ส.ค.-2024
Avg,13.83,,Avg,"55,612,159",,Total,"23,245,882,300",Unch,56,Period,-31.82%,10 Years,Avg,"858,988,259.69",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BCPG.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
27-ก.ย.-2024,7.60,+0.15,+2.01%,7.45,7.30,7.80,"35,072,200","265,372,420.00","55,583,993,660.00",,,,,,
20-ก.ย.-2024,7.45,+0.35,+4.93%,7.15,7.05,7.50,"52,350,800","379,529,690.00","55,318,621,240.00",,,,,,
13-ก.ย.-2024,7.10,+0.05,+0.71%,7.05,6.90,7.25,"47,599,300","336,602,470.00","54,939,091,550.00",,,,,,
06-ก.ย.-2024,7.05,+0.95,+15.57%,5.95,5.85,7.15,"67,477,200","447,906,120.00","54,602,489,080.00",,,,,,
30-ส.ค.-2024,6.10,+0.10,+1.67%,6.05,5.90,6.20,"18,728,200","113,754,015.00","54,154,582,960.00",,,,,,
