Super Energy Corporation PCL | Balance Sheet                                25-Sep-2024 16:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
Provision for Doubtful Accounts,--,--,--,--,"(19,368)","(21,096)","(21,892)","(22,570)","(28,727)","(30,122)","(31,725)","(26,721)","(26,986)","(29,081)","(29,260)","(29,402)","(32,032)","(32,304)","(32,295)","(32,677)","(31,436)","(30,820)","(30,504)","(31,365)","(31,496)","(31,349)","(30,961)","(31,925)",--,"(31,668)","(31,342)","(31,010)","(31,263)","(31,436)","(31,901)","(31,561)","(30,298)","(30,169)","(29,831)","(29,791)",--,"(29,127)","(29,127)","(29,127)","(29,127)","(29,127)","(29,127)","(29,127)","(29,127)","(29,127)","(29,127)","(29,127)","(29,127)","(29,107)","(29,067)","(29,067)","(29,033)","(29,033)","(29,033)","(29,033)","(28,893)","(28,828)","(28,842)","(28,842)","(28,842)","(28,842)","(28,842)","(28,842)","(28,842)","(28,842)","(28,842)","(28,842)","(28,842)","(28,842)","(29,569)","(29,559)","(45,720)","(80,258)","(71,680)"
"Total Receivables, Net","49,254 ","153,788 ","119,859 ","125,458 ","215,325 ","230,417 ","233,880 ","355,160 ","363,739 ","358,376 ","433,539 ","445,727 ","141,799 ","144,703 ","122,457 ","106,384 ","21,418 ","16,166 ","17,269 ","19,681 ","21,609 ","30,877 ","32,016 ","30,282 ","21,648 ","30,601 ","32,735 ","24,913 ","28,584 ","47,008 ","44,101 ","64,956 ","42,465 ","76,169 ","103,693 ","191,827 ","21,978 ","31,308 ","67,398 ","46,623 ","951,081 ","185,527 ","83,378 ","86,111 ","1,276,146 ","1,220,470 ","1,809,014 ","1,839,772 ","1,260,147 ","1,681,792 ","1,599,549 ","2,711,206 ","993,807 ","1,260,113 ","1,288,398 ","1,278,973 ","1,259,666 ","2,168,461 ","2,106,410 ","1,950,451 ","2,704,513 ","3,699,674 ","4,448,161 ","3,500,011 ","1,793,337 ","2,619,553 ","3,721,150 ","2,771,675 ","2,710,914 ","2,952,909 ","2,869,060 ","2,772,433 ","2,936,499 ","3,457,098 ","3,668,974 ","3,892,267 ","3,676,298 ","4,424,591 ","3,867,135 "
Notes Receivable - Short Term,100 ,100 ,100 ,100 ,"83,850 ","89,652 ","159,304 ","285,355 ","330,076 ","327,825 ","400,450 ","401,564 ","89,489 ","98,746 ","96,326 ","79,182 ",0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"102,576 ",0 ,--,"2,770 ","35,036 ","23,781 ","26,722 ","13,000 ",--,--,--,--,--,--,--,--,--,"704,534 ","322,451 ","251,725 ","1,449,943 ","1,810,709 ","3,022,684 ","2,002,411 ","370,102 ","394,811 ","400,072 ","401,076 ","391,058 ","410,355 ","424,373 ","478,278 ","518,535 ","557,619 ","575,011 ","617,343 ","276,345 ","280,426 ","278,993 "
Receivables - Other,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,889 ",--,--,--,--,"1,698 ","1,184 ","1,094 ",719 ,"46,316 ","88,012 ","178,916 ","11,317 ","23,051 ","55,129 ","22,042 ",--,"133,514 ","40,089 ","14,553 ","1,121,542 ","952,731 ","1,651,237 ","888,163 ","404,935 ","548,946 ","618,550 ","1,664,123 ","166,955 ","187,552 ","272,542 ","288,575 ","244,926 ","278,665 ","658,488 ","646,948 ","204,107 ","610,301 ","258,695 ","261,108 ","340,277 ","387,486 ","1,495,623 ","678,575 ","448,776 ","449,623 ","443,734 ","413,086 ","441,029 ","431,255 ","470,724 ","696,205 ","586,541 ","626,095 ","672,075 "
Total Inventory,"18,087 ","22,684 ","24,913 ","23,810 ","17,490 ","13,950 ","18,240 ","13,218 ","15,060 ","15,643 ","16,533 ","15,724 ","12,324 ","14,226 ","17,203 ","19,129 ","14,063 ","18,168 ","16,934 ","14,450 ","10,193 ","18,445 ","21,566 ","22,470 ","23,982 ","19,123 ","20,438 ","18,452 ","19,072 ","23,544 ","27,745 ","25,002 ","25,343 ","5,702 ","3,936 ","4,024 ",892 ,"1,081 ","1,264 ","2,964 ","1,932 ","33,706 ","1,148 ","1,707 ","1,969 ",969 ,927 ,"1,015 ","1,126 ","1,551 ","1,719 ","3,261 ","15,775 ","36,599 ","45,574 ","31,567 ","32,129 ","28,180 ","24,812 ","26,872 ","28,519 ","47,680 ","44,702 ","49,559 ","64,341 ","64,299 ","56,620 ","38,357 ","40,108 ","38,416 ","98,833 ","56,969 ","52,516 ","50,282 ","51,710 ","36,723 ","34,753 ","39,635 ","40,795 "
Inventories - Finished Goods,--,--,--,--,--,--,--,--,--,--,--,--,"9,797 ",--,--,--,"6,868 ","9,774 ","8,198 ","8,618 ","4,624 ","7,209 ","13,436 ",--,"15,245 ",--,--,--,--,--,--,--,--,"5,375 ",173 ,17 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Work In Progress,--,--,--,--,--,--,--,--,--,--,--,--,650 ,--,--,--,0 ,936 ,"1,116 ",433 ,13 ,"2,724 ",171 ,--,0 ,--,--,--,--,--,--,--,--,327 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,"2,893 ",--,--,--,"8,211 ","8,474 ","8,636 ","6,415 ","6,572 ","9,528 ","8,975 ",--,"9,753 ",--,--,--,--,--,--,--,--,0 ,"3,763 ","4,007 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Other,--,--,--,--,--,--,--,--,--,--,--,--,"(1,016)",--,--,--,"(1,016)","(1,016)","(1,016)","(1,016)","(1,016)","(1,016)","(1,016)",--,"(1,016)",--,--,--,--,--,--,--,--,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Prepaid Expenses,--,--,--,--,--,--,--,--,0 ,--,--,--,"2,023 ","2,023 ",64 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"242,000 ","374,000 ","332,416 ","511,214 ",--,"512,881 ","1,378,316 ","3,363,383 ","1,196,120 ","464,712 ","345,124 ","147,043 ","56,507 ",--,--,--,"50,984 ","54,206 ","68,868 ","73,411 ","117,947 ","125,572 ","165,245 ","231,836 ","176,242 ","184,320 ","131,826 ","168,600 ","143,620 ","178,241 ","344,628 ","428,263 ","274,857 ","358,081 ","367,910 ","421,268 ","504,910 ","595,546 ","487,944 ","449,375 ","443,239 ","459,521 ","415,936 "
