Lighting and Equipment PCL | Balance Sheet                                25-Sep-2024 17:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,2004,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
"Total Receivables, Net","273,837 ","270,538 ","331,189 ","416,326 ","372,357 ","430,674 ","407,743 ","468,867 ","390,333 ","448,876 ","515,685 ","597,638 ","452,783 ","424,121 ","418,528 ","444,725 ","435,055 ","422,718 ","418,087 ","463,131 ","468,332 ","406,294 ","412,339 ","454,464 ","440,838 ","402,024 ","461,692 ","491,017 ","511,408 ","489,519 ","642,412 ","815,833 ","713,444 ","611,470 ","691,070 ","816,024 ","649,988 ","677,989 ","841,534 ","889,788 ","815,434 ","795,828 ","976,406 ","942,417 ","829,767 ","862,951 ","943,234 ","889,289 ","811,586 ","853,671 ","909,196 ","779,321 ","715,120 ","751,885 ","825,838 ","857,672 ","797,034 ","875,239 ","982,222 ","1,118,166 ","920,481 ","873,801 ","996,675 ","1,099,729 ","818,715 ","751,248 ","861,484 ","805,493 ","858,085 ","902,638 ","858,019 ","1,006,127 ","1,142,246 ","1,124,622 ","1,067,523 ","997,452 ","965,485 ","996,342 ","1,009,413 ","1,114,100 ","1,044,974 ","852,407 "
Notes Receivable - Short Term,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 
Receivables - Other,--,--,--,--,--,"13,415 ",--,--,--,--,--,"11,416 ",--,--,"11,154 ",--,"8,862 ","9,292 ","5,362 ",--,--,--,--,--,--,--,--,--,--,--,--,"33,673 ",--,--,--,"26,895 ","24,532 ","31,922 ","35,534 ","41,757 ","62,919 ","57,990 ","76,908 ","66,914 ","76,242 ","66,452 ","72,747 ","47,260 ","50,143 ","47,606 ","60,091 ","31,226 ","42,656 ","39,829 ","46,682 ","41,144 ","42,463 ","41,914 ","60,556 ","44,138 ","53,687 ","46,418 ","57,593 ","51,429 ","53,111 ","73,735 ","54,894 ","77,705 ","83,579 ","109,859 ","106,936 ","105,397 ","83,603 ","80,545 ","101,967 ","113,946 ","71,031 ","64,017 ","66,153 ","61,242 ","74,911 ","64,280 "
Total Inventory,"163,670 ","236,723 ","253,774 ","240,558 ","240,297 ","270,560 ","299,315 ","245,627 ","252,356 ","270,808 ","329,004 ","282,185 ","305,414 ","321,363 ","314,173 ","321,922 ","358,664 ","418,029 ","421,731 ","375,279 ","365,682 ","352,851 ","339,736 ","305,945 ","331,051 ","372,912 ","369,098 ","375,569 ","416,467 ","478,179 ","531,287 ","477,422 ","491,917 ","519,074 ","551,574 ","560,004 ","579,199 ","609,955 ","677,753 ","701,956 ","758,134 ","769,754 ","826,167 ","900,635 ","932,098 ","931,022 ","890,100 ","874,712 ","848,572 ","861,113 ","807,486 ","761,706 ","801,859 ","822,706 ","902,262 ","878,530 ","936,469 ","910,747 ","966,433 ","872,384 ","849,776 ","903,778 ","910,193 ","856,505 ","808,814 ","883,749 ","838,325 ","797,919 ","888,480 ","1,040,566 ","1,064,728 ","1,165,355 ","1,261,498 ","1,342,910 ","1,291,989 ","1,214,130 ","1,262,869 ","1,189,823 ","1,146,314 ","1,045,599 ","1,012,282 ","1,045,690 "
Inventories - Finished Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"293,210 ",--,--,--,"336,654 ",--,--,--,"276,633 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Work In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,804 ",--,--,--,"2,053 ",--,--,--,"3,288 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"29,530 ",--,--,--,"39,544 ",--,--,--,"30,397 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Other,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(2,622)",--,--,--,"(2,972)",--,--,--,"(4,373)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other Current Assets, Total","4,767 ","14,282 ","12,817 ","7,616 ","8,711 ","11,648 ","28,622 ","9,735 ","10,178 ","16,097 ","14,751 ","12,709 ","15,674 ","13,476 ","14,584 ","9,363 ","13,519 ","10,976 ","14,561 ","21,134 ","13,988 ","11,024 ","12,115 ","12,261 ","11,708 ","15,761 ","17,494 ","15,258 ","16,998 ","25,024 ","44,571 ",--,"28,139 ","24,992 ","30,097 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,298 ",--,--,--,"4,152 ",--,--,--,--
Other Current Assets,"4,767 ","14,282 ","12,817 ","7,616 ","8,711 ","11,648 ","28,622 ","9,735 ","10,178 ","16,097 ","14,751 ","12,709 ","15,674 ","13,476 ","14,584 ","9,363 ","13,519 ","10,976 ","14,561 ","21,134 ","13,988 ","11,024 ","12,115 ","12,261 ","11,708 ","15,761 ","17,494 ","15,258 ","16,998 ","25,024 ","44,571 ",--,"28,139 ","24,992 ","30,097 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,298 ",--,--,--,"4,152 ",--,--,--,--
