SPCG PCL | Price History                                          25-Sep-2024 16:31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SPCG.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"3,626,237,000",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
30.00 - 35.00,"50,457,100",1.39%,2,0.38%,,,,,,,,,,,
25.00 - 30.00,"367,440,200",10.13%,39,7.46%,,,,,,,,,,,
20.00 - 25.00,"1,956,785,400",53.96%,195,37.28%,,,,,,,,,,,
15.00 - 20.00,"1,002,899,300",27.66%,182,34.80%,,,,,,,,,,,
10.00 - 15.00,"164,579,100",4.54%,87,16.63%,,,,,,,,,,,
5.00 - 10.00,"84,075,900",2.32%,18,3.44%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SPCG.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,31.25,28-พ.ย.-2014,Max,"94,204,600",26-ม.ค.-2018,Advancing,"1,722,232,500",Up,211,Up,+13.73%,06-ต.ค.-2017,Max,"2,286,842,855.00",26-ม.ค.-2018
Low,8.00,16-ส.ค.-2024,Min,"485,200",29-ธ.ค.-2023,Declining,"1,684,282,000",Down,256,Down,-11.54%,13-มี.ค.-2020,Min,"5,987,230.00",29-ธ.ค.-2023
Avg,18.96,,Avg,"6,933,532",,Total,"3,626,237,000",Unch,55,Period,-64.95%,10 Years,Avg,"145,120,049.88",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SPCG.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
27-ก.ย.-2024,9.20,+0.10,+1.10%,9.15,9.05,9.30,"1,474,400","13,506,610.00","1,647,616,140.00",,,,,,
20-ก.ย.-2024,9.10,+0.25,+2.82%,8.95,8.95,9.25,"4,310,700","39,303,385.00","1,634,109,530.00",,,,,,
13-ก.ย.-2024,8.85,-0.10,-1.12%,9.00,8.75,9.20,"4,440,800","39,933,485.00","1,594,806,145.00",,,,,,
06-ก.ย.-2024,8.95,+0.50,+5.92%,8.45,8.30,8.95,"4,364,100","37,617,760.00","1,634,739,630.00",,,,,,
30-ส.ค.-2024,8.45,-0.90,-9.63%,9.35,8.45,9.40,"9,403,800","85,267,030.00","1,597,121,870.00",,,,,,
23-ส.ค.-2024,9.35,+0.90,+10.65%,8.45,8.45,9.35,"7,049,800","62,645,395.00","1,682,388,900.00",,,,,,
16-ส.ค.-2024,8.45,+0.35,+4.32%,8.10,8.00,8.50,"4,300,600","35,476,000.00","1,619,743,505.00",,,,,,
09-ส.ค.-2024,8.10,-0.10,-1.22%,8.05,8.00,8.25,"2,867,600","23,165,595.00","1,584,267,505.00",,,,,,
02-ส.ค.-2024,8.20,+0.10,+1.23%,8.10,8.05,8.50,"2,998,300","24,567,220.00","1,607,433,100.00",,,,,,
26-ก.ค.-2024,8.10,-0.15,-1.82%,8.25,8.05,8.25,"1,890,700","15,336,095.00","1,582,865,880.00",,,,,,
19-ก.ค.-2024,8.25,-0.35,-4.07%,8.55,8.10,8.55,"2,883,200","24,110,290.00","1,598,201,975.00",,,,,,
12-ก.ค.-2024,8.60,0.00,0.00%,8.65,8.50,8.85,"2,945,500","25,468,230.00","1,622,312,265.00",,,,,,
05-ก.ค.-2024,8.60,-0.05,-0.58%,8.70,8.40,8.70,"1,647,700","14,014,925.00","1,647,780,495.00",,,,,,
28-มิ.ย.-2024,8.65,+0.15,+1.76%,8.50,8.35,8.90,"4,419,700","37,981,125.00","1,661,795,420.00",,,,,,
21-มิ.ย.-2024,8.50,+0.20,+2.41%,8.30,8.05,8.55,"4,611,000","38,190,400.00","1,623,814,295.00",,,,,,
14-มิ.ย.-2024,8.30,-0.90,-9.78%,9.20,8.20,9.20,"7,395,700","63,120,780.00","1,585,623,895.00",,,,,,
07-มิ.ย.-2024,9.20,-0.50,-5.15%,9.60,8.80,9.75,"8,518,100","79,288,355.00","1,648,744,675.00",,,,,,
31-พ.ค.-2024,9.70,-1.10,-10.19%,10.80,9.70,10.90,"8,554,200","86,095,000.00","1,728,033,030.00",,,,,,
24-พ.ค.-2024,10.80,-0.20,-1.82%,11.00,10.50,11.00,"3,144,100","33,804,980.00","1,814,128,030.00",,,,,,
17-พ.ค.-2024,11.00,-0.20,-1.79%,11.20,10.90,11.40,"2,459,600","27,424,520.00","1,847,933,010.00",,,,,,
10-พ.ค.-2024,11.20,-0.10,-0.88%,11.30,11.20,11.40,"1,389,800","15,660,990.00","1,875,357,530.00",,,,,,
03-พ.ค.-2024,11.30,+0.10,+0.89%,11.20,11.10,11.30,"987,600","11,064,350.00","1,891,018,520.00",,,,,,
26-เม.ย.-2024,11.20,0.00,0.00%,11.10,11.00,11.20,"1,238,400","13,753,750.00","1,879,954,170.00",,,,,,
