Super Energy Corporation PCL | Price History                                          25-Sep-2024 16:26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SUPER.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"442,437,950,111",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
2.00 - 2.50,"13,851,872,391",3.13%,17,3.25%,,,,,,,,,,,
1.50 - 2.00,"72,564,379,430",16.40%,77,14.72%,,,,,,,,,,,
1.00 - 1.50,"129,236,967,890",29.21%,109,20.84%,,,,,,,,,,,
0.50 - 1.00,"215,327,301,400",48.67%,256,48.95%,,,,,,,,,,,
0.00 - 0.50,"11,457,429,000",2.59%,64,12.24%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SUPER.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,2.45,06-มี.ค.-2015,Max,"13,831,950,900",19-มิ.ย.-2020,Advancing,"210,605,251,038",Up,189,Up,+28.57%,10-เม.ย.-2020,Max,"13,828,814,764.00",19-มิ.ย.-2020
Low,0.23,23-ส.ค.-2024,Min,"28,689,100",14-มิ.ย.-2024,Declining,"192,968,467,028",Down,252,Down,-26.73%,22-มิ.ย.-2018,Min,"8,152,724.00",14-มิ.ย.-2024
Avg,0.99,,Avg,"845,961,664",,Total,"442,437,950,111",Unch,81,Period,-69.98%,10 Years,Avg,"930,489,172.93",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SUPER.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
27-ก.ย.-2024,0.31,0.00,0.00%,0.31,0.31,0.32,"95,177,500","29,561,426.00","9,707,826,440.00",,,,,,
20-ก.ย.-2024,0.31,+0.03,+10.71%,0.28,0.28,0.32,"243,536,900","73,211,851.00","9,678,265,014.00",,,,,,
13-ก.ย.-2024,0.28,+0.02,+7.69%,0.27,0.26,0.29,"194,703,100","54,204,891.00","9,605,053,163.00",,,,,,
06-ก.ย.-2024,0.26,+0.01,+4.00%,0.25,0.24,0.27,"246,051,100","63,464,220.00","9,550,848,272.00",,,,,,
30-ส.ค.-2024,0.25,-0.01,-3.85%,0.26,0.24,0.27,"128,137,200","32,845,078.00","9,487,384,052.00",,,,,,
23-ส.ค.-2024,0.26,+0.02,+8.33%,0.24,0.23,0.27,"232,625,100","58,671,520.00","9,520,229,130.00",,,,,,
16-ส.ค.-2024,0.24,-0.01,-4.00%,0.25,0.23,0.25,"117,002,300","28,102,162.00","9,461,557,610.00",,,,,,
09-ส.ค.-2024,0.25,-0.01,-3.85%,0.26,0.24,0.27,"147,419,600","37,305,505.00","9,489,659,772.00",,,,,,
02-ส.ค.-2024,0.26,-0.02,-7.14%,0.28,0.26,0.28,"49,076,000","13,063,975.00","9,526,965,277.00",,,,,,
26-ก.ค.-2024,0.28,0.00,0.00%,0.28,0.26,0.29,"79,379,500","21,573,363.00","9,540,029,252.00",,,,,,
19-ก.ค.-2024,0.28,-0.02,-6.67%,0.29,0.27,0.30,"186,190,300","52,594,616.00","9,561,602,615.00",,,,,,
12-ก.ค.-2024,0.30,+0.01,+3.45%,0.28,0.28,0.30,"160,622,100","46,664,837.00","9,614,197,231.00",,,,,,
05-ก.ค.-2024,0.29,0.00,0.00%,0.28,0.27,0.29,"55,843,000","15,915,098.00","9,567,532,394.00",,,,,,
28-มิ.ย.-2024,0.29,0.00,0.00%,0.29,0.28,0.29,"46,372,600","13,070,840.00","9,551,617,296.00",,,,,,
21-มิ.ย.-2024,0.29,+0.01,+3.57%,0.29,0.27,0.29,"118,553,000","33,372,140.00","9,538,546,456.00",,,,,,
14-มิ.ย.-2024,0.28,-0.01,-3.45%,0.29,0.28,0.29,"28,689,100","8,152,724.00","9,505,174,316.00",,,,,,
07-มิ.ย.-2024,0.29,0.00,0.00%,0.29,0.28,0.30,"62,308,800","18,156,279.00","9,513,327,040.00",,,,,,
31-พ.ค.-2024,0.29,-0.01,-3.33%,0.30,0.28,0.30,"66,727,800","19,449,971.00","9,531,483,319.00",,,,,,
24-พ.ค.-2024,0.30,0.00,0.00%,0.30,0.29,0.31,"59,531,600","17,678,386.00","9,550,933,290.00",,,,,,
17-พ.ค.-2024,0.30,-0.01,-3.23%,0.31,0.29,0.31,"193,805,800","58,145,877.00","9,568,611,676.00",,,,,,
10-พ.ค.-2024,0.31,+0.01,+3.33%,0.30,0.30,0.31,"37,165,700","11,318,424.00","9,626,757,553.00",,,,,,
03-พ.ค.-2024,0.30,0.00,0.00%,0.29,0.29,0.31,"76,250,600","22,736,769.00","9,615,439,129.00",,,,,,
26-เม.ย.-2024,0.30,+0.01,+3.45%,0.29,0.29,0.31,"59,135,800","17,646,278.00","9,592,702,360.00",,,,,,
19-เม.ย.-2024,0.29,-0.01,-3.33%,0.30,0.29,0.31,"72,461,300","21,304,154.00","9,575,056,082.00",,,,,,
12-เม.ย.-2024,0.30,+0.01,+3.45%,0.29,0.29,0.31,"66,267,300","19,890,501.00","9,596,360,236.00",,,,,,
05-เม.ย.-2024,0.29,-0.01,-3.33%,0.30,0.28,0.30,"163,489,900","47,677,989.00","9,576,469,735.00",,,,,,
29-มี.ค.-2024,0.30,-0.01,-3.23%,0.31,0.29,0.31,"145,719,600","43,767,723.00","9,624,147,724.00",,,,,,
22-มี.ค.-2024,0.31,-0.01,-3.13%,0.32,0.30,0.32,"90,971,700","27,979,032.00","9,667,915,447.00",,,,,,
15-มี.ค.-2024,0.32,+0.02,+6.67%,0.30,0.30,0.32,"191,521,900","59,491,312.00","9,695,894,479.00",,,,,,
08-มี.ค.-2024,0.30,-0.05,-14.29%,0.34,0.27,0.35,"520,593,500","158,752,839.00","9,636,403,167.00",,,,,,
01-มี.ค.-2024,0.35,-0.04,-10.26%,0.39,0.33,0.40,"533,649,500","188,686,453.00","9,795,156,006.00",,,,,,
23-ก.พ.-2024,0.39,-0.01,-2.50%,0.41,0.39,0.41,"96,577,500","38,202,082.00","9,983,842,459.00",,,,,,
16-ก.พ.-2024,0.40,-0.02,-4.76%,0.42,0.40,0.43,"79,100,700","32,479,487.00","10,022,044,541.00",,,,,,
09-ก.พ.-2024,0.42,+0.01,+2.44%,0.41,0.41,0.42,"37,598,100","15,585,309.00","10,054,524,028.00",,,,,,
02-ก.พ.-2024,0.41,-0.01,-2.38%,0.41,0.41,0.43,"62,027,800","25,816,376.00","10,038,938,719.00",,,,,,
26-ม.ค.-2024,0.42,+0.01,+2.44%,0.41,0.40,0.43,"142,893,000","59,376,065.00","10,064,755,095.00",,,,,,
19-ม.ค.-2024,0.41,-0.01,-2.38%,0.42,0.41,0.43,"49,943,300","20,814,123.00","10,005,379,030.00",,,,,,
12-ม.ค.-2024,0.42,-0.01,-2.33%,0.44,0.41,0.44,"104,552,900","44,938,328.00","10,026,193,153.00",,,,,,
05-ม.ค.-2024,0.43,+0.02,+4.88%,0.42,0.41,0.44,"98,616,400","42,099,956.00","10,071,131,481.00",,,,,,
29-ธ.ค.-2023,0.41,0.00,0.00%,0.41,0.40,0.42,"56,953,000","23,477,809.00","10,029,031,525.00",,,,,,
22-ธ.ค.-2023,0.41,-0.01,-2.38%,0.42,0.41,0.42,"41,815,000","17,268,706.00","10,052,509,334.00",,,,,,
15-ธ.ค.-2023,0.42,-0.01,-2.33%,0.42,0.40,0.43,"61,273,300","25,461,644.00","10,069,778,040.00",,,,,,
08-ธ.ค.-2023,0.43,0.00,0.00%,0.42,0.41,0.43,"38,846,600","16,343,638.00","10,095,239,684.00",,,,,,
01-ธ.ค.-2023,0.43,+0.01,+2.38%,0.42,0.41,0.44,"78,342,400","33,465,226.00","10,078,896,046.00",,,,,,
24-พ.ย.-2023,0.42,0.00,0.00%,0.43,0.41,0.43,"59,526,700","25,039,442.00","10,045,430,820.00",,,,,,
17-พ.ย.-2023,0.42,0.00,0.00%,0.42,0.41,0.43,"52,743,200","22,127,851.00","10,070,470,262.00",,,,,,
10-พ.ย.-2023,0.42,-0.02,-4.55%,0.45,0.41,0.45,"79,525,500","34,249,553.00","10,092,598,113.00",,,,,,
03-พ.ย.-2023,0.44,+0.01,+2.33%,0.43,0.41,0.45,"54,028,800","23,263,522.00","10,126,847,666.00",,,,,,
27-ต.ค.-2023,0.43,-0.01,-2.27%,0.43,0.41,0.44,"48,348,800","20,551,738.00","10,103,584,144.00",,,,,,
20-ต.ค.-2023,0.44,-0.03,-6.38%,0.46,0.42,0.46,"125,559,300","54,844,680.00","10,124,135,882.00",,,,,,
13-ต.ค.-2023,0.47,+0.01,+2.17%,0.45,0.44,0.47,"63,981,100","29,127,701.00","10,178,980,562.00",,,,,,
06-ต.ค.-2023,0.46,-0.01,-2.13%,0.47,0.45,0.47,"69,662,400","31,981,544.00","10,149,852,861.00",,,,,,
29-ก.ย.-2023,0.47,-0.02,-4.08%,0.48,0.46,0.49,"79,236,300","37,192,510.00","10,181,834,405.00",,,,,,
22-ก.ย.-2023,0.49,0.00,0.00%,0.49,0.47,0.50,"85,579,000","41,460,430.00","10,219,026,915.00",,,,,,
