Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
10-ก.พ.-2017,12.50,-0.10,-0.79%,12.70,12.30,13.10,"32,970,100","419,406,680.00","19,550,259,940.00",,,,,,
03-ก.พ.-2017,12.60,+0.80,+6.78%,12.20,11.90,13.00,"91,724,900","1,147,710,730.00","19,969,666,620.00",,,,,,
27-ม.ค.-2017,11.80,+0.70,+6.31%,11.30,11.20,11.90,"12,962,800","151,032,040.00","18,821,955,890.00",,,,,,
20-ม.ค.-2017,11.10,-0.50,-4.31%,11.60,11.00,11.80,"11,402,400","128,814,730.00","18,670,923,850.00",,,,,,
13-ม.ค.-2017,11.60,-0.50,-4.13%,12.10,11.40,12.10,"14,066,700","167,204,020.00","18,799,738,580.00",,,,,,
06-ม.ค.-2017,12.10,+0.60,+5.22%,11.60,11.60,12.30,"16,912,300","202,700,730.00","18,966,942,600.00",,,,,,
30-ธ.ค.-2016,11.50,-0.20,-1.71%,11.80,11.40,11.80,"8,527,600","98,781,150.00","18,764,241,870.00",,,,,,
23-ธ.ค.-2016,11.70,+0.40,+3.54%,11.30,10.70,11.80,"17,600,500","197,523,360.00","18,863,023,020.00",,,,,,
16-ธ.ค.-2016,11.30,-0.70,-5.83%,11.90,11.20,12.60,"97,371,500","1,158,123,050.00","18,665,499,660.00",,,,,,
09-ธ.ค.-2016,12.00,+1.80,+17.65%,10.30,10.20,12.00,"96,093,500","1,063,835,180.00","19,823,622,710.00",,,,,,
02-ธ.ค.-2016,10.20,+0.30,+3.03%,9.90,9.80,10.70,"43,533,200","449,573,925.00","18,759,787,530.00",,,,,,
25-พ.ย.-2016,9.90,+0.35,+3.66%,9.55,9.55,10.10,"13,701,000","135,939,790.00","18,310,213,605.00",,,,,,
18-พ.ย.-2016,9.55,-0.45,-4.50%,10.00,9.35,10.00,"13,613,000","132,117,960.00","18,174,273,815.00",,,,,,
11-พ.ย.-2016,10.00,-0.30,-2.91%,10.50,9.85,11.00,"56,988,900","588,598,000.00","18,306,391,775.00",,,,,,
04-พ.ย.-2016,10.30,+0.40,+4.04%,9.90,9.65,10.70,"42,332,700","433,018,060.00","18,894,989,775.00",,,,,,
28-ต.ค.-2016,9.90,-0.10,-1.00%,10.10,9.85,10.40,"20,452,100","205,925,620.00","18,461,971,715.00",,,,,,
21-ต.ค.-2016,10.00,+1.25,+14.29%,8.85,8.75,10.20,"31,749,500","304,155,815.00","18,667,897,335.00",,,,,,
14-ต.ค.-2016,8.75,-0.70,-7.41%,8.70,7.35,9.00,"28,115,800","234,220,270.00","18,363,741,520.00",,,,,,
07-ต.ค.-2016,9.45,+0.55,+6.18%,8.95,8.90,9.75,"16,462,700","156,506,565.00","18,597,961,790.00",,,,,,
30-ก.ย.-2016,8.90,-0.60,-6.32%,9.50,8.80,9.55,"6,900,700","63,135,510.00","18,441,455,225.00",,,,,,
23-ก.ย.-2016,9.50,-0.15,-1.55%,9.70,9.30,9.90,"10,617,200","101,865,525.00","18,504,590,735.00",,,,,,
16-ก.ย.-2016,9.65,+0.80,+9.04%,8.55,8.35,9.95,"16,620,200","152,395,960.00","18,606,456,260.00",,,,,,
09-ก.ย.-2016,8.85,-1.45,-14.08%,10.40,8.55,10.40,"36,221,000","346,798,845.00","18,454,060,300.00",,,,,,
02-ก.ย.-2016,10.30,-0.70,-6.36%,11.30,10.10,11.40,"33,847,500","363,594,710.00","18,800,859,145.00",,,,,,
