Ekarat Engineering PCL | Price History                                          25-Sep-2024 16:50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AKR.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"32,321,836,700",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
3.00 - 3.50,"1,394,161,900",4.31%,3,0.57%,,,,,,,,,,,
2.50 - 3.00,"6,626,679,300",20.50%,18,3.44%,,,,,,,,,,,
2.00 - 2.50,"3,719,514,700",11.51%,13,2.49%,,,,,,,,,,,
1.50 - 2.00,"2,621,411,400",8.11%,32,6.12%,,,,,,,,,,,
1.00 - 1.50,"14,406,555,200",44.57%,186,35.56%,,,,,,,,,,,
0.50 - 1.00,"3,443,344,700",10.65%,249,47.61%,,,,,,,,,,,
0.00 - 0.50,"110,169,500",0.34%,22,4.21%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AKR.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,3.20,23-ม.ค.-2015,Max,"1,981,637,500",07-พ.ย.-2014,Advancing,"17,417,414,600",Up,204,Up,+31.40%,23-เม.ย.-2021,Max,"5,226,878,716.00",07-พ.ย.-2014
Low,0.30,13-มี.ค.-2020,Min,"321,400",27-ธ.ค.-2019,Declining,"11,655,123,100",Down,241,Down,-35.09%,20-ก.ค.-2018,Min,"193,050.00",27-ธ.ค.-2019
Avg,1.10,,Avg,"61,800,835",,Total,"32,321,836,700",Unch,77,Period,-59.80%,10 Years,Avg,"105,612,081.69",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AKR.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
27-ก.ย.-2024,0.96,+0.01,+1.05%,0.95,0.95,0.98,"3,590,000","3,450,017.00","12,750,049,352.00",,,,,,
20-ก.ย.-2024,0.95,+0.01,+1.06%,0.95,0.93,0.98,"11,836,300","11,337,320.00","12,746,599,335.00",,,,,,
13-ก.ย.-2024,0.94,+0.01,+1.08%,0.94,0.91,0.97,"15,850,800","14,971,829.00","12,735,262,015.00",,,,,,
06-ก.ย.-2024,0.93,+0.03,+3.33%,0.91,0.88,0.93,"10,390,600","9,478,282.00","12,720,290,186.00",,,,,,
30-ส.ค.-2024,0.90,+0.02,+2.27%,0.89,0.88,0.92,"8,502,700","7,661,700.00","12,710,811,904.00",,,,,,
23-ส.ค.-2024,0.88,+0.03,+3.53%,0.86,0.84,0.89,"7,196,900","6,282,603.00","12,703,150,204.00",,,,,,
16-ส.ค.-2024,0.85,0.00,0.00%,0.85,0.83,0.89,"8,149,000","6,984,180.00","12,696,867,601.00",,,,,,
09-ส.ค.-2024,0.85,0.00,0.00%,0.86,0.81,0.86,"3,712,200","3,122,707.00","12,703,851,781.00",,,,,,
02-ส.ค.-2024,0.85,-0.02,-2.30%,0.87,0.85,0.88,"2,968,600","2,549,488.00","12,706,974,488.00",,,,,,
26-ก.ค.-2024,0.87,0.00,0.00%,0.87,0.83,0.87,"5,435,500","4,620,807.00","12,709,523,976.00",,,,,,
19-ก.ค.-2024,0.87,-0.02,-2.25%,0.89,0.85,0.93,"9,383,200","8,362,862.00","12,714,144,783.00",,,,,,
12-ก.ค.-2024,0.89,0.00,0.00%,0.89,0.89,0.91,"4,020,600","3,604,510.00","12,722,507,645.00",,,,,,
05-ก.ค.-2024,0.89,-0.02,-2.20%,0.90,0.89,0.92,"5,588,000","5,020,197.00","12,726,112,155.00",,,,,,
28-มิ.ย.-2024,0.91,+0.04,+4.60%,0.87,0.86,0.95,"16,845,300","15,336,443.00","12,731,132,352.00",,,,,,
21-มิ.ย.-2024,0.87,0.00,0.00%,0.88,0.83,0.88,"7,797,300","6,634,402.00","12,715,795,909.00",,,,,,
14-มิ.ย.-2024,0.87,+0.01,+1.16%,0.86,0.83,0.88,"15,176,200","12,936,266.00","12,709,161,507.00",,,,,,
07-มิ.ย.-2024,0.86,-0.01,-1.15%,0.87,0.85,0.88,"5,903,900","5,085,297.00","12,696,225,241.00",,,,,,
31-พ.ค.-2024,0.87,-0.01,-1.14%,0.87,0.86,0.89,"10,583,800","9,245,035.00","12,701,310,538.00",,,,,,
24-พ.ค.-2024,0.88,+0.02,+2.33%,0.86,0.85,0.89,"20,495,900","17,865,134.00","12,710,555,573.00",,,,,,
17-พ.ค.-2024,0.86,-0.14,-14.00%,0.99,0.80,1.02,"76,393,700","67,813,474.00","12,692,690,439.00",,,,,,
10-พ.ค.-2024,1.00,-0.01,-0.99%,1.02,0.99,1.06,"94,991,700","97,615,742.00","12,760,503,913.00",,,,,,
03-พ.ค.-2024,1.01,+0.02,+2.02%,0.99,0.98,1.02,"17,349,900","17,436,701.00","12,858,119,655.00",,,,,,
26-เม.ย.-2024,0.99,+0.02,+2.06%,0.96,0.95,0.99,"13,920,300","13,534,459.00","12,840,682,954.00",,,,,,
19-เม.ย.-2024,0.97,-0.04,-3.96%,1.00,0.94,1.01,"18,547,100","18,137,933.00","12,827,148,495.00",,,,,,
12-เม.ย.-2024,1.01,+0.03,+3.06%,0.98,0.98,1.02,"16,305,300","16,365,415.00","12,845,286,428.00",,,,,,
05-เม.ย.-2024,0.98,-0.02,-2.00%,1.00,0.97,1.01,"12,736,600","12,550,115.00","12,828,921,013.00",,,,,,
29-มี.ค.-2024,1.00,+0.03,+3.09%,0.97,0.97,1.03,"45,917,600","46,267,469.00","12,841,471,128.00",,,,,,
