Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
1.80 - 2.00,"321,094,400",2.88%,4,0.76%,,,,,,,,,,,
1.60 - 1.80,"1,805,232,692",16.17%,25,4.78%,,,,,,,,,,,
1.40 - 1.60,"1,963,265,458",17.58%,65,12.43%,,,,,,,,,,,
1.20 - 1.40,"1,717,680,177",15.38%,68,13.00%,,,,,,,,,,,
1.00 - 1.20,"2,786,625,100",24.95%,102,19.50%,,,,,,,,,,,
0.80 - 1.00,"1,426,763,200",12.78%,88,16.83%,,,,,,,,,,,
0.60 - 0.80,"825,320,100",7.39%,116,22.18%,,,,,,,,,,,
0.40 - 0.60,"320,923,600",2.87%,55,10.52%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TMIm.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,2.07,05-พ.ค.-2023,Max,"402,456,100",23-ก.ค.-2021,Advancing,"7,154,920,401",Up,195,Up,+36.67%,05-มี.ค.-2021,Max,"575,044,782.00",20-ก.ย.-2024
Low,0.50,09-ต.ค.-2020,Min,"214,200",08-พ.ค.-2020,Declining,"3,334,787,572",Down,246,Down,-16.90%,14-ต.ค.-2016,Min,"137,767.00",08-พ.ค.-2020
Avg,1.03,,Avg,"21,351,634",,Total,"11,166,904,727",Unch,81,Period,-17.33%,10 Years,Avg,"31,262,606.00",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TMIm.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
26-เม.ย.-2024,1.13,+0.04,+3.67%,1.09,1.09,1.16,"807,400","908,388.00","4,982,423,648.00",,,,,,
19-เม.ย.-2024,1.09,-0.04,-3.54%,1.11,1.08,1.12,"1,764,300","1,935,608.00","4,981,515,260.00",,,,,,
12-เม.ย.-2024,1.13,0.00,0.00%,1.13,1.12,1.15,"426,000","482,673.00","4,983,450,868.00",,,,,,
05-เม.ย.-2024,1.13,0.00,0.00%,1.13,1.11,1.17,"1,994,300","2,279,627.00","4,983,933,541.00",,,,,,
29-มี.ค.-2024,1.13,0.00,0.00%,1.14,1.11,1.15,"2,309,800","2,603,076.00","4,986,213,168.00",,,,,,
22-มี.ค.-2024,1.13,0.00,0.00%,1.11,1.10,1.18,"5,851,100","6,640,800.00","4,988,816,244.00",,,,,,
15-มี.ค.-2024,1.13,0.00,0.00%,1.11,1.09,1.15,"1,785,700","1,993,334.00","4,995,457,044.00",,,,,,
08-มี.ค.-2024,1.13,-0.01,-0.88%,1.14,1.09,1.16,"969,300","1,103,552.00","4,997,450,378.00",,,,,,
01-มี.ค.-2024,1.14,+0.03,+2.70%,1.11,1.10,1.15,"1,510,700","1,697,088.00","4,998,553,930.00",,,,,,
23-ก.พ.-2024,1.11,-0.03,-2.63%,1.14,1.11,1.17,"1,862,200","2,110,949.00","4,996,856,842.00",,,,,,
16-ก.พ.-2024,1.14,-0.02,-1.72%,1.16,1.13,1.17,"1,092,800","1,253,825.00","4,998,967,791.00",,,,,,
09-ก.พ.-2024,1.16,0.00,0.00%,1.19,1.14,1.20,"1,392,900","1,635,321.00","5,000,221,616.00",,,,,,
02-ก.พ.-2024,1.16,-0.02,-1.69%,1.20,1.14,1.20,"2,174,500","2,527,288.00","5,001,856,937.00",,,,,,
26-ม.ค.-2024,1.18,-0.01,-0.84%,1.19,1.15,1.22,"4,640,400","5,499,589.00","5,004,384,225.00",,,,,,
19-ม.ค.-2024,1.19,-0.06,-4.80%,1.25,1.17,1.27,"7,169,400","8,655,967.00","5,009,883,814.00",,,,,,
12-ม.ค.-2024,1.25,0.00,0.00%,1.25,1.19,1.30,"6,520,100","8,118,115.00","5,018,539,781.00",,,,,,
05-ม.ค.-2024,1.25,+0.05,+4.17%,1.20,1.19,1.26,"4,772,400","5,881,424.00","5,010,421,666.00",,,,,,
29-ธ.ค.-2023,1.20,+0.01,+0.84%,1.20,1.19,1.25,"2,104,200","2,576,118.00","5,004,540,242.00",,,,,,
22-ธ.ค.-2023,1.19,+0.02,+1.71%,1.19,1.17,1.31,"5,496,900","6,847,616.00","5,001,964,124.00",,,,,,
15-ธ.ค.-2023,1.17,-0.02,-1.68%,1.17,1.15,1.19,"633,500","742,121.00","4,995,116,508.00",,,,,,
08-ธ.ค.-2023,1.19,+0.05,+4.39%,1.15,1.15,1.22,"1,653,400","1,977,606.00","4,995,858,629.00",,,,,,
01-ธ.ค.-2023,1.14,-0.11,-8.80%,1.22,1.11,1.25,"3,224,700","3,747,458.00","4,993,881,023.00",,,,,,
24-พ.ย.-2023,1.25,+0.04,+3.31%,1.20,1.19,1.29,"2,520,400","3,116,861.00","4,997,628,481.00",,,,,,
17-พ.ย.-2023,1.21,-0.10,-7.63%,1.32,1.08,1.34,"5,632,700","6,532,365.00","4,994,511,620.00",,,,,,
10-พ.ย.-2023,1.31,-0.01,-0.76%,1.35,1.31,1.41,"3,424,200","4,680,839.00","5,001,043,985.00",,,,,,
03-พ.ย.-2023,1.32,+0.07,+5.60%,1.22,1.14,1.35,"4,223,700","5,177,356.00","5,005,724,824.00",,,,,,
27-ต.ค.-2023,1.25,-0.10,-7.41%,1.33,1.22,1.33,"2,276,700","2,916,882.00","5,000,547,468.00",,,,,,
20-ต.ค.-2023,1.35,-0.08,-5.59%,1.44,1.30,1.45,"3,488,400","4,759,324.00","5,003,464,350.00",,,,,,
13-ต.ค.-2023,1.43,-0.01,-0.69%,1.45,1.37,1.45,"2,472,500","3,475,390.00","5,008,223,674.00",,,,,,
06-ต.ค.-2023,1.44,0.00,0.00%,1.44,1.41,1.49,"2,913,000","4,185,851.00","5,011,699,064.00",,,,,,
29-ก.ย.-2023,1.44,-0.10,-6.49%,1.55,1.43,1.55,"3,684,500","5,410,857.00","5,015,884,915.00",,,,,,
22-ก.ย.-2023,1.54,-0.05,-3.14%,1.59,1.45,1.59,"7,280,800","11,090,069.00","5,021,295,772.00",,,,,,
15-ก.ย.-2023,1.59,-0.03,-1.85%,1.61,1.57,1.67,"11,731,900","19,147,156.00","5,032,385,841.00",,,,,,
08-ก.ย.-2023,1.62,+0.06,+3.85%,1.54,1.51,1.78,"48,795,800","81,831,822.00","5,051,532,997.00",,,,,,
01-ก.ย.-2023,1.56,+0.03,+1.96%,1.55,1.53,1.60,"12,292,300","19,192,262.00","4,969,701,175.00",,,,,,
25-ส.ค.-2023,1.53,+0.06,+4.08%,1.46,1.45,1.61,"11,570,700","17,825,734.00","4,950,508,913.00",,,,,,
18-ส.ค.-2023,1.47,-0.01,-0.68%,1.48,1.43,1.48,"1,935,700","2,816,018.00","4,932,683,179.00",,,,,,
11-ส.ค.-2023,1.48,+0.03,+2.07%,1.45,1.44,1.55,"6,169,700","9,195,378.00","4,935,499,197.00",,,,,,
04-ส.ค.-2023,1.45,+0.01,+0.69%,1.45,1.43,1.49,"5,637,700","8,188,410.00","4,926,303,819.00",,,,,,
28-ก.ค.-2023,1.44,-0.09,-5.88%,1.54,1.41,1.54,"7,215,900","10,468,998.00","4,918,115,409.00",,,,,,
21-ก.ค.-2023,1.53,+0.06,+4.08%,1.46,1.46,1.62,"14,663,400","22,685,861.00","4,928,584,407.00",,,,,,
14-ก.ค.-2023,1.47,+0.01,+0.68%,1.47,1.44,1.51,"8,308,500","12,238,176.00","4,905,898,546.00",,,,,,
07-ก.ค.-2023,1.46,-0.05,-3.31%,1.52,1.44,1.56,"11,341,900","16,828,683.00","4,893,660,370.00",,,,,,
30-มิ.ย.-2023,1.51,-0.07,-4.43%,1.59,1.44,1.60,"8,965,000","13,584,726.00","4,910,489,053.00",,,,,,
23-มิ.ย.-2023,1.58,-0.15,-8.67%,1.70,1.51,1.71,"22,989,400","36,962,340.00","4,924,073,779.00",,,,,,
16-มิ.ย.-2023,1.73,+0.06,+3.59%,1.67,1.66,1.95,"94,495,200","173,219,482.00","4,961,036,119.00",,,,,,
09-มิ.ย.-2023,1.67,+0.06,+3.73%,1.62,1.59,1.73,"16,933,900","28,124,198.00","4,787,816,637.00",,,,,,
