Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,13.67,05-มี.ค.-2021,Max,"880,373,714",29-ก.ย.-2017,Advancing,"4,151,494,472",Up,156,Up,+15.08%,15-พ.ค.-2020,Max,"6,082,308,850.00",29-ก.ย.-2017
Low,4.23,27-มี.ค.-2020,Min,"429,380",03-ม.ค.-2020,Declining,"3,612,714,780",Down,173,Down,-11.56%,10-พ.ย.-2017,Min,"2,361,980.00",03-ม.ค.-2020
Avg,7.47,,Avg,"25,290,569",,Total,"9,256,348,194",Unch,36,Period,-5.53%,10 Years,Avg,"208,755,207.30",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SSP.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
27-ก.ย.-2024,6.00,-0.15,-2.44%,6.20,5.95,6.20,"2,601,300","15,745,300.00","4,564,651,370.00",,,,,,
20-ก.ย.-2024,6.15,+0.20,+3.36%,6.00,5.95,6.35,"9,219,400","56,984,035.00","4,580,396,670.00",,,,,,
13-ก.ย.-2024,5.95,-0.20,-3.25%,6.10,5.85,6.15,"4,572,900","27,442,540.00","4,523,412,635.00",,,,,,
06-ก.ย.-2024,6.15,+0.05,+0.82%,6.10,6.05,6.15,"3,395,600","20,726,425.00","4,550,855,175.00",,,,,,
30-ส.ค.-2024,6.10,-0.20,-3.17%,6.30,6.10,6.40,"3,641,300","22,638,120.00","4,530,128,750.00",,,,,,
23-ส.ค.-2024,6.30,0.00,0.00%,6.30,6.15,6.40,"4,385,800","27,662,515.00","4,552,766,870.00",,,,,,
16-ส.ค.-2024,6.30,0.00,0.00%,6.35,6.15,6.40,"1,720,900","10,868,770.00","4,525,104,355.00",,,,,,
09-ส.ค.-2024,6.30,+0.20,+3.28%,6.10,6.00,6.40,"4,276,400","26,507,425.00","4,514,235,585.00",,,,,,
02-ส.ค.-2024,6.10,-0.10,-1.61%,6.20,6.00,6.40,"2,092,000","12,910,730.00","4,487,728,160.00",,,,,,
26-ก.ค.-2024,6.20,-0.10,-1.59%,6.25,6.05,6.45,"3,135,200","19,327,285.00","4,500,638,890.00",,,,,,
19-ก.ค.-2024,6.30,-0.20,-3.08%,6.50,6.25,6.50,"2,975,200","18,842,895.00","4,519,966,175.00",,,,,,
12-ก.ค.-2024,6.50,+0.05,+0.78%,6.45,6.30,6.60,"2,353,900","15,113,910.00","4,538,809,070.00",,,,,,
05-ก.ค.-2024,6.45,-0.20,-3.01%,6.75,6.35,6.75,"1,445,400","9,413,050.00","4,523,695,160.00",,,,,,
28-มิ.ย.-2024,6.65,+0.15,+2.31%,6.40,6.40,6.85,"2,841,900","18,763,135.00","4,533,108,210.00",,,,,,
21-มิ.ย.-2024,6.50,-0.20,-2.99%,6.75,6.10,6.80,"4,014,000","25,650,690.00","4,514,345,075.00",,,,,,
14-มิ.ย.-2024,6.70,-0.25,-3.60%,6.90,6.50,6.90,"1,044,500","6,998,155.00","4,539,995,765.00",,,,,,
07-มิ.ย.-2024,6.95,-0.05,-0.71%,7.05,6.65,7.05,"1,450,900","9,996,715.00","4,546,993,920.00",,,,,,
31-พ.ค.-2024,7.00,-0.15,-2.10%,7.15,6.90,7.25,"1,157,100","8,146,245.00","4,556,990,635.00",,,,,,
24-พ.ค.-2024,7.15,-0.15,-2.05%,7.35,7.05,7.35,"614,500","4,411,920.00","4,565,136,880.00",,,,,,
17-พ.ค.-2024,7.30,+0.05,+0.69%,7.35,7.00,7.35,"1,734,500","12,432,900.00","4,569,548,800.00",,,,,,
10-พ.ค.-2024,7.25,-0.40,-5.23%,7.60,7.25,7.60,"4,653,300","34,692,065.00","4,557,115,900.00",,,,,,
03-พ.ค.-2024,7.65,-0.15,-1.92%,7.80,7.50,7.85,"5,619,600","43,081,395.00","4,591,807,965.00",,,,,,
26-เม.ย.-2024,7.80,+0.30,+4.00%,7.55,7.55,8.00,"13,720,100","106,112,695.00","4,634,889,360.00",,,,,,
19-เม.ย.-2024,7.50,-0.45,-5.66%,7.95,7.45,7.95,"5,338,600","41,194,995.00","4,528,776,665.00",,,,,,
12-เม.ย.-2024,7.95,-0.05,-0.62%,7.95,7.95,8.15,"6,457,700","51,924,965.00","4,569,971,660.00",,,,,,
05-เม.ย.-2024,8.00,0.00,0.00%,8.00,7.90,8.20,"8,203,000","65,645,385.00","4,621,896,625.00",,,,,,
29-มี.ค.-2024,8.00,+0.20,+2.56%,7.75,7.75,8.20,"9,168,100","73,813,895.00","4,556,251,240.00",,,,,,
22-มี.ค.-2024,7.80,+0.05,+0.65%,7.80,7.55,7.85,"4,171,800","32,000,910.00","4,482,437,345.00",,,,,,
15-มี.ค.-2024,7.75,-0.05,-0.64%,7.80,7.65,7.85,"2,819,300","21,837,355.00","4,450,436,435.00",,,,,,
08-มี.ค.-2024,7.80,+0.10,+1.30%,7.70,7.60,7.90,"3,185,800","24,715,380.00","4,472,273,790.00",,,,,,
01-มี.ค.-2024,7.70,-0.10,-1.28%,7.70,7.55,7.90,"3,875,900","29,741,095.00","4,447,558,410.00",,,,,,
23-ก.พ.-2024,7.80,-0.15,-1.89%,8.10,7.60,8.10,"3,601,800","28,230,465.00","4,477,299,505.00",,,,,,
16-ก.พ.-2024,7.95,-0.40,-4.79%,8.35,7.95,8.45,"10,963,700","90,218,135.00","4,505,529,970.00",,,,,,
09-ก.พ.-2024,8.35,+0.05,+0.60%,8.30,8.20,8.45,"17,897,000","149,152,645.00","4,595,748,105.00",,,,,,
02-ก.พ.-2024,8.30,0.00,0.00%,8.30,8.25,8.50,"11,345,700","94,955,065.00","4,446,595,460.00",,,,,,
26-ม.ค.-2024,8.30,0.00,0.00%,8.30,8.15,8.35,"6,707,300","55,248,200.00","4,351,640,395.00",,,,,,
19-ม.ค.-2024,8.30,+0.15,+1.84%,8.05,8.00,8.35,"11,301,500","92,462,770.00","4,296,392,195.00",,,,,,
12-ม.ค.-2024,8.15,+0.30,+3.82%,7.75,7.75,8.15,"9,565,800","76,505,530.00","4,203,929,425.00",,,,,,
05-ม.ค.-2024,7.85,-0.15,-1.88%,8.05,7.85,8.05,"2,047,500","16,284,115.00","4,127,423,895.00",,,,,,
29-ธ.ค.-2023,8.00,+0.25,+3.23%,7.80,7.75,8.05,"4,115,600","32,633,475.00","4,143,708,010.00",,,,,,
22-ธ.ค.-2023,7.75,+0.50,+6.90%,7.30,7.20,7.85,"10,168,900","77,019,435.00","4,111,074,535.00",,,,,,
15-ธ.ค.-2023,7.25,-0.20,-2.68%,7.45,7.15,7.45,"4,071,000","29,642,620.00","4,034,055,100.00",,,,,,
08-ธ.ค.-2023,7.45,+0.20,+2.76%,7.25,7.20,7.50,"4,250,700","31,391,575.00","4,063,697,720.00",,,,,,
01-ธ.ค.-2023,7.25,+0.15,+2.11%,7.05,7.00,7.30,"5,649,400","40,417,345.00","4,032,306,145.00",,,,,,
24-พ.ย.-2023,7.10,+0.15,+2.16%,6.90,6.90,7.40,"7,743,600","55,844,900.00","3,991,888,800.00",,,,,,
17-พ.ย.-2023,6.95,+0.80,+13.01%,6.15,6.00,7.00,"11,521,700","75,286,795.00","3,936,043,900.00",,,,,,
10-พ.ย.-2023,6.15,-0.15,-2.38%,6.40,6.05,6.40,"5,348,100","33,367,050.00","3,860,757,105.00",,,,,,
03-พ.ย.-2023,6.30,+0.55,+9.57%,5.75,5.65,6.35,"3,416,000","20,499,520.00","3,894,124,155.00",,,,,,
27-ต.ค.-2023,5.75,-0.50,-8.00%,6.30,5.30,6.45,"6,121,100","36,118,640.00","3,873,624,635.00",,,,,,
20-ต.ค.-2023,6.25,-0.45,-6.72%,6.65,5.80,6.65,"10,010,000","61,789,075.00","3,909,743,275.00",,,,,,
13-ต.ค.-2023,6.70,0.00,0.00%,6.75,6.50,6.85,"1,502,800","9,947,825.00","3,971,532,350.00",,,,,,
06-ต.ค.-2023,6.70,-0.20,-2.90%,6.95,6.60,6.95,"1,230,600","8,254,660.00","3,981,480,175.00",,,,,,
29-ก.ย.-2023,6.90,-0.05,-0.72%,7.00,6.65,7.00,"2,095,100","14,299,215.00","3,989,734,835.00",,,,,,
22-ก.ย.-2023,6.95,-0.05,-0.71%,7.00,6.55,7.00,"3,068,400","20,715,910.00","4,004,034,050.00",,,,,,
15-ก.ย.-2023,7.00,-0.20,-2.78%,7.25,6.90,7.25,"2,991,000","20,969,985.00","4,024,749,960.00",,,,,,
08-ก.ย.-2023,7.20,-0.05,-0.69%,7.20,7.05,7.25,"1,146,200","8,190,900.00","4,045,719,945.00",,,,,,
01-ก.ย.-2023,7.25,+0.15,+2.11%,7.10,7.00,7.50,"4,206,300","30,531,020.00","4,053,910,845.00",,,,,,
25-ส.ค.-2023,7.10,+0.25,+3.65%,6.85,6.75,7.15,"4,362,200","30,355,690.00","4,023,379,825.00",,,,,,
18-ส.ค.-2023,6.85,-0.25,-3.52%,7.00,6.65,7.10,"3,645,900","24,991,500.00","3,993,024,135.00",,,,,,
11-ส.ค.-2023,7.10,-0.20,-2.74%,7.35,7.00,7.45,"2,078,000","14,863,210.00","4,018,015,635.00",,,,,,
04-ส.ค.-2023,7.30,-0.10,-1.35%,7.45,7.15,7.60,"2,285,200","16,887,375.00","4,032,878,845.00",,,,,,
28-ก.ค.-2023,7.40,+0.10,+1.37%,7.40,7.10,7.40,"810,600","5,868,650.00","4,049,766,220.00",,,,,,
21-ก.ค.-2023,7.30,-0.05,-0.68%,7.40,7.20,7.50,"1,113,100","8,157,225.00","4,043,897,570.00",,,,,,
14-ก.ค.-2023,7.35,+0.05,+0.68%,7.30,7.00,7.45,"3,852,000","27,701,240.00","4,052,054,795.00",,,,,,
07-ก.ค.-2023,7.30,-0.55,-7.01%,7.85,7.20,7.95,"2,045,000","15,462,020.00","4,024,353,555.00",,,,,,
30-มิ.ย.-2023,7.85,-0.05,-0.63%,7.90,7.55,7.90,"3,906,100","30,179,145.00","4,039,815,575.00",,,,,,
23-มิ.ย.-2023,7.90,-0.35,-4.24%,8.25,7.80,8.35,"4,914,800","39,456,790.00","4,069,994,720.00",,,,,,
16-มิ.ย.-2023,8.25,-0.05,-0.60%,8.40,8.20,8.40,"3,626,800","30,147,075.00","4,109,451,510.00",,,,,,
09-มิ.ย.-2023,8.30,-0.15,-1.78%,8.55,7.90,8.55,"4,355,300","35,666,710.00","4,139,598,585.00",,,,,,
02-มิ.ย.-2023,8.45,-0.45,-5.06%,8.95,8.40,9.00,"3,070,200","26,605,295.00","4,175,265,295.00",,,,,,
26-พ.ค.-2023,8.90,+0.20,+2.30%,8.60,8.55,9.00,"1,557,500","13,757,610.00","4,201,870,590.00",,,,,,
19-พ.ค.-2023,8.70,-0.40,-4.40%,9.20,8.65,9.20,"3,118,300","27,601,620.00","4,188,112,980.00",,,,,,
12-พ.ค.-2023,9.10,+0.25,+2.82%,8.80,8.60,9.15,"8,262,000","73,309,720.00","4,215,714,600.00",,,,,,
05-พ.ค.-2023,8.85,+0.53,+6.39%,8.32,8.14,8.90,"7,065,700","60,720,665.00","4,142,404,880.00",,,,,,
28-เม.ย.-2023,8.32,-0.09,-1.08%,8.41,8.18,8.45,"6,890,179","57,373,300.00","4,081,684,215.00",,,,,,
21-เม.ย.-2023,8.41,-0.41,-4.64%,8.82,8.36,8.91,"6,993,909","61,361,160.00","4,139,057,515.00",,,,,,
14-เม.ย.-2023,8.82,+0.18,+2.11%,8.64,8.59,8.82,"1,660,890","14,449,185.00","4,200,418,675.00",,,,,,
07-เม.ย.-2023,8.64,+0.05,+0.53%,8.64,8.64,8.95,"10,748,539","94,686,185.00","4,185,969,490.00",,,,,,
31-มี.ค.-2023,8.59,+0.14,+1.61%,8.45,8.36,8.73,"3,965,830","33,899,060.00","4,091,283,305.00",,,,,,
24-มี.ค.-2023,8.45,+0.36,+4.49%,8.14,8.00,8.45,"2,996,290","24,889,155.00","4,057,384,245.00",,,,,,
17-มี.ค.-2023,8.09,-0.55,-6.32%,8.64,8.00,8.68,"8,392,229","68,954,445.00","4,032,495,090.00",,,,,,
10-มี.ค.-2023,8.64,+0.05,+0.53%,8.55,8.50,8.86,"8,309,069","72,613,705.00","4,101,449,535.00",,,,,,
03-มี.ค.-2023,8.59,+0.05,+0.53%,8.55,8.41,8.86,"7,755,329","66,467,850.00","4,028,835,830.00",,,,,,
24-ก.พ.-2023,8.55,0.00,0.00%,8.55,8.45,8.91,"8,334,479","72,235,385.00","3,962,367,980.00",,,,,,
17-ก.พ.-2023,8.55,-0.36,-4.08%,8.91,8.55,8.91,"9,423,699","82,458,610.00","4,034,603,365.00",,,,,,
10-ก.พ.-2023,8.91,-0.18,-2.00%,9.09,8.82,9.09,"6,390,009","57,379,510.00","4,117,061,975.00",,,,,,
