Absolute Clean Energy PCL | Balance Sheet                                25-Sep-2024 16:38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,73 ,69 ,51 ,51 ,50 ,55 ,49 ,32 ,18 ,14 ,19 ,24 ,32 ,39 ,22 ,22 ,17 ,16 ,23 ,25 ,11 
Period End Date,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Debt,"5,374,152 ","6,632,241 ","6,453,159 ","4,840,615 ","4,657,611 ","1,911,488 ","1,933,023 ","2,327,286 ","3,218,297 ","3,106,331 ","3,817,208 ","3,853,510 ","3,806,096 ","3,861,841 ","3,691,798 ","4,136,732 ","3,959,975 ","3,880,419 ","3,688,597 ","3,956,552 ","3,697,142 ","4,489,593 ","4,234,261 ","5,248,537 "
Long Term Debt,"5,373,499 ","6,631,684 ","6,452,698 ","4,840,251 ","4,657,346 ","1,911,321 ","1,915,871 ","2,310,010 ","3,198,337 ","3,081,864 ","3,791,320 ","3,827,826 ","3,780,939 ","3,836,936 ","3,663,161 ","4,108,586 ","3,931,433 ","3,850,138 ","3,659,553 ","3,928,246 ","3,669,897 ","4,458,961 ","4,204,705 ","5,217,456 "
Capital Lease Obligations,653 ,557 ,461 ,364 ,266 ,167 ,"17,152 ","17,276 ","19,960 ","24,468 ","25,887 ","25,684 ","25,157 ","24,905 ","28,638 ","28,146 ","28,542 ","30,281 ","29,044 ","28,306 ","27,245 ","30,632 ","29,556 ","31,081 "
Total Debt,"8,056,718 ","7,797,942 ","7,576,762 ","7,363,637 ","7,326,627 ","2,995,457 ","2,632,518 ","3,076,410 ","3,966,787 ","3,948,255 ","4,553,461 ","4,792,781 ","4,647,697 ","4,780,122 ","4,470,686 ","5,024,610 ","4,711,408 ","5,074,853 ","4,985,457 ","5,125,209 ","4,827,685 ","5,690,257 ","5,370,915 ","6,426,947 "
Deferred Income Tax,"51,071 ","37,477 ","36,921 ","32,785 ","37,125 ","38,538 ","71,568 ","60,295 ","121,992 ","109,893 ","127,281 ","139,973 ","163,839 ","168,239 ","177,266 ","201,725 ","230,502 ","208,707 ","211,232 ","231,535 ","246,763 ","221,064 ","258,144 ","254,485 "
Deferred Income Tax - LT Liability,"51,071 ","37,477 ","36,921 ","32,785 ","37,125 ","38,538 ","71,568 ","60,295 ","121,992 ","109,893 ","127,281 ","139,973 ","163,839 ","168,239 ","177,266 ","201,725 ","230,502 ","208,707 ","211,232 ","231,535 ","246,763 ","221,064 ","258,144 ","254,485 "
Minority Interest,--,--,0 ,0 ,--,--,--,--,--,--,--,"27,499 ","37,476 ","53,247 ","56,568 ","56,485 ","57,787 ","59,628 ","59,541 ","61,439 ","61,650 ","105,254 ","106,427 ","124,780 "
"Other Liabilities, Total","23,098 ","21,162 ","23,346 ","25,793 ","28,026 ","28,899 ","31,106 ","33,313 ","35,542 ","7,900 ","10,129 ","12,380 ","14,652 ","14,348 ","18,074 ","21,281 ","24,520 ","28,580 ","31,879 ","35,210 ","38,572 ","42,314 ","45,663 ","49,014 "
Pension Benefits - Underfunded,"10,018 ","3,870 ","4,099 ","4,570 ","4,805 ","3,678 ","3,910 ","4,142 ","4,373 ","7,814 ","8,092 ","8,370 ","8,649 ","8,948 ","9,310 ","9,672 ","10,034 ","11,216 ","11,701 ","12,186 ","12,671 ","13,538 ","14,049 ","14,563 "
Other Long Term Liabilities,"13,081 ","17,292 ","19,247 ","21,223 ","23,221 ","25,221 ","27,196 ","29,171 ","31,169 ",87 ,"2,037 ","4,009 ","6,003 ","5,401 ","8,764 ","11,610 ","14,487 ","17,364 ","20,178 ","23,024 ","25,901 ","28,776 ","31,614 ","34,452 "
