,2004,2005,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Dec-2004, Jun-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,50 ,65 ,89 ,91 ,85 ,79 ,23 ,26 ,38 ,19 ,22 ,N/A ,6 ,34 ,40 ,48 ,79 ,28 ,50 ,64 ,31 ,51 ,46 ,28 ,59 ,50 ,51 ,77 ,68 ,32 ,7 ,3 ,9 ,12 ,72 ,44 ,44 ,75 ,86 ,80 ,81 
Period End Date,31-Dec-2004 ,30-Jun-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Doubtful Accounts,"(35,384)","(10,780)","(9,629)","(11,339)","(11,687)","(11,613)","(12,732)","(14,588)","(17,321)","(17,790)","(16,772)","(18,679)","(19,355)","(21,619)","(13,706)","(13,931)","(13,378)","(13,838)","(12,616)","(11,508)","(11,313)","(12,849)","(13,095)","(12,204)","(14,260)","(16,782)",--,"(17,219)","(18,219)","(19,750)","(19,200)","(23,091)","(24,447)","(25,700)","(29,006)","(30,293)","(31,354)","(31,362)","(34,603)","(33,542)","(32,635)","(31,405)","(32,738)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Total Receivables, Net","394,115 ","422,799 ","337,608 ","292,276 ","390,979 ","430,778 ","405,173 ","303,729 ","294,973 ","549,293 ","356,439 ","472,604 ","301,934 ","526,015 ","375,280 ","292,186 ","204,826 ","264,815 ","210,045 ","314,160 ","251,756 ","238,433 ","295,837 ","269,635 ","347,575 ","413,236 ","503,023 ","408,945 ","397,237 ","498,177 ","326,753 ","387,481 ","367,304 ","458,649 ","340,589 ","306,854 ","372,984 ","406,081 ","470,401 ","248,257 ","410,843 ","466,820 ","437,967 ","307,549 ","268,020 ","213,233 ","453,828 ","281,411 ","319,700 ","283,083 ","250,326 ","242,006 ","195,829 ","220,078 ","276,502 ","185,050 ","362,201 ","291,513 ","424,181 ","393,833 ","308,343 ","309,765 ","267,416 ","267,824 ","253,067 ","248,971 ","289,045 ","241,790 ","351,363 ","376,260 ","394,907 ","555,414 ","391,843 ","415,747 ","357,468 ","363,996 ","447,160 "
Notes Receivable - Short Term,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"16,109 ","10,963 ","19,707 ","12,701 ","22,345 ","21,996 ","32,618 ","13,759 ","14,093 ","25,521 ","22,732 ","20,396 ","12,755 ","18,861 ","21,083 ","19,906 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--
Receivables - Other,"4,409 ","14,823 ","21,000 ","11,848 ","12,731 ","26,687 ","42,191 ","64,827 ","70,763 ","93,414 ","16,385 ","12,429 ","20,240 ","15,226 ","3,661 ","8,415 ","10,615 ","8,656 ","10,007 ","15,798 ","26,735 ","22,253 ","30,680 ","11,474 ","12,108 ","18,861 ",--,"40,742 ","39,460 ","15,929 ","14,685 ","18,539 ","20,472 ","11,945 ","50,639 ","50,500 ","40,001 ","33,254 ","13,512 ","16,515 ","13,781 ","14,110 ","11,343 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Inventory,"281,593 ","396,578 ","390,042 ","407,521 ","378,992 ","452,698 ","414,004 ","597,330 ","665,479 ","489,394 ","417,778 ","708,389 ","686,635 ","743,225 ","636,852 ","688,359 ","660,893 ","589,266 ","449,467 ","517,537 ","498,629 ","592,201 ","426,450 ","474,107 ","492,563 ","465,945 ","437,673 ","599,968 ","600,478 ","623,821 ","515,516 ","513,101 ","490,837 ","468,491 ","344,504 ","414,597 ","439,203 ","483,777 ","378,546 ","476,635 ","534,682 ","572,036 ","473,130 ","560,640 ","587,348 ","613,662 ","403,128 ","570,180 ","587,868 ","537,408 ","516,292 ","542,517 ","514,581 ","485,557 ","423,814 ","458,399 ","439,924 ","480,041 ","429,627 ","443,548 ","513,682 ","457,950 ","380,083 ","381,197 ","469,620 ","744,341 ","888,162 ","942,622 ","945,842 ","1,059,781 ","949,163 ","883,445 ","950,308 ","963,239 ","808,885 ","956,376 ","1,000,388 "
Inventories - Finished Goods,"104,518 ","139,428 ","97,129 ","142,302 ","134,677 ","186,165 ","179,917 ","174,248 ","135,124 ","125,029 ","159,699 ","226,049 ","206,545 ","171,356 ","243,571 ","261,234 ","246,869 ","247,263 ","169,137 ","201,119 ","241,794 ","222,835 ","165,632 ","186,841 ","175,609 ","168,429 ",--,"174,565 ","181,502 ","149,372 ","201,025 ","176,176 ","172,128 ","158,915 ","176,221 ","176,076 ","174,215 ","185,541 ","175,339 ","190,350 ","213,510 ","193,303 ","216,549 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Work In Progress,"75,184 ","141,679 ","147,789 ","133,089 ","104,950 ","122,951 ","71,480 ","108,686 ","192,166 ","112,596 ","51,625 ","229,987 ","137,639 ","213,346 ","87,271 ","111,158 ","112,130 ","149,690 ","113,660 ","137,466 ","97,403 ","151,703 ","44,684 ","107,541 ","121,020 ","117,578 ",--,"84,152 ","203,731 ","188,159 ","70,803 ","72,168 ","101,375 ","118,309 ","57,090 ","103,361 ","132,917 ","134,859 ","72,017 ","124,209 ","129,255 ","141,766 ","70,946 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Raw Materials,"107,118 ","123,999 ","156,221 ","144,413 ","150,800 ","155,159 ","176,623 ","332,748 ","356,464 ","272,361 ","225,315 ","278,427 ","361,605 ","373,245 ","320,148 ","330,428 ","298,688 ","253,490 ","205,204 ","220,212 ","203,369 ","247,736 ","245,874 ","224,024 ","232,295 ","228,298 ",--,"352,374 ","244,512 ","318,863 ","274,372 ","289,115 ","266,952 ","241,769 ","204,279 ","233,655 ","233,877 ","263,427 ","231,462 ","246,784 ","276,253 ","337,036 ","286,577 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Other,"(5,227)","(8,528)","(11,097)","(12,283)","(11,435)","(11,577)","(14,016)","(18,352)","(18,275)","(20,592)","(18,861)","(26,074)","(19,154)","(14,722)","(14,138)","(14,461)","3,206 ","(61,177)","(38,535)","(41,259)","(43,937)","(30,074)","(29,740)","(44,298)","(36,361)","(48,360)",--,"(11,122)","(29,267)","(32,573)","(30,684)","(24,358)","(49,617)","(50,502)","(93,087)","(98,495)","(101,805)","(100,049)","(100,272)","(84,708)","(84,335)","(100,068)","(100,942)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Prepaid Expenses,--,"9,016 ",--,--,--,--,"2,700 ",--,"12,017 ","9,331 ","22,887 ","26,741 ","34,994 ","31,157 ","15,514 ","11,210 ","14,243 ","14,129 ","7,521 ","7,807 ","11,851 ","4,540 ",--,"11,741 ","12,304 ","48,573 ",--,"3,211 ","1,708 ","24,093 ","12,563 ","4,686 ","2,843 ","13,444 ","23,193 ","35,386 ","28,654 ","39,010 ","43,715 ","49,151 ","43,268 ","31,447 ","18,252 ",--,--,--,--,--,--,--,--,--,--,--,759 ,--,--,"34,728 ","12,617 ","1,946 ",795 ,"2,754 ","7,161 ","10,766 ","36,343 ","23,388 ","22,074 ","32,272 ","41,279 ","46,375 ","14,729 ","2,259 ","8,336 ","18,006 ","5,949 ","7,684 ","27,604 "
