,2004,2005,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Dec-2004, Jun-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,50 ,65 ,89 ,91 ,85 ,79 ,23 ,26 ,38 ,19 ,22 ,N/A ,6 ,34 ,40 ,48 ,79 ,28 ,50 ,64 ,31 ,51 ,46 ,28 ,59 ,50 ,51 ,77 ,68 ,32 ,7 ,3 ,9 ,12 ,72 ,44 ,44 ,75 ,86 ,80 ,81 
Period End Date,31-Dec-2004 ,30-Jun-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Current Assets, Total","19,653 ","22,240 ","27,873 ","38,340 ","39,725 ","20,587 ","21,093 ","23,430 ","39,104 ","39,885 ","23,201 ","38,875 ","45,875 ","46,677 ","82,284 ","17,519 ","14,323 ","7,715 ","10,547 ","6,920 ","11,327 ","14,413 ","3,103 ","18,462 ","19,851 ","11,996 ",0 ,"5,317 ","4,132 ","4,242 ",0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,"6,104 ",--,--,--,"3,367 ","2,122 ","1,465 ","2,036 ","1,893 ","1,758 ","2,221 ","2,592 ","2,613 ","3,601 ","2,107 ","1,455 ","1,401 ",887 ,"4,997 ","10,810 ","12,686 ","11,399 ","2,391 ","7,554 ","6,895 ","7,451 ","11,861 ","10,163 ","6,400 ","7,338 ","5,031 "
Other Current Assets,"19,653 ","22,240 ","27,873 ","38,340 ","39,725 ","20,587 ","21,093 ","23,430 ","39,104 ","39,885 ","23,201 ","38,875 ","45,875 ","46,677 ","82,284 ","17,519 ","14,323 ","7,715 ","10,547 ","6,920 ","11,327 ","14,413 ","3,103 ","18,462 ","19,851 ","11,996 ",0 ,"5,317 ","4,132 ","4,242 ",0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,"6,104 ",--,--,--,"3,367 ","2,122 ","1,465 ","2,036 ","1,893 ","1,758 ","2,221 ","2,592 ","2,613 ","3,601 ","2,107 ","1,455 ","1,401 ",887 ,"4,997 ","10,810 ","12,686 ","11,399 ","2,391 ","7,554 ","6,895 ","7,451 ","11,861 ","10,163 ","6,400 ","7,338 ","5,031 "
Total Current Assets,"729,311 ","888,928 ","800,537 ","825,486 ","855,745 ","1,055,666 ","946,502 ","1,150,594 ","1,061,454 ","1,164,960 ","889,275 ","1,329,967 ","1,165,708 ","1,411,959 ","1,177,669 ","1,029,556 ","964,400 ","891,467 ","715,543 ","887,390 ","792,398 ","910,035 ","816,066 ","847,479 ","949,424 ","1,003,210 ","1,029,102 ","1,113,704 ","1,075,036 ","1,272,317 ","967,726 ","1,068,410 ","988,660 ","984,751 ","914,307 ","935,826 ","959,725 ","1,076,693 ","1,146,914 ","1,046,972 ","1,066,809 ","1,175,402 ","1,016,080 ","970,773 ","914,566 ","887,675 ","928,257 ","896,348 ","943,054 ","939,990 ","822,003 ","831,139 ","773,521 ","761,747 ","754,936 ","702,616 ","873,923 ","871,757 ","910,446 ","900,938 ","943,589 ","842,244 ","717,267 ","753,826 ","985,239 ","1,221,090 ","1,338,846 ","1,286,652 ","1,412,966 ","1,577,799 ","1,454,782 ","1,529,133 ","1,462,191 ","1,510,727 ","1,440,077 ","1,542,595 ","1,577,579 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Property/Plant/Equipment, Total - Gross","1,351,776 ","651,286 ",--,--,--,--,--,--,--,--,"2,088,048 ",--,--,"2,071,836 ","2,084,938 ","2,130,734 ","2,132,676 ","2,132,468 ",--,"2,186,595 ",--,--,"2,196,239 ","2,197,937 ","2,206,400 ","2,210,421 ","2,267,748 ","2,270,197 ","2,269,140 ","2,281,106 ","2,302,218 ","2,310,860 ","2,347,502 ","2,371,537 ","2,347,079 ","2,365,834 ","2,378,397 ","2,372,157 ","2,423,705 ","2,429,363 ","2,436,266 ","2,442,742 ","2,466,318 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Buildings - Gross,"401,836 ","216,375 ",--,--,--,--,--,--,--,--,"546,441 ",--,--,"573,255 ","575,412 ","577,116 ","577,850 ","577,662 ",--,"591,978 ",--,--,"674,946 ","674,958 ","674,958 ","673,221 ","684,526 ","684,526 ","684,350 ","685,202 ","685,347 ","685,484 ","691,127 ","692,006 ","693,072 ","693,220 ","694,305 ","749,798 ","752,346 ","754,370 ","754,884 ","762,357 ","765,260 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Land/Improvements - Gross,"30,453 ","38,839 ",--,--,--,--,--,--,--,--,"69,939 ",--,--,"69,939 ","69,939 ","69,939 ","69,939 ","72,791 ",--,"72,791 ",--,--,"73,262 ","73,262 ","73,262 ","73,262 ","73,585 ","73,262 ","73,262 ","73,262 ","73,585 ","73,585 ","73,585 ","73,585 ","73,585 ","73,585 ","73,585 ","73,585 ","77,204 ","77,204 ","77,204 ","77,204 ","77,204 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Machinery/Equipment - Gross,"717,692 ","316,990 ",--,--,--,--,--,--,--,--,"350,281 ",--,--,"1,326,664 ","1,334,070 ","1,339,791 ","1,342,114 ","1,338,552 ",--,"1,341,948 ",--,--,"1,355,329 ","1,356,378 ","1,361,994 ","1,363,735 ","1,371,546 ","1,374,784 ","1,374,930 ","1,383,944 ","1,396,895 ","1,399,100 ","1,426,027 ","1,434,606 ","1,438,357 ","1,469,893 ","1,477,356 ","1,480,380 ","1,482,587 ","1,487,755 ","1,479,371 ","1,497,600 ","1,512,735 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Construction in Progress - Gross,"77,444 ","4,684 ",--,--,--,--,--,--,--,--,"1,005,453 ",--,--,"20,339 ","22,542 ","30,935 ","29,531 ","29,952 ",--,"100,821 ",--,--,"12,624 ","12,547 ","14,804 ","18,461 ","14,673 ","14,529 ","15,474 ","16,960 ","23,798 ","28,946 ","33,409 ","46,637 ","65,122 ","67,203 ","70,867 ","5,301 ","6,763 ","5,574 ","20,067 ",483 ,"2,777 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Leases - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"41,436 ","41,150 ","40,556 ","40,305 ","40,239 ","40,457 ","40,029 ","40,233 ",--,--,--,--,"40,206 ","39,108 ","40,009 ","39,593 ","40,103 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Property/Plant/Equipment - Gross,"124,351 ","74,398 ",--,--,--,--,--,--,--,--,"115,934 ",--,--,"81,639 ","82,975 ","112,953 ","113,242 ","113,511 ",--,"79,057 ",--,--,"80,078 ","80,793 ","81,382 ","81,742 ","81,981 ","81,947 ","80,568 ","81,434 ","82,354 ","83,287 ","83,325 ","84,469 ","76,941 ","61,931 ","62,284 ","63,092 ","64,598 ","65,352 ","64,730 ","65,505 ","68,239 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Property/Plant/Equipment, Total - Net","375,317 ","324,618 ","561,715 ","624,744 ","649,870 ","704,634 ","982,144 ","1,020,140 ","1,534,949 ","1,573,358 ","1,624,977 ","1,591,715 ","1,576,559 ","1,568,277 ","1,552,241 ","1,540,648 ","1,513,843 ","1,496,913 ","1,540,170 ","1,519,671 ","1,499,266 ","1,475,518 ","1,239,344 ","1,220,075 ","1,201,915 ","1,184,778 ","1,181,885 ","1,161,836 ","1,144,481 ","1,136,528 ","1,129,580 ","1,119,407 ","1,136,467 ","1,107,421 ","1,144,637 ","1,164,187 ","1,155,184 ","1,132,550 ","1,105,384 ","1,091,746 ","1,087,676 ","1,070,720 ","1,065,477 ","1,044,330 ","1,027,734 ","1,032,286 ","1,133,776 ","1,139,564 ","1,119,027 ","1,113,041 ","1,120,909 ","1,096,302 ","1,084,614 ","1,071,357 ","711,273 ","708,048 ","695,573 ","682,015 ","660,809 ","722,764 ","715,487 ","713,034 ","696,165 ","683,680 ","670,165 ","657,905 ","637,122 ","621,270 ","628,987 ","624,905 ","633,337 ","636,447 ","628,679 ","651,236 ","700,769 ","705,852 ","702,275 "
"Accumulated Depreciation, Total","(984,556)","(335,679)",--,--,--,--,--,--,--,--,"(463,071)",--,--,"(515,837)","(544,553)","(590,086)","(618,833)","(635,555)",--,"(675,758)",--,--,"(967,630)","(990,975)","(1,014,626)","(1,038,476)","(1,085,863)","(1,108,361)","(1,124,659)","(1,144,578)","(1,172,638)","(1,191,453)","(1,211,035)","(1,264,116)","(1,209,824)","(1,210,024)","(1,231,232)","(1,246,263)","(1,318,321)","(1,337,617)","(1,348,590)","(1,372,022)","(1,400,841)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Intangibles, Net","32,179 ",--,--,--,--,--,--,--,--,--,"4,854 ","12,176 ","11,509 ","10,771 ","14,795 ","14,716 ","14,468 ","13,683 ","12,877 ","12,069 ","11,293 ","10,594 ","9,905 ","9,562 ","9,224 ","8,581 ","8,042 ","7,443 ","7,023 ","7,556 ","7,362 ","7,158 ","6,538 ","5,893 ","2,556 ","2,373 ","2,255 ","2,064 ","1,876 ","1,963 ","2,041 ","1,849 ","1,680 ","1,482 ","1,412 ","1,217 ","10,047 ","9,960 ","10,181 ","9,940 ","9,717 ","9,519 ","9,344 ","9,173 ","9,446 ","9,287 ","9,136 ","8,977 ","8,817 ",429 ,389 ,339 ,387 ,372 ,364 ,336 ,297 ,282 ,367 ,366 ,"11,351 ","16,908 ","22,957 ","22,308 ","22,682 ","22,096 ","21,580 "
Intangibles - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"32,223 ","32,255 ","32,461 ","33,665 ","34,158 ","34,621 ","34,676 ","34,700 ","29,672 ","26,165 ","26,235 ","26,235 ","26,235 ","26,505 ","26,784 ","26,811 ","26,863 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Accumulated Intangible Amortization,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(24,181)","(24,812)","(25,438)","(26,109)","(26,796)","(27,462)","(28,138)","(28,806)","(27,116)","(23,792)","(23,980)","(24,171)","(24,359)","(24,542)","(24,743)","(24,962)","(25,183)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Long Term Investments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","22,075 ","22,075 ","22,075 "
LT Investment - Affiliate Companies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 
LT Investments - Other,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,313 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","1,632 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","21,282 ","22,075 ","22,075 ","22,075 "
Note Receivable - Long Term,"10,673 ","10,716 ","10,674 ","19,201 ","19,201 ","19,201 ","19,168 ","19,176 ","19,176 ","13,237 ","8,026 ","8,026 ","8,026 ","8,026 ","8,026 ","8,026 ","8,026 ",0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,051 ",--,--,"15,312 ","17,857 ","20,071 ","17,851 ","19,431 ","21,372 ","23,527 ","13,260 ","16,681 ","19,617 ","22,612 ","15,841 ","17,117 ","10,934 ","11,097 ","12,190 ",550 ,550 ,619 ,619 ,619 ,619 ,708 ,708 ,708 ,708 ,"1,076 ","1,076 "
"Other Long Term Assets, Total","10,787 ","6,059 ","13,225 ","7,976 ","8,836 ","9,707 ","9,766 ","9,678 ","9,535 ","8,942 ","5,898 ","6,178 ","14,120 ","6,098 ","6,708 ","6,398 ","6,296 ","6,974 ","3,631 ","3,670 ","3,776 ","7,036 ","10,909 ","5,668 ","17,997 ","29,511 ","39,942 ","39,262 ","35,694 ","36,792 ","47,667 ","58,929 ","52,906 ","100,925 ","46,647 ","30,613 ","11,163 ","12,141 ","16,358 ","23,045 ","23,387 ","24,629 ","25,586 ","21,999 ","20,272 ","25,655 ","39,426 ","46,269 ","46,189 ","44,045 ","39,782 ","40,072 ","35,761 ","49,544 ","117,588 ","112,961 ","116,791 ","115,208 ","113,770 ","107,557 ","105,100 ","102,569 ","103,143 ","80,794 ","79,229 ","78,180 ","78,399 ","76,747 ","74,508 ","73,508 ","74,654 ","68,973 ","73,857 ","66,032 ","60,817 ","59,036 ","59,071 "
Deferred Charges,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,579 ","5,076 ","5,033 ","4,983 ","4,932 ","4,880 ","4,830 ","4,780 ","4,728 ","4,677 ","4,627 ","4,576 ","4,525 ","4,474 ",0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Defered Income Tax - Long Term Asset,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,890 ",--,--,--,"5,337 ","5,519 ","6,011 ","8,499 ","8,924 ","9,347 ","10,122 ","10,922 ","15,116 ","16,097 ","16,439 ","17,734 ","18,680 ","19,093 ","19,366 ","23,250 ","32,353 ","33,171 ","33,105 ","34,632 ","26,632 ","27,886 ","26,121 ","26,956 ","94,056 ","89,478 ","92,360 ","90,827 ","88,764 ","87,025 ","84,568 ","82,037 ","82,611 ","79,912 ","78,329 ","77,280 ","77,547 ","75,895 ","73,656 ","72,656 ","74,008 ","68,415 ","66,365 ","65,544 ","60,670 ","58,890 ","58,472 "
Restricted Cash - Long Term,--,--,--,--,--,--,--,--,--,--,95 ,--,"8,099 ",137 ,--,138 ,138 ,"3,745 ",--,--,--,"3,297 ","6,547 ","3,347 ","15,763 ","27,363 ","29,756 ","33,726 ","33,031 ","34,212 ","40,307 ","51,456 ","44,798 ","89,997 ","36,380 ","19,920 ",0 ,0 ,0 ,"6,000 ","6,000 ","6,000 ","6,000 ","2,000 ",0 ,0 ,"1,650 ","1,650 ","1,650 ","1,650 ","4,650 ","4,650 ","4,650 ","17,650 ","18,650 ","18,650 ","19,650 ","19,650 ","19,650 ","19,650 ","19,650 ","19,650 ","19,650 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Long Term Assets,"10,787 ","6,059 ","13,225 ","7,976 ","8,836 ","9,707 ","9,766 ","9,678 ","9,535 ","8,942 ","5,803 ","6,178 ","6,021 ","5,961 ","6,708 ","6,260 ","6,158 ","3,229 ","3,631 ","3,670 ","3,776 ","3,739 ","4,362 ","2,321 ","2,234 ","2,148 ","5,296 ","5,537 ","2,663 ","2,581 ","2,022 ","1,953 ","2,097 ","2,429 ","1,343 ","1,346 ","1,042 ","1,219 ","1,242 ",948 ,948 ,895 ,906 ,906 ,906 ,826 ,347 ,"6,415 ","6,451 ","2,831 ","3,620 ","2,706 ",210 ,210 ,206 ,206 ,206 ,206 ,882 ,882 ,882 ,882 ,882 ,882 ,900 ,900 ,852 ,852 ,852 ,852 ,647 ,558 ,"7,492 ",488 ,146 ,146 ,598 
Total Assets,"1,158,267 ","1,230,321 ","1,386,151 ","1,477,407 ","1,533,652 ","1,789,208 ","1,957,580 ","2,199,588 ","2,625,114 ","2,760,497 ","2,533,030 ","2,948,062 ","2,775,922 ","3,005,131 ","2,759,439 ","2,599,344 ","2,507,033 ","2,409,038 ","2,272,220 ","2,422,799 ","2,306,733 ","2,403,184 ","2,077,537 ","2,084,096 ","2,179,873 ","2,227,393 ","2,260,284 ","2,323,559 ","2,263,547 ","2,454,506 ","2,153,647 ","2,255,218 ","2,185,884 ","2,200,304 ","2,109,460 ","2,134,311 ","2,129,640 ","2,224,760 ","2,271,844 ","2,165,039 ","2,181,226 ","2,273,912 ","2,110,136 ","2,039,898 ","1,965,298 ","1,948,145 ","2,119,190 ","2,093,773 ","2,120,083 ","2,123,960 ","2,011,900 ","1,998,735 ","1,922,723 ","1,912,884 ","1,616,247 ","1,558,071 ","1,710,315 ","1,696,269 ","1,715,091 ","1,755,932 ","1,782,037 ","1,676,935 ","1,529,527 ","1,551,051 ","1,768,467 ","1,979,342 ","2,076,494 ","2,006,852 ","2,138,728 ","2,298,480 ","2,196,025 ","2,273,451 ","2,209,673 ","2,272,293 ","2,247,127 ","2,352,730 ","2,383,655 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,"228,396 ","179,245 ","77,576 ","168,682 ","142,081 ","149,711 ","120,046 ","160,120 ","151,292 ","127,058 ","115,067 ","374,110 ","320,598 ","306,019 ","257,528 ","180,444 ","124,808 ","140,154 ","131,325 ","262,790 ","205,387 ","277,085 ","256,562 ","316,295 ","355,914 ","418,924 ","428,482 ","492,708 ","480,940 ","516,712 ","210,365 ","266,772 ","284,866 ","286,567 ","223,545 ","244,459 ","279,057 ","302,150 ","304,376 ","252,769 ","318,974 ","368,496 ","205,796 ","220,247 ","261,464 ","241,997 ","300,446 ","337,769 ","327,715 ","334,620 ","270,426 ","218,830 ","260,264 ","272,285 ","240,525 ","229,674 ","181,824 ","205,849 ","192,153 ","191,917 ","225,408 ","157,729 ","110,265 ","131,962 ","213,040 ","277,831 ","250,598 ","143,589 ","281,627 ","295,736 ","247,629 ","186,737 ","206,200 ","263,532 ","171,219 ","256,665 ","267,668 "
Accrued Expenses,"70,716 ","25,174 ","39,182 ","28,391 ","30,580 ","44,034 ","40,844 ","114,584 ","39,488 ","40,276 ","47,316 ","43,630 ","42,191 ","45,392 ","69,198 ","59,542 ","93,567 ","130,417 ","45,984 ","192,393 ","34,953 ","41,961 ","43,600 ","33,652 ","39,630 ","43,433 ","70,745 ","56,729 ","62,572 ","74,329 ","85,579 ","77,474 ","86,856 ","106,497 ","51,501 ","33,222 ","50,453 ","72,182 ","75,299 ","58,731 ","69,912 ","86,320 ","57,759 ","52,115 ","53,462 ","44,181 ","62,646 ","44,173 ","46,799 ","55,521 ","56,383 ","50,336 ","50,192 ","39,180 ","34,947 ","38,244 ","45,931 ","47,411 ","57,722 ","36,000 ","37,336 ","36,119 ","24,479 ","23,875 ","28,564 ","21,665 ","29,265 ","26,327 ","24,847 ","30,655 ","64,210 ","33,732 ","30,270 ","33,510 ","87,997 ","34,483 ","53,182 "
Notes Payable/Short Term Debt,"224,316 ","303,459 ","448,496 ","424,499 ","431,554 ","137,878 ","79,441 ","245,713 ","248,093 ","321,667 ","128,997 ","456,117 ","370,418 ","592,985 ","411,692 ","367,567 ","454,714 ","355,365 ","1,242,474 ","362,877 ","1,320,890 ","1,397,788 ","1,298,452 ","1,299,410 ","1,366,469 ","1,364,394 ","1,364,661 ","56,625 ","24,276 ","139,883 ","10,780 ","42,363 ","20,641 ","31,085 ","10,000 ","36,701 ","58,373 ","91,499 ","68,246 ","61,943 ","130,157 ","172,165 ","141,466 ","104,552 ","101,924 ","150,719 ","218,551 ","252,403 ","348,048 ","288,298 ","209,942 ","252,799 ","190,984 ","178,062 ","215,271 ","178,651 ","293,868 ","250,711 ","217,050 ","253,169 ","230,822 ","173,791 ","38,234 ","19,732 ","29,855 ","154,658 ","221,598 ","197,910 ","204,762 ","321,441 ","210,794 ","332,150 ","316,889 ","274,205 ","219,678 ","251,637 ","288,024 "
Current Port. of LT Debt/Capital Leases,"107,124 ","58,068 ","61,400 ","61,430 ","61,460 ","62,856 ","61,019 ","126,086 ","191,154 ","256,224 ","326,191 ","328,124 ","88,805 ","119,865 ","150,349 ","201,211 ","252,573 ","826,379 ","12,340 ","825,576 ","11,022 ","11,094 ","11,031 ","12,591 ","10,720 ","10,282 ","8,412 ","42,064 ","40,367 ","38,492 ","39,941 ","395,540 ","399,499 ","403,645 ","101,314 ","101,439 ","107,816 ","108,101 ","109,207 ","110,253 ","110,579 ","113,628 ","116,822 ","117,134 ","116,675 ","115,147 ","119,294 ","90,759 ","66,301 ","41,121 ","33,997 ","32,099 ","30,510 ","32,483 ","31,866 ","34,531 ","33,358 ","32,031 ","33,384 ","37,701 ","38,245 ","39,828 ","40,897 ","39,362 ","37,401 ","34,036 ","33,993 ","33,940 ","33,757 ","36,095 ","36,485 ","34,613 ","32,875 ","38,222 ","35,422 ","30,830 ","26,039 "
"Other Current liabilities, Total","190,948 ","60,269 ","77,238 ","102,648 ","98,828 ","80,709 ","270,023 ","123,914 ","245,732 ","236,433 ","196,373 ","119,337 ","110,655 ","125,557 ","91,892 ","84,557 ","75,242 ","99,623 ","72,044 ","65,116 ","94,118 ","74,385 ","75,341 ","83,181 ","99,435 ","111,432 ","89,503 ","105,025 ","92,347 ","94,196 ","125,542 ","125,312 ","62,985 ","57,431 ","84,253 ","103,432 ","80,264 ","89,798 ","115,703 ","114,891 ","91,071 ","72,418 ","82,864 ","67,739 ","66,535 ","61,963 ","44,036 ","33,283 ","58,203 ","53,734 ","43,290 ","59,282 ","58,536 ","47,256 ","36,385 ","39,459 ","50,876 ","43,295 ","59,716 ","40,509 ","52,172 ","48,828 ","40,675 ","48,407 ","39,077 ","57,522 ","84,219 ","135,190 ","138,914 ","120,006 ","107,288 ","96,295 ","99,704 ","74,544 ","90,394 ","97,226 ","122,157 "
