CK Power PCL | Price History                                          12-Sep-2024 14:44,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CKP.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"61,260,449,581",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
7.00 - 8.00,"635,623,200",1.04%,3,0.57%,,,,,,,,,,,
6.00 - 7.00,"3,211,806,300",5.24%,18,3.44%,,,,,,,,,,,
5.00 - 6.00,"16,170,862,500",26.40%,120,22.94%,,,,,,,,,,,
4.00 - 5.00,"14,696,937,600",23.99%,125,23.90%,,,,,,,,,,,
3.00 - 4.00,"21,482,758,281",35.07%,196,37.48%,,,,,,,,,,,
2.00 - 3.00,"4,932,688,800",8.05%,57,10.90%,,,,,,,,,,,
1.00 - 2.00,"129,772,900",0.21%,4,0.76%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CKP.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,7.30,12-ก.ค.-2019,Max,"1,076,386,766",19-ก.ย.-2014,Advancing,"29,752,927,672",Up,225,Up,+22.57%,06-พ.ย.-2020,Max,"3,976,781,750.00",19-ก.ย.-2014
Low,1.87,15-ม.ค.-2016,Min,"7,067,500",06-พ.ค.-2016,Declining,"24,946,010,468",Down,245,Down,-24.10%,13-มี.ค.-2020,Min,"15,144,808.00",06-พ.ค.-2016
Avg,4.14,,Avg,"117,132,791",,Total,"61,260,449,581",Unch,52,Period,+2.54%,10 Years,Avg,"507,009,110.21",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CKP.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
13-ก.ย.-2024,3.86,+0.10,+2.66%,3.80,3.72,3.92,"43,228,100","166,023,152.00","32,623,045,681.00",,,,,,
06-ก.ย.-2024,3.76,+0.14,+3.87%,3.64,3.60,3.82,"44,864,300","166,504,176.00","32,457,022,529.00",,,,,,
30-ส.ค.-2024,3.62,-0.28,-7.18%,3.96,3.60,4.04,"83,095,800","311,223,832.00","32,290,518,353.00",,,,,,
23-ส.ค.-2024,3.90,+0.32,+8.94%,3.58,3.58,3.94,"24,988,800","95,508,664.00","32,601,742,185.00",,,,,,
16-ส.ค.-2024,3.58,-0.14,-3.76%,3.72,3.56,3.76,"20,388,800","74,746,286.00","32,506,233,521.00",,,,,,
