Tirathai PCL | Price History                                          25-Sep-2024 17:10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TRTm.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"3,739,743,000",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
7.0000 - 8.0000,"150,534,300",4.03%,1,0.19%,,,,,,,,,,,
6.0000 - 7.0000,"429,402,100",11.48%,22,4.21%,,,,,,,,,,,
5.0000 - 6.0000,"163,780,700",4.38%,25,4.78%,,,,,,,,,,,
4.0000 - 5.0000,"2,049,072,400",54.79%,93,17.78%,,,,,,,,,,,
3.0000 - 4.0000,"469,819,800",12.56%,109,20.84%,,,,,,,,,,,
2.0000 - 3.0000,"366,440,100",9.80%,156,29.83%,,,,,,,,,,,
1.0000 - 2.0000,"110,693,600",2.96%,117,22.37%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TRTm.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,7.9000,06-ก.พ.-2015,Max,"431,124,000",01-เม.ย.-2022,Advancing,"2,618,722,000",Up,210,Up,+40.1274%,18-ก.พ.-2022,Max,"2,054,934,730.0000",01-เม.ย.-2022
Low,1.5700,23-ต.ค.-2020,Min,"2,300",04-ก.ย.-2020,Declining,"1,020,988,300",Down,258,Down,-15.4185%,09-ส.ค.-2024,Min,"3,841.0000",04-ก.ย.-2020
Avg,3.1745,,Avg,"7,150,560",,Total,"3,739,743,000",Unch,54,Period,-35.4386%,10 Years,Avg,"32,839,500.1338",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TRTm.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
27-ก.ย.-2024,3.6800,-0.0400,-1.0753%,3.7200,3.6200,3.7600,"551,700","2,035,278.0000","8,082,204,424.0000",,,,,,
20-ก.ย.-2024,3.7200,-0.0600,-1.5873%,3.7600,3.6800,3.8200,"1,752,700","6,544,268.0000","8,084,239,702.0000",,,,,,
13-ก.ย.-2024,3.7800,+0.0400,+1.0695%,3.7800,3.7000,3.8200,"1,603,500","6,026,606.0000","8,090,783,970.0000",,,,,,
06-ก.ย.-2024,3.7400,0.0000,0.0000%,3.7200,3.6000,3.7800,"3,582,500","13,179,148.0000","8,084,757,364.0000",,,,,,
30-ส.ค.-2024,3.7400,-0.0800,-2.0942%,3.7800,3.7000,3.8200,"3,096,800","11,629,090.0000","8,097,936,512.0000",,,,,,
23-ส.ค.-2024,3.8200,+0.1200,+3.2432%,3.7600,3.7000,3.9200,"4,061,600","15,384,680.0000","8,109,565,602.0000",,,,,,
16-ส.ค.-2024,3.7000,-0.1400,-3.6458%,3.8000,3.4600,4.0600,"5,425,000","20,181,808.0000","8,094,180,922.0000",,,,,,
09-ส.ค.-2024,3.8400,-0.7000,-15.4185%,4.5200,3.7800,4.5200,"7,987,600","32,731,876.0000","8,114,362,730.0000",,,,,,
02-ส.ค.-2024,4.5400,-0.0200,-0.4386%,4.5600,4.4800,4.6200,"1,709,200","7,762,100.0000","8,147,094,606.0000",,,,,,
26-ก.ค.-2024,4.5600,+0.1000,+2.2422%,4.4600,4.3600,4.6800,"3,381,100","15,199,490.0000","8,154,856,706.0000",,,,,,
19-ก.ค.-2024,4.4600,-0.3600,-7.4689%,4.8200,4.4200,4.8400,"9,300,000","42,557,958.0000","8,139,657,216.0000",,,,,,
12-ก.ค.-2024,4.8200,+0.1200,+2.5532%,4.7400,4.6200,4.8600,"6,899,600","32,771,942.0000","8,182,215,174.0000",,,,,,
05-ก.ค.-2024,4.7000,+0.1000,+2.1739%,4.6800,4.3600,4.7400,"8,763,700","40,239,716.0000","8,149,443,232.0000",,,,,,
28-มิ.ย.-2024,4.6000,-0.1000,-2.1277%,4.7200,4.5400,4.9400,"16,624,900","79,689,518.0000","8,109,203,516.0000",,,,,,
21-มิ.ย.-2024,4.7000,+0.2000,+4.4444%,4.5600,4.1800,4.7200,"12,940,600","57,603,822.0000","8,188,893,034.0000",,,,,,
14-มิ.ย.-2024,4.5000,-0.1800,-3.8462%,4.7000,4.5000,4.9600,"14,201,200","67,220,158.0000","8,131,289,212.0000",,,,,,
07-มิ.ย.-2024,4.6800,-0.3000,-6.0241%,5.1000,4.2000,5.1000,"30,135,100","139,793,981.0000","8,198,509,370.0000",,,,,,
31-พ.ค.-2024,4.9800,-0.0700,-1.3861%,5.0500,4.9000,5.4500,"30,545,500","156,830,422.0000","8,338,303,351.0000",,,,,,
24-พ.ค.-2024,5.0500,+0.0500,+1.0000%,5.1000,4.8200,5.1000,"14,192,900","70,754,326.0000","8,495,133,773.0000",,,,,,
17-พ.ค.-2024,5.0000,+0.6800,+15.7407%,4.8800,4.6000,5.2000,"57,744,000","284,282,085.0000","8,424,379,447.0000",,,,,,
10-พ.ค.-2024,4.3200,+0.2200,+5.3659%,4.0600,4.0400,4.8400,"30,215,800","134,059,908.0000","8,140,097,362.0000",,,,,,
03-พ.ค.-2024,4.1000,+0.2000,+5.1282%,3.9000,3.8200,4.1200,"12,335,100","49,431,292.0000","8,006,037,454.0000",,,,,,
26-เม.ย.-2024,3.9000,+0.1800,+4.8387%,3.7200,3.7000,4.1400,"13,418,700","52,748,434.0000","7,956,606,162.0000",,,,,,
19-เม.ย.-2024,3.7200,+0.0600,+1.6393%,3.6800,3.5600,3.8400,"2,978,600","11,010,764.0000","7,903,857,728.0000",,,,,,
12-เม.ย.-2024,3.6600,+0.1600,+4.5714%,3.5000,3.4400,3.7400,"1,989,400","7,211,736.0000","7,892,846,964.0000",,,,,,
05-เม.ย.-2024,3.5000,-0.2000,-5.4054%,3.6600,3.4000,3.7800,"6,539,300","23,563,220.0000","7,885,635,228.0000",,,,,,
29-มี.ค.-2024,3.7000,+0.6200,+20.1299%,3.1000,3.1000,4.1000,"91,781,100","354,546,978.0000","7,909,198,448.0000",,,,,,
