,2004,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
, Dec-2004, Mar-2005, Jun-2005, Sep-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022
Period End Date,31-Dec-2004 ,31-Mar-2005 ,30-Jun-2005 ,30-Sep-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Receivables, Net","208,863 ","262,418 ","329,954 ","372,909 ","425,435 ","407,590 ","407,742 ","387,972 ","356,762 ","360,277 ","365,494 ","358,346 ","346,670 ","287,876 ","253,640 ","220,289 ","207,082 ","211,779 ","196,198 ","182,710 ","203,174 ","181,683 ","174,659 ","154,377 ","166,892 ","167,846 ","166,883 ","160,634 ","176,489 ","182,058 ","205,154 ","211,436 ","216,766 ","219,102 ","221,250 ","217,502 ","239,524 ","265,528 ","286,006 ","289,566 ","314,022 ","340,073 ","367,963 ","376,458 ","354,674 ","374,788 ","365,623 ","337,941 ","276,566 ","241,284 ","250,915 ","239,176 ","216,471 ","205,356 ","185,722 ","168,475 ","4,936,200 ","88,056 ","6,688 ","2,465,476 ","3,496,515 ","4,434,571 ","5,085,374 ","5,666,362 ","6,116,042 ","7,193,948 ","8,809,559 ","14,315,833 ","6,415,527 ","14,752,597 ","17,580,874 ","19,653,757 ","7,639,543 "
Notes Receivable - Short Term,"12,645 ",--,--,--,"18,187 ","15,715 ","14,209 ","14,018 ","16,707 ","10,586 ",--,--,--,"25,765 ",--,--,--,--,--,--,--,--,--,--,"15,078 ",--,"19,052 ",--,--,"15,617 ","17,801 ","13,805 ","15,209 ","16,923 ","16,831 ","12,804 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,"30,000 ","30,000 ","210,835 ","190,835 ","208,920 ","209,820 ","247,820 ","318,820 ","357,820 ","415,985 ","415,448 ","415,412 ","52,741 "
Receivables - Other,161 ,--,--,--,"26,574 ","20,532 ","25,303 ","4,179 ","4,368 ","6,935 ","4,321 ","4,060 ",177 ,"2,170 ","1,281 ",736 ,"20,856 ",285 ,"20,637 ","20,392 ","20,631 ","20,649 ","20,212 ","20,154 ","21,780 ","20,119 ","20,080 ",--,--,"5,441 ","3,693 ","10,231 ","6,588 ",921 ,"1,856 ","23,668 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"18,661 ","1,617 ","1,921 ","2,558 ","1,922 ","435,007 ","565,065 ","627,138 ","776,721 ","1,026,306 ","1,267,167 ","1,718,485 ","1,431,828 ","447,490 ","1,362,889 ","1,070,472 ","3,311,658 "
Total Inventory,"127,872 ","114,392 ","101,313 ","125,855 ","134,578 ","155,229 ","175,840 ","174,361 ","175,646 ","179,806 ","181,924 ","183,325 ","179,871 ","213,552 ","231,321 ","250,578 ","243,860 ","245,351 ","261,879 ","277,456 ","269,129 ","301,557 ","321,584 ","326,245 ","323,817 ","342,578 ","339,790 ","354,007 ","347,407 ","359,562 ","361,866 ","388,478 ","399,181 ","418,342 ","446,526 ","465,733 ","484,067 ","487,058 ","486,506 ","495,428 ","497,284 ","492,531 ","498,164 ","499,920 ","508,097 ","487,748 ","490,815 ","513,912 ","511,129 ","525,672 ","507,709 ","548,947 ","551,736 ","555,976 ","532,351 ","530,205 ","3,358,723 ","367,673 ",0 ,"4,338,293 ","3,671,417 ","4,418,929 ","6,607,795 ","7,759,737 ","8,635,921 ","10,382,862 ","11,320,037 ","11,003,530 ","10,488,194 ","13,113,863 ","15,066,407 ","15,285,920 ","10,005,587 "
Inventories - Finished Goods,"115,016 ","96,184 ","85,804 ","104,892 ","115,710 ","131,652 ","154,633 ","161,996 ","166,934 ","182,730 ","191,035 ","188,290 ","185,411 ","229,334 ","239,246 ","261,931 ","260,540 ","274,640 ","286,565 ","303,634 ","295,505 ","321,165 ","343,711 ","348,396 ","341,893 ","359,038 ","369,137 ",--,--,"380,181 ","380,809 ","393,429 ","400,662 ","413,943 ","433,788 ","446,538 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,936,527 ","2,715,724 ","3,245,957 ","3,385,216 ","4,131,392 ","4,210,871 ","4,924,604 ","4,345,299 ","4,721,513 ","3,820,585 ","5,194,095 ","6,269,840 "
Inventories - Work In Progress,0 ,"3,449 ","3,384 ","3,746 ","3,812 ","5,003 ","5,409 ","5,301 ","5,130 ","5,951 ","5,795 ","4,266 ","4,023 ","3,966 ","3,493 ","4,016 ","4,319 ","5,013 ","4,186 ","5,105 ","4,253 ","3,480 ","3,525 ","3,123 ","3,491 ","4,770 ","2,985 ",--,--,"3,802 ","3,746 ","5,269 ","4,297 ","2,902 ","3,495 ","3,412 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"957,565 ","1,122,966 ","1,823,653 ","2,248,440 ","2,797,176 ","3,927,820 ","1,538,624 ","2,338,766 ","3,400,854 ","4,203,306 ","4,829,279 ","2,134,449 "
Inventories - Raw Materials,"7,587 ","8,838 ","7,278 ","8,065 ","7,466 ","10,459 ","7,816 ","3,415 ","3,197 ","3,367 ","4,833 ","3,902 ","1,621 ","1,384 ","1,439 ","5,944 ","4,204 ","5,059 ","6,399 ","4,599 ","3,923 ","8,183 ","18,825 ","14,556 ","14,997 ","6,528 ","3,361 ",--,--,"8,950 ","8,924 ","12,088 ","10,500 ","8,345 ","15,835 ","22,291 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,385,587 ","2,779,456 ","2,700,070 ","3,007,745 ","3,461,337 ","3,188,764 ","4,550,454 ","3,853,680 ","4,933,265 ","7,019,977 ","5,210,315 ","1,829,325 "
Inventories - Other,"5,269 ","5,921 ","4,847 ","9,152 ","7,590 ","8,115 ","7,982 ","3,649 ",385 ,"(12,242)","(19,739)","(13,133)","(11,184)","(21,132)","(12,857)","(21,313)","(25,203)","(39,361)","(35,271)","(35,882)","(34,552)","(31,271)","(44,477)","(39,831)","(36,564)","(27,758)","(35,693)",--,--,"(33,370)","(31,614)","(22,308)","(16,277)","(6,849)","(6,592)","(6,507)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"139,250 ","(10,350)","(9,942)","(5,480)","(7,044)","(7,418)","(10,152)","(49,551)","58,230 ","22,538 ","52,231 ","(228,029)"
Prepaid Expenses,"8,216 ","9,334 ","8,951 ","8,121 ","4,660 ","4,597 ","7,737 ","7,965 ","8,483 ","8,955 ","5,160 ","5,890 ","4,644 ","7,428 ","4,303 ","1,585 ",--,--,--,--,--,--,--,--,"8,234 ",--,--,--,--,"9,184 ","12,387 ","3,815 ","9,663 ","14,969 ","10,426 ","12,102 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"61,933 ","101,106 ","142,398 ","208,714 ","231,448 ","219,052 ","249,634 ","247,131 ","264,982 ","308,514 ","195,315 ","211,467 "
"Other Current Assets, Total","1,176 ","4,196 ","3,356 ","9,816 ","3,656 ","3,923 ","5,164 ","5,911 ","4,177 ","4,365 ","5,390 ","9,034 ","5,816 ","5,131 ","2,328 ","2,030 ","7,316 ","6,748 ","7,857 ","8,774 ","9,613 ","6,788 ","10,121 ","9,280 ","1,801 ","11,017 ","11,858 ","15,293 ","3,645 ","3,449 ","3,445 ","3,283 ","3,425 ","4,255 ","4,825 ","4,507 ","4,942 ","5,466 ","5,667 ","5,711 ","4,918 ","4,477 ","4,222 ","4,274 ","4,029 ","3,722 ","4,544 ","3,112 ","2,723 ","3,951 ","2,880 ","2,390 ","2,374 ","2,167 ","2,057 ","1,896 ","79,011 ","2,898 ","497,067 ","105,457 ","107,994 ","343,716 ","251,823 ","491,606 ","155,756 ","214,449 ","347,044 ","497,479 ","516,709 ","1,085,478 ","535,067 ","215,686 ","119,043 "
Restricted Cash - Current,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"230,656 ","238,961 ","457,412 ","143,020 ","149,516 ","153,369 ","164,159 ","161,297 ",0 ,0 ,0 ,0 
Discontinued Operations - Current Asset,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"496,913 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Current Assets,"1,176 ","4,196 ","3,356 ","9,816 ","3,656 ","3,923 ","5,164 ","5,911 ","4,177 ","4,365 ","5,390 ","9,034 ","5,816 ","5,131 ","2,328 ","2,030 ","7,316 ","6,748 ","7,857 ","8,774 ","9,613 ","6,788 ","10,121 ","9,280 ","1,801 ","11,017 ","11,858 ","15,293 ","3,645 ","3,449 ","3,445 ","3,283 ","3,425 ","4,255 ","4,825 ","4,507 ","4,942 ","5,466 ","5,667 ","5,711 ","4,918 ","4,477 ","4,222 ","4,274 ","4,029 ","3,722 ","4,544 ","3,112 ","2,723 ","3,951 ","2,880 ","2,390 ","2,374 ","2,167 ","2,057 ","1,896 ","79,011 ","2,898 ",154 ,"105,457 ","107,994 ","113,061 ","12,862 ","34,194 ","12,736 ","64,933 ","193,675 ","333,320 ","355,412 ","1,085,478 ","535,067 ","215,686 ","119,043 "
Total Current Assets,"346,917 ","504,844 ","470,052 ","521,171 ","569,607 ","573,888 ","598,505 ","577,551 ","546,439 ","555,223 ","558,695 ","560,060 ","537,772 ","514,465 ","492,725 ","475,477 ","459,026 ","465,836 ","467,708 ","470,498 ","486,388 ","492,468 ","508,926 ","492,403 ","508,619 ","524,834 ","527,324 ","536,611 ","535,683 ","566,621 ","596,533 ","620,873 ","643,088 ","666,995 ","693,811 ","711,842 ","736,453 ","764,048 ","782,458 ","795,682 ","823,082 ","841,538 ","872,238 ","882,289 ","869,231 ","867,199 ","861,628 ","856,211 ","808,355 ","775,610 ","764,182 ","797,354 ","781,863 ","777,474 ","729,459 ","715,793 ","9,029,040 ","473,926 ","503,764 ","9,564,342 ","8,707,067 ","10,867,017 ","12,818,312 ","14,509,926 ","16,330,917 ","18,754,322 ","21,574,778 ","27,201,234 ","18,697,039 ","29,863,931 ","34,216,744 ","35,804,158 ","24,093,195 "
