,2004,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
, Dec-2004, Mar-2005, Jun-2005, Sep-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022
Period End Date,31-Dec-2004 ,31-Mar-2005 ,30-Jun-2005 ,30-Sep-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Property/Plant/Equipment, Total - Gross",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"249,350 ","250,480 ","251,893 ","250,553 ","250,967 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Buildings - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"122,392 ","122,392 ","122,392 ","122,392 ","122,392 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Land/Improvements - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"54,674 ","54,674 ","54,674 ","54,674 ","54,674 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Machinery/Equipment - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"72,284 ","72,904 ","74,827 ","73,487 ","73,901 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Construction in Progress - Gross,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,510 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Property/Plant/Equipment, Total - Net","113,872 ","112,660 ","113,193 ","116,217 ","117,709 ","154,205 ","146,221 ","144,383 ","141,776 ","141,496 ","138,709 ","135,882 ","140,861 ","139,216 ","137,364 ","135,094 ","132,889 ","131,327 ","129,963 ","126,593 ","126,537 ","125,985 ","125,207 ","134,066 ","132,879 ","147,273 ","149,556 ","153,795 ","153,220 ","153,939 ","164,483 ","164,479 ","165,718 ","175,542 ","179,438 ","177,913 ","182,131 ","181,374 ","192,385 ","186,387 ","181,364 ","177,343 ","168,233 ","163,826 ","159,206 ","153,140 ","148,314 ","143,236 ","134,842 ","133,940 ","129,211 ","124,687 ","118,549 ","115,680 ","86,106 ","83,704 ","2,408,575 ","78,284 ",0 ,"2,482,241 ","2,686,844 ","4,315,035 ","4,585,421 ","4,598,166 ","5,179,781 ","5,232,841 ","5,245,608 ","5,273,494 ","5,171,767 ","5,160,363 ","5,241,130 ","5,279,810 ","4,957,896 "
"Accumulated Depreciation, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(116,461)","(119,153)","(121,930)","(123,960)","(124,431)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Goodwill, Net",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"893,468 ",--,--,"893,468 ","893,468 ","5,901,005 ","6,060,630 ","6,060,630 ","5,423,877 ","5,423,877 ","5,423,877 ","5,423,877 ","5,423,877 ","5,423,877 ","5,423,877 ","5,423,877 ","4,171,913 "
"Intangibles, Net","41,740 ","40,999 ","42,883 ","43,184 ","39,168 ","44,371 ","41,690 ","23,938 ","20,323 ","14,118 ","12,836 ","14,040 ","11,683 ","12,813 ","11,946 ","10,892 ","14,552 ","18,215 ","22,346 ","20,628 ","23,049 ","19,832 ","21,932 ","22,979 ","25,081 ","32,527 ","31,445 ","32,263 ","32,004 ","31,850 ","29,976 ","31,335 ","32,515 ","30,217 ","49,890 ","52,763 ","53,651 ","52,091 ","50,349 ","52,500 ","49,334 ","46,437 ","31,433 ","31,608 ","31,659 ","32,389 ","32,021 ","30,314 ","29,869 ","28,031 ","27,175 ","26,079 ","16,255 ","17,671 ","17,330 ","18,169 ","20,275 ","7,399 ",0 ,"15,439 ","13,665 ","14,851 ","12,792 ","10,955 ","8,895 ","7,160 ","5,488 ","3,750 ","1,993 ","2,022 ","1,957 ","1,919 ","1,881 "
Intangibles - Gross,"63,957 ","46,717 ","54,226 ","44,213 ","60,531 ","46,543 ","51,821 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Accumulated Intangible Amortization,"(22,217)","(5,718)","(11,343)","(1,029)","(21,363)","(2,172)","(10,131)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Long Term Investments,"23,530 ","24,708 ","22,389 ","16,927 ","13,299 ","20,991 ","9,627 ","8,423 ","3,111 ","2,901 ","3,232 ","2,994 ","3,339 ","3,468 ","2,383 ","1,839 ","1,582 ","1,643 ","2,342 ","3,163 ","3,472 ","3,862 ","3,266 ","3,410 ","3,287 ","3,246 ","3,287 ","2,547 ","3,102 ","3,122 ","2,876 ","2,999 ","2,917 ","4,170 ","5,057 ","5,057 ","4,774 ","4,361 ","3,741 ","3,045 ","2,787 ","2,464 ","6,187 ","5,980 ","2,606 ","2,813 ","2,155 ","2,026 ","5,200 ","1,535 ","1,471 ","1,277 ","2,659 ","2,439 ","2,412 ","1,715 ","244,936 ","1,714 ",0 ,"64,019 ","237,125 ","236,334 ","232,373 ","231,268 ","301,041 ","294,557 ","284,938 ","277,802 ","293,926 ","286,910 ","280,158 ","272,995 ","263,078 "
LT Investment - Affiliate Companies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"65,200 ",--,--,"64,019 ","64,696 ","65,722 ","63,577 ","64,308 ","63,675 ","63,986 ","61,183 ","60,884 ","61,749 ","61,660 ","61,731 ","60,235 ","56,975 "
LT Investments - Other,"23,530 ","24,708 ","22,389 ","16,927 ","13,299 ","20,991 ","9,627 ","8,423 ","3,111 ","2,901 ","3,232 ","2,994 ","3,339 ","3,468 ","2,383 ","1,839 ","1,582 ","1,643 ","2,342 ","3,163 ","3,472 ","3,862 ","3,266 ","3,410 ","3,287 ","3,246 ","3,287 ","2,547 ","3,102 ","3,122 ","2,876 ","2,999 ","2,917 ","4,170 ","5,057 ","5,057 ","4,774 ","4,361 ","3,741 ","3,045 ","2,787 ","2,464 ","6,187 ","5,980 ","2,606 ","2,813 ","2,155 ","2,026 ","5,200 ","1,535 ","1,471 ","1,277 ","2,659 ","2,439 ","2,412 ","1,715 ","179,735 ","1,714 ",0 ,0 ,"172,429 ","170,613 ","168,796 ","166,960 ","237,367 ","230,571 ","223,754 ","216,918 ","232,176 ","225,250 ","218,427 ","212,760 ","206,103 "
Note Receivable - Long Term,"8,186 ","6,918 ","6,047 ","4,978 ","3,109 ","1,842 ","1,323 ","1,174 ","1,111 ","1,050 ",989 ,925 ,858 ,47 ,38 ,29 ,--,--,--,--,--,--,--,--,--,--,--,--,"5,213 ",--,--,--,--,--,--,"6,360 ","4,519 ","5,478 ","6,296 ","7,465 ","8,547 ","4,042 ","2,836 ","6,983 ","5,170 ","6,507 ","5,638 ","7,987 ","9,870 ","7,717 ","9,114 ","10,708 ","11,461 ","13,138 ","13,525 ","8,914 ","1,133,420 ",--,--,0 ,"63,369 ","43,369 ","43,369 ","43,369 ","43,369 ","43,369 ","43,369 ","41,369 ","35,369 ","29,369 ","25,369 ","17,369 ",0 
"Other Long Term Assets, Total","55,678 ","57,211 ","57,130 ","56,903 ","56,019 ","16,735 ","20,285 ","37,768 ","32,433 ","32,023 ","31,398 ","32,489 ","28,086 ","28,740 ","32,363 ","30,945 ","31,316 ","25,309 ","25,766 ","25,978 ","23,210 ","23,472 ","23,706 ","25,209 ","25,555 ","22,955 ","23,113 ","23,936 ","48,766 ","22,332 ","23,601 ","24,629 ","45,096 ","54,973 ","52,259 ","47,285 ","45,425 ","49,147 ","48,214 ","47,135 ","47,311 ","47,426 ","41,911 ","42,038 ","54,562 ","60,102 ","63,789 ","63,337 ","57,568 ","44,283 ","44,082 ","39,346 ","41,870 ","43,823 ","46,940 ","48,432 ","50,909 ","20,313 ","12,198 ","45,053 ","53,153 ","98,256 ","97,245 ","111,155 ","70,345 ","163,787 ","194,746 ","280,925 ","253,538 ","405,239 ","283,961 ","296,278 ","674,692 "
Deferred Charges,--,--,--,--,--,--,--,"13,148 ","9,497 ","9,261 ","8,964 ","11,957 ","11,658 ","11,106 ","10,808 ","10,509 ","10,211 ","9,915 ","9,618 ","9,319 ","9,020 ","8,724 ","8,427 ","8,128 ","7,829 ","7,533 ","7,236 ","6,937 ","6,638 ","6,449 ","6,301 ","6,154 ","6,006 ","5,858 ","5,711 ","5,563 ","5,415 ","5,267 ","5,120 ","4,972 ","4,824 ","4,676 ","4,529 ","4,381 ","4,233 ","4,086 ","3,938 ","3,790 ","3,642 ","3,495 ","3,347 ","3,199 ","3,051 ","2,904 ","2,756 ","2,608 ",0 ,"2,313 ",0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--
Defered Income Tax - Long Term Asset,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"29,775 ",--,--,--,"22,463 ","19,561 ","15,872 ","15,278 ","13,043 ","15,297 ","14,041 ","13,398 ","15,058 ","15,385 ","10,863 ","10,717 ","23,019 ","28,926 ","33,145 ","33,170 ","30,536 ","17,240 ","17,594 ","14,359 ","16,514 ","18,419 ","24,449 ","26,209 ",0 ,"5,923 ",0 ,0 ,0 ,"7,195 ","8,320 ","46,998 ","40,475 ","40,786 ","42,146 ","42,345 ","35,849 ","10,193 ","37,539 ","43,394 ","2,669 "
Restricted Cash - Long Term,"10,655 ","10,534 ","11,220 ","11,754 ","11,970 ","11,981 ","11,986 ","12,314 ","12,310 ","12,171 ","12,054 ","12,094 ","3,670 ","3,678 ","3,685 ","2,137 ","10,617 ","10,717 ","10,791 ","10,674 ","10,767 ","10,780 ","10,732 ","10,752 ","10,797 ","10,203 ","9,944 ","10,250 ","10,127 ","10,243 ","10,656 ","10,926 ","11,034 ","23,035 ","23,015 ","22,791 ","23,960 ","25,459 ","25,961 ","25,450 ","25,829 ","25,752 ","24,883 ","25,111 ","25,421 ","25,087 ","24,817 ","24,526 ","21,573 ","21,771 ","21,440 ","20,801 ","21,352 ","21,574 ","18,843 ","18,758 ","39,061 ","12,077 ","12,000 ","37,000 ","39,074 ","66,717 ","65,726 ","39,087 ","2,087 ","62,091 ","62,094 ","62,094 ","62,094 ","222,511 ","169,120 ","177,267 ","602,485 "
Other Long Term Assets,"45,023 ","46,677 ","45,910 ","45,149 ","44,049 ","4,754 ","8,299 ","12,306 ","10,626 ","10,591 ","10,380 ","8,438 ","12,758 ","13,956 ","17,870 ","18,299 ","10,488 ","4,677 ","5,357 ","5,985 ","3,424 ","3,968 ","4,547 ","6,329 ","6,929 ","5,219 ","5,933 ","6,749 ","2,225 ","5,640 ","6,644 ","7,550 ","5,593 ","6,519 ","7,662 ","3,654 ","3,007 ","3,124 ","3,092 ","3,315 ","1,600 ","1,614 ","1,636 ","1,830 ","1,889 ","2,003 ","1,890 ","1,850 ","1,817 ","1,777 ","1,701 ",987 ,952 ,927 ,892 ,858 ,"11,848 ",--,198 ,"8,053 ","14,079 ","24,344 ","23,199 ","25,070 ","27,783 ","60,911 ","90,506 ","176,485 ","155,595 ","172,535 ","77,302 ","75,617 ","69,538 "
Total Assets,"589,923 ","747,340 ","711,694 ","759,380 ","798,911 ","812,032 ","817,651 ","793,237 ","745,193 ","746,811 ","745,859 ","746,390 ","722,599 ","698,749 ","676,819 ","654,276 ","639,365 ","642,330 ","648,125 ","646,860 ","662,654 ","665,620 ","683,037 ","678,067 ","695,420 ","730,833 ","734,725 ","749,153 ","777,988 ","777,864 ","817,469 ","844,315 ","889,334 ","931,897 ","980,455 ","1,001,221 ","1,026,953 ","1,056,499 ","1,083,444 ","1,092,214 ","1,112,425 ","1,119,251 ","1,122,838 ","1,132,724 ","1,122,434 ","1,122,149 ","1,113,545 ","1,103,111 ","1,045,704 ","991,117 ","975,234 ","999,449 ","972,657 ","970,225 ","895,773 ","876,727 ","13,780,622 ","581,636 ","515,962 ","13,064,562 ","12,654,692 ","21,475,868 ","23,850,142 ","25,565,470 ","27,358,226 ","29,919,913 ","32,772,804 ","38,502,451 ","29,877,509 ","41,171,711 ","45,473,198 ","47,096,407 ","34,162,655 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,"61,357 ","51,707 ","59,014 ","62,008 ","66,836 ","66,775 ","91,959 ","89,809 ","76,145 ","69,055 ","60,396 ","52,211 ","59,848 ","61,819 ","65,977 ","91,600 ","102,938 ","101,765 ","105,130 ","100,012 ","101,504 ","104,120 ","108,767 ","100,171 ","96,434 ","100,180 ","93,479 ","94,841 ",--,"82,352 ","51,731 ","48,238 ","46,958 ","47,210 ","29,578 ","25,850 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,931,569 ","5,939,609 ","7,880,094 ","9,602,339 ","12,321,352 ","14,621,663 ","16,874,853 ","16,159,135 ",--,--,--,"12,808,640 "
Payable/Accrued,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"102,961 ",--,--,--,--,--,--,--,"122,693 ","122,889 ","118,885 ","112,859 ","125,646 ","115,372 ","90,052 ","96,640 ","83,446 ","85,419 ","80,465 ","110,871 ","204,205 ","110,501 ","117,112 ","121,941 ","181,995 ","204,146 ","180,206 ","220,307 ","6,474,825 ","223,959 ","7,783 ","5,403,606 ","4,787,536 ",--,--,(1),--,--,--,--,"171,588 ","18,094,904 ","20,232,824 ","20,785,253 ",--
Accrued Expenses,"36,228 ","29,320 ","31,787 ","43,485 ","58,744 ","59,730 ","54,994 ","44,087 ","38,466 ","36,584 ","38,083 ","37,758 ","36,874 ","36,759 ","41,266 ","44,275 ","46,178 ","48,897 ","53,480 ","48,469 ","50,438 ","55,886 ","62,955 ","60,361 ","68,323 ","73,829 ","74,726 ","76,186 ","57,743 ","81,255 ","84,791 ","92,132 ","99,236 ","102,291 ","110,105 ","114,255 ","84,156 ","86,138 ","86,437 ","85,668 ","85,500 ","87,278 ","87,388 ","85,033 ","86,204 ","87,426 ","86,976 ","86,721 ",--,"85,659 ","85,644 ","86,137 ",--,--,--,--,--,--,--,--,--,"243,610 ","203,986 ","195,635 ","250,149 ","259,991 ","284,003 ","329,274 ","369,172 ",--,--,--,"648,779 "
Notes Payable/Short Term Debt,"38,562 ","8,805 ","6,573 ","33,791 ","65,149 ","74,784 ","74,716 ","76,878 ","77,285 ","75,515 ","88,610 ","65,129 ","75,371 ","76,184 ","74,385 ","72,485 ","59,129 ","69,187 ","63,043 ","71,701 ","73,408 ","66,577 ","68,158 ","71,967 ","80,378 ","96,718 ","109,418 ","121,133 ","137,416 ","135,694 ","183,088 ","193,879 ","198,557 ","226,816 ","267,066 ","290,063 ","263,657 ","304,768 ","299,151 ","318,553 ","339,405 ","359,835 ","382,582 ","406,360 ","431,368 ","456,693 ","475,173 ","473,561 ","440,942 ","437,655 ","439,608 ","437,301 ","244,643 ","232,546 ","222,759 ","209,724 ","1,590,634 ","187,846 ","190,170 ","1,564,530 ","2,528,301 ","9,643,314 ","8,978,496 ","8,532,104 ","7,761,401 ","2,940,573 ","2,880,903 ","3,023,030 ","4,030,378 ","5,209,378 ","4,888,211 ","4,736,327 ","5,282,046 "
Current Port. of LT Debt/Capital Leases,"24,440 ","24,523 ","25,330 ","26,985 ","27,269 ","27,216 ","27,136 ","31,541 ","32,119 ","41,167 ","41,145 ","21,929 ","23,426 ","21,408 ","22,274 ","21,416 ","11,988 ","13,121 ","14,984 ","16,888 ","18,121 ","20,688 ","22,396 ","24,512 ","26,968 ","29,614 ","32,137 ","33,381 ","24,181 ","32,226 ","18,388 ","19,025 ","19,678 ","19,820 ","23,521 ","23,203 ","24,715 ","25,021 ","26,464 ","23,273 ","22,008 ","19,559 ","17,826 ","15,884 ","14,212 ","12,645 ","11,636 ","10,222 ","9,140 ","7,668 ","5,746 ","4,572 ","6,008 ","6,911 ","5,939 ","6,379 ","2,663,862 ","39,018 ","39,700 ","761,644 ","684,043 ","1,053,189 ","1,064,425 ","1,056,261 ","1,131,235 ","1,671,750 ","1,656,090 ","1,813,791 ","1,786,406 ","1,864,893 ","3,412,554 ","4,816,603 ","7,432,052 "
"Other Current liabilities, Total","37,295 ","46,338 ","27,434 ","34,576 ","18,669 ","24,143 ","17,980 ","16,788 ","17,031 ","20,962 ","15,019 ","13,796 ","12,518 ","12,532 ","11,763 ","9,309 ","18,184 ","7,848 ","8,020 ","9,940 ","9,790 ","10,018 ","12,054 ","11,114 ","11,484 ","8,329 ","10,409 ","11,657 ","4,509 ","13,706 ","13,601 ","14,142 ","16,538 ","18,288 ","17,488 ","15,720 ","5,517 ","4,555 ","4,984 ","4,915 ","8,145 ","8,101 ","8,081 ","7,089 ","6,826 ","7,811 ","6,818 ","6,849 ","5,893 ","3,264 ","2,577 ","2,948 ","4,105 ","4,538 ","4,256 ","4,948 ","135,091 ",--,"252,705 ","139,882 ","137,627 ","542,344 ","680,506 ","670,601 ","904,047 ","783,652 ","870,708 ","1,044,468 ","1,203,151 ","484,684 ","533,836 ","972,869 ","4,549,910 "
Dividends Payable,--,--,--,--,--,"9,600 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Customer Advances,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,871 ",--,--,--,--,"3,759 ","4,360 ","5,161 ","3,342 ","4,246 ","6,688 ","3,257 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"80,791 ","66,764 ","87,732 ","124,864 ","110,679 ","88,911 ","311,217 ","424,626 ",--,--,--,"365,418 "
Income Taxes Payable,"26,830 ","38,288 ","18,599 ","18,633 ","8,633 ","7,768 ","7,377 ","6,252 ",--,--,"3,332 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"48,941 ",--,--,"50,054 ","65,804 ","144,639 ","245,578 ","222,394 ","279,170 ","356,629 ","425,287 ","591,002 ","617,688 ","463,209 ","470,778 ","604,273 ","228,310 "
Other Payables,"4,094 ","2,929 ","4,581 ","10,574 ","2,706 ","2,442 ","2,725 ","2,543 ","3,962 ","5,253 ","3,575 ","5,740 ",--,--,--,--,"10,000 ",--,--,"1,058 ",868 ,0 ,0 ,0 ,"5,085 ",0 ,486 ,0 ,"1,137 ","6,277 ","5,236 ","5,279 ","7,252 ","8,795 ","4,414 ","5,365 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"292,948 ","285,288 ","334,189 ","270,247 ","297,038 ","335,169 ","122,130 ","139,610 ",--,--,--,"3,720,874 "
Discontinued Operations - Curr Liability,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"252,326 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Current Liabilities,"6,371 ","5,121 ","4,254 ","5,369 ","7,330 ","4,333 ","7,878 ","7,993 ","13,069 ","15,709 ","8,112 ","8,056 ","12,518 ","12,532 ","11,763 ","9,309 ","8,184 ","7,848 ","8,020 ","8,882 ","8,922 ","10,018 ","12,054 ","11,114 ","3,528 ","8,329 ","9,923 ","11,657 ","3,372 ","3,669 ","4,004 ","3,703 ","5,944 ","5,246 ","6,387 ","7,099 ","5,517 ","4,555 ","4,984 ","4,915 ","8,145 ","8,101 ","8,081 ","7,089 ","6,826 ","7,811 ","6,818 ","6,849 ","5,893 ","3,264 ","2,577 ","2,948 ","4,105 ","4,538 ","4,256 ","4,948 ","86,149 ",--,379 ,"89,828 ","71,824 ","23,966 ","82,877 ","26,286 ","229,766 ","19,307 ","21,343 ","20,117 ","21,228 ","21,474 ","63,059 ","368,595 ","235,309 "
Total Current Liabilities,"197,882 ","160,693 ","150,138 ","200,845 ","236,667 ","252,648 ","266,785 ","259,103 ","241,046 ","243,283 ","243,253 ","190,823 ","208,037 ","208,702 ","215,665 ","239,085 ","238,417 ","240,818 ","244,657 ","247,010 ","253,262 ","257,289 ","274,330 ","268,125 ","283,587 ","308,670 ","320,169 ","337,198 ","326,811 ","345,233 ","351,598 ","367,417 ","380,966 ","414,426 ","447,758 ","469,090 ","500,738 ","543,370 ","535,921 ","545,267 ","580,704 ","590,145 ","585,930 ","611,006 ","622,055 ","649,993 ","661,067 ","688,222 ","660,180 ","644,747 ","650,687 ","652,899 ","436,751 ","448,140 ","413,160 ","441,359 ","10,864,412 ","450,823 ","490,358 ","7,869,662 ","8,137,507 ","15,414,026 ","16,867,022 ","18,334,693 ","19,649,172 ","17,977,318 ","20,313,367 ","23,085,416 ","23,719,830 ","25,653,859 ","29,067,426 ","31,311,051 ","30,721,427 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Debt,"63,766 ","57,624 ","51,473 ","46,703 ","47,945 ","43,415 ","37,026 ","40,777 ","35,893 ","41,336 ","37,974 ","91,138 ","71,690 ","73,977 ","65,663 ","56,847 ","62,589 ","56,940 ","52,277 ","47,608 ","44,468 ","38,209 ","32,970 ","32,506 ","32,806 ","39,829 ","35,779 ","29,488 ","37,498 ","31,102 ","51,018 ","48,579 ","45,648 ","41,484 ","46,617 ","40,146 ","40,816 ","36,301 ","42,132 ","38,668 ","34,394 ","29,876 ","26,199 ","23,110 ","20,282 ","17,180 ","14,508 ","12,997 ","11,081 ","9,462 ","16,242 ","15,499 ","241,493 ","238,715 ","243,700 ","242,200 ","722,934 ","239,400 ","223,400 ","1,934,249 ","1,793,295 ","3,144,119 ","3,684,350 ","3,409,030 ","3,469,216 ","7,174,786 ","7,111,792 ","8,989,167 ","8,466,226 ","7,822,380 ","8,116,339 ","6,463,146 ","7,212,109 "
Long Term Debt,"63,000 ","56,700 ","50,400 ","44,100 ","44,800 ","40,751 ","34,802 ","38,659 ","34,219 ","40,107 ","37,189 ","90,549 ","70,950 ","73,350 ","64,250 ","55,650 ","61,599 ","56,249 ","51,749 ","47,249 ","44,249 ","36,749 ","30,749 ","30,450 ","30,928 ","37,728 ","32,825 ","25,813 ","34,360 ","28,448 ","42,140 ","38,780 ","35,406 ","32,023 ","28,649 ","24,107 ","21,844 ","17,279 ","15,301 ","13,635 ","12,544 ","11,226 ","10,765 ","10,291 ","9,971 ","9,317 ","8,793 ","8,455 ","7,937 ","7,231 ","14,191 ","13,643 ","240,185 ","238,715 ","243,700 ","242,200 ","666,028 ","239,400 ","223,400 ","1,916,324 ","1,754,160 ","2,976,091 ","3,535,016 ","3,272,050 ","3,310,014 ","7,027,167 ","6,975,816 ","8,877,698 ","8,347,405 ","7,723,062 ","7,980,968 ","6,276,588 ","7,097,331 "
