Stark Corporation Ord Shs | Price History                                          12-Sep-2024 14:25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STARK.BK^I24,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"59,983,159,327",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
5.00 - 6.00,"1,511,575,430",2.52%,14,3.10%,,,,,,,,,,,
4.00 - 5.00,"25,668,519,917",42.79%,148,32.82%,,,,,,,,,,,
3.00 - 4.00,"9,535,852,003",15.90%,135,29.93%,,,,,,,,,,,
2.00 - 3.00,"4,552,664,382",7.59%,100,22.17%,,,,,,,,,,,
1.00 - 2.00,"61,460,294",0.10%,46,10.20%,,,,,,,,,,,
0.00 - 1.00,"18,653,087,300",31.10%,8,1.77%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STARK.BK^I24 Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,6.58,25-ม.ค.-2019,Max,"7,206,607,100",02-มิ.ย.-2023,Advancing,"21,182,418,266",Up,179,Up,+118.49%,28-ธ.ค.-2018,Max,"7,743,489,838.00",09-เม.ย.-2021
Low,0.01,06-ก.ย.-2024,Min,"8,320",15-เม.ย.-2016,Declining,"34,354,059,882",Down,230,Down,-90.76%,02-มิ.ย.-2023,Min,"25,538.00",15-เม.ย.-2016
Avg,3.39,,Avg,"131,831,119",,Total,"59,983,159,327",Unch,41,Period,-99.69%,10 Years,Avg,"374,130,899.41",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STARK.BK^I24 History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
06-ก.ย.-2024,0.01,0.00,0.00%,0.01,0.01,0.01,"25,336,200","253,362.00","13,572,761,545.00",,,,,,
30-ส.ค.-2024,0.01,0.00,0.00%,0.01,0.01,0.01,"191,163,100","1,911,631.00","13,573,014,907.00",,,,,,
23-ส.ค.-2024,0.01,-0.01,-50.00%,0.01,0.01,0.02,"1,289,972,900","13,223,613.00","13,574,926,538.00",,,,,,
28-ก.ค.-2023,,,,,,,,,,,,,,,
21-ก.ค.-2023,,,,,,,,,,,,,,,
14-ก.ค.-2023,,,,,,,,,,,,,,,
07-ก.ค.-2023,,,,,,,,,,,,,,,
30-มิ.ย.-2023,0.02,0.00,0.00%,0.02,0.01,0.03,"2,066,390,300","44,122,080.00","13,588,150,151.00",,,,,,
23-มิ.ย.-2023,0.02,-0.06,-75.00%,0.05,0.01,0.06,"2,049,577,300","43,328,061.00","13,632,272,231.00",,,,,,
16-มิ.ย.-2023,0.08,-0.03,-27.27%,0.11,0.07,0.12,"1,992,456,400","193,671,272.00","13,675,600,292.00",,,,,,
09-มิ.ย.-2023,0.11,-0.11,-50.00%,0.18,0.11,0.21,"3,831,584,000","600,176,542.00","13,869,271,564.00",,,,,,
02-มิ.ย.-2023,0.22,-2.16,-90.76%,0.25,0.13,0.34,"7,206,607,100","1,549,517,520.00","14,469,448,106.00",,,,,,
03-มี.ค.-2023,2.38,-0.02,-0.83%,2.40,2.32,2.44,"73,061,500","174,536,150.00","16,018,965,626.00",,,,,,
24-ก.พ.-2023,2.40,-0.20,-7.69%,2.60,2.36,2.74,"347,847,300","884,711,454.00","16,193,501,776.00",,,,,,
17-ก.พ.-2023,2.60,-0.18,-6.47%,2.78,2.52,2.84,"340,425,300","897,654,822.00","17,078,213,230.00",,,,,,
10-ก.พ.-2023,2.78,-0.18,-6.08%,2.98,2.74,3.02,"308,331,300","888,700,464.00","17,975,868,052.00",,,,,,
03-ก.พ.-2023,2.96,-0.04,-1.33%,3.02,2.94,3.08,"273,511,300","821,764,108.00","18,864,568,516.00",,,,,,
27-ม.ค.-2023,3.00,-0.04,-1.32%,3.06,2.94,3.14,"646,813,400","1,956,952,592.00","19,686,332,624.00",,,,,,
20-ม.ค.-2023,3.04,+0.36,+13.43%,2.70,2.64,3.14,"659,690,400","1,909,818,634.00","21,643,285,216.00",,,,,,
13-ม.ค.-2023,2.68,+0.18,+7.20%,2.52,2.48,2.74,"338,413,300","883,361,384.00","19,733,466,582.00",,,,,,
06-ม.ค.-2023,2.50,0.00,0.00%,2.50,2.42,2.62,"279,699,700","701,906,894.00","18,850,105,198.00",,,,,,
30-ธ.ค.-2022,2.50,+0.20,+8.70%,2.30,2.30,2.56,"344,272,200","839,374,532.00","18,148,198,304.00",,,,,,
23-ธ.ค.-2022,2.30,-0.18,-7.26%,2.48,2.16,2.56,"992,293,100","2,318,908,488.00","17,308,823,772.00",,,,,,
