Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
7.00 - 8.00,"4,490,200",0.40%,3,0.57%,,,,,,,,,,,
6.00 - 7.00,"21,907,000",1.97%,30,5.74%,,,,,,,,,,,
5.00 - 6.00,"29,132,700",2.62%,10,1.91%,,,,,,,,,,,
4.00 - 5.00,"70,071,900",6.31%,27,5.16%,,,,,,,,,,,
3.00 - 4.00,"70,001,300",6.30%,93,17.78%,,,,,,,,,,,
2.00 - 3.00,"859,340,000",77.36%,221,42.26%,,,,,,,,,,,
1.00 - 2.00,"54,061,900",4.87%,137,26.20%,,,,,,,,,,,
0.00 - 1.00,"1,769,200",0.16%,2,0.38%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LNE.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,7.30,21-พ.ย.-2014,Max,"266,619,100",17-มิ.ย.-2022,Advancing,"724,478,900",Up,202,Up,+28.71%,10-มิ.ย.-2022,Max,"744,402,356.00",17-มิ.ย.-2022
Low,0.95,05-ก.ค.-2024,Min,"2,400",15-พ.ย.-2019,Declining,"328,486,100",Down,244,Down,-16.75%,12-พ.ค.-2017,Min,"5,210.00",15-พ.ย.-2019
Avg,2.76,,Avg,"2,123,851",,Total,"1,110,774,200",Unch,76,Period,-81.99%,10 Years,Avg,"6,133,574.28",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LNE.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
09-ก.พ.-2024,1.24,+0.06,+5.08%,1.22,1.20,1.26,"84,700","103,321.00","1,207,916,197.00",,,,,,
02-ก.พ.-2024,1.18,-0.18,-13.24%,1.35,1.06,1.38,"1,501,400","1,729,416.00","1,207,812,876.00",,,,,,
26-ม.ค.-2024,1.36,+0.01,+0.74%,1.34,1.30,1.38,"17,900","23,797.00","1,209,542,292.00",,,,,,
19-ม.ค.-2024,1.35,+0.01,+0.75%,1.35,1.31,1.39,"36,800","49,927.00","1,209,518,495.00",,,,,,
12-ม.ค.-2024,1.34,-0.04,-2.90%,1.35,1.32,1.41,"121,100","164,191.00","1,209,468,568.00",,,,,,
05-ม.ค.-2024,1.38,+0.07,+5.34%,1.31,1.31,1.38,"44,200","59,636.00","1,209,632,759.00",,,,,,
29-ธ.ค.-2023,1.31,0.00,0.00%,1.31,1.28,1.34,"47,300","62,186.00","1,209,573,123.00",,,,,,
22-ธ.ค.-2023,1.31,+0.02,+1.55%,1.29,1.20,1.31,"85,200","105,698.00","1,209,510,937.00",,,,,,
15-ธ.ค.-2023,1.29,-0.02,-1.53%,1.31,1.25,1.37,"151,700","195,609.00","1,209,405,239.00",,,,,,
08-ธ.ค.-2023,1.31,0.00,0.00%,1.32,1.29,1.46,"148,200","200,904.00","1,209,600,848.00",,,,,,
01-ธ.ค.-2023,1.31,-0.08,-5.76%,1.39,1.30,1.39,"63,300","83,450.00","1,209,801,752.00",,,,,,
24-พ.ย.-2023,1.39,+0.01,+0.72%,1.32,1.32,1.42,"22,600","30,752.00","1,209,885,202.00",,,,,,
17-พ.ย.-2023,1.38,+0.01,+0.73%,1.32,1.32,1.44,"7,500","10,259.00","1,209,854,450.00",,,,,,
10-พ.ย.-2023,1.37,-0.03,-2.14%,1.44,1.30,1.44,"131,400","176,744.00","1,209,844,191.00",,,,,,
03-พ.ย.-2023,1.40,+0.05,+3.70%,1.32,1.30,1.48,"88,700","118,836.00","1,210,020,935.00",,,,,,
27-ต.ค.-2023,1.35,+0.05,+3.85%,1.30,1.30,1.42,"98,300","131,201.00","1,209,902,099.00",,,,,,
20-ต.ค.-2023,1.30,-0.13,-9.09%,1.44,1.30,1.46,"409,300","550,919.00","1,209,770,898.00",,,,,,
13-ต.ค.-2023,1.43,-0.04,-2.72%,1.44,1.42,1.54,"67,900","98,679.00","1,210,321,817.00",,,,,,
06-ต.ค.-2023,1.47,-0.03,-2.00%,1.56,1.43,1.56,"112,400","165,948.00","1,210,420,496.00",,,,,,
29-ก.ย.-2023,1.50,0.00,0.00%,1.50,1.40,1.57,"161,000","235,666.00","1,210,586,444.00",,,,,,
22-ก.ย.-2023,1.50,-0.08,-5.06%,1.58,1.46,1.62,"137,900","210,389.00","1,210,822,110.00",,,,,,
15-ก.ย.-2023,1.58,0.00,0.00%,1.59,1.54,1.61,"113,100","177,400.00","1,211,032,499.00",,,,,,
08-ก.ย.-2023,1.58,+0.12,+8.22%,1.46,1.40,1.85,"5,542,800","9,522,516.00","1,210,855,099.00",,,,,,
01-ก.ย.-2023,1.46,-0.03,-2.01%,1.48,1.45,1.54,"363,100","531,691.00","1,201,332,583.00",,,,,,
25-ส.ค.-2023,1.49,+0.02,+1.36%,1.46,1.45,1.54,"181,200","269,250.00","1,201,864,274.00",,,,,,
18-ส.ค.-2023,1.47,-0.02,-1.34%,1.45,1.30,1.48,"554,000","763,736.00","1,201,595,024.00",,,,,,
11-ส.ค.-2023,1.49,-0.03,-1.97%,1.49,1.44,1.52,"104,000","152,043.00","1,202,358,760.00",,,,,,
04-ส.ค.-2023,1.52,+0.03,+2.01%,1.48,1.48,1.52,"145,700","217,014.00","1,202,510,803.00",,,,,,
28-ก.ค.-2023,1.49,-0.03,-1.97%,1.49,1.47,1.62,"307,500","466,909.00","1,202,293,789.00",,,,,,
21-ก.ค.-2023,1.52,0.00,0.00%,1.60,1.49,1.60,"157,700","238,411.00","1,202,760,698.00",,,,,,
14-ก.ค.-2023,1.52,-0.06,-3.80%,1.51,1.49,1.61,"84,200","128,231.00","1,202,999,109.00",,,,,,
07-ก.ค.-2023,1.58,+0.02,+1.28%,1.56,1.47,1.65,"446,000","667,700.00","1,203,127,340.00",,,,,,
30-มิ.ย.-2023,1.56,-0.01,-0.64%,1.75,1.48,1.75,"452,500","684,963.00","1,202,459,640.00",,,,,,
23-มิ.ย.-2023,1.57,-0.17,-9.77%,1.76,1.54,1.79,"472,600","753,360.00","1,203,144,603.00",,,,,,
16-มิ.ย.-2023,1.74,-0.08,-4.40%,1.80,1.71,1.81,"380,100","668,120.00","1,203,897,963.00",,,,,,
09-มิ.ย.-2023,1.82,-0.02,-1.09%,1.84,1.77,1.84,"258,800","467,793.00","1,204,566,083.00",,,,,,
02-มิ.ย.-2023,1.84,0.00,0.00%,1.83,1.76,1.88,"245,800","452,234.00","1,205,033,876.00",,,,,,
26-พ.ค.-2023,1.84,-0.02,-1.08%,1.88,1.50,1.88,"508,700","855,708.00","1,205,486,110.00",,,,,,
19-พ.ค.-2023,1.86,0.00,0.00%,1.86,1.81,1.88,"79,500","146,974.00","1,206,341,818.00",,,,,,
12-พ.ค.-2023,1.86,+0.06,+3.33%,1.88,1.78,1.89,"842,700","1,562,696.00","1,206,194,844.00",,,,,,
05-พ.ค.-2023,1.80,+0.02,+1.12%,1.75,1.66,1.80,"241,600","428,509.00","1,204,632,148.00",,,,,,
28-เม.ย.-2023,1.78,-0.01,-0.56%,1.80,1.75,1.85,"281,900","506,793.00","1,204,203,639.00",,,,,,
21-เม.ย.-2023,1.79,-0.02,-1.10%,1.81,1.78,1.86,"285,000","513,349.00","1,204,710,432.00",,,,,,
14-เม.ย.-2023,1.81,-0.01,-0.55%,1.82,1.80,1.85,"214,200","388,941.00","1,205,223,781.00",,,,,,
07-เม.ย.-2023,1.82,-0.01,-0.55%,1.83,1.82,1.86,"348,900","641,922.00","1,205,612,722.00",,,,,,
31-มี.ค.-2023,1.83,-0.05,-2.66%,1.83,1.82,1.88,"243,900","450,649.00","1,206,254,644.00",,,,,,
24-มี.ค.-2023,1.88,+0.06,+3.30%,1.79,1.79,1.89,"334,900","618,352.00","1,206,705,293.00",,,,,,
17-มี.ค.-2023,1.82,-0.15,-7.61%,1.97,1.75,1.97,"1,266,200","2,317,575.00","1,206,086,941.00",,,,,,
10-มี.ค.-2023,1.97,-0.02,-1.01%,1.99,1.94,2.00,"574,700","1,134,933.00","1,208,404,516.00",,,,,,
03-มี.ค.-2023,1.99,-0.01,-0.50%,1.99,1.97,2.02,"412,200","820,691.00","1,209,539,449.00",,,,,,
24-ก.พ.-2023,2.00,+0.01,+0.50%,1.99,1.99,2.06,"541,800","1,088,082.00","1,210,360,140.00",,,,,,
