,2007,2008,,2009,,2010,2011,2012,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Dec-2007, Jun-2008, Dec-2008, Mar-2009, Dec-2009, Dec-2010, Dec-2011, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,1 ,3 ,3 ,4 ,4 ,3 ,6 ,7 ,7 ,8 ,12 ,14 ,39 ,59 ,71 ,51 ,42 ,73 ,73 ,11 ,12 ,8 ,9 ,43 ,38 ,34 ,25 ,23 ,28 ,34 ,34 ,33 ,36 ,18 ,19 ,15 ,14 ,17 ,16 ,19 ,31 
Period End Date,31-Dec-2007 ,30-Jun-2008 ,31-Dec-2008 ,31-Mar-2009 ,31-Dec-2009 ,31-Dec-2010 ,31-Dec-2011 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Doubtful Accounts,--,--,--,--,"(1,425)","(1,425)","(1,425)","(1,425)",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,025)","(1,025)","(1,652)",(463),(463),(463),"(2,115)","(2,115)","(32,081)"
"Total Receivables, Net","58,017 ","48,122 ","59,732 ","110,031 ","133,162 ","313,113 ","231,202 ","326,532 ","188,452 ","168,048 ","344,692 ","361,673 ","262,268 ","544,152 ","607,521 ","701,781 ","675,825 ","832,267 ","999,034 ","1,329,357 ","1,355,712 ","1,417,353 ","1,581,682 ","2,069,832 ","1,749,981 ","1,854,202 ","2,044,295 ","2,010,662 ","2,125,226 ","2,355,119 ","2,523,970 ","2,526,177 ","2,425,863 ","2,200,976 ","2,510,798 ","3,080,927 ","3,196,767 ","3,234,711 ","3,120,915 ","2,929,162 ","2,877,438 ","3,593,548 ","3,322,473 ","3,356,973 ","3,582,986 ","6,410,016 ","5,820,762 ","6,971,192 ","5,758,134 ","8,896,222 ","10,411,505 ","9,645,455 ","11,005,539 ","12,094,391 ","12,518,679 ","11,520,768 "
Notes Receivable - Short Term,--,--,--,--,--,--,--,--,--,"4,401 ",--,"20,943 ","20,943 ","20,943 ","20,943 ","1,293 ","1,293 ","1,293 ","1,293 ","1,693 ","1,693 ","1,693 ","1,693 ","2,193 ","2,193 ","2,193 ","2,193 ","2,193 ","2,193 ","2,193 ","2,193 ","2,693 ","2,693 ","2,693 ","2,693 ","3,193 ","3,193 ","59,443 ","75,393 ","75,393 ","82,658 ","82,065 ","82,066 ",0 ,"4,846 ",0 ,"12,196 ","36,196 ","28,000 ","60,800 ","36,800 ","36,800 ","36,800 ","11,200 ","11,200 ","11,200 "
Receivables - Other,"10,343 ","48,122 ","8,472 ","2,364 ","6,049 ","10,383 ","40,056 ","7,352 ","2,406 ","5,418 ","42,673 ","9,792 ","8,519 ","22,872 ","5,624 ","4,004 ","2,531 ","140,482 ","159,294 ","162,289 ","316,278 ","364,059 ","459,842 ","496,087 ","520,392 ","484,528 ","557,820 ","464,238 ","474,996 ","592,702 ","601,391 ","655,593 ","639,416 ","547,434 ","669,732 ","652,987 ","677,357 ","509,510 ","432,094 ","543,501 ","699,309 ","761,289 ","784,667 ","766,743 ","739,846 ","2,719,649 ","3,157,158 ","2,060,816 ","2,169,884 ","2,163,171 ","2,444,355 ","2,316,762 ","2,570,727 ","3,212,111 ","2,592,419 ","2,016,422 "
Total Inventory,"94,690 ","132,882 ","76,790 ","62,422 ","101,619 ","161,192 ","178,543 ","152,096 ","160,760 ","161,125 ","141,551 ","163,502 ","162,138 ","220,376 ","164,381 ","181,407 ","188,074 ","146,994 ","181,250 ","169,322 ","103,643 ","175,265 ","125,404 ","136,411 ","162,664 ","187,023 ","152,334 ","177,155 ","194,464 ","127,943 ","243,108 ","300,189 ","274,820 ","329,962 ","327,158 ","478,470 ","570,816 ","757,678 ","728,607 ","902,715 ","742,759 ","833,299 ","1,010,212 ","1,588,053 ","1,577,852 ","1,483,146 ","2,226,317 ","3,135,770 ","5,106,262 ","5,516,417 ","6,295,755 ","7,846,626 ","7,274,985 ","7,412,184 ","6,809,331 ","7,898,890 "
Inventories - Finished Goods,"15,650 ","16,499 ","14,374 ","13,714 ","21,752 ","25,911 ","32,558 ","37,142 ","31,576 ","34,703 ","10,967 ","21,131 ","24,468 ","50,468 ",--,--,--,--,--,--,--,--,"22,548 ","31,318 ","59,351 ","40,007 ","32,573 ","40,122 ","56,732 ","6,137 ","54,083 ","106,460 ","81,951 ","126,017 ",--,--,--,--,--,--,--,--,--,"630,184 ","689,341 ","426,294 ","638,536 ","565,386 ","914,457 ","747,062 ","964,870 ","2,533,403 ","3,228,567 ","2,927,516 ","2,710,345 ","2,798,294 "
Inventories - Work In Progress,"39,435 ","72,856 ","32,316 ","15,582 ","32,057 ","70,255 ","74,753 ","69,176 ","97,350 ","80,229 ","87,694 ","83,008 ","94,128 ","127,309 ",--,--,--,--,--,--,--,--,"79,830 ","77,208 ","70,975 ","78,132 ","70,574 ","44,700 ","32,553 ","35,920 ","85,842 ","91,069 ","101,555 ","125,741 ",--,--,--,--,--,--,--,--,--,"348,299 ","282,309 ","319,336 ","445,428 ","1,009,882 ","1,245,555 ","2,403,461 ","2,377,004 ","2,436,315 ","2,285,456 ","2,634,242 ","2,452,296 ","3,444,746 "
Inventories - Raw Materials,"7,641 ","32,319 ","21,752 ","19,546 ","47,138 ","63,823 ","66,671 ","42,463 ","26,326 ","46,193 ","38,109 ","59,363 ","43,542 ","47,931 ",--,--,--,--,--,--,--,--,"30,060 ","34,919 ","39,372 ","75,919 ","56,221 ","99,367 ","112,213 ","108,372 ","125,668 ","113,812 ","106,129 ","104,863 ",--,--,--,--,--,--,--,--,--,"650,041 ","649,598 ","802,526 ","1,216,875 ","1,636,990 ","3,014,403 ","2,427,531 ","3,031,288 ","2,927,820 ","1,818,919 ","1,864,283 ","1,736,206 ","1,865,876 "
Inventories - Other,"31,964 ","11,208 ","8,348 ","13,580 ",672 ,"1,203 ","4,562 ","3,316 ","5,508 ",0 ,"4,781 ",0 ,0 ,"(5,332)",--,--,--,--,--,--,--,--,"(7,034)","(7,034)","(7,034)","(7,034)","(7,034)","(7,034)","(7,034)","(22,485)","(22,485)","(11,152)","(14,815)","(26,658)",--,--,--,--,--,--,--,--,--,"(40,471)","(43,396)","(65,010)","(74,522)","(76,488)","(68,153)","(61,637)","(77,407)","(50,912)","(57,957)","(13,857)","(89,516)","(210,026)"
Prepaid Expenses,--,--,--,--,--,"1,467 ","14,366 ","18,438 ","15,910 ","19,536 ","6,181 ","3,371 ","5,012 ","4,459 ","18,729 ","24,975 ","13,274 ","4,985 ","9,584 ","19,691 ","908,464 ","33,573 ","32,056 ","23,872 ","50,228 ","52,400 ","71,862 ","92,001 ","76,618 ","33,566 ","177,032 ","114,413 ","132,066 ","96,630 ",--,--,--,--,--,--,--,--,--,--,--,--,--,"166,945 ","195,582 ","198,887 ","252,017 ","251,821 ","300,816 ",528 ,"508,854 ","290,100 "
