,2007,2008,,2009,,2010,2011,2012,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Dec-2007, Jun-2008, Dec-2008, Mar-2009, Dec-2009, Dec-2010, Dec-2011, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,1 ,3 ,3 ,4 ,4 ,3 ,6 ,7 ,7 ,8 ,12 ,14 ,39 ,59 ,71 ,51 ,42 ,73 ,73 ,11 ,12 ,8 ,9 ,43 ,38 ,34 ,25 ,23 ,28 ,34 ,34 ,33 ,36 ,18 ,19 ,15 ,14 ,17 ,16 ,19 ,31 
Period End Date,31-Dec-2007 ,30-Jun-2008 ,31-Dec-2008 ,31-Mar-2009 ,31-Dec-2009 ,31-Dec-2010 ,31-Dec-2011 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction in Progress - Gross,"12,158 ","16,634 ","113,582 ","41,854 ","149,825 ","36,626 ","306,910 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Property/Plant/Equipment - Gross,"2,027 ","11,228 ","2,825 ","2,958 ","3,623 ","5,941 ","7,947 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Property/Plant/Equipment, Total - Net","183,788 ","203,435 ","288,660 ","326,988 ","456,573 ","464,800 ","927,725 ","1,292,127 ","1,621,307 ","1,896,286 ","2,125,932 ","2,464,316 ","5,032,182 ","8,092,560 ","8,162,334 ","8,900,937 ","11,074,177 ","16,184,175 ","16,221,793 ","17,326,831 ","19,700,066 ","27,404,346 ","28,404,432 ","30,388,398 ","32,499,251 ","33,485,319 ","34,458,567 ","34,138,581 ","34,489,588 ","35,219,563 ","37,040,479 ","38,059,610 ","45,123,137 ","47,587,212 ","51,324,093 ","51,178,535 ","50,870,157 ","51,371,095 ","53,693,531 ","55,388,185 ","56,671,872 ","57,635,263 ","58,861,422 ","59,267,357 ","59,374,687 ","60,154,275 ","62,313,461 ","60,858,513 ","59,468,445 ","55,831,992 ","57,167,054 ","60,014,875 ","60,373,035 ","60,180,412 ","59,942,200 ","59,475,374 "
"Accumulated Depreciation, Total","(22,902)","(31,678)","(41,600)","(47,472)","(72,741)","(121,449)","(172,340)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Goodwill, Net",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"962,546 ","962,546 ","962,546 ","936,524 ","915,298 ","880,039 ","875,154 ","889,808 ","1,265,088 ","1,237,980 ","1,446,040 ","1,337,333 ","1,364,065 ","1,402,476 ","1,461,242 ","1,453,471 ","1,463,634 ","1,482,729 ","1,436,520 ","1,374,751 ","1,368,179 ","1,390,249 ","1,384,920 ","1,193,088 ","1,219,909 ","1,214,048 "
"Intangibles, Net",--,--,--,--,--,0 ,"42,461 ","42,461 ","42,461 ","56,845 ","56,274 ","55,702 ","55,128 ","248,837 ","247,317 ","244,746 ","242,248 ","243,202 ","429,117 ","424,976 ","421,030 ","416,975 ","429,895 ","676,156 ","671,933 ","665,891 ","745,583 ","995,561 ","985,202 ","977,162 ","2,041,325 ","2,018,973 ","1,971,880 ","1,941,127 ","2,539,178 ","2,851,417 ","2,850,134 ","2,792,784 ","2,857,043 ","2,796,431 ","2,789,408 ","2,792,580 ","2,809,748 ","2,816,992 ","2,857,058 ","2,789,704 ","4,753,952 ","4,692,719 ","2,696,744 ","2,628,351 ","2,589,401 ","2,574,509 ","2,537,881 ","2,482,955 ","2,730,203 ","2,717,865 "
Intangibles - Gross,--,--,--,--,--,--,--,--,--,--,--,"42,109 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Accumulated Intangible Amortization,--,--,--,--,--,--,--,--,--,--,--,(849),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Long Term Investments,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,0 ,--,--,--,"32,983 ","715,540 ","703,984 ","688,890 ","954,567 ","34,933 ","35,025 ","33,972 ","32,605 ","55,515 ","150,659 ","151,570 ","169,492 ","185,978 ","6,037,203 ","7,531,337 ","7,123,278 ","7,082,647 ","7,098,567 ","6,767,267 ","6,702,078 ","6,699,996 ","6,776,397 ","13,592,082 ","14,015,028 ","17,471,528 ","17,673,237 ","17,574,999 ","15,231,240 ","14,637,839 ","12,304,835 "
LT Investment - Affiliate Companies,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,0 ,--,--,--,0 ,"679,495 ","668,220 ","653,655 ","919,861 ",745 ,"1,361 ",838 ,0 ,"23,428 ","80,305 ","81,961 ","100,196 ","88,413 ","85,902 ","1,567,036 ","1,529,472 ","1,505,493 ","1,544,033 ","1,570,893 ","1,613,921 ","1,647,493 ","1,656,559 ","8,684,229 ","8,790,461 ","8,791,752 ","8,983,139 ","2,217,441 ","2,299,711 ","2,779,820 ","2,729,594 "
LT Investments - Other,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"32,983 ","36,045 ","35,764 ","35,235 ","34,706 ","34,188 ","33,664 ","33,134 ","32,605 ","32,087 ","70,354 ","69,609 ","69,295 ","97,565 ","5,951,301 ","5,964,301 ","5,593,806 ","5,577,154 ","5,554,534 ","5,196,374 ","5,088,157 ","5,052,503 ","5,119,838 ","4,907,853 ","5,224,567 ","8,679,776 ","8,690,098 ","15,357,558 ","12,931,530 ","11,858,019 ","9,575,241 "
Note Receivable - Long Term,--,--,--,--,--,--,"60,000 ","60,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,--,--,--,"4,846 ","4,846 ","4,846 ","4,846 ","4,846 ","23,596 ","4,846 ","4,846 ","4,846 ","4,846 ","4,846 ","79,846 ","562,477 ","584,258 ","540,454 ","536,486 ","1,243,426 ","4,718,775 ","6,680,586 ","8,435,605 ","8,079,248 ","7,955,798 ","7,836,134 ","8,035,923 "
"Other Long Term Assets, Total",727 ,"3,274 ","3,711 ","3,711 ","56,030 ","56,404 ","70,079 ","141,264 ","142,790 ","125,111 ","243,102 ","540,058 ","909,898 ","722,007 ","314,931 ","50,693 ","179,757 ","629,736 ","860,149 ","699,834 ","413,652 ","570,893 ","634,320 ","672,606 ","715,123 ","1,190,986 ","510,044 ","512,838 ","534,472 ","356,845 ","526,894 ","478,357 ","495,419 ","555,147 ","575,860 ","687,350 ","710,097 ","940,044 ","1,616,135 ","1,621,643 ","1,610,293 ","2,201,234 ","2,015,403 ","2,000,381 ","2,073,472 ","2,142,876 ","1,930,821 ","2,521,703 ","2,181,708 ","2,268,162 ","2,564,588 ","2,866,050 ","2,693,613 ","2,744,523 ","2,527,250 ","2,454,922 "
Deferred Charges,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"685,909 ",0 ,0 ,"14,961 ",0 ,"16,390 ","16,702 ","17,143 ","53,795 ",0 ,0 ,0 ,0 ,--,"2,185 ","20,000 ",--,"20,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--
Defered Income Tax - Long Term Asset,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,396 ","3,595 ","3,811 ","3,993 ","1,961 ","2,136 ","2,313 ","2,499 ",0 ,--,--,"2,615 ","23,813 ","26,512 ","27,642 ","28,873 ","68,776 ","77,656 ","81,963 ","91,064 ","64,707 ","67,397 ","65,473 ","71,118 ","75,696 ","85,941 ","77,782 ","78,516 ","111,284 ","113,366 ","114,113 ","127,168 ","178,649 ","184,589 ","173,168 ","218,636 ","181,459 ","188,902 ","190,347 ","264,789 ","343,880 ","302,995 ","322,358 "
Restricted Cash - Long Term,727 ,"3,274 ","3,711 ","3,711 ","56,030 ","56,404 ","66,071 ","137,256 ","138,782 ","112,107 ","243,102 ","536,853 ","905,930 ","701,968 ","307,336 ","42,582 ","81,514 ","453,267 ","654,981 ","379,619 ","177,949 ","400,502 ","527,934 ","608,139 ","680,467 ","424,219 ","424,224 ","424,872 ","424,878 ","100,969 ","100,974 ","102,841 ","125,803 ","129,701 ","143,771 ","130,534 ","127,880 ","166,306 ","129,281 ","129,281 ","160,598 ","177,457 ","232,641 ","232,643 ","143,743 ","114,210 ","114,016 ","151,201 ","129,850 ","130,330 ","130,499 ","130,499 ","130,654 ","130,330 ","130,998 ","130,998 "
Other Long Term Assets,--,--,--,--,--,--,"4,008 ","4,008 ","4,008 ","13,004 ",--,"3,205 ","3,969 ","16,643 ","4,000 ","4,300 ","94,250 ","174,508 ","203,032 ","317,902 ","233,204 ","170,390 ","106,386 ","64,467 ","32,041 ","57,046 ","59,308 ","60,324 ","65,760 ","187,100 ","331,874 ","276,851 ","261,409 ","306,944 ","364,692 ","491,343 ","511,099 ","698,042 ","1,400,913 ","1,412,395 ","1,351,179 ","1,912,493 ","1,649,396 ","1,653,625 ","1,802,561 ","1,850,017 ","1,632,216 ","2,197,334 ","1,833,222 ","1,956,374 ","2,245,187 ","2,545,204 ","2,298,170 ","2,270,313 ","2,093,257 ","2,001,566 "
Total Assets,"342,638 ","437,355 ","464,385 ","517,828 ","752,797 ","1,071,101 ","1,724,877 ","2,231,445 ","2,330,914 ","2,545,061 ","5,427,835 ","5,388,980 ","7,691,271 ","11,465,572 ","11,717,246 ","11,947,773 ","14,787,891 ","19,326,761 ","20,360,561 ","22,213,666 ","25,424,019 ","33,057,234 ","33,836,323 ","36,490,609 ","40,607,128 ","41,507,392 ","42,944,141 ","42,941,725 ","43,011,237 ","44,530,419 ","47,579,647 ","48,749,066 ","56,035,886 ","59,207,593 ","61,540,081 ","63,470,025 ","67,788,619 ","70,219,694 ","74,040,770 ","75,867,471 ","77,249,461 ","78,483,768 ","81,018,463 ","81,829,941 ","81,684,725 ","85,476,250 ","89,677,371 ","92,061,898 ","95,663,293 ","103,364,343 ","112,299,706 ","115,111,690 ","124,650,770 ","114,229,335 ","113,464,037 ","110,006,345 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,"174,497 ","122,361 ","127,157 ","52,075 ","22,931 ","129,410 ","135,135 ","78,300 ","66,377 ","47,451 ","66,836 ","58,220 ","45,570 ","116,717 ","74,910 ","107,771 ","79,395 ","83,479 ","67,143 ","109,779 ","71,764 ","89,339 ","75,048 ","75,373 ","49,141 ","61,618 ","57,803 ","83,170 ","99,674 ","91,432 ","119,724 ","106,502 ","145,845 ","150,180 ","138,692 ","276,912 ","204,385 ","285,294 ","335,319 ","313,576 ","171,976 ","372,587 ","304,505 ","553,074 ","449,525 ","358,317 ","631,460 ","449,388 ","1,006,775 ","4,800,657 ","3,758,708 ","2,629,328 ","1,130,868 ","708,390 ","350,124 ","1,289,100 "
Accrued Expenses,"1,192 ","1,769 ","1,374 ","1,698 ","4,050 ",--,--,--,--,--,"15,351 ",--,--,"25,611 ",--,--,--,--,"84,093 ","129,786 ","153,896 ","101,267 ","126,568 ","17,202 ","45,207 ","206,160 ","151,984 ","231,885 ","181,938 ","301,972 ","362,824 ","223,155 ","362,021 ","331,375 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Notes Payable/Short Term Debt,"50,000 ",0 ,"25,000 ","35,000 ","230,122 ","261,471 ","208,957 ","485,375 ","449,382 ","445,426 ","122,198 ","98,164 ","679,227 ","580,224 ","455,206 ","554,416 ","763,873 ","716,486 ","1,009,568 ","1,358,750 ","1,100,444 ","1,690,431 ","2,117,560 ","1,851,144 ","979,592 ","946,491 ","824,128 ","930,450 ","846,119 ","882,010 ","813,588 ","2,107,585 ","1,974,880 ","1,817,015 ","2,517,284 ","4,724,188 ","2,389,219 ","659,862 ","1,034,102 ","1,505,428 ","1,958,783 ","2,674,241 ","4,481,346 ","2,477,870 ","2,071,103 ","1,876,786 ","3,795,743 ","6,833,643 ","8,455,836 ","11,224,732 ","12,656,641 ","13,985,056 ","13,789,366 ","8,727,418 ","8,788,529 ","9,639,391 "
Current Port. of LT Debt/Capital Leases,0 ,--,239 ,"21,857 ","34,182 ","46,692 ","52,762 ","65,649 ","110,527 ","115,984 ","125,551 ","126,365 ","151,246 ","271,237 ","323,672 ","326,571 ","344,175 ","479,647 ","646,869 ","760,171 ","904,592 ","1,160,480 ","1,382,589 ","1,640,716 ","1,154,103 ","1,651,167 ","1,375,770 ","1,780,887 ","1,900,237 ","430,586 ","450,309 ","448,152 ","1,443,082 ","1,264,448 ","1,092,519 ","1,095,980 ","3,100,372 ","4,308,246 ","4,735,979 ","8,028,751 ","9,078,137 ","9,440,564 ","6,355,766 ","6,803,804 ","7,348,361 ","7,637,462 ","7,867,134 ","7,973,555 ","6,931,939 ","8,367,665 ","9,660,650 ","10,076,308 ","14,388,547 ","12,509,883 ","11,210,950 ","10,705,780 "
"Other Current liabilities, Total","36,036 ","14,536 ","20,768 ","16,453 ","34,629 ","52,624 ","127,953 ","258,512 ","100,526 ","158,630 ","185,846 ","212,842 ","736,731 ","882,873 ","773,180 ","520,964 ","810,056 ","1,341,416 ","781,715 ","1,032,899 ","804,791 ","1,447,499 ","1,146,758 ","308,984 ","309,621 ","672,829 ","1,109,166 ","699,229 ","324,327 ","881,007 ","881,265 ","1,187,916 ","7,189,948 ","8,939,553 ","4,618,194 ","3,489,071 ","2,112,389 ","816,775 ","1,072,020 ","998,206 ","1,208,857 ","1,077,052 ","1,789,943 ","1,110,502 ","1,086,029 ","2,803,404 ","3,363,367 ","4,699,304 ","1,767,916 ","2,082,007 ","1,893,601 ","2,090,227 ","2,174,284 ","2,440,877 ","2,538,774 ","2,353,001 "
Customer Advances,--,--,--,--,--,"15,666 ","29,148 ","3,132 ","3,110 ",--,"5,039 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"468,153 ",--,--,--,--,--,--,--,--,--,--,--,--,--
Income Taxes Payable,622 ,"6,991 ","1,554 ","13,840 ",157 ,"1,366 ",--,--,--,0 ,"7,119 ","11,961 ","4,137 ","8,543 ","12,539 ","1,280 ","2,921 ","3,669 ","5,057 ","1,402 ","13,119 ","9,177 ","17,077 ","9,131 ","3,414 ",13 ,57 ,92 ,47 ,71 ,114 ,97 ,"27,299 ","28,648 ","30,109 ","12,762 ","16,105 ","5,657 ","6,598 ","7,926 ","7,032 ","12,610 ","12,790 ","14,872 ","39,362 ","16,334 ","8,813 ","44,787 ","35,289 ","68,924 ","147,185 ","173,752 ","124,101 ","145,232 ","138,784 ","108,190 "
Other Payables,"2,351 ","4,829 ","2,284 ","1,702 ","32,304 ","9,674 ","65,798 ","223,976 ","16,974 ","72,918 ","75,299 ","92,409 ","346,546 ","196,990 ","85,885 ","130,338 ","280,587 ","622,458 ","69,851 ","354,787 ","264,354 ","984,868 ","222,666 ","298,634 ","304,565 ","287,578 ","734,833 ","329,539 ","120,221 ","362,496 ","375,999 ","861,055 ","6,855,340 ","8,910,647 ","4,587,827 ","3,475,525 ","2,093,767 ","797,900 ","1,036,079 ","970,019 ","1,201,530 ","1,044,086 ","1,287,439 ","1,077,923 ","1,034,536 ","2,773,229 ","3,332,811 ","4,640,842 ","1,717,685 ","2,013,083 ","1,746,416 ","1,903,169 ","2,000,384 ","2,225,166 ","2,346,801 ","2,155,502 "
Other Current Liabilities,"33,063 ","2,716 ","16,930 ",911 ,"2,169 ","25,918 ","33,007 ","31,403 ","80,442 ","85,713 ","98,388 ","108,471 ","386,048 ","677,341 ","674,756 ","389,346 ","526,548 ","715,289 ","706,807 ","676,710 ","527,318 ","453,453 ","907,015 ","1,219 ","1,642 ","385,238 ","374,276 ","369,598 ","204,059 ","518,439 ","505,152 ","326,764 ","307,309 ",258 ,258 ,784 ,"2,517 ","13,218 ","29,343 ","20,261 ",295 ,"20,356 ","21,561 ","17,707 ","12,131 ","13,842 ","21,743 ","13,675 ","14,942 ",0 ,--,"13,306 ","49,799 ","70,479 ","53,189 ","89,309 "
Total Current Liabilities,"261,725 ","138,666 ","174,538 ","127,083 ","325,915 ","490,197 ","524,807 ","887,836 ","726,812 ","767,492 ","515,782 ","495,591 ","1,612,774 ","1,876,662 ","1,626,968 ","1,509,722 ","1,997,499 ","2,621,028 ","2,589,388 ","3,391,385 ","3,035,487 ","4,489,015 ","4,848,523 ","3,893,419 ","2,537,664 ","3,538,265 ","3,518,851 ","3,725,621 ","3,352,295 ","2,587,006 ","2,627,710 ","4,073,310 ","11,115,776 ","12,502,570 ","8,366,689 ","9,586,151 ","7,806,365 ","6,070,177 ","7,177,420 ","10,845,961 ","12,417,753 ","13,564,443 ","12,931,560 ","10,945,250 ","10,955,018 ","12,675,969 ","15,657,704 ","19,955,890 ","18,162,466 ","26,475,062 ","27,969,600 ","28,780,919 ","31,483,065 ","24,386,569 ","22,888,377 ","23,987,272 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Debt,0 ,0 ,0 ,"43,328 ","89,564 ","42,872 ","182,339 ","167,543 ","498,790 ","634,633 ","683,484 ","652,935 ","1,810,016 ","5,224,714 ","5,265,530 ","5,278,749 ","7,257,735 ","10,805,260 ","11,290,385 ","11,674,486 ","14,524,979 ","19,375,179 ","19,556,747 ","21,827,265 ","26,423,940 ","25,780,429 ","25,840,095 ","25,216,709 ","24,759,903 ","26,386,315 ","26,377,083 ","26,366,138 ","25,364,595 ","26,145,020 ","31,005,448 ","31,060,672 ","35,082,856 ","36,979,637 ","37,879,470 ","35,296,967 ","33,610,138 ","32,764,809 ","34,271,174 ","36,287,603 ","34,692,103 ","35,461,616 ","35,217,677 ","33,389,866 ","36,381,469 ","33,051,597 ","38,131,768 ","38,941,511 ","44,465,571 ","43,138,082 ","44,213,642 ","42,934,232 "
Long Term Debt,--,--,0 ,"43,328 ","89,564 ","42,872 ","181,681 ","166,171 ","495,599 ","631,707 ","675,825 ","644,823 ","1,797,683 ","5,211,902 ","5,252,873 ","5,267,363 ","7,247,263 ","10,795,684 ","11,279,676 ","11,664,891 ","14,516,639 ","19,367,869 ","19,549,850 ","21,822,853 ","26,422,603 ","25,779,383 ","25,839,328 ","25,216,036 ","24,755,945 ","26,382,504 ","26,373,135 ","26,360,813 ","25,361,245 ","26,138,619 ","31,002,918 ","31,058,274 ","35,080,512 ","36,977,354 ","37,048,793 ","33,814,194 ","32,105,019 ","31,089,900 ","32,629,534 ","34,656,590 ","33,038,088 ","33,777,083 ","33,514,681 ","31,674,412 ","34,727,869 ","31,417,297 ","36,569,590 ","37,397,648 ","42,931,852 ","41,591,872 ","42,707,417 ","41,431,344 "
Capital Lease Obligations,--,--,--,--,--,--,658 ,"1,372 ","3,191 ","2,926 ","7,659 ","8,112 ","12,333 ","12,811 ","12,657 ","11,386 ","10,472 ","9,576 ","10,709 ","9,595 ","8,340 ","7,310 ","6,897 ","4,412 ","1,337 ","1,046 ",767 ,673 ,"3,958 ","3,811 ","3,948 ","5,325 ","3,350 ","6,402 ","2,530 ","2,398 ","2,344 ","2,283 ","830,677 ","1,482,773 ","1,505,119 ","1,674,909 ","1,641,640 ","1,631,013 ","1,654,015 ","1,684,533 ","1,702,996 ","1,715,454 ","1,653,600 ","1,634,300 ","1,562,178 ","1,543,863 ","1,533,719 ","1,546,209 ","1,506,225 ","1,502,888 "
Total Debt,"50,000 ",0 ,"25,239 ","100,185 ","353,868 ","351,035 ","444,058 ","718,567 ","1,058,699 ","1,196,043 ","931,233 ","877,464 ","2,640,489 ","6,076,175 ","6,044,408 ","6,159,736 ","8,365,783 ","12,001,393 ","12,946,822 ","13,793,407 ","16,530,015 ","22,226,089 ","23,056,896 ","25,319,125 ","28,557,635 ","28,378,087 ","28,039,993 ","27,928,046 ","27,506,259 ","27,698,911 ","27,640,980 ","28,921,875 ","28,782,557 ","29,226,483 ","34,615,251 ","36,880,840 ","40,572,447 ","41,947,746 ","43,649,551 ","44,831,146 ","44,647,058 ","44,879,614 ","45,108,286 ","45,569,277 ","44,111,567 ","44,975,864 ","46,880,554 ","48,197,064 ","51,769,244 ","52,643,995 ","60,449,059 ","63,002,875 ","72,643,484 ","64,375,383 ","64,213,121 ","63,279,403 "
Deferred Income Tax,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,590 ","2,385 ","3,005 ",0 ,0 ,--,--,--,--,"216,912 ","212,058 ","204,688 ","200,531 ","193,429 ","183,483 ","179,956 ","180,228 ","191,506 ","327,542 ","334,679 ","296,341 ","334,407 ","338,863 ","256,907 ","254,366 ","531,930 ","525,451 ","239,615 ","245,334 ","266,072 ","274,459 ","272,308 ","234,732 ","227,509 ","222,705 "
Deferred Income Tax - LT Liability,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,590 ","2,385 ","3,005 ",0 ,0 ,--,--,--,--,"216,912 ","212,058 ","204,688 ","200,531 ","193,429 ","183,483 ","179,956 ","180,228 ","191,506 ","327,542 ","334,679 ","296,341 ","334,407 ","338,863 ","256,907 ","254,366 ","531,930 ","525,451 ","239,615 ","245,334 ","266,072 ","274,459 ","272,308 ","234,732 ","227,509 ","222,705 "
Minority Interest,2 ,1 ,3 ,4 ,12 ,11 ,"32,029 ","31,318 ","1,466 ","2,246 ","9,002 ","2,681 ","2,765 ","2,964 ","3,206 ","3,579 ","3,796 ","3,981 ","4,238 ","4,486 ","4,702 ","4,975 ","5,211 ","5,464 ","5,568 ","6,006 ","6,518 ","6,701 ","76,888 ","76,022 ","908,156 ","928,212 ","916,928 ","1,378,962 ","1,339,472 ","1,307,509 ","1,710,677 ","1,501,953 ","1,571,082 ","1,573,707 ","1,827,554 ","1,815,361 ","1,941,193 ","2,645,602 ","2,682,179 ","2,600,699 ","2,500,681 ","2,361,430 ","2,270,006 ","2,375,390 ","2,445,107 ","2,542,986 ","2,451,327 ","2,310,247 ","2,116,043 ","1,785,891 "
"Other Liabilities, Total",--,--,--,--,--,--,827 ,937 ,992 ,"1,115 ","6,223 ","1,224 ","1,279 ","1,688 ","2,039 ","2,389 ","2,740 ","3,091 ","3,245 ","3,400 ","3,639 ","680,531 ","207,624 ","926,256 ","1,086,744 ","799,243 ","1,206,857 ","1,228,959 ","1,048,273 ","813,477 ","823,162 ","828,203 ","836,728 ","841,846 ","1,346,841 ","1,600,917 ","1,607,660 ","2,123,193 ","2,370,569 ","2,390,208 ","2,419,468 ","2,231,297 ","2,292,373 ","2,325,493 ","2,362,056 ","1,982,579 ","2,004,492 ","2,031,394 ","2,034,499 ","2,287,994 ","2,286,687 ","2,311,994 ","2,261,453 ","2,460,339 ","2,524,545 ","2,565,660 "
Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"200,575 ","202,267 ","273,847 ","276,736 ","299,361 ","710,552 ","716,452 ","722,611 ","801,897 ","807,967 ","814,152 ","820,453 ","799,685 ","1,303,474 ","1,539,778 ","1,552,306 ","2,056,009 ","2,242,170 ","2,258,512 ","2,266,927 ","2,073,683 ","2,083,830 ","2,094,731 ","2,105,047 ","1,740,989 ","1,751,014 ","1,764,328 ","1,777,344 ","1,989,604 ","2,006,973 ","2,024,564 ","2,039,289 ","2,162,365 ","2,194,256 ","2,195,873 "
Pension Benefits - Underfunded,--,--,--,--,--,--,827 ,937 ,992 ,"1,115 ","1,170 ","1,224 ","1,279 ","1,688 ","2,039 ","2,389 ","2,740 ","3,091 ","3,245 ","3,400 ","3,639 ","4,972 ","5,357 ","5,742 ","6,127 ","6,512 ","6,812 ","7,112 ","7,412 ","7,712 ","8,028 ","8,344 ","8,660 ","33,888 ","35,503 ","37,137 ","47,647 ","49,948 ","53,467 ","55,990 ","62,191 ","67,613 ","71,601 ","75,997 ","79,795 ","86,320 ","97,588 ","101,774 ","97,380 ","102,470 ","106,748 ","110,913 ","115,036 ","116,507 ","117,674 ","114,101 "
Other Long Term Liabilities,--,--,--,--,--,--,--,--,--,--,"5,054 ",--,--,--,--,--,--,--,--,--,--,"474,984 ",--,"646,667 ","803,881 ","493,370 ","489,493 ","505,395 ","318,250 ","3,868 ","7,167 ","5,707 ","7,615 ","8,272 ","7,864 ","24,002 ","7,707 ","17,237 ","74,932 ","75,706 ","90,350 ","90,001 ","136,942 ","154,765 ","177,214 ","155,270 ","155,890 ","165,292 ","159,775 ","195,921 ","172,966 ","176,517 ","107,128 ","181,466 ","212,615 ","255,686 "
