Earth Tech Environment PCL | Price History                                          25-Sep-2024 16:18,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ETC.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"21,383,955,600",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
4.50 - 5.00,"238,849,000",1.12%,2,0.93%,,,,,,,,,,,
4.00 - 4.50,"1,290,855,500",6.04%,19,8.84%,,,,,,,,,,,
3.50 - 4.00,"3,040,144,900",14.22%,26,12.09%,,,,,,,,,,,
3.00 - 3.50,"4,690,995,500",21.94%,42,19.53%,,,,,,,,,,,
2.50 - 3.00,"3,351,664,900",15.67%,71,33.02%,,,,,,,,,,,
2.00 - 2.50,"6,920,627,000",32.36%,28,13.02%,,,,,,,,,,,
1.50 - 2.00,"1,850,818,800",8.66%,27,12.56%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ETC.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,5.00,15-เม.ย.-2022,Max,"3,320,869,900",21-ส.ค.-2020,Advancing,"10,227,200,600",Up,97,Up,+25.22%,19-มี.ค.-2021,Max,"9,753,271,278.00",21-ส.ค.-2020
Low,1.60,26-ก.ค.-2024,Min,"794,500",24-พ.ค.-2024,Declining,"7,593,954,100",Down,108,Down,-16.60%,15-เม.ย.-2022,Min,"1,789,646.00",24-พ.ค.-2024
Avg,2.94,,Avg,"99,460,259",,Total,"21,383,955,600",Unch,9,Period,+11.54%,10 Years,Avg,"295,619,036.99",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ETC.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
27-ก.ย.-2024,2.32,+0.10,+4.50%,2.24,2.10,2.34,"8,223,500","17,950,998.00","9,071,311,654.00",,,,,,
20-ก.ย.-2024,2.22,-0.06,-2.63%,2.26,2.20,2.30,"8,788,300","19,819,282.00","9,053,360,656.00",,,,,,
13-ก.ย.-2024,2.28,+0.22,+10.68%,2.06,2.06,2.28,"16,481,800","35,878,164.00","9,073,179,938.00",,,,,,
06-ก.ย.-2024,2.06,+0.21,+11.35%,1.85,1.82,2.16,"18,288,900","36,857,845.00","9,037,301,774.00",,,,,,
30-ส.ค.-2024,1.85,-0.13,-6.57%,1.98,1.82,1.99,"6,709,400","12,642,622.00","9,000,443,929.00",,,,,,
23-ส.ค.-2024,1.98,+0.07,+3.66%,1.92,1.84,2.00,"4,523,100","8,719,881.00","9,013,086,551.00",,,,,,
16-ส.ค.-2024,1.91,+0.04,+2.14%,1.90,1.82,1.95,"3,279,500","6,270,687.00","9,004,366,670.00",,,,,,
09-ส.ค.-2024,1.87,-0.01,-0.53%,1.80,1.73,1.89,"5,030,300","9,068,769.00","8,998,095,983.00",,,,,,
02-ส.ค.-2024,1.88,+0.14,+8.05%,1.75,1.74,1.88,"4,653,800","8,462,849.00","9,007,164,752.00",,,,,,
26-ก.ค.-2024,1.74,+0.06,+3.57%,1.67,1.60,1.74,"2,932,300","4,819,265.00","8,998,701,903.00",,,,,,
19-ก.ค.-2024,1.68,-0.32,-16.00%,1.96,1.63,1.98,"8,839,600","15,379,599.00","8,993,882,638.00",,,,,,
12-ก.ค.-2024,2.00,+0.10,+5.26%,1.92,1.89,2.04,"3,539,900","6,936,007.00","9,009,262,237.00",,,,,,
05-ก.ค.-2024,1.90,-0.01,-0.52%,1.91,1.82,1.92,"2,104,900","3,945,615.00","9,002,326,230.00",,,,,,
28-มิ.ย.-2024,1.91,-0.04,-2.05%,1.94,1.87,1.95,"2,541,700","4,848,193.00","9,006,271,845.00",,,,,,
21-มิ.ย.-2024,1.95,-0.21,-9.72%,2.12,1.80,2.18,"5,205,300","10,054,023.00","9,011,120,038.00",,,,,,
14-มิ.ย.-2024,2.16,-0.02,-0.92%,2.16,2.06,2.16,"2,211,600","4,639,696.00","9,021,174,061.00",,,,,,
07-มิ.ย.-2024,2.18,-0.08,-3.54%,2.26,2.06,2.26,"2,300,200","4,876,364.00","9,025,813,757.00",,,,,,
31-พ.ค.-2024,2.26,0.00,0.00%,2.26,2.18,2.32,"1,780,300","4,010,362.00","9,030,690,121.00",,,,,,
24-พ.ค.-2024,2.26,+0.02,+0.89%,2.24,2.22,2.32,"794,500","1,789,646.00","9,026,679,759.00",,,,,,
17-พ.ค.-2024,2.24,-0.10,-4.27%,2.34,2.18,2.34,"3,569,100","7,992,526.00","9,024,890,113.00",,,,,,
10-พ.ค.-2024,2.34,-0.12,-4.88%,2.44,2.32,2.52,"3,830,200","9,182,076.00","9,032,882,639.00",,,,,,
03-พ.ค.-2024,2.46,-0.02,-0.81%,2.48,2.44,2.52,"1,344,600","3,331,324.00","9,042,064,715.00",,,,,,
26-เม.ย.-2024,2.48,+0.08,+3.33%,2.44,2.40,2.54,"2,393,200","5,901,190.00","9,045,396,039.00",,,,,,
19-เม.ย.-2024,2.40,-0.22,-8.40%,2.64,2.32,2.64,"3,463,200","8,498,758.00","9,039,494,849.00",,,,,,
12-เม.ย.-2024,2.62,+0.08,+3.15%,2.54,2.54,2.66,"2,309,800","6,019,152.00","9,047,993,607.00",,,,,,
05-เม.ย.-2024,2.54,-0.22,-7.97%,2.78,2.48,2.78,"10,618,100","27,586,684.00","9,041,974,455.00",,,,,,
29-มี.ค.-2024,2.76,-0.14,-4.83%,2.86,2.74,2.86,"4,378,300","12,175,914.00","9,069,561,139.00",,,,,,
22-มี.ค.-2024,2.90,-0.10,-3.33%,3.00,2.86,3.04,"9,330,800","27,295,380.00","9,081,737,053.00",,,,,,
15-มี.ค.-2024,3.00,+0.18,+6.38%,2.86,2.86,3.06,"44,065,500","129,877,294.00","9,109,032,433.00",,,,,,
08-มี.ค.-2024,2.82,+0.14,+5.22%,2.68,2.68,2.86,"7,412,900","20,692,882.00","8,979,155,139.00",,,,,,
01-มี.ค.-2024,2.68,+0.02,+0.75%,2.64,2.62,2.76,"1,570,000","4,225,134.00","8,958,462,257.00",,,,,,
23-ก.พ.-2024,2.66,-0.02,-0.75%,2.62,2.56,2.66,"2,960,300","7,747,590.00","8,954,237,123.00",,,,,,
16-ก.พ.-2024,2.68,+0.14,+5.51%,2.56,2.56,2.86,"15,018,500","41,103,932.00","8,961,984,713.00",,,,,,
09-ก.พ.-2024,2.54,+0.10,+4.10%,2.46,2.42,2.58,"1,798,700","4,489,928.00","8,920,880,781.00",,,,,,
02-ก.พ.-2024,2.44,-0.10,-3.94%,2.52,2.40,2.56,"2,183,200","5,346,792.00","8,916,390,853.00",,,,,,
26-ม.ค.-2024,2.54,-0.02,-0.78%,2.56,2.46,2.58,"1,854,100","4,675,570.00","8,921,737,645.00",,,,,,
19-ม.ค.-2024,2.56,-0.12,-4.48%,2.68,2.54,2.68,"3,853,200","10,046,912.00","8,926,413,215.00",,,,,,
12-ม.ค.-2024,2.68,-0.12,-4.29%,2.78,2.62,2.78,"6,164,300","16,478,552.00","8,936,460,127.00",,,,,,
05-ม.ค.-2024,2.80,+0.08,+2.94%,2.70,2.70,2.82,"2,575,800","7,141,122.00","8,952,938,679.00",,,,,,
29-ธ.ค.-2023,2.72,-0.04,-1.45%,2.76,2.68,2.78,"2,196,800","5,990,176.00","8,945,797,557.00",,,,,,
22-ธ.ค.-2023,2.76,+0.10,+3.76%,2.66,2.60,2.76,"4,156,100","11,084,056.00","8,951,787,733.00",,,,,,
15-ธ.ค.-2023,2.66,-0.08,-2.92%,2.72,2.62,2.72,"3,148,100","8,412,950.00","8,940,703,677.00",,,,,,
08-ธ.ค.-2023,2.74,+0.04,+1.48%,2.70,2.68,2.76,"4,300,300","11,708,220.00","8,949,116,627.00",,,,,,
01-ธ.ค.-2023,2.70,-0.04,-1.46%,2.70,2.66,2.78,"5,915,900","16,100,494.00","8,937,408,407.00",,,,,,
24-พ.ย.-2023,2.74,+0.02,+0.74%,2.66,2.66,2.80,"4,419,600","12,145,946.00","8,953,508,901.00",,,,,,
17-พ.ย.-2023,2.72,+0.04,+1.49%,2.70,2.62,2.76,"8,494,500","22,947,922.00","8,941,362,955.00",,,,,,
10-พ.ย.-2023,2.68,-0.02,-0.74%,2.70,2.64,2.72,"5,980,500","16,021,544.00","8,918,415,033.00",,,,,,
03-พ.ย.-2023,2.70,+0.04,+1.50%,2.62,2.60,2.78,"13,509,500","36,306,554.00","8,934,436,577.00",,,,,,
27-ต.ค.-2023,2.66,0.00,0.00%,2.66,2.58,2.76,"6,397,900","17,116,738.00","8,898,130,023.00",,,,,,
20-ต.ค.-2023,2.66,-0.28,-9.52%,2.92,2.64,3.04,"19,702,800","56,347,878.00","8,915,246,761.00",,,,,,
13-ต.ค.-2023,2.94,+0.10,+3.52%,2.84,2.80,2.94,"7,062,000","20,231,588.00","8,971,594,639.00",,,,,,
06-ต.ค.-2023,2.84,-0.14,-4.70%,3.00,2.72,3.00,"11,461,300","32,537,216.00","8,951,363,051.00",,,,,,
29-ก.ย.-2023,2.98,+0.02,+0.68%,2.96,2.80,3.02,"15,212,200","44,414,878.00","8,983,900,267.00",,,,,,
22-ก.ย.-2023,2.96,+0.14,+4.96%,2.82,2.82,3.00,"10,296,600","29,949,596.00","8,939,485,389.00",,,,,,
15-ก.ย.-2023,2.82,-0.18,-6.00%,3.00,2.76,3.00,"9,905,200","28,399,466.00","8,909,535,793.00",,,,,,
08-ก.ย.-2023,3.00,+0.10,+3.45%,2.90,2.86,3.08,"17,993,600","53,428,258.00","8,937,935,259.00",,,,,,
01-ก.ย.-2023,2.90,-0.22,-7.05%,3.12,2.86,3.20,"24,297,100","74,625,024.00","8,884,507,001.00",,,,,,
25-ส.ค.-2023,3.12,+0.28,+9.86%,2.84,2.82,3.18,"36,403,800","111,451,656.00","8,959,132,025.00",,,,,,
18-ส.ค.-2023,2.84,+0.04,+1.43%,2.80,2.74,2.90,"4,008,900","11,339,736.00","8,847,680,369.00",,,,,,
11-ส.ค.-2023,2.80,-0.04,-1.41%,2.84,2.74,2.88,"6,503,100","18,301,772.00","8,836,340,633.00",,,,,,
04-ส.ค.-2023,2.84,-0.12,-4.05%,2.98,2.82,3.10,"15,675,600","46,862,238.00","8,854,642,405.00",,,,,,
28-ก.ค.-2023,2.96,+0.08,+2.78%,2.84,2.80,2.96,"4,292,300","12,443,162.00","8,901,504,643.00",,,,,,
21-ก.ค.-2023,2.88,-0.04,-1.37%,2.88,2.84,3.06,"10,874,900","32,051,082.00","8,889,061,481.00",,,,,,
14-ก.ค.-2023,2.92,+0.12,+4.29%,2.76,2.72,2.92,"6,930,200","19,327,698.00","8,921,112,563.00",,,,,,
