,2005,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024
, Sep-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,90 ,77 ,43 ,4 ,6 ,9 ,2 ,1 ,3 ,4 ,3 ,11 ,31 ,41 ,56 ,44 ,51 ,57 ,38 ,60 ,50 ,20 ,57 ,9 ,7 ,11 ,27 ,73 ,89 ,93 ,49 ,N/A ,26 ,N/A ,4 ,N/A ,2 ,N/A ,12 ,19 
Period End Date,30-Sep-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Receivables, Net","152,056 ","156,332 ","277,033 ","433,832 ","410,723 ","342,635 ","201,155 ","428,262 ","369,926 ","267,429 ","450,348 ","461,345 ","304,117 ","334,457 ","716,391 ","800,211 ","350,028 ","514,917 ","347,947 ","321,548 ","435,018 ","301,245 ","418,653 ","534,856 ","500,058 ","377,085 ","242,945 ","493,409 ","513,370 ","476,260 ","542,274 ","799,084 ","783,561 ","585,688 ","382,122 ","452,593 ","409,729 ","467,414 ","606,935 ","753,597 ","914,536 ","793,151 ","772,820 ","678,681 ","731,314 ","861,328 ","800,387 ","688,613 ","658,159 ","685,587 ","669,050 ","719,587 ","655,555 ","851,064 ","806,179 ","754,236 ","735,575 ","597,434 ","680,164 ","571,763 ","715,671 ","1,049,092 ","684,423 ","781,892 ","618,901 ","725,313 ","610,757 ","571,798 ","662,702 ","535,199 ","581,206 ","609,714 ","660,764 ","593,486 ","981,977 "
Notes Receivable - Short Term,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,"1,500 ","14,000 ","18,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 
Receivables - Other,--,--,--,--,--,--,--,--,--,--,--,--,"59,781 ",--,--,--,--,--,--,--,--,"4,581 ",--,--,--,"7,440 ",--,--,--,--,--,--,--,0 ,--,"5,530 ","5,530 ",0 ,0 ,--,0 ,--,--,--,0 ,"57,848 ",--,--,0 ,"31,570 ","33,893 ","30,121 ","36,308 ","76,134 ","55,886 ","70,425 ","62,013 ","74,782 ","72,942 ","88,865 ","100,968 ","67,961 ","47,548 ","50,898 ","43,980 ","35,243 ","37,917 ","49,199 ","52,061 ","50,105 ","45,695 ","44,557 ","55,254 ","57,609 ","47,601 "
Total Inventory,"366,847 ","413,928 ","459,153 ","448,502 ","521,181 ","412,414 ","581,751 ","426,187 ","558,576 ","570,484 ","595,352 ","775,638 ","1,044,386 ","959,969 ","912,544 ","908,407 ","1,015,802 ","756,729 ","710,831 ","710,210 ","648,685 ","665,443 ","676,867 ","646,523 ","759,184 ","726,451 ","905,729 ","938,078 ","806,442 ","934,364 ","1,064,843 ","847,256 ","884,635 ","782,386 ","814,062 ","882,944 ","1,028,227 ","822,401 ","732,103 ","772,549 ","873,950 ","747,376 ","884,012 ","1,006,341 ","900,449 ","835,343 ","813,243 ","865,041 ","867,917 ","801,547 ","908,605 ","953,622 ","1,040,940 ","821,937 ","751,092 ","796,376 ","890,674 ","1,034,399 ","1,121,481 ","1,335,269 ","1,299,711 ","812,028 ","764,378 ","691,281 ","803,485 ","725,216 ","759,996 ","901,382 ","859,637 ","876,483 ","923,070 ","1,007,363 ","1,365,040 ","1,428,057 ","1,378,711 "
Inventories - Finished Goods,"32,433 ","34,136 ","59,021 ","81,020 ","67,590 ","45,669 ","83,864 ","55,889 ","48,498 ","129,564 ","69,257 ","44,720 ","167,752 ","36,270 ","30,471 ","41,944 ","258,887 ","175,539 ","74,985 ","71,147 ","69,295 ","61,596 ","83,566 ","75,696 ","66,319 ",--,"62,202 ","76,966 ","78,475 ","103,866 ","101,757 ","93,969 ","91,256 ","125,873 ","122,010 ","111,677 ","158,331 ","123,747 ","140,125 ","133,259 ","120,290 ","110,195 ","122,183 ","134,190 ","106,957 ","117,547 ","119,540 ","162,073 ","106,202 ","202,553 ","193,566 ","203,345 ","208,690 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Work In Progress,"106,644 ","161,376 ","182,881 ","125,599 ","212,800 ","119,054 ","213,508 ","100,867 ","200,187 ","167,330 ","131,425 ","134,167 ","280,840 ","242,906 ","327,554 ","212,390 ","250,858 ","70,535 ","184,770 ","222,858 ","164,886 ","199,447 ","193,774 ","140,153 ","210,503 ",--,"322,525 ","360,881 ","239,589 ","200,987 ","341,766 ","265,011 ","266,821 ","229,988 ","270,720 ","276,375 ","317,713 ","292,864 ","212,130 ","207,773 ","278,725 ","202,908 ","246,712 ","293,644 ","306,409 ","219,103 ","186,846 ","224,468 ","266,706 ","185,904 ","247,340 ","273,507 ","333,111 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Raw Materials,"229,675 ","222,959 ","221,902 ","246,451 ","244,613 ","251,558 ","288,390 ","273,586 ","314,123 ","277,960 ","399,274 ","601,492 ","600,785 ","686,033 ","558,018 ","657,746 ","509,990 ","514,797 ","455,495 ","420,900 ","419,295 ","382,771 ","404,544 ","435,919 ","487,833 ",--,"520,147 ","502,535 ","479,730 ","634,029 ","614,338 ","485,808 ","525,294 ","430,293 ","373,899 ","440,935 ","518,602 ","378,329 ","401,812 ","433,025 ","479,440 ","440,949 ","524,996 ","594,297 ","500,360 ","510,256 ","512,971 ","498,315 ","512,530 ","432,672 ","484,312 ","495,168 ","519,446 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Other,"(1,905)","(4,543)","(4,651)","(4,568)","(3,822)","(3,867)","(4,011)","(4,155)","(4,232)","(4,370)","(4,604)","(4,741)","(4,991)","(5,240)","(3,499)","(3,673)","(3,933)","(4,142)","(4,419)","(4,696)","(4,790)","21,629 ","(5,017)","(5,244)","(5,472)","726,451 ",855 ,"(2,304)","8,648 ","(4,518)","6,982 ","2,468 ","1,264 ","(3,769)","47,434 ","53,957 ","33,581 ","27,460 ","(21,964)","(1,507)","(4,505)","(6,676)","(9,879)","(15,790)","(13,276)","(11,563)","(6,115)","(19,815)","(17,521)","(19,581)","(16,614)","(18,398)","(20,307)","821,937 ","751,092 ","796,376 ","890,674 ","1,034,399 ","1,121,481 ","1,335,269 ","1,299,711 ","812,028 ","764,378 ","691,281 ","803,485 ","725,216 ","759,996 ","901,382 ","859,637 ","876,483 ","923,070 ","1,007,363 ","1,365,040 ","1,428,057 ",--
Prepaid Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,378 ","5,254 ","6,870 ","3,847 ","3,228 ","4,475 ","3,558 ","6,938 ","19,965 ","24,248 ","24,917 ","15,084 ","23,630 ","25,607 ","32,470 ","33,624 ","33,820 ","33,621 ","29,550 ","22,109 ","22,854 ","25,115 ","21,429 ","21,290 ","20,162 ","22,701 ","21,708 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other Current Assets, Total","9,565 ","11,792 ","20,543 ","25,390 ","139,538 ","173,752 ","141,782 ","72,025 ","163,167 ","37,125 ","51,396 ","65,773 ","43,136 ","22,478 ","20,972 ","27,840 ","41,827 ","10,296 ","20,553 ","23,036 ","15,184 ","3,894 ","31,158 ","25,620 ","22,613 ","2,329 ","14,672 ","8,190 ","5,700 ","13,061 ","9,376 ","6,900 ","8,787 ","7,179 ","13,132 ","13,507 ","29,391 ","8,463 ","17,200 ","25,262 ","49,127 ","63,386 ","82,403 ","96,994 ","81,029 ","4,336 ","76,521 ","45,590 ","51,508 ","17,305 ","16,608 ","17,384 ","5,850 ","1,730 ","2,006 ","2,165 ","2,810 ","1,877 ","1,897 ","1,077 ",716 ,248 ,246 ,86 ,65 ,--,--,--,--,--,--,--,18 ,--,--
