,2005,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024
, Sep-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,90 ,77 ,43 ,4 ,6 ,9 ,2 ,1 ,3 ,4 ,3 ,11 ,31 ,41 ,56 ,44 ,51 ,57 ,38 ,60 ,50 ,20 ,57 ,9 ,7 ,11 ,27 ,73 ,89 ,93 ,49 ,N/A ,26 ,N/A ,4 ,N/A ,2 ,N/A ,12 ,19 
Period End Date,30-Sep-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash - Current,--,--,--,--,"110,270 ","141,502 ","95,897 ","39,751 ","123,733 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,293 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Current Assets,"9,565 ","11,792 ","20,543 ","25,390 ","29,268 ","32,250 ","45,885 ","32,274 ","39,434 ","37,125 ","51,396 ","65,773 ","43,136 ","22,478 ","20,972 ","27,840 ","41,827 ","10,296 ","20,553 ","23,036 ","15,184 ","3,894 ","31,158 ","25,620 ","22,613 ","2,329 ","14,672 ","8,190 ","5,700 ","13,061 ","9,376 ","6,900 ","8,787 ","7,179 ","13,132 ","13,507 ","29,098 ","8,463 ","17,200 ","25,262 ","49,127 ","63,386 ","82,403 ","96,994 ","81,029 ","4,336 ","76,521 ","45,590 ","51,508 ","17,305 ","16,608 ","17,384 ","5,850 ","1,730 ","2,006 ","2,165 ","2,810 ","1,877 ","1,897 ","1,077 ",716 ,248 ,246 ,86 ,65 ,--,--,--,--,--,--,--,18 ,--,--
Total Current Assets,"625,083 ","655,167 ","798,677 ","978,678 ","1,187,413 ","1,030,857 ","962,280 ","1,006,927 ","1,219,231 ","977,156 ","1,159,292 ","1,375,998 ","1,412,148 ","1,505,043 ","1,702,939 ","1,774,777 ","1,592,532 ","1,544,509 ","1,242,253 ","1,180,603 ","1,197,566 ","1,207,257 ","1,306,098 ","1,366,048 ","1,497,188 ","1,370,630 ","1,301,440 ","2,102,272 ","1,685,585 ","1,711,779 ","1,803,987 ","1,825,291 ","1,865,485 ","1,944,095 ","1,860,292 ","1,806,354 ","1,880,684 ","1,884,578 ","2,131,410 ","1,820,922 ","2,164,788 ","2,009,831 ","2,048,149 ","2,017,211 ","2,026,076 ","2,041,765 ","1,945,110 ","1,762,012 ","1,711,798 ","1,839,945 ","1,767,730 ","1,897,552 ","1,970,144 ","1,923,839 ","1,737,962 ","1,723,870 ","1,805,999 ","2,217,746 ","2,137,889 ","2,131,968 ","2,151,568 ","2,205,621 ","1,674,352 ","1,701,815 ","1,888,273 ","1,767,268 ","1,670,549 ","1,749,929 ","1,713,868 ","1,734,948 ","1,734,601 ","1,817,220 ","2,144,166 ","2,202,437 ","2,524,064 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Property/Plant/Equipment, Total - Net","243,289 ","235,796 ","229,583 ","224,338 ","218,219 ","210,301 ","204,077 ","201,754 ","193,502 ","186,480 ","199,217 ","199,915 ","203,929 ","202,015 ","197,551 ","193,433 ","191,774 ","189,079 ","188,183 ","245,208 ","243,878 ","239,740 ","233,530 ","237,361 ","237,063 ","253,864 ","368,581 ","368,922 ","397,952 ","432,716 ","430,698 ","441,329 ","435,604 ","441,728 ","441,858 ","483,998 ","492,306 ","552,089 ","551,760 ","696,289 ","771,714 ","820,284 ","925,824 ","1,015,995 ","1,067,859 ","1,092,872 ","1,116,697 ","1,124,737 ","1,122,277 ","1,109,211 ","1,098,396 ","1,084,629 ","1,073,865 ","1,056,850 ","1,038,915 ","1,030,380 ","1,034,985 ","994,862 ","1,029,779 ","1,006,894 ","992,275 ","972,701 ","953,209 ","935,134 ","917,760 ","885,233 ","887,519 ","894,213 ","901,617 ","915,908 ","942,042 ","935,899 ","923,618 ","916,349 ","905,990 "
"Goodwill, Net",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,"19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 ","19,772 "
"Intangibles, Net","14,917 ","13,789 ","12,680 ","11,613 ","10,535 ","9,457 ","8,402 ","7,336 ","6,258 ","11,721 ","4,125 ","3,059 ","1,980 ","9,876 ","9,570 ","10,130 ","10,597 ","17,619 ","11,064 ","11,316 ","28,625 ","28,801 ","28,870 ","28,677 ","25,970 ","27,067 ","25,762 ","21,821 ","20,828 ","27,439 ","23,414 ","22,468 ","24,841 ","26,496 ","24,298 ","24,368 ","22,304 ","21,077 ","20,277 ","19,381 ","17,093 ","14,281 ","20,283 ","19,433 ","27,278 ","10,711 ","10,320 ","9,287 ","9,236 ","8,151 ","13,314 ","11,873 ","10,699 ","9,101 ","9,399 ","8,038 ","6,802 ","5,511 ","4,516 ","36,648 ","35,201 ","34,264 ","33,034 ","31,074 ","32,739 ","34,018 ","42,339 ","41,489 ","40,518 ","39,551 ","39,391 ","38,596 ","37,731 ","37,163 ","36,391 "
Long Term Investments,"33,913 ","34,587 ","34,587 ","71,847 ","33,850 ","64,914 ","37,016 ","37,384 ","38,248 ","127,236 ","141,015 ","171,467 ","182,408 ","195,914 ","209,010 ","220,141 ","217,822 ","212,799 ","215,050 ","204,457 ","200,968 ","206,724 ","211,294 ","223,630 ","251,820 ","264,498 ","285,365 ","292,568 ","294,185 ","303,924 ","259,661 ","162,317 ","123,436 ","104,118 ","102,748 ","103,271 ","103,495 ","103,901 ","104,380 ","67,313 ","67,407 ","68,204 ","68,277 ","68,369 ","51,863 ","40,445 ","37,229 ","37,245 ","37,281 ","37,430 ","37,452 ","37,469 ","37,650 ","37,788 ","37,811 ","37,827 ","37,863 ","38,002 ","33,657 ","33,668 ","33,690 ","33,817 ","33,823 ","33,825 ","33,833 ","33,874 ","33,878 ","33,880 ","33,888 ","33,921 ","33,927 ","33,933 ","33,946 ","28,000 ","28,011 "
LT Investment - Affiliate Companies,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
LT Investments - Other,"33,913 ","34,587 ","34,587 ","71,847 ","33,850 ","64,914 ","37,016 ","37,384 ","38,248 ","127,236 ","141,015 ","171,467 ","182,408 ","195,914 ","209,010 ","220,141 ","217,822 ","212,799 ","215,050 ","204,457 ","200,968 ","206,724 ","211,294 ","223,630 ","251,820 ","264,498 ","285,365 ","292,568 ","294,185 ","303,924 ","259,661 ","162,317 ","123,436 ","104,118 ","102,748 ","103,271 ","103,495 ","103,901 ","104,380 ","67,313 ","67,407 ","68,204 ","68,277 ","68,369 ","51,863 ","40,445 ","37,229 ","37,245 ","37,281 ","37,430 ","37,452 ","37,469 ","37,650 ","37,788 ","37,811 ","37,827 ","37,863 ","38,002 ","33,657 ","33,668 ","33,690 ","33,817 ","33,823 ","33,825 ","33,833 ","33,874 ","33,878 ","33,880 ","33,888 ","33,921 ","33,927 ","33,933 ","33,946 ","28,000 ","28,011 "
Note Receivable - Long Term,"1,093 ",195 ,150 ,80 ,65 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,064 ","12,181 ","3,493 ","8,186 ","1,368 ","3,851 ","6,431 ","8,363 ","7,528 ","9,582 ","9,963 ","22,564 ","17,923 ","13,946 ","23,005 ","26,861 ","30,686 ","33,931 ","36,781 ","41,029 ","30,441 ","44,899 ","44,883 ","44,643 ","44,552 ","50,925 ","50,917 ","50,045 ","25,177 ","29,308 ","29,308 ","29,308 ","18,746 ","15,270 ","15,022 ","14,956 ","8,441 ","18,655 ","18,655 ","18,655 ","18,655 ","21,422 "
"Other Long Term Assets, Total","12,568 ","12,906 ","10,100 ","11,476 ","9,553 ","9,533 ","10,149 ","8,770 ","9,620 ","4,581 ","10,365 ","11,203 ","12,755 ","3,516 ","4,185 ","4,784 ","3,341 ","3,067 ","3,117 ","2,825 ","2,890 ","2,936 ","2,971 ","3,065 ","3,137 ","37,211 ","3,194 ","3,272 ","6,617 ","32,503 ","40,754 ","31,656 ","41,079 ","33,704 ","54,894 ","33,182 ","63,738 ","70,412 ","84,546 ","71,948 ","79,032 ","84,939 ","78,374 ","73,962 ","60,373 ","80,137 ","89,038 ","103,464 ","121,241 ","102,096 ","102,385 ","105,074 ","111,121 ","74,086 ","80,005 ","77,257 ","75,956 ","57,147 ","66,525 ","53,234 ","57,735 ","46,832 ","52,713 ","47,479 ","48,909 ","52,318 ","56,573 ","68,874 ","77,030 ","73,411 ","69,078 ","73,252 ","48,057 ","43,204 ","45,436 "
Deferred Charges,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"27,694 ","18,793 ","12,437 ",0 ,"16,691 ","16,355 ","16,179 ","15,756 ","15,756 ","15,756 ","15,756 ","15,756 ","15,756 ","15,756 ","15,756 ","15,756 ","15,756 ","15,756 ",0 ,841 ,841 ,"1,679 ","1,402 ","1,402 ","1,402 ","1,963 ","3,612 ","6,618 ","11,396 ","1,963 ","1,963 ","1,963 ","1,963 ","2,999 "
Defered Income Tax - Long Term Asset,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"18,725 ",--,--,--,"18,556 ","17,947 ","18,488 ","20,405 ","18,863 ","20,375 ","23,462 ","31,588 ","26,152 ","36,997 ","54,588 ","56,590 ","49,960 ","51,067 ","54,273 ","52,642 ","56,073 ","65,139 ","80,246 ","97,234 ","78,946 ","79,787 ","82,334 ","88,539 ","51,361 ","57,185 ","54,367 ","52,762 ","35,032 ","43,957 ","45,278 ","49,994 ","38,868 ","44,009 ","39,333 ","40,765 ","44,156 ","47,898 ","58,732 ","63,967 ","58,914 ","64,025 ","68,280 ","43,197 ","38,377 ","39,585 "
Other Long Term Assets,"12,568 ","12,906 ","10,100 ","11,476 ","9,553 ","9,533 ","10,149 ","8,770 ","9,620 ","4,581 ","10,365 ","11,203 ","12,755 ","3,516 ","4,185 ","4,784 ","3,341 ","3,067 ","3,117 ","2,825 ","2,890 ","2,936 ","2,971 ","3,065 ","3,137 ","18,486 ","3,194 ","3,272 ","6,617 ","13,947 ","22,807 ","13,168 ","20,674 ","14,841 ","34,519 ","9,719 ","32,150 ","44,261 ","47,549 ","17,360 ","22,442 ","7,286 ","8,515 ","7,252 ","7,731 ","7,373 ","7,545 ","7,039 ","8,252 ","7,393 ","6,842 ","6,984 ","6,826 ","6,969 ","7,064 ","7,134 ","7,438 ","6,359 ","6,812 ","7,956 ","6,900 ","7,122 ","7,024 ","6,743 ","6,742 ","6,760 ","6,713 ","6,530 ","6,446 ","3,101 ","3,090 ","3,010 ","2,898 ","2,865 ","2,851 "
Total Assets,"930,863 ","952,440 ","1,085,777 ","1,298,032 ","1,459,635 ","1,325,062 ","1,221,924 ","1,262,171 ","1,466,859 ","1,307,174 ","1,514,014 ","1,761,642 ","1,813,220 ","1,916,364 ","2,123,255 ","2,203,265 ","2,016,066 ","1,967,073 ","1,659,667 ","1,644,408 ","1,673,927 ","1,685,458 ","1,782,763 ","1,858,781 ","2,015,178 ","1,953,270 ","1,984,341 ","2,788,853 ","2,405,167 ","2,528,134 ","2,578,287 ","2,502,834 ","2,510,217 ","2,575,976 ","2,516,043 ","2,474,437 ","2,590,486 ","2,653,196 ","2,915,996 ","2,702,057 ","3,128,170 ","3,024,839 ","3,170,261 ","3,224,704 ","3,275,785 ","3,303,624 ","3,232,112 ","3,079,522 ","3,048,466 ","3,147,290 ","3,072,982 ","3,193,151 ","3,264,281 ","3,151,877 ","2,968,763 ","2,942,027 ","3,026,020 ","3,377,591 ","3,343,064 ","3,333,102 ","3,340,286 ","3,338,183 ","2,796,211 ","2,798,407 ","2,970,596 ","2,811,230 ","2,725,900 ","2,823,179 ","2,801,650 ","2,825,952 ","2,857,466 ","2,937,326 ","3,225,945 ","3,265,580 ","3,581,086 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,"156,157 ","170,944 ","240,470 ","286,586 ","352,891 ","222,263 ","247,876 ","294,853 ","297,830 ","266,072 ","356,714 ","498,477 ","540,818 ","454,315 ","470,804 ","479,667 ","433,108 ","256,940 ","193,619 ","203,947 ","192,397 ","240,996 ","299,912 ","320,764 ","336,983 ","210,495 ","271,900 ","328,883 ","309,199 ","350,615 ","349,076 ","291,368 ","285,795 ","303,350 ","214,333 ","232,612 ","287,979 ","289,628 ","228,426 ","288,451 ","382,316 ","287,392 ","286,831 ","308,187 ","260,829 ","230,594 ","242,429 ","261,458 ","363,322 ","361,375 ","286,107 ","372,347 ","434,310 ","365,107 ","269,555 ","302,722 ","354,960 ","397,834 ","284,020 ","310,399 ","311,584 ","248,866 ","173,482 ","199,760 ","316,104 ","284,879 ","233,781 ","301,364 ","251,866 ","220,273 ","239,409 ","227,396 ","283,706 ","334,542 ","279,845 "
Accrued Expenses,--,--,--,--,--,--,--,--,--,"17,669 ",--,--,"58,692 ","79,130 ","73,171 ","97,888 ","64,567 ","48,311 ","38,197 ","37,884 ","65,574 ","34,230 ","40,597 ","56,304 ","72,511 ","34,510 ","50,787 ","53,424 ","68,704 ","56,853 ","74,305 ","83,947 ","95,793 ","58,942 ","73,911 ","92,112 ","89,425 ","55,761 ","58,697 ","80,745 ","104,040 ","83,897 ","78,751 ","101,287 ","123,463 ","129,890 ","108,128 ","132,432 ","135,928 ",--,"114,437 ","135,908 ","132,860 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Notes Payable/Short Term Debt,"56,372 ","58,211 ","104,172 ","150,598 ","234,488 ","251,097 ","145,292 ","137,129 ","280,041 ","104,348 ","201,003 ","269,892 ","299,295 ","239,676 ","394,315 ","468,224 ","472,658 ","495,493 ","207,179 ","271,833 ","265,914 ","247,298 ","230,222 ","321,469 ","386,176 ","454,371 ","406,887 ","638,586 ","251,733 ","345,755 ","329,106 ","239,991 ","306,760 ","267,973 ","220,555 ","240,421 ","362,513 ","359,552 ","491,477 ","637,318 ","865,534 ","851,053 ","1,002,052 ","1,027,430 ","829,416 ","788,828 ","940,849 ","637,102 ","567,347 ","601,930 ","581,535 ","554,485 ","771,652 ","833,637 ","775,476 ","642,065 ","728,633 ","885,349 ","1,031,863 ","1,010,748 ","1,011,517 ","945,409 ","656,713 ","665,429 ","699,005 ","621,805 ","642,942 ","750,943 ","824,459 ","884,197 ","916,085 ","1,046,022 ","1,175,255 ","1,126,295 ","1,377,266 "
Current Port. of LT Debt/Capital Leases,"36,454 ","54,614 ","47,199 ","58,103 ","57,965 ","68,839 ","71,830 ","71,103 ","74,158 ","73,505 ","73,505 ","89,501 ","91,558 ","93,852 ","90,130 ","85,659 ","85,809 ","99,746 ","83,248 ","86,391 ","83,066 ","57,716 ","57,585 ","49,592 ","49,601 ","49,745 ","49,930 ","31,055 ","31,262 ","15,235 ","15,268 ","13,905 ","14,080 ","11,628 ","9,902 ","606,454 ","603,921 ","601,089 ","600,431 ",342 ,55 ,0 ,"199,826 ","399,645 ","399,745 ","399,844 ","199,944 ","59,932 ","259,790 ","259,859 ","259,927 ","497,957 ","498,348 ","399,643 ","399,834 ","442,539 ","267,375 ","268,052 ","283,925 ","113,041 ","117,220 ","115,758 ","116,153 ","116,379 ","117,508 ","113,542 ","109,359 ","108,862 ","113,777 ","116,967 ","123,094 ","124,888 ","124,894 ","125,200 ","125,117 "
"Other Current liabilities, Total","86,819 ","130,946 ","158,004 ","125,681 ","102,624 ","79,549 ","95,081 ","81,803 ","94,705 ","119,842 ","132,321 ","143,548 ","100,643 ","205,492 ","182,481 ","210,143 ","143,051 ","192,820 ","75,132 ","93,457 ","64,931 ","100,369 ","76,653 ","44,112 ","56,567 ","49,764 ","107,241 ","60,079 ","46,593 ","42,691 ","57,865 ","93,883 ","69,151 ","84,134 ","144,189 ","125,041 ","110,740 ","98,328 ","97,298 ","152,806 ","141,685 ","129,517 ","109,282 ","81,904 ","63,552 ","59,497 ","72,733 ","70,813 ","76,857 ","191,509 ","94,076 ","97,793 ","123,815 ","253,110 ","239,067 ","208,004 ","165,221 ","230,979 ","188,683 ","248,819 ","283,513 ","345,628 ","232,718 ","199,430 ","186,708 ","170,565 ","167,391 ","160,990 ","156,429 ","160,451 ","163,684 ","155,214 ","189,797 ","167,960 ","219,995 "
Dividends Payable,--,--,--,--,--,0 ,--,--,--,"25,330 ",375 ,260 ,37 ,37 ,37 ,53 ,42 ,42 ,42 ,"1,280 ",116 ,112 ,56 ,61 ,450 ,68 ,64 ,69 ,67 ,67 ,67 ,338 ,659 ,609 ,601 ,"1,298 ",497 ,497 ,497 ,858 ,239 ,238 ,227 ,234 ,216 ,216 ,216 ,417 ,232 ,227 ,226 ,226 ,226 ,211 ,211 ,211 ,211 ,211 ,211 ,927 ,300 ,233 ,233 ,306 ,253 ,--,--,--,--,--,--,--,--,--,--
Customer Advances,--,"89,598 ","103,421 ","91,890 ","62,767 ","11,015 ","25,555 ","29,091 ","34,264 ","57,713 ","63,417 ","75,856 ","70,820 ","119,665 ","94,287 ","118,174 ","98,937 ","55,134 ","28,614 ","25,252 ","30,414 ","35,779 ","39,460 ","14,604 ","11,563 ","9,023 ","73,434 ","39,467 ","30,572 ","32,222 ","42,385 ","58,319 ","50,581 ","38,067 ","116,683 ","107,189 ","101,607 ","56,234 ","64,226 ","69,089 ","86,267 ","72,132 ","52,013 ","32,882 ","31,394 ","34,537 ","31,211 ","35,338 ","49,023 ","51,996 ","53,000 ","75,422 ","106,306 ","54,324 ","60,239 ","58,624 ","44,053 ","56,331 ","49,194 ","130,270 ","146,086 ","128,351 ","69,103 ","41,066 ","55,370 ",--,--,--,--,--,--,--,--,--,--
Income Taxes Payable,--,--,--,--,--,--,--,--,--,"27,257 ","33,841 ","24,282 ",--,"42,162 ","64,244 ","52,483 ","16,435 ","12,569 ","29,765 ","22,827 ","11,610 ","9,732 ","18,035 ","11,299 ","22,891 ","27,861 ","27,861 ","14,510 ","2,854 ",0 ,"8,329 ","13,809 ","3,685 ","21,127 ","21,158 ",0 ,441 ,"11,198 ","12,242 ",0 ,0 ,"3,017 ","9,047 ","14,058 ","2,422 ","5,814 ","7,167 ","5,563 ",0 ,"4,920 ","6,910 ","8,014 ","1,751 ","6,478 ","7,615 ","9,994 ","6,980 ","35,391 ","35,336 ","28,442 ","17,119 ","18,283 ","18,303 ","8,800 ","23,644 ","22,289 ","22,299 ","17,421 ","12,335 ",428 ,85 ,"1,431 ",975 ,"21,607 ","53,296 "
Other Payables,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,919 ",--,"11,696 ",0 ,"5,650 ","6,539 ","64,621 ","31,900 ","28,697 ","30,872 ","15,352 ","12,606 ","5,362 ","16,270 ","10,810 ","11,391 ","122,071 ","8,827 ",--,--,"182,093 ","166,065 ","135,544 ","110,650 ","135,907 ","100,799 ","86,080 ","116,318 ","190,188 ","142,447 ","146,547 ","104,674 ","148,276 ","145,093 ","143,569 ","144,094 ","158,858 ","163,163 ","153,477 ","188,822 ","146,253 ","166,699 "
Other Current Liabilities,"86,819 ","41,348 ","54,583 ","33,791 ","39,857 ","68,534 ","69,526 ","52,712 ","60,441 ","9,542 ","34,688 ","43,150 ","29,786 ","43,628 ","23,913 ","39,433 ","27,637 ","125,075 ","16,710 ","44,098 ","22,791 ","54,746 ","19,102 ","18,149 ","21,663 ","12,812 ","5,882 ","6,033 ","13,100 ","10,402 ","7,085 ","21,418 ","14,227 ","17,411 ","5,747 ","4,858 ","8,195 ","24,749 ","13,794 ","18,239 ","23,279 ","25,432 ","17,123 ","19,379 ","16,914 ","13,567 ","17,869 ","18,685 ","16,211 ","12,295 ","25,113 ","14,131 ","15,532 ","10,004 ","4,937 ","3,630 ","3,326 ","3,139 ","3,142 ","3,100 ","3,691 ","8,573 ","2,633 ","2,711 ","2,767 ",0 ,--,--,--,"1,164 ",437 ,306 ,0 ,101 ,0 
Total Current Liabilities,"335,802 ","414,715 ","549,845 ","620,968 ","747,968 ","621,748 ","560,079 ","584,888 ","746,734 ","581,436 ","763,543 ","1,001,418 ","1,091,006 ","1,072,465 ","1,210,901 ","1,341,581 ","1,199,193 ","1,093,310 ","597,375 ","693,511 ","671,882 ","680,608 ","704,968 ","792,241 ","901,837 ","798,886 ","886,745 ","1,112,026 ","707,491 ","811,149 ","825,620 ","723,093 ","771,579 ","726,027 ","662,891 ","1,296,639 ","1,454,578 ","1,404,359 ","1,476,329 ","1,159,663 ","1,493,629 ","1,351,859 ","1,676,743 ","1,918,454 ","1,677,005 ","1,608,653 ","1,564,084 ","1,161,738 ","1,403,244 ","1,414,673 ","1,336,081 ","1,658,490 ","1,960,985 ","1,851,496 ","1,683,932 ","1,595,330 ","1,516,189 ","1,782,214 ","1,788,491 ","1,683,007 ","1,723,834 ","1,655,662 ","1,179,067 ","1,180,999 ","1,319,326 ","1,190,791 ","1,153,473 ","1,322,159 ","1,346,531 ","1,381,888 ","1,442,273 ","1,553,519 ","1,773,652 ","1,753,997 ","2,002,222 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Debt,"396,784 ","370,337 ","369,523 ","335,848 ","335,098 ","301,497 ","297,693 ","264,745 ","260,940 ","227,993 ","224,188 ","232,909 ","207,341 ","178,685 ","158,441 ","160,333 ","136,459 ","90,135 ","94,389 ","98,569 ","95,829 ","73,119 ","70,972 ","48,448 ","46,167 ","23,481 ","20,952 ","614,958 ","612,510 ","616,824 ","613,473 ","610,062 ","606,610 ","600,742 ","599,753 ",427 ,136 ,0 ,"199,690 ","399,227 ","499,131 ","499,248 ","299,539 ","99,838 ","399,043 ","459,025 ","459,150 ","797,184 ","597,682 ","597,969 ","598,250 ","399,066 ","199,372 ","199,464 ","199,553 ","257,100 ","419,749 ","403,066 ","422,709 ","570,758 ","543,533 ","515,108 ","483,842 ","454,947 ","426,154 ","389,157 ","363,726 ","378,506 ","356,734 ","342,237 ","347,116 ","339,758 ","309,568 ","280,256 ","248,936 "
Long Term Debt,"396,784 ","370,337 ","369,523 ","335,848 ","335,098 ","301,497 ","297,693 ","264,745 ","260,940 ","227,993 ","224,188 ","232,909 ","207,341 ","178,685 ","158,441 ","160,333 ","136,459 ","90,135 ","94,389 ","98,569 ","95,829 ","73,119 ","70,972 ","48,448 ","46,167 ","23,481 ","20,952 ","614,958 ","612,510 ","611,862 ","609,212 ","606,517 ","603,795 ","600,742 ","599,753 ",427 ,136 ,0 ,"199,690 ","399,227 ","499,131 ","499,248 ","299,539 ","99,838 ","399,043 ","459,025 ","459,150 ","797,184 ","597,682 ","597,969 ","598,250 ","399,066 ","199,372 ","199,464 ","199,553 ","257,100 ","243,524 ","233,122 ","220,462 ","378,568 ","359,725 ","342,382 ","322,028 ","304,679 ","287,336 ","269,993 ","252,638 ","275,660 ","261,498 ","255,117 ","264,507 ","265,868 ","243,324 ","220,780 ","198,223 "
