Sermsang Power Corporation PCL | Balance Sheet                                25-Sep-2024 16:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,2017,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Sep-2016, Dec-2016, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,11 ,N/A ,N/A ,4 ,5 ,3 ,5 ,3 ,4 ,5 ,8 ,9 ,11 ,17 ,12 ,22 ,24 ,12 ,18 ,33 ,32 ,48 ,48 ,N/A ,38 ,26 ,58 ,62 ,29 ,32 
Period End Date,30-Sep-2016 ,31-Dec-2016 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Doubtful Accounts,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,(71),(71),--,--,--,(175),--,--,--
"Total Receivables, Net","152,712 ","156,766 ","164,003 ","159,099 ","149,316 ","188,267 ","232,001 ","474,863 ","229,772 ","323,877 ","374,997 ","413,578 ","348,083 ","408,439 ","477,445 ","434,446 ","659,872 ","655,170 ","498,169 ","577,877 ","875,275 ","997,562 ","685,989 ","725,583 ","699,941 ","802,450 ","709,490 ","706,001 ","791,032 ","1,093,330 ","563,170 "
Notes Receivable - Short Term,678 ,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 ,"8,960 ","9,352 ","9,565 ","10,126 ","9,974 ","9,942 ","10,539 ","44,841 ","66,607 ","66,064 ","36,379 ","49,730 ","224,110 ","299,912 ","26,796 "
Receivables - Other,1 ,"4,478 ",1 ,0 ,"4,583 ","18,009 ","14,939 ","270,518 ","47,312 ","104,359 ","100,571 ","99,945 ","116,943 ","122,112 ","112,948 ","113,343 ","323,860 ","321,533 ","106,821 ","153,199 ","387,953 ","368,225 ","200,535 ","220,296 ","159,813 ","161,389 ","62,488 ","76,095 ","48,214 ","60,429 ","34,780 "
Total Inventory,--,--,--,--,--,--,--,--,--,--,--,--,--,--,136 ,252 ,"5,079 ",391 ,410 ,"15,166 ","7,585 ","14,802 ","14,569 ","15,324 ","19,545 ","22,851 ","24,635 ","30,194 ","18,770 ","28,021 ","32,050 "
Prepaid Expenses,--,--,--,--,"2,049 ",--,--,--,"211,040 ","49,420 ","123,182 ","227,407 ","13,311 ","30,159 ","20,302 ","44,970 ","36,841 ","26,595 ","21,201 ","49,600 ","58,969 ","87,648 ","60,017 ","63,126 ","83,195 ","62,415 ","60,459 ","55,296 ","84,652 ","111,705 ","99,763 "
"Other Current Assets, Total","107,574 ","61,496 ","145,935 ","176,870 ","45,730 ","46,397 ","47,508 ","247,733 ","449,003 ","220,402 ","231,030 ","305,517 ","312,959 ","484,693 ","279,393 ","408,847 ","210,088 ","316,549 ","277,636 ","372,321 ","262,911 ","273,849 ","271,321 ","297,038 ","237,197 ","236,166 ","444,554 ","468,705 ","483,896 ","464,118 ","531,609 "
Restricted Cash - Current,--,--,--,--,--,--,--,"200,112 ","438,922 ","211,155 ","210,753 ","283,001 ","283,149 ","451,904 ","248,513 ","387,021 ","199,384 ","305,410 ","166,228 ","217,990 ","251,459 ","262,424 ","264,782 ","290,545 ","153,884 ","152,443 ","362,660 ","389,114 ","386,145 ","400,546 ","467,188 "
Other Current Assets,"107,574 ","61,496 ","145,935 ","176,870 ","45,730 ","46,397 ","47,508 ","47,621 ","10,081 ","9,247 ","20,277 ","22,516 ","29,810 ","32,789 ","30,880 ","21,826 ","10,704 ","11,139 ","111,408 ","154,331 ","11,452 ","11,425 ","6,539 ","6,493 ","83,313 ","83,723 ","81,894 ","79,591 ","97,751 ","63,572 ","64,421 "
Total Current Assets,"562,519 ","585,619 ","746,054 ","1,843,404 ","1,800,486 ","1,701,418 ","1,905,761 ","2,383,393 ","2,014,945 ","1,666,185 ","1,471,456 ","1,820,200 ","1,589,811 ","1,918,302 ","1,950,270 ","1,921,450 ","2,304,793 ","2,191,173 ","1,943,609 ","2,339,141 ","4,786,436 ","6,070,333 ","5,080,528 ","5,454,080 ","4,270,736 ","4,448,902 ","5,369,657 ","5,292,885 ","4,781,370 ","4,894,337 ","3,603,115 "
