Cash and Short Term Investments,"593,169 ","592,651 ","965,321 ","1,297,521 ","1,855,821 ","1,603,162 ","2,007,954 ","1,798,922 ","2,065,181 ","2,215,131 ","3,697,070 ","3,381,799 ","3,322,824 ","3,409,415 ","6,877,118 ","7,789,024 ","6,475,300 ","5,859,278 ","4,737,601 ","4,853,725 ","4,464,417 ","4,123,659 ","4,156,324 ","3,862,165 ","4,234,370 ","4,020,487 ","7,910,236 ","5,920,978 ","4,909,039 ","5,159,227 ","4,730,920 ","5,616,047 ","8,900,588 ","6,436,443 ","6,367,474 ","6,538,188 ","7,083,789 ","6,975,860 ","5,854,789 ","7,359,100 ","7,271,246 ","5,761,257 ","6,064,240 ","6,390,648 ","6,958,780 ","6,920,608 ","8,989,364 "
Accrued Expenses,"25,188 ","45,568 ","32,725 ","27,739 ","57,419 ","22,199 ","33,775 ","46,407 ","25,397 ","24,292 ","42,347 ","48,256 ","36,442 ","34,590 ","43,534 ","60,735 ","70,628 ","115,400 ","173,095 ","220,109 ","295,068 ","373,210 ","368,971 ","441,623 ","318,920 ","271,875 ","201,606 ","246,494 ","173,752 ","212,379 ","200,892 ","252,082 ","186,167 ","249,993 ","218,036 ","285,343 ","194,889 ","279,735 ","215,863 ","318,244 ","29,721 ","45,953 ","59,087 ","84,715 ","26,887 ","45,065 ","68,583 "
Notes Payable/Short Term Debt,"1,829,248 ","2,204,165 ","2,388,115 ","60,000 ","60,000 ","200,000 ","140,000 ","91,334 ","71,334 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,000,000 ","1,000,000 ","1,500,000 "
Current Port. of LT Debt/Capital Leases,"1,428,793 ","1,234,398 ","1,526,775 ","1,695,613 ","1,718,473 ","1,709,224 ","1,593,053 ","1,642,068 ","1,677,919 ","1,672,824 ","1,715,465 ","1,749,292 ","1,767,549 ","1,754,540 ","1,984,313 ","916,871 ","933,739 ","1,064,472 ","1,080,842 ","1,411,901 ","1,541,297 ","1,621,522 ","1,633,570 ","1,542,119 ","1,519,658 ","1,653,409 ","2,389,287 ","1,589,498 ","2,622,494 ","2,552,117 ","6,562,715 ","6,565,297 ","5,575,706 ","5,575,604 ","3,369,664 ","2,850,114 ","2,030,900 ","2,308,056 ","2,307,067 ","2,706,417 ","3,390,909 ","2,665,977 ","4,110,771 ","3,814,301 ","3,634,357 ","4,915,407 ","3,340,284 "
"Other Current liabilities, Total","20,974 ","19,858 ","1,209,913 ","735,508 ","81,563 ","68,353 ","66,403 ","134,682 ","71,310 ","130,268 ","175,026 ","200,165 ","105,862 ","125,005 ","276,037 ","1,846,068 ","210,760 ","440,481 ","1,196,595 ","792,788 ","152,538 ","203,601 ","93,632 ","242,626 ","149,905 ","332,403 ","99,940 ","151,514 ","147,334 ","224,672 ","90,368 ","122,235 ","99,043 ","147,535 ","77,336 ","242,104 ","445,344 ","511,236 ","470,913 ","601,601 ","511,805 ","173,542 ","155,351 ","332,251 ","170,132 ","173,268 ","111,096 "
Dividends Payable,--,--,--,"77,079 ",--,--,--,"72,674 ",--,"28,770 ",--,"88,090 ",--,"28,403 ",--,"1,435,162 ",--,"182,561 ","28,403 ","110,113 ",--,"88,090 ",--,"121,124 ",--,"198,203 ",--,"44,045 ",--,"121,124 ",--,--,--,"55,056 ",--,"110,113 ",--,"55,056 ",--,"55,056 ",--,"55,056 ",--,"55,056 ",--,"55,056 ",--
Income Taxes Payable,"1,219 ","2,059 ","1,560 ","1,057 ",626 ,779 ,0 ,0 ,228 ,228 ,0 ,0 ,131 ,234 ,"6,636 ","2,217 ","4,891 ",774 ,679 ,"12,404 ","2,472 ",42 ,"4,666 ","30,394 ","10,326 ","9,144 ","6,301 ",146 ,171 ,258 ,118 ,"1,515 ","2,683 ","5,625 ","6,045 ","7,168 ","21,831 ","12,301 ","14,414 ","22,557 ","26,694 ","4,281 ",831 ,"8,280 ","43,282 ","23,770 ","31,988 "
Other Payables,"13,480 ","13,479 ","1,199,760 ","623,220 ","30,326 ","31,060 ","31,897 ","26,720 ","29,518 ","63,393 ","134,683 ","75,487 ","75,725 ","69,524 ","214,972 ","360,232 ","169,386 ","225,578 ","1,127,624 ","608,959 ","90,148 ","52,274 ","23,160 ","31,731 ","58,947 ","58,186 ","37,108 ","37,175 ","67,813 ","32,604 ","22,109 ","54,665 ","20,850 ","17,485 ","14,887 ","60,432 ","10,518 ","14,128 ","20,932 ","63,191 ","11,285 ","14,301 ","10,751 ","179,586 ","21,890 ","7,545 ","8,898 "
Other Current Liabilities,"6,276 ","4,320 ","8,593 ","34,152 ","50,610 ","36,514 ","34,506 ","35,288 ","41,564 ","37,877 ","40,343 ","36,588 ","30,006 ","26,844 ","54,429 ","48,457 ","36,483 ","31,568 ","39,889 ","61,312 ","59,918 ","63,195 ","65,806 ","59,377 ","80,632 ","66,870 ","56,531 ","70,148 ","79,350 ","70,686 ","68,141 ","66,055 ","75,511 ","69,369 ","56,404 ","64,391 ","412,995 ","429,751 ","435,567 ","460,797 ","473,826 ","99,904 ","143,769 ","89,329 ","104,959 ","86,897 ","70,210 "
Total Current Liabilities,"3,474,749 ","3,640,898 ","5,331,680 ","2,850,198 ","2,508,365 ","2,351,489 ","2,182,846 ","2,238,991 ","2,221,139 ","2,168,232 ","2,299,318 ","2,318,010 ","2,416,419 ","2,368,755 ","2,659,538 ","3,084,809 ","1,488,427 ","1,840,064 ","2,699,026 ","3,056,662 ","2,669,365 ","2,626,458 ","2,814,068 ","2,681,527 ","2,487,714 ","2,744,073 ","3,269,059 ","2,417,435 ","3,393,751 ","3,454,521 ","7,277,783 ","7,322,703 ","6,275,216 ","6,477,616 ","4,282,409 ","4,032,343 ","3,393,985 ","3,981,561 ","3,610,384 ","4,596,539 ","4,841,812 ","3,686,483 ","5,031,719 ","4,969,165 ","6,015,149 ","7,341,537 ","6,198,996 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Debt,"19,311,127 ","18,417,817 ","21,568,873 ","21,966,434 ","22,430,307 ","21,624,508 ","21,696,455 ","20,826,384 ","20,825,026 ","20,263,380 ","20,559,855 ","20,106,225 ","20,140,485 ","19,441,155 ","24,619,337 ","26,685,217 ","27,096,700 ","27,127,689 ","27,323,723 ","27,103,618 ","26,886,461 ","26,312,298 ","28,906,024 ","28,337,348 ","28,161,816 ","26,869,143 ","26,633,004 ","26,119,387 ","24,888,268 ","25,346,150 ","21,092,196 ","21,579,797 ","25,323,884 ","24,801,954 ","28,567,192 ","28,573,415 ","29,343,186 ","28,542,104 ","28,294,837 ","27,896,730 ","27,144,133 ","27,137,861 ","25,372,455 ","25,374,821 ","23,701,752 ","22,527,197 ","26,183,930 "
Long Term Debt,"19,297,926 ","18,404,324 ","21,556,566 ","21,955,353 ","22,420,476 ","21,618,151 ","21,690,740 ","20,821,320 ","20,821,320 ","20,260,904 ","20,557,591 ","20,104,152 ","20,138,630 ","19,439,521 ","24,617,927 ","26,684,371 ","27,096,288 ","27,127,354 ","27,323,723 ","27,103,618 ","26,886,461 ","26,312,298 ","28,906,024 ","28,337,348 ","28,161,816 ","26,869,143 ","26,633,004 ","26,119,387 ","24,888,268 ","24,971,928 ","20,725,540 ","21,210,662 ","24,961,286 ","24,445,274 ","28,197,736 ","28,203,763 ","28,979,072 ","28,184,445 ","27,940,076 ","27,544,241 ","26,798,568 ","26,802,550 ","25,030,751 ","25,034,369 ","23,361,843 ","22,165,577 ","25,825,288 "
Capital Lease Obligations,"13,201 ","13,493 ","12,307 ","11,081 ","9,830 ","6,357 ","5,715 ","5,064 ","3,706 ","2,476 ","2,264 ","2,073 ","1,855 ","1,634 ","1,410 ",846 ,411 ,335 ,0 ,0 ,--,0 ,0 ,0 ,--,--,--,--,--,"374,222 ","366,656 ","369,135 ","362,599 ","356,680 ","369,456 ","369,652 ","364,114 ","357,659 ","354,761 ","352,489 ","345,565 ","335,311 ","341,704 ","340,452 ","339,909 ","361,620 ","358,642 "
Total Debt,"22,569,168 ","21,856,380 ","25,483,763 ","23,722,047 ","24,208,779 ","23,533,732 ","23,429,508 ","22,559,786 ","22,574,279 ","21,936,204 ","22,275,320 ","21,855,517 ","21,908,034 ","21,195,695 ","26,603,650 ","27,602,088 ","28,030,439 ","28,192,161 ","28,404,565 ","28,515,519 ","28,427,758 ","27,933,820 ","30,539,594 ","29,879,467 ","29,681,474 ","28,522,552 ","29,022,291 ","27,708,885 ","27,510,763 ","27,898,267 ","27,654,911 ","28,145,094 ","30,899,590 ","30,377,558 ","31,936,856 ","31,423,529 ","31,374,086 ","30,850,160 ","30,601,904 ","30,603,147 ","30,535,042 ","29,803,838 ","29,483,226 ","29,189,122 ","28,336,109 ","28,442,604 ","31,024,214 "
Deferred Income Tax,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"9,708 ",--,79 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deferred Income Tax - LT Liability,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"9,708 ",--,79 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minority Interest,"13,053,209 ","13,212,010 ","13,840,023 ","14,005,046 ","13,823,834 ","13,964,787 ","13,955,090 ","13,978,757 ","14,055,453 ","14,236,032 ","14,257,962 ","13,985,095 ","14,057,737 ","14,155,649 ","14,235,493 ","13,035,866 ","12,762,392 ","12,658,836 ","12,472,482 ","12,962,903 ","12,910,107 ","12,895,665 ","12,832,516 ","13,178,467 ","13,188,572 ","13,049,816 ","12,131,799 ","11,987,144 ","11,998,021 ","11,704,624 ","11,512,805 ","11,488,980 ","11,263,573 ","11,224,720 ","11,346,549 ","11,350,851 ","11,296,310 ","11,160,839 ","11,206,592 ","11,410,130 ","11,389,601 ","11,359,493 ","11,317,296 ","11,423,376 ","11,653,485 ","11,635,953 ","11,800,581 "
"Other Liabilities, Total","95,240 ","97,249 ","99,816 ","123,451 ","129,221 ","132,377 ","135,875 ","147,055 ","177,608 ","185,910 ","191,842 ","190,819 ","197,456 ","209,010 ","212,824 ","215,464 ","214,012 ","217,347 ","223,217 ","229,856 ","247,255 ","250,548 ","253,031 ","329,485 ","331,573 ","339,001 ","351,616 ","359,330 ","362,206 ","366,191 ","374,987 ","383,740 ","401,363 ","411,276 ","421,256 ","431,389 ","110,111 ","115,290 ","120,153 ","125,336 ","130,517 ","136,262 ","142,008 ","147,755 ","130,433 ","131,381 ","137,253 "
Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,008 ","8,036 ","8,065 ","8,197 ","8,258 ","8,320 ","8,383 ","8,445 ","8,507 ","8,572 ","8,636 ","8,700 ","8,764 ","8,831 ","8,897 ","8,963 ","9,029 ","9,097 ","9,165 ","9,233 ","9,302 "
Pension Benefits - Underfunded,"1,629 ","1,870 ","2,614 ","2,989 ","6,478 ","7,360 ","8,516 ","9,673 ","10,830 ","12,046 ","13,262 ","14,479 ","15,107 ","15,690 ","17,002 ","21,091 ","22,578 ","24,200 ","25,822 ","27,443 ","43,419 ","46,287 ","49,155 ","52,023 ","52,883 ","57,708 ","60,885 ","64,062 ","64,539 ","63,486 ","67,230 ","70,787 ","83,123 ","87,774 ","92,343 ","96,909 ","101,475 ","106,590 ","111,389 ","116,505 ","121,620 ","127,299 ","132,979 ","138,658 ","121,268 ","122,148 ","127,951 "
Other Long Term Liabilities,"93,612 ","95,379 ","97,202 ","120,462 ","122,744 ","125,017 ","127,359 ","137,382 ","166,778 ","173,864 ","178,580 ","176,340 ","182,349 ","193,320 ","195,822 ","194,373 ","191,434 ","193,147 ","197,395 ","202,413 ","203,836 ","204,261 ","203,876 ","277,462 ","278,690 ","281,293 ","284,723 ","287,232 ","289,602 ","294,508 ","299,499 ","304,633 ","309,857 ","315,057 ","320,406 ","325,908 ",0 ,--,--,--,--,--,--,--,--,--,--
Total Liabilities,"35,934,325 ","35,367,974 ","40,840,392 ","38,945,129 ","38,891,727 ","38,073,161 ","37,970,266 ","37,191,187 ","37,279,226 ","36,853,554 ","37,308,977 ","36,600,149 ","36,812,097 ","36,174,569 ","41,727,192 ","43,021,356 ","41,561,530 ","41,843,936 ","42,718,448 ","43,353,039 ","42,713,188 ","42,094,677 ","44,805,639 ","44,526,906 ","44,169,675 ","43,002,033 ","42,385,478 ","40,883,296 ","40,642,247 ","40,871,486 ","40,257,771 ","40,775,220 ","43,264,036 ","42,915,566 ","44,617,406 ","44,387,998 ","44,143,591 ","43,799,794 ","43,231,966 ","44,028,735 ","43,506,063 ","42,320,099 ","41,863,478 ","41,915,117 ","41,500,819 ","41,636,068 ","44,320,760 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Common Stock, Total","9,200,000 ","4,600,000 ","4,600,000 ","5,500,000 ","5,500,000 ","5,500,000 ","5,500,000 ","5,500,000 ","5,500,000 ","5,500,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,964,233 ","8,129,382 ","8,129,382 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 "
Common Stock,"9,200,000 ","4,600,000 ","4,600,000 ","5,500,000 ","5,500,000 ","5,500,000 ","5,500,000 ","5,500,000 ","5,500,000 ","5,500,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,964,233 ","8,129,382 ","8,129,382 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 "
Additional Paid-In Capital,0 ,"4,600,000 ","4,600,000 ","5,966,909 ","5,966,909 ","5,966,909 ","5,796,909 ","5,796,909 ","5,796,909 ","5,796,909 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","9,522,332 ","12,493,495 ","13,319,242 ","13,319,242 ","13,319,245 ","13,319,245 ","13,319,246 ","13,319,246 ","13,319,245 ","13,319,245 ","13,319,246 ","13,319,246 ","13,319,246 ","13,319,246 ","13,319,246 ","13,319,246 ","13,319,246 ","13,319,246 ","13,319,246 ","13,319,246 ","13,319,246 "
Retained Earnings (Accumulated Deficit),"16,185 ","109,072 ","32,243 ","214,347 ","235,069 ","357,388 ","562,769 ","661,593 ","876,885 ","964,288 ","985,306 ","1,021,474 ","1,182,129 ","1,229,582 ","1,127,231 ","1,249,520 ","1,072,903 ","1,029,279 ","597,757 ","762,572 ","778,579 ","791,096 ","691,646 ","1,090,448 ","1,212,004 ","1,351,424 ","4,942,682 ","2,401,527 ","1,923,039 ","1,612,575 ","1,269,553 ","2,100,861 ","2,104,749 ","2,219,348 ","2,641,782 ","3,876,698 ","3,999,236 ","4,037,962 ","4,251,642 ","5,713,278 ","5,785,069 ","5,680,777 ","4,991,589 ","6,013,529 ","6,558,100 ","6,097,126 ","5,480,049 "
Unrealized Gain (Loss),--,--,--,--,--,--,--,--,--,"1,135 ","1,668 ","7,084 ","7,681 ","11,858 ","13,988 ","26,500 ","27,333 ","42,257 ","42,223 ","38,825 ","43,139 ","47,005 ","43,669 ","48,893 ","45,864 ","38,779 ","35,892 ","21,744 ","24,787 ",0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other Equity, Total","3,367 ","3,367 ","3,367 ","(14,779)","(112,193)","(83,671)","(84,496)","(75,429)","(125,669)","(103,901)","(145,692)","(415,136)","(327,697)","(393,598)","(424,861)","(346,088)","(248,832)","(137,488)","(134,305)","(64,811)","34,363 ","184,527 ","184,078 ","217,697 ","183,228 ","160,415 ","124,713 ","135,031 ","152,232 ","(547,957)","(76,556)","(244,918)","221,037 ","(96,811)","(278,764)","(810,620)","(614,109)","(454,769)","(950,558)","(1,563,253)","(683,868)","(586,771)","(968,847)","(1,238,216)","(742,270)","(1,241,525)","(1,322,289)"
Other Equity,"3,367 ","3,367 ","3,367 ","(14,779)","(112,193)","(83,671)","(84,496)","(75,429)","(125,669)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Comprehensive Income,--,--,--,--,--,--,--,--,--,"(103,901)","(145,692)","(415,136)","(327,697)","(393,598)","(424,861)","(346,088)","(248,832)","(137,488)","(134,305)","(64,811)","34,363 ","184,527 ","184,078 ","217,697 ","183,228 ","160,415 ","124,713 ","135,031 ","152,232 ","(547,957)","(76,556)","(244,918)","221,037 ","(96,811)","(278,764)","(810,620)","(614,109)","(454,769)","(950,558)","(1,563,253)","(683,868)","(586,771)","(968,847)","(1,238,216)","(742,270)","(1,241,525)","(1,322,289)"
Total Equity,"9,219,552 ","9,312,439 ","9,235,610 ","11,666,477 ","11,589,785 ","11,740,626 ","11,775,182 ","11,883,073 ","12,048,125 ","12,158,431 ","17,733,614 ","17,505,754 ","17,754,445 ","17,740,174 ","17,608,690 ","17,822,264 ","17,743,736 ","17,826,380 ","17,398,007 ","17,628,918 ","17,748,413 ","17,914,960 ","17,811,725 ","18,249,370 ","18,333,427 ","18,442,950 ","21,995,619 ","23,016,030 ","23,548,683 ","22,513,242 ","22,641,625 ","23,304,571 ","23,774,415 ","23,571,166 ","23,811,646 ","24,514,706 ","24,833,756 ","25,031,822 ","24,749,713 ","25,598,654 ","26,549,830 ","26,542,635 ","25,471,371 ","26,223,942 ","27,264,458 ","26,304,230 ","25,606,389 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities & Shareholders' Equity,"45,153,877 ","44,680,413 ","50,076,002 ","50,611,606 ","50,481,512 ","49,813,787 ","49,745,448 ","49,074,260 ","49,327,351 ","49,011,985 ","55,042,591 ","54,105,903 ","54,566,543 ","53,914,743 ","59,335,882 ","60,843,620 ","59,305,266 ","59,670,316 ","60,116,455 ","60,981,957 ","60,461,601 ","60,009,637 ","62,617,364 ","62,776,276 ","62,503,102 ","61,444,983 ","64,381,097 ","63,899,326 ","64,190,930 ","63,384,728 ","62,899,396 ","64,079,791 ","67,038,451 ","66,486,732 ","68,429,052 ","68,902,704 ","68,977,347 ","68,831,616 ","67,981,679 ","69,627,389 ","70,055,893 ","68,862,734 ","67,334,849 ","68,139,059 ","68,765,278 ","67,940,298 ","69,927,149 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Common Shares Outstanding,"4,814,788 ","4,814,788 ","4,814,788 ","5,756,811 ","5,756,811 ","5,756,811 ","5,756,811 ","5,756,811 ","5,756,811 ","5,756,811 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,964,233 ","8,129,382 ","8,129,382 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 "
Shares Outs - Common Stock Primary Issue,"4,814,788 ","4,814,788 ","4,814,788 ","5,756,811 ","5,756,811 ","5,756,811 ","5,756,811 ","5,756,811 ","5,756,811 ","5,756,811 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,964,233 ","8,129,382 ","8,129,382 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 "
Treas Shares - Common Stock Prmry Issue,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Minority Interest - Non Redeemable,"13,053,209 ","13,212,010 ","13,840,023 ","14,005,046 ","13,823,834 ","13,964,787 ","13,955,090 ","13,978,757 ","14,055,453 ","14,236,032 ","14,257,962 ","13,985,095 ","14,057,737 ","14,155,649 ","14,235,493 ","13,035,866 ","12,762,392 ","12,658,836 ","12,472,482 ","12,962,903 ","12,910,107 ","12,895,665 ","12,832,516 ","13,178,467 ","13,188,572 ","13,049,816 ","12,131,799 ","11,987,144 ","11,998,021 ","11,704,624 ","11,512,805 ","11,488,980 ","11,263,573 ","11,224,720 ","11,346,549 ","11,350,851 ","11,296,310 ","11,160,839 ","11,206,592 ","11,410,130 ","11,389,601 ","11,359,493 ","11,317,296 ","11,423,376 ","11,653,485 ","11,635,953 ","11,800,581 "
Total Equity & Minority Interest,"22,272,761 ","22,524,449 ","23,075,633 ","25,671,523 ","25,413,619 ","25,705,413 ","25,730,272 ","25,861,830 ","26,103,578 ","26,394,463 ","31,991,576 ","31,490,849 ","31,812,182 ","31,895,823 ","31,844,183 ","30,858,130 ","30,506,128 ","30,485,216 ","29,870,489 ","30,591,821 ","30,658,520 ","30,810,625 ","30,644,241 ","31,427,837 ","31,521,999 ","31,492,766 ","34,127,418 ","35,003,174 ","35,546,704 ","34,217,866 ","34,154,430 ","34,793,551 ","35,037,988 ","34,795,886 ","35,158,195 ","35,865,557 ","36,130,066 ","36,192,661 ","35,956,305 ","37,008,784 ","37,939,431 ","37,902,128 ","36,788,667 ","37,647,318 ","38,917,943 ","37,940,183 ","37,406,970 "
Other Property/Plant/Equipment - Net,0 ,--,--,--,0 ,"5,951,506 ","5,913,746 ","5,867,785 ","5,830,295 ","5,789,260 ","5,737,580 ","5,672,316 ",0 ,"5,548,672 ","5,485,601 ","5,428,885 ",0 ,"5,314,300 ","10,010,971 ","9,946,627 ","9,870,654 ","9,779,802 ","9,687,907 ","9,596,708 ","9,483,397 ","9,499,585 ","9,437,255 ","9,356,008 ","9,246,964 ","9,532,057 ","9,410,834 ","9,418,225 ","9,305,655 ","9,192,044 ","9,084,673 ","8,984,056 ","8,867,211 ","8,740,319 ","8,627,533 ","8,512,203 ","8,395,538 ","8,273,483 ","8,166,397 ","8,055,937 ","8,008,125 ","7,950,836 ","7,897,463 "
Intangibles - Net,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"93,670 ","97,651 ","97,360 ","94,843 ","93,685 ","91,572 ","88,841 ","86,136 ","83,721 ","82,825 ","80,667 ","77,802 ","74,947 ","72,718 ","70,121 ","67,649 ","66,578 ","63,838 ","60,965 ","58,631 ","55,933 ","53,639 ","50,776 ","47,919 ","45,706 ","42,877 ","40,052 "
"Right-of-Use Assets-Cap.Lease,Net-Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"399,910 ","391,842 ","392,963 ","386,222 ","377,919 ","387,246 ","384,757 ","376,461 ","367,070 ","359,941 ","352,706 ","345,852 ","340,283 ","349,559 ","341,903 ","338,202 ","363,868 ","353,539 "
"Curr. Port. of LT Capital Leases, Suppl.","4,289 ","4,609 ","4,694 ","4,779 ","4,867 ","7,157 ","6,593 ","6,017 ","6,125 ","3,881 ","3,451 ","3,014 ","1,874 ",865 ,878 ,"1,227 ","1,444 ","1,299 ","1,410 ",846 ,411 ,0 ,0 ,0 ,0 ,--,--,--,--,"29,693 ","29,702 ","31,024 ","31,554 ","32,026 ","31,099 ","32,390 ","31,609 ","30,317 ","29,749 ","28,961 ","28,491 ","27,642 ","30,745 ","30,611 ","31,220 ","32,592 ","31,487 "
"Non-Curr Derivative Liab. Hedging, Suppl",--,--,--,--,--,--,--,--,"20,208 ","24,629 ","26,599 ","21,532 ","24,661 ","32,731 ","32,278 ","27,785 ","21,746 ","20,370 ","21,438 ","23,180 ","21,266 ","18,366 ","14,557 ","11,259 ","7,937 ","6,013 ","4,786 ","2,504 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Current Assets less Inventory,"1,887,767 ","1,445,333 ","2,347,494 ","3,232,419 ","3,502,017 ","3,258,203 ","3,798,770 ","3,502,609 ","4,117,802 ","3,758,953 ","5,457,822 ","4,667,704 ","5,148,475 ","4,593,050 ","8,617,494 ","9,439,220 ","7,616,784 ","7,022,405 ","6,191,969 ","6,867,615 ","6,246,654 ","5,756,160 ","6,183,062 ","6,403,246 ","6,210,833 ","6,362,729 ","9,673,821 ","7,672,051 ","6,544,762 ","6,871,380 ","6,510,516 ","7,675,164 ","10,505,536 ","8,639,654 ","8,926,558 ","9,433,229 ","9,644,070 ","9,843,135 ","8,720,999 ","11,259,616 ","10,550,365 ","9,078,582 ","8,515,839 ","9,398,444 ","10,030,057 ","10,050,188 ","12,040,646 "
Net Debt Incl. Pref.Stock & Min.Interest,"35,029,207 ","34,475,739 ","38,358,465 ","36,429,572 ","36,176,792 ","35,895,357 ","35,376,644 ","34,739,621 ","34,564,551 ","33,957,105 ","32,836,212 ","32,458,813 ","32,642,947 ","31,941,929 ","33,962,025 ","32,848,930 ","34,317,531 ","34,991,719 ","36,139,446 ","36,624,697 ","36,873,448 ","36,705,826 ","39,215,786 ","39,195,769 ","38,635,676 ","37,551,881 ","33,243,854 ","33,775,051 ","34,599,745 ","34,443,664 ","34,436,796 ","34,018,027 ","33,262,575 ","35,165,835 ","36,915,931 ","36,236,192 ","35,586,607 ","35,035,139 ","35,953,707 ","34,654,177 ","34,653,397 ","35,402,074 ","34,736,282 ","34,221,850 ","33,030,814 ","33,157,949 ","33,835,431 "
