"Property/Plant/Equipment, Total - Net","12,614,453 ","16,268,130 ","18,490,460 ","19,847,443 ","20,587,980 ","21,606,814 ","22,517,868 ","23,011,775 ","23,624,151 ","24,749,773 ","26,221,757 ","27,216,955 ","28,546,609 ","30,886,682 ","34,162,424 ","34,658,039 ","35,304,851 ","36,314,821 ","36,929,905 ","37,509,428 ","38,204,106 ","38,561,198 ","39,705,338 ","40,582,197 ","41,601,947 ","42,700,436 ","43,936,733 ","45,041,026 ","46,927,439 ","50,395,494 ","51,354,814 ","53,355,873 "
Long Term Investments,"5,514 ","5,480 ","5,463 ","5,446 ","5,428 ","5,410 ","9,349 ","9,331 ","9,313 ","5,337 ","5,319 ","5,300 ","5,281 ","186,532 ","186,413 ","188,294 ","188,172 ","188,049 ","187,927 ","187,803 ","185,677 ","670,890 ","490,493 ","490,813 ","491,002 ","736,067 ","737,005 ","737,908 ","739,262 ","740,180 ","741,834 ","743,538 "
LT Investment - Affiliate Companies,--,--,--,--,--,--,"3,957 ","3,957 ","3,957 ",--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,"249,894 ","250,623 ","251,313 ","252,451 ","253,158 ","254,599 ","256,086 "
LT Investments - Other,"5,514 ","5,480 ","5,463 ","5,446 ","5,428 ","5,410 ","5,392 ","5,374 ","5,356 ","5,337 ","5,319 ","5,300 ","5,281 ","186,532 ","186,413 ","188,294 ","188,172 ","188,049 ","187,927 ","187,803 ","185,677 ","670,890 ","490,493 ","490,813 ","491,002 ","486,173 ","486,382 ","486,595 ","486,811 ","487,022 ","487,235 ","487,452 "
"Other Long Term Assets, Total","187,696 ","190,396 ","187,712 ","177,724 ","151,621 ","115,139 ","96,453 ","95,021 ","92,519 ","104,295 ","100,540 ","102,979 ","113,534 ","112,274 ","110,272 ","104,124 ","116,089 ","114,215 ","120,323 ","131,158 ","122,903 ","148,001 ","143,452 ","132,724 ","147,079 ","141,356 ","166,512 ","155,823 ","145,773 ","149,207 ","137,348 ","148,225 "
Deferred Charges,864 ,653 ,585 ,518 ,450 ,383 ,315 ,247 ,180 ,113 ,45 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Defered Income Tax - Long Term Asset,"186,832 ","189,743 ","187,127 ","177,206 ","151,171 ","114,756 ","96,138 ","94,774 ","92,339 ","91,699 ","89,082 ","92,636 ","90,049 ","91,011 ","91,231 ","87,306 ","80,548 ","82,262 ","91,959 ","90,867 ","87,805 ","94,013 ","95,011 ","89,830 ","81,932 ","82,244 ","82,250 ","79,160 ","76,710 ","76,170 ","70,744 ","73,953 "
Other Long Term Assets,--,--,--,--,--,--,--,--,--,"12,483 ","11,413 ","10,343 ","23,485 ","21,263 ","19,041 ","16,818 ","35,541 ","31,953 ","28,364 ","40,291 ","35,098 ","53,988 ","48,441 ","42,894 ","65,147 ","59,112 ","84,262 ","76,663 ","69,063 ","73,037 ","66,604 ","74,272 "
Total Assets,"14,002,940 ","18,169,346 ","30,305,304 ","27,858,161 ","27,297,821 ","27,566,908 ","27,640,345 ","27,583,424 ","28,063,294 ","31,541,224 ","32,124,679 ","32,529,934 ","37,141,215 ","37,852,574 ","38,707,631 ","39,161,176 ","42,811,302 ","43,775,152 ","44,325,447 ","47,175,556 ","46,857,412 ","48,485,350 ","49,693,765 ","49,510,302 ","53,819,135 ","50,579,373 ","56,279,203 ","56,999,474 ","57,307,418 ","59,767,175 ","60,239,098 ","64,781,661 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,"105,642 ","96,886 ","151,764 ","151,644 ","170,325 ","173,248 ","295,603 ","338,561 ","248,714 ","377,095 ","363,745 ","287,276 ","407,678 ","439,833 ","365,509 ","238,503 ","467,600 ","432,516 ","379,501 ","469,295 ","359,863 ","430,396 ","437,528 ","554,204 ","361,287 ","743,174 ","374,356 ","591,345 ","342,813 ","335,810 ","539,161 ","437,352 "
Accrued Expenses,--,--,--,--,--,--,--,--,--,"14,531 ","59,771 ","14,531 ","34,860 ","34,860 ","34,049 ","36,881 ","53,238 ","53,238 ","50,762 ","58,416 ","58,416 ","66,130 ","63,628 ","65,883 ","92,780 ","72,686 ","119,948 ","123,175 ","123,861 ","135,195 ","132,777 ","172,646 "
Notes Payable/Short Term Debt,"195,275 ","30,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"153,785 ","1,040,808 ","343,251 ","239,625 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Current Port. of LT Debt/Capital Leases,--,"165,000 ","2,496,629 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,--,"35,475 ","27,550 ","16,354 ","4,014,849 ","4,014,732 ","4,016,384 ","4,022,585 ","4,020,241 ","4,020,654 ","4,023,640 ","4,023,807 ","3,025,290 ","3,026,939 ","3,027,162 ","7,023,786 ","4,040,053 ","4,039,400 ","4,039,017 "
"Other Current liabilities, Total","1,795,731 ","2,532,985 ","2,984,397 ","3,151,233 ","2,816,606 ","2,991,169 ","2,185,953 ","2,258,210 ","2,649,679 ","1,845,565 ","1,329,445 ","1,412,996 ","1,620,705 ","1,859,576 ","1,036,806 ","1,244,305 ","1,107,597 ","1,043,966 ","823,573 ","651,301 ","515,096 ","541,694 ","886,317 ","873,576 ","1,409,711 ","1,273,905 ","1,248,689 ","1,123,119 ","1,874,095 ","2,279,995 ","2,923,848 ","2,661,978 "
