"Property/Plant/Equipment, Total - Net","12,614,453 ","16,268,130 ","18,490,460 ","19,847,443 ","20,587,980 ","21,606,814 ","22,517,868 ","23,011,775 ","23,624,151 ","24,749,773 ","26,221,757 ","27,216,955 ","28,546,609 ","30,886,682 ","34,162,424 ","34,658,039 ","35,304,851 ","36,314,821 ","36,929,905 ","37,509,428 ","38,204,106 ","38,561,198 ","39,705,338 ","40,582,197 ","41,601,947 ","42,700,436 ","43,936,733 ","45,041,026 ","46,927,439 ","50,395,494 ","51,354,814 ","53,355,873 "
Long Term Investments,"5,514 ","5,480 ","5,463 ","5,446 ","5,428 ","5,410 ","9,349 ","9,331 ","9,313 ","5,337 ","5,319 ","5,300 ","5,281 ","186,532 ","186,413 ","188,294 ","188,172 ","188,049 ","187,927 ","187,803 ","185,677 ","670,890 ","490,493 ","490,813 ","491,002 ","736,067 ","737,005 ","737,908 ","739,262 ","740,180 ","741,834 ","743,538 "
"Debt & Lease, Pension Items (THB Thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Operating Leases, Supplemental",--,--,"5,701 ","10,327 ","10,490 ","9,330 ","8,824 ","10,782 ","10,052 ","8,529 ","8,288 ","8,418 ","7,004 ","5,707 ",--,--,--,--,540 ,"4,137 ","13,887 ","11,314 ",--,--,--,"12,300 ","10,202 ","8,079 ","5,956 ","5,876 ",--,--
Operating Lease Payments Due in Year 1,--,--,"1,924 ","4,024 ","3,973 ","3,640 ","3,397 ","5,259 ","4,801 ","4,164 ","3,874 ","4,938 ","4,479 ","3,748 ",--,--,--,--,540 ,"1,891 ","5,182 ","5,119 ",--,--,--,"8,466 ","8,117 ","6,903 ","5,606 ","5,132 ",--,--
Operating Lease Payments Due in Year 2,--,--,944 ,"1,576 ","1,629 ","1,423 ","1,357 ","1,381 ","1,313 ","1,091 ","1,104 ",870 ,631 ,490 ,--,--,--,--,--,562 ,"2,176 ","1,549 ",--,--,--,959 ,521 ,294 ,88 ,186 ,--,--
Operating Lease Payments Due in Year 3,--,--,944 ,"1,576 ","1,629 ","1,423 ","1,357 ","1,381 ","1,313 ","1,091 ","1,104 ",870 ,631 ,490 ,--,--,--,--,--,562 ,"2,176 ","1,549 ",--,--,--,959 ,521 ,294 ,88 ,186 ,--,--
Operating Lease Payments Due in Year 4,--,--,944 ,"1,576 ","1,629 ","1,423 ","1,357 ","1,381 ","1,313 ","1,091 ","1,104 ",870 ,631 ,490 ,--,--,--,--,--,562 ,"2,176 ","1,549 ",--,--,--,959 ,521 ,294 ,88 ,186 ,--,--
Operating Lease Payments Due in Year 5,--,--,944 ,"1,576 ","1,629 ","1,423 ","1,357 ","1,381 ","1,313 ","1,091 ","1,104 ",870 ,631 ,490 ,--,--,--,--,--,562 ,"2,176 ","1,549 ",--,--,--,959 ,521 ,294 ,88 ,186 ,--,--
Operating Lease Pymts. Due in 2-3 Years,--,--,"1,889 ","3,152 ","3,259 ","2,845 ","2,714 ","2,762 ","2,626 ","2,183 ","2,207 ","1,740 ","1,263 ",980 ,--,--,--,--,--,"1,123 ","4,353 ","3,098 ",--,--,--,"1,917 ","1,043 ",588 ,175 ,372 ,--,--
Operating Lease Pymts. Due in 4-5 Years,--,--,"1,889 ","3,152 ","3,259 ","2,845 ","2,714 ","2,762 ","2,626 ","2,183 ","2,207 ","1,740 ","1,263 ",980 ,--,--,--,--,--,"1,123 ","4,353 ","3,098 ",--,--,--,"1,917 ","1,043 ",588 ,175 ,372 ,--,--
Oper. Lse. Pymts. Due in Year 6 & Beyond,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,--,0 ,0 ,0 ,0 ,--,--,--,0 ,0 ,0 ,0 ,0 ,--,--
