Period End Date,Current Ratio,Pretax ROE,Times Interest Earned,Reinvestment Rate,Debt/Equity,Quick Ratio,Gross Margin,ROE,x Earnings Retention,Net Margin,x Tax Complement,x Leverage (Assets/Equity),Pretax Margin,Cash Cycle (Days),% LT Debt to Total Capital,(Total Debt - Cash) / EBITDA,x Pretax Margin,Effective Tax Rate,Pretax ROA,EBITDA Margin,Assets/Equity,Operating Margin,Asset Turnover,Company name,Fraud
Sep-2022 ,1.78,-2.9,-205.6,-2.4,0.01,1.33,0.9,-2.4,0.0,-4.9,0.0,1.55,-6.0,144.6,0.6,0.0,-6.0,0.0,-1.9,-4.6,1.55,-6.0,0.32,CPT,0
Dec-2022 ,1.71,-3.5,-190.6,-3.3,0.01,1.16,5.5,-3.3,0.0,-12.0,0.0,1.52,-12.8,242.5,0.2,0.0,-12.8,0.0,-2.3,-7.3,1.52,-12.8,0.18,CPT,0
Mar-2023 ,1.89,0.9,81.8,0.7,0.01,1.27,9.5,0.7,1.0,2.0,0.8,1.47,2.5,174.2,0.0,0.0,2.5,20.0,0.6,4.4,1.47,2.5,0.23,CPT,0
Jun-2023 ,2.13,5.1,262.7,4.0,0.0,1.54,14.5,4.0,1.0,10.3,0.8,1.43,13.0,155.3,0.0,0.0,13.0,20.2,3.5,7.9,1.43,13.0,0.27,CPT,0
Sep-2023 ,2.55,1.7,238.8,1.4,0.01,1.9,15.3,1.4,1.0,4.4,0.79,1.34,5.6,178.8,0.3,0.0,5.6,20.8,1.2,7.5,1.34,5.6,0.22,CPT,0
Dec-2023 ,3.15,3.2,299.6,0.1,0.01,2.48,17.1,2.5,0.03,9.5,0.79,1.28,12.0,187.1,0.4,0.0,12.0,21.1,2.4,13.8,1.28,12.0,0.2,CPT,0
Mar-2024 ,2.79,2.0,250.1,1.6,0.0,2.12,17.6,1.6,1.0,6.8,0.8,1.34,8.5,200.9,0.4,0.0,8.5,20.3,1.6,9.9,1.34,8.5,0.18,CPT,0
Jun-2024 ,2.68,1.9,311.7,1.5,0.0,1.88,17.9,1.5,1.0,6.2,0.8,1.36,7.8,208.8,0.4,0.0,7.8,20.0,1.4,9.6,1.36,7.8,0.18,CPT,0
Jun-2019 ,0.0,0.0,2.9,0.0,0.0,0.0,54.0,0.0,1.0,22.4,0.93,0.0,24.6,0.0,0.0,0.0,24.6,8.8,0.0,37.5,0.0,37.5,0.0,ETC,0
Sep-2019 ,0.82,0.0,2.8,0.0,1.75,0.0,49.8,0.0,1.0,19.1,1.0,2.86,19.6,0.0,54.3,0.0,19.6,2.6,0.0,30.8,2.86,30.8,0.0,ETC,0
Dec-2019 ,0.57,0.6,1.3,0.3,1.75,0.57,48.4,0.3,1.0,2.9,0.6,2.94,4.7,-22.5,51.6,15.61,4.7,37.9,0.2,86.8,2.94,20.0,0.04,ETC,0
Mar-2020 ,0.0,0.0,2.6,0.0,0.0,0.0,51.2,0.0,1.0,17.9,0.95,0.0,17.9,0.0,0.0,0.0,17.9,-0.2,0.0,28.8,0.0,28.8,0.0,ETC,0
Jun-2020 ,0.5,0.0,3.6,0.0,1.55,0.5,56.1,0.0,1.0,34.7,0.96,2.72,35.1,0.0,47.3,0.0,35.1,1.2,0.0,48.7,2.72,48.7,0.0,ETC,0
Sep-2020 ,3.9,2.9,3.6,2.8,0.56,3.9,50.4,2.8,1.0,28.9,0.96,1.63,28.9,-26.5,28.2,7.51,28.9,0.0,1.5,55.9,1.63,40.0,0.05,ETC,0
Dec-2020 ,3.89,2.6,4.0,2.5,0.52,3.88,55.0,2.5,1.0,35.4,0.97,1.58,35.4,-19.0,26.3,0.0,35.4,0.0,1.6,61.9,1.58,47.2,0.05,ETC,0
Mar-2021 ,3.8,1.8,3.5,1.7,0.48,3.8,48.9,1.7,1.0,26.5,0.97,1.54,26.5,-4.5,24.7,0.0,26.5,0.0,1.1,53.0,1.54,37.3,0.04,ETC,0
Jun-2021 ,3.34,2.5,4.9,2.5,0.45,3.34,51.5,2.5,1.0,35.2,0.96,1.52,35.2,-16.6,22.7,0.0,35.2,0.0,1.7,58.8,1.52,44.3,0.05,ETC,0
Sep-2021 ,3.45,1.9,4.2,1.9,0.41,3.44,42.7,1.9,1.0,30.3,1.0,1.47,29.6,20.5,20.9,0.0,29.6,-2.1,1.3,54.9,1.47,38.9,0.04,ETC,0
Dec-2021 ,3.38,0.9,2.6,1.0,0.38,3.37,42.7,1.0,1.0,14.2,1.03,1.45,13.3,30.1,19.1,0.0,13.3,-7.1,0.6,36.5,1.45,21.8,0.05,ETC,0
Mar-2022 ,3.15,1.8,4.3,1.7,0.35,3.15,39.4,1.7,1.0,27.4,0.97,1.41,27.5,62.4,17.4,0.0,27.5,0.4,1.2,52.3,1.41,35.9,0.04,ETC,0
Jun-2022 ,2.9,2.5,5.9,2.3,0.32,2.9,41.8,2.3,1.0,34.7,0.94,1.37,35.9,88.2,15.3,0.14,35.9,3.2,1.8,58.6,1.37,43.1,0.05,ETC,0
Sep-2022 ,2.8,1.5,4.3,1.4,0.29,2.79,37.9,1.4,1.0,22.8,0.94,1.35,23.6,108.3,13.4,0.56,23.6,3.5,1.1,46.1,1.35,30.7,0.05,ETC,0
Dec-2022 ,2.66,-0.8,-0.1,-0.8,0.52,2.63,27.4,-0.8,0.0,-11.6,0.0,1.59,-12.6,134.1,21.7,5.33,-12.6,0.0,-0.5,14.6,1.59,-1.3,0.04,ETC,0
Mar-2023 ,2.76,0.1,1.1,0.0,0.51,2.75,26.5,0.0,1.0,0.9,0.57,1.58,1.0,146.9,21.0,4.55,1.0,11.6,0.0,30.5,1.58,14.4,0.04,ETC,0
Jun-2023 ,3.76,0.3,1.3,0.2,0.72,3.76,25.9,0.2,1.0,4.8,0.72,1.78,6.0,148.5,31.8,3.45,6.0,19.6,0.2,41.5,1.78,23.6,0.03,ETC,0
Sep-2023 ,3.42,0.3,1.3,0.4,0.71,3.42,33.5,0.4,1.0,6.1,1.09,1.77,5.3,133.1,31.3,4.71,5.3,-15.9,0.2,39.2,1.77,22.8,0.03,ETC,0
Dec-2023 ,3.18,0.5,1.4,0.4,0.7,3.13,38.5,0.4,1.0,7.4,0.88,1.76,7.5,139.3,30.7,5.77,7.5,2.0,0.3,40.2,1.76,25.1,0.04,ETC,0
Mar-2024 ,3.32,-0.2,0.9,-0.2,0.69,3.27,30.0,-0.2,0.0,-3.0,0.0,1.76,-2.6,165.9,30.2,6.75,-2.6,0.0,-0.1,30.5,1.76,14.7,0.04,ETC,0
Jun-2024 ,2.56,2.1,2.1,2.0,0.53,2.53,37.8,2.0,1.0,31.4,0.98,1.59,31.3,92.5,19.6,0.42,31.3,-0.3,1.2,43.8,1.59,46.2,0.04,ETC,0
Mar-2003 ,0.0,0.0,1.7,0.0,0.0,0.0,25.1,0.0,1.0,0.2,0.29,0.0,0.6,0.0,0.0,0.0,0.6,71.4,0.0,3.7,0.0,3.7,0.0,LNE,0
Jun-2003 ,0.0,0.0,3.2,0.0,0.0,0.0,26.2,0.0,1.0,2.6,0.69,0.0,3.8,0.0,0.0,0.0,3.8,30.8,0.0,8.3,0.0,5.9,0.0,LNE,0
Sep-2003 ,0.0,0.0,4.5,0.0,0.0,0.0,26.7,0.0,1.0,3.8,0.65,0.0,5.8,0.0,0.0,0.0,5.8,34.7,0.0,8.5,0.0,7.4,0.0,LNE,0
Dec-2003 ,1.12,0.0,6.9,0.0,1.6,0.7,28.4,0.0,1.0,4.3,0.67,3.73,6.5,0.0,4.7,0.0,6.5,33.5,0.0,7.8,3.73,6.8,0.0,LNE,0
Mar-2004 ,0.0,0.0,4.0,0.0,0.0,0.0,27.8,0.0,1.0,3.0,0.67,0.0,4.5,0.0,0.0,0.0,4.5,33.2,0.0,5.7,0.0,5.7,0.0,LNE,0
Jun-2004 ,1.06,0.0,3.2,0.0,1.71,0.58,25.6,0.0,1.0,1.4,0.6,3.9,2.2,0.0,3.0,0.0,2.2,39.5,0.0,6.8,3.9,4.2,0.0,LNE,0
Sep-2004 ,1.24,9.9,7.9,6.6,1.1,0.72,27.0,6.6,1.0,4.6,0.67,2.88,6.9,114.5,2.1,9.92,6.9,33.2,3.0,9.4,2.88,8.4,0.44,LNE,0
Dec-2004 ,1.25,10.9,11.3,0.5,1.02,0.8,27.3,7.5,0.07,5.2,0.69,2.92,7.6,106.6,2.2,7.89,7.6,31.2,3.8,9.2,2.92,8.3,0.49,LNE,0
Mar-2005 ,1.29,6.5,4.5,4.5,0.86,0.79,24.9,4.5,1.0,4.7,0.7,2.67,6.7,152.3,2.6,15.53,6.7,29.9,2.3,6.2,2.67,7.3,0.35,LNE,0
Jun-2005 ,1.2,5.1,5.8,3.4,1.28,0.75,25.8,3.4,1.0,3.0,0.66,3.11,4.5,139.8,2.2,14.28,4.5,33.9,1.8,6.5,3.11,5.8,0.39,LNE,0
Sep-2005 ,1.19,7.2,5.9,5.8,1.26,0.71,26.7,5.8,1.0,5.1,0.81,3.12,6.3,142.3,4.4,12.22,6.3,19.3,2.3,8.9,3.12,7.4,0.37,LNE,0
Dec-2005 ,1.24,9.1,7.8,-1.0,1.15,0.82,25.9,6.9,-0.14,5.1,0.76,2.88,6.7,114.3,3.9,8.56,6.7,24.1,3.0,10.3,2.88,7.9,0.45,LNE,0
Mar-2006 ,1.23,4.2,3.4,3.2,1.02,0.76,29.5,3.2,1.0,3.6,0.76,2.81,4.8,169.8,3.9,15.8,4.8,24.0,1.5,7.5,2.81,5.9,0.31,LNE,0
Jun-2006 ,1.15,5.9,4.1,4.5,1.29,0.73,29.6,4.5,1.0,4.4,0.76,3.04,5.8,147.6,3.1,12.55,5.8,24.5,2.0,8.7,3.04,7.5,0.35,LNE,0
Sep-2006 ,1.19,15.1,8.2,11.2,1.17,0.74,34.2,11.2,1.0,8.3,0.74,3.08,11.3,118.6,3.7,6.63,11.3,25.9,4.9,13.6,3.08,12.7,0.44,LNE,0
Dec-2006 ,1.2,10.1,6.1,5.0,1.2,0.82,27.3,7.7,0.65,6.3,0.77,2.96,8.2,127.9,3.1,9.36,8.2,23.3,3.3,10.1,2.96,9.5,0.41,LNE,0
Mar-2007 ,1.22,2.7,2.4,2.0,1.14,0.76,26.4,2.0,1.0,2.5,0.74,2.76,3.3,186.9,5.1,20.03,3.3,26.1,0.9,7.0,2.76,5.5,0.28,LNE,0
Jun-2007 ,1.24,3.4,2.9,2.6,1.14,0.72,27.8,2.6,1.0,3.3,0.78,2.69,4.2,177.8,7.7,18.04,4.2,22.2,1.2,7.6,2.69,6.1,0.29,LNE,0
Sep-2007 ,1.22,3.5,3.5,2.7,1.14,0.71,26.9,2.7,1.0,3.1,0.78,2.65,3.9,156.2,7.1,18.07,3.9,22.3,1.3,7.0,2.65,5.4,0.33,LNE,0
Dec-2007 ,1.21,3.5,3.5,-3.0,1.09,0.72,28.3,2.8,-1.08,2.9,0.8,2.66,3.6,140.5,6.6,17.99,3.6,20.2,1.3,6.2,2.66,5.2,0.37,LNE,0
Mar-2008 ,1.22,4.0,3.7,3.0,0.96,0.68,27.9,3.0,1.0,3.4,0.76,2.64,4.5,146.4,6.7,15.98,4.5,23.9,1.5,7.0,2.64,5.4,0.34,LNE,0
Jun-2008 ,1.21,3.2,3.8,2.5,1.17,0.63,26.2,2.5,1.0,2.8,0.78,2.81,3.6,152.2,6.4,16.03,3.6,22.2,1.2,7.3,2.81,5.5,0.33,LNE,0
Sep-2008 ,1.21,3.4,3.3,2.7,1.17,0.62,25.0,2.7,1.0,2.9,0.81,2.74,3.6,155.8,5.8,18.33,3.6,19.3,1.2,6.6,2.74,5.0,0.34,LNE,0
Dec-2008 ,1.21,3.4,3.3,-1.6,1.15,0.69,26.2,2.8,-0.57,2.9,0.81,2.69,3.5,153.8,5.2,17.87,3.5,19.2,1.3,6.7,2.69,5.2,0.35,LNE,0
Mar-2009 ,1.19,1.4,2.0,1.0,1.15,0.68,25.5,1.0,1.0,1.2,0.71,2.68,1.7,178.6,4.6,25.18,1.7,29.4,0.5,5.7,2.68,3.5,0.3,LNE,0
Jun-2009 ,1.18,-1.7,-0.5,-1.6,1.24,0.65,24.3,-1.6,0.0,-2.3,0.0,2.65,-2.6,209.5,5.4,92.17,-2.6,0.0,-0.7,1.9,2.65,-0.9,0.26,LNE,0
Sep-2009 ,1.23,1.3,2.1,1.0,1.09,0.69,25.6,1.0,1.0,1.1,0.73,2.63,1.5,159.0,7.5,25.59,1.5,26.6,0.5,5.1,2.63,2.8,0.33,LNE,0
Dec-2009 ,1.25,3.4,4.5,0.3,1.0,0.77,25.2,2.9,0.09,3.0,0.84,2.56,3.5,129.4,6.8,51.95,3.5,16.3,1.3,2.0,2.56,4.6,0.37,LNE,0
Mar-2010 ,1.26,2.5,3.6,1.9,0.94,0.73,26.5,1.9,1.0,2.3,0.77,2.5,3.0,146.6,6.0,18.33,3.0,23.3,1.0,6.2,2.5,3.9,0.33,LNE,0
Jun-2010 ,1.23,0.9,1.7,0.4,1.03,0.66,26.5,0.4,1.0,0.5,0.47,2.58,1.2,170.4,5.0,28.22,1.2,52.5,0.3,4.5,2.58,2.2,0.29,LNE,0
Sep-2010 ,1.24,5.8,6.8,4.1,1.02,0.71,28.4,4.1,1.0,4.2,0.7,2.59,6.0,139.7,4.5,11.61,6.0,29.9,2.3,8.8,2.59,7.0,0.37,LNE,0
Dec-2010 ,1.22,6.0,7.1,0.2,0.95,0.71,28.1,4.6,0.05,4.6,0.76,2.57,6.0,136.6,3.3,11.36,6.0,23.9,2.3,8.5,2.57,6.7,0.39,LNE,0
Mar-2011 ,1.22,4.3,5.5,3.2,1.0,0.69,27.1,3.2,1.0,3.5,0.73,2.73,4.7,151.7,2.7,13.38,4.7,26.7,1.6,7.9,2.73,6.0,0.34,LNE,0
Jun-2011 ,1.19,3.9,4.2,2.7,1.14,0.62,28.5,2.7,1.0,3.1,0.7,2.88,4.4,170.5,2.1,18.46,4.4,29.9,1.4,6.6,2.88,6.0,0.31,LNE,0
Sep-2011 ,1.23,9.8,7.9,6.8,1.2,0.7,26.8,6.8,1.0,5.6,0.69,3.06,8.1,133.5,1.5,9.12,8.1,31.3,3.3,10.5,3.06,9.1,0.41,LNE,0
Dec-2011 ,1.24,2.9,2.8,-3.6,1.28,0.78,22.5,2.1,-1.7,1.9,0.73,3.05,2.6,157.3,1.0,21.26,2.6,26.7,0.9,5.2,3.05,3.7,0.36,LNE,0
Mar-2012 ,1.31,4.8,4.3,3.6,1.19,0.79,26.2,3.6,1.0,3.8,0.75,2.81,5.0,185.0,5.3,16.07,5.0,24.6,1.6,8.0,2.81,6.4,0.32,LNE,0
Jun-2012 ,1.29,0.8,1.6,0.5,1.15,0.71,23.4,0.5,1.0,0.6,0.64,2.8,1.0,190.0,5.2,30.74,1.0,36.4,0.3,4.5,2.8,2.6,0.3,LNE,0
Sep-2012 ,1.29,7.0,5.5,5.4,1.11,0.74,26.8,5.4,1.0,5.2,0.78,2.86,6.6,150.4,4.8,12.26,6.6,22.0,2.5,8.7,2.86,6.9,0.37,LNE,0
Dec-2012 ,1.31,7.7,6.8,-0.6,1.06,0.78,26.1,6.0,-0.1,5.4,0.78,2.82,6.9,143.5,4.4,10.86,6.9,22.2,2.7,8.8,2.82,7.7,0.39,LNE,0
Mar-2013 ,1.46,3.8,4.2,3.2,0.85,0.78,28.2,3.2,1.0,4.2,0.85,2.35,5.0,205.5,4.2,15.77,5.0,15.2,1.5,7.8,2.35,6.0,0.3,LNE,0
Jun-2013 ,1.42,3.6,4.8,2.8,0.93,0.75,28.5,2.8,1.0,3.8,0.79,2.43,4.8,207.8,3.8,13.81,4.8,21.0,1.5,8.6,2.43,6.6,0.31,LNE,0
Sep-2013 ,1.37,9.5,10.1,7.7,0.92,0.77,32.0,7.7,1.0,8.3,0.81,2.61,10.2,175.1,3.8,7.92,10.2,19.0,3.8,12.4,2.61,11.2,0.37,LNE,0
Dec-2013 ,1.37,7.4,9.0,4.2,0.9,0.77,28.1,6.2,0.68,6.1,0.84,2.59,7.3,157.5,2.9,8.98,7.3,16.3,2.8,9.8,2.59,8.6,0.39,LNE,0
Mar-2014 ,1.33,3.9,4.7,3.3,1.03,0.7,29.4,3.3,1.0,4.5,0.84,2.58,5.3,218.1,2.8,16.16,5.3,16.2,1.5,7.8,2.58,6.4,0.28,LNE,0
Jun-2014 ,1.31,3.2,3.5,2.9,1.2,0.69,28.5,2.9,1.0,4.0,0.9,2.72,4.4,223.0,8.0,21.68,4.4,10.4,1.2,6.7,2.72,5.4,0.27,LNE,0
Sep-2014 ,1.33,9.9,9.6,8.4,1.26,0.74,32.0,8.4,1.0,9.3,0.85,2.89,10.9,184.4,13.4,9.93,10.9,14.7,3.5,13.0,2.89,11.8,0.32,LNE,0
Dec-2014 ,1.3,3.2,3.9,-5.5,1.22,0.67,31.8,2.5,-2.24,3.8,0.77,2.74,4.9,253.2,14.0,22.21,4.9,23.3,1.2,8.2,2.74,6.7,0.23,LNE,0
Mar-2015 ,1.29,2.0,2.1,1.7,1.32,0.62,29.5,1.7,1.0,3.0,0.83,2.72,3.6,289.9,15.7,38.15,3.6,16.7,0.7,5.9,2.72,4.0,0.2,LNE,0
Jun-2015 ,1.2,1.9,2.2,1.6,1.48,0.59,29.4,1.6,1.0,2.5,0.85,2.92,2.9,259.9,14.7,29.04,2.9,15.9,0.7,7.4,2.92,5.1,0.23,LNE,0
Sep-2015 ,1.2,1.8,2.0,1.4,1.46,0.63,29.1,1.4,1.0,2.0,0.76,2.92,2.7,246.2,14.1,29.16,2.7,25.3,0.6,7.3,2.92,4.9,0.23,LNE,0
Dec-2015 ,1.23,2.0,1.9,-2.5,1.36,0.64,28.9,1.5,-1.72,2.0,0.74,2.8,2.7,210.9,14.9,27.5,2.7,26.8,0.7,6.7,2.8,4.0,0.26,LNE,0
Mar-2016 ,1.23,0.3,0.8,0.2,1.29,0.62,25.0,0.2,1.0,0.3,0.68,2.67,0.4,222.2,14.3,41.93,0.4,31.1,0.1,4.8,2.67,1.8,0.23,LNE,0
Jun-2016 ,1.19,1.4,1.7,1.1,1.37,0.6,29.4,1.1,1.0,1.8,0.79,2.77,2.3,242.7,13.1,29.18,2.3,20.4,0.5,7.3,2.77,4.1,0.22,LNE,0
Sep-2016 ,1.21,3.3,3.1,2.6,1.25,0.65,31.0,2.6,1.0,3.7,0.79,2.68,4.6,209.5,12.3,19.99,4.6,20.6,1.2,9.1,2.68,6.3,0.26,LNE,0
Dec-2016 ,1.26,4.0,3.1,-3.2,0.93,0.67,27.8,3.1,-1.03,3.8,0.77,2.45,4.9,154.2,12.5,17.57,4.9,22.7,1.6,7.2,2.45,4.9,0.32,LNE,0
Mar-2017 ,1.28,0.4,1.1,0.3,0.97,0.62,31.3,0.3,1.0,0.6,0.76,2.37,0.8,238.6,11.1,30.4,0.8,23.2,0.2,6.0,2.37,2.2,0.21,LNE,0
Jun-2017 ,1.27,1.1,1.7,0.7,0.97,0.62,32.0,0.7,1.0,1.5,0.68,2.36,2.1,246.7,9.9,25.93,2.1,31.6,0.5,7.1,2.36,3.5,0.22,LNE,0
Sep-2017 ,1.25,3.0,3.7,2.3,0.98,0.61,32.8,2.3,1.0,3.8,0.76,2.45,5.0,221.0,8.6,17.54,5.0,23.2,1.2,9.1,2.45,6.1,0.25,LNE,0
Dec-2017 ,1.25,2.7,3.2,-3.0,0.97,0.63,29.7,2.0,-1.5,3.1,0.75,2.43,4.2,201.5,7.6,18.77,4.2,25.1,1.1,7.7,2.43,5.0,0.27,LNE,0
Mar-2018 ,1.26,2.3,2.9,1.7,0.97,0.59,33.5,1.7,1.0,3.2,0.72,2.37,4.4,259.2,6.4,20.68,4.4,28.3,1.0,8.5,2.37,5.3,0.22,LNE,0
Jun-2018 ,1.2,2.7,3.6,2.1,1.07,0.6,32.4,2.1,1.0,3.6,0.79,2.47,4.6,248.4,4.8,19.08,4.6,22.0,1.1,8.9,2.47,5.9,0.24,LNE,0
Sep-2018 ,1.2,3.8,4.8,3.0,1.08,0.61,35.1,3.0,1.0,4.8,0.78,2.52,6.2,248.9,3.9,16.47,6.2,21.8,1.5,10.4,2.52,7.5,0.25,LNE,0
Dec-2018 ,1.22,4.2,4.9,-3.4,1.07,0.7,31.0,3.1,-1.12,4.2,0.73,2.49,5.8,208.1,3.1,16.29,5.8,26.5,1.7,8.8,2.49,6.5,0.29,LNE,0
Mar-2019 ,1.26,1.8,2.7,1.3,0.92,0.67,36.1,1.3,1.0,2.6,0.71,2.27,3.7,311.0,2.6,23.43,3.7,28.7,0.7,8.5,2.27,5.0,0.2,LNE,0
Jun-2019 ,1.2,-1.4,-0.8,-1.4,1.07,0.6,34.9,-1.4,0.0,-3.0,0.0,2.46,-3.1,322.8,2.0,78.41,-3.1,0.0,-0.6,2.7,2.46,-1.5,0.19,LNE,0
Sep-2019 ,1.2,2.7,3.6,2.0,1.06,0.64,32.5,2.0,1.0,3.2,0.74,2.5,4.4,247.0,1.3,19.68,4.4,26.3,1.1,8.5,2.5,5.4,0.25,LNE,0
Dec-2019 ,1.22,5.2,6.4,-1.6,0.99,0.7,34.8,4.2,-0.39,5.8,0.8,2.48,7.3,221.8,0.5,13.07,7.3,20.5,2.1,10.6,2.48,8.0,0.29,LNE,0
Mar-2020 ,1.22,1.1,1.9,0.7,0.99,0.66,35.1,0.7,1.0,1.6,0.68,2.37,2.3,308.3,2.9,24.56,2.3,32.0,0.4,7.9,2.37,3.7,0.19,LNE,0
Jun-2020 ,1.16,-0.5,0.3,-0.5,1.05,0.55,34.3,-0.5,0.0,-1.3,0.0,2.46,-1.2,340.0,2.9,27.29,-1.2,0.0,-0.2,8.3,2.46,0.7,0.17,LNE,0
Sep-2020 ,1.18,2.2,3.3,1.7,1.03,0.61,29.5,1.7,1.0,2.7,0.77,2.45,3.6,225.2,2.5,18.35,3.6,23.4,0.9,8.8,2.45,4.3,0.25,LNE,0
Dec-2020 ,1.19,1.5,2.4,-1.9,0.88,0.63,31.1,1.3,-1.45,2.3,0.84,2.38,2.8,234.5,2.2,21.47,2.8,16.0,0.6,7.5,2.38,3.3,0.23,LNE,0
Mar-2021 ,1.18,-0.3,-0.3,-0.2,0.92,0.61,28.6,-0.2,0.0,-0.5,0.0,2.52,-0.6,247.1,2.7,35.3,-0.6,0.0,-0.1,4.9,2.52,-0.5,0.19,LNE,0
Jun-2021 ,1.13,0.5,0.9,0.4,1.06,0.54,26.9,0.4,1.0,0.7,0.81,2.73,0.9,226.6,2.1,27.43,0.9,19.1,0.2,6.2,2.73,1.2,0.21,LNE,0
Sep-2021 ,1.14,0.9,0.9,0.7,1.08,0.53,26.8,0.7,1.0,1.3,0.78,2.7,1.6,230.8,1.7,32.32,1.6,22.4,0.3,5.4,2.7,1.2,0.21,LNE,0
Dec-2021 ,1.14,3.6,3.6,-0.7,1.08,0.55,26.2,2.9,-0.24,4.1,0.82,2.88,5.0,194.2,1.0,16.95,5.0,18.5,1.3,8.3,2.88,4.2,0.26,LNE,0
Mar-2022 ,1.13,0.7,-0.8,0.8,1.14,0.55,24.6,0.8,1.0,1.2,1.14,3.04,1.0,209.1,1.3,53.13,1.0,-14.1,0.2,2.9,3.04,-1.0,0.23,LNE,0
Jun-2022 ,1.12,0.9,1.3,0.9,1.2,0.52,24.3,0.9,1.0,1.2,1.01,3.16,1.2,209.8,0.9,29.01,1.2,-1.4,0.3,5.5,3.16,1.6,0.23,LNE,0
Sep-2022 ,1.12,1.5,1.7,1.2,1.23,0.52,27.4,1.2,1.0,1.7,0.82,3.06,2.1,230.7,1.2,26.54,2.1,18.2,0.5,6.4,3.06,2.2,0.22,LNE,0
Dec-2022 ,1.13,0.3,0.8,-2.8,1.24,0.53,25.9,-0.2,0.0,-0.3,-0.6,2.92,0.4,230.2,1.5,35.26,0.4,160.3,0.1,4.8,2.92,1.2,0.23,LNE,0
Mar-2023 ,1.15,-0.3,0.4,-0.1,1.25,0.51,31.3,-0.1,0.0,-0.3,0.0,2.89,-0.5,299.3,1.3,37.7,-0.5,0.0,-0.1,5.6,2.89,0.7,0.2,LNE,0
Jun-2023 ,1.11,-2.0,-1.2,-1.6,1.33,0.52,28.0,-1.6,0.0,-2.8,0.0,3.0,-3.6,302.0,1.3,90.8,-3.6,0.0,-0.7,2.5,3.0,-2.6,0.19,LNE,0
Sep-2023 ,1.11,0.4,0.9,0.3,1.31,0.54,30.4,0.3,1.0,0.5,0.74,3.0,0.7,277.2,1.3,30.1,0.7,26.3,0.1,6.9,3.0,2.0,0.2,LNE,0
Dec-2023 ,1.11,0.4,1.5,-2.5,1.29,0.59,30.9,-0.7,0.0,-1.0,-1.82,2.98,0.6,242.0,1.5,24.48,0.6,281.8,0.1,7.4,2.98,3.0,0.23,LNE,0
Mar-2024 ,1.12,-1.1,-0.3,-1.2,1.29,0.58,35.5,-1.2,0.0,-2.4,0.0,2.91,-2.2,345.2,1.2,51.32,-2.2,0.0,-0.4,4.8,2.91,-0.9,0.17,LNE,0
Jun-2024 ,1.12,-1.6,-0.3,-1.5,1.34,0.52,32.7,-1.5,0.0,-2.8,0.0,2.84,-3.0,328.5,1.0,51.64,-3.0,0.0,-0.5,4.6,2.84,-0.9,0.19,LNE,0
Mar-2014 ,0.0,0.0,4.2,0.0,0.0,0.0,14.4,0.0,1.0,3.5,0.74,0.0,4.8,0.0,0.0,0.0,4.8,26.4,0.0,7.4,0.0,6.3,0.0,SCI,0
Jun-2014 ,0.0,0.0,14.3,0.0,0.0,0.0,17.5,0.0,1.0,9.9,0.78,0.0,12.7,0.0,0.0,0.0,12.7,21.8,0.0,14.3,0.0,13.6,0.0,SCI,0
Sep-2014 ,0.0,0.0,27.0,0.0,0.0,0.0,21.1,0.0,1.0,13.6,0.78,0.0,17.5,0.0,0.0,0.0,17.5,22.1,0.0,18.6,0.0,18.1,0.0,SCI,0
Dec-2014 ,0.0,0.0,17.7,0.0,0.0,0.0,25.9,0.0,1.0,14.8,0.79,0.0,18.6,0.0,0.0,0.0,18.6,20.8,0.0,21.5,0.0,19.7,0.0,SCI,0
Mar-2015 ,0.87,0.0,13.8,0.0,1.31,0.67,18.8,0.0,1.0,11.0,0.81,7.08,13.5,0.0,10.9,0.0,13.5,18.6,0.0,15.7,7.08,14.5,0.0,SCI,0
Jun-2015 ,1.25,17.4,15.0,15.1,0.47,0.99,20.4,15.1,1.0,12.8,0.87,2.45,14.7,61.7,6.6,0.91,14.7,13.2,4.7,16.7,2.45,15.8,0.32,SCI,0
Sep-2015 ,1.27,8.2,9.7,6.1,0.38,0.93,22.7,6.1,1.0,12.2,0.74,2.31,16.4,109.1,6.1,1.92,16.4,25.6,3.5,19.8,2.31,18.3,0.21,SCI,0
Dec-2015 ,2.38,-0.6,-0.7,-5.8,0.15,2.16,7.2,-0.2,0.0,-0.5,0.0,1.56,-1.5,98.6,2.8,0.0,-1.5,0.0,-0.3,2.7,1.56,-0.6,0.21,SCI,0
Mar-2016 ,3.27,0.1,1.6,-0.3,0.09,2.85,16.2,-0.3,0.0,-1.8,-2.29,1.36,0.8,148.8,2.7,0.0,0.8,329.3,0.1,5.4,1.36,2.3,0.1,SCI,0
Jun-2016 ,3.75,0.1,2.0,-0.2,0.1,3.16,13.2,-0.2,0.0,-1.4,-2.44,1.31,0.6,135.0,2.4,0.0,0.6,343.5,0.1,5.4,1.31,2.2,0.11,SCI,0
Sep-2016 ,2.83,3.8,15.2,3.2,0.09,2.36,16.3,3.2,1.0,9.5,0.84,1.42,11.2,68.1,2.2,0.0,11.2,15.6,2.8,13.8,1.42,12.4,0.25,SCI,0
Dec-2016 ,2.31,7.0,52.0,4.0,0.07,2.01,19.3,6.0,0.67,14.0,0.87,1.56,16.2,55.2,1.9,0.0,16.2,13.3,4.7,17.9,1.56,16.8,0.29,SCI,0
