Period End Date,Current Ratio,Pretax ROE,Times Interest Earned,Reinvestment Rate,Debt/Equity,Quick Ratio,Gross Margin,ROE,x Earnings Retention,Net Margin,x Tax Complement,x Leverage (Assets/Equity),Pretax Margin,Cash Cycle (Days),% LT Debt to Total Capital,(Total Debt - Cash) / EBITDA,x Pretax Margin,Effective Tax Rate,Pretax ROA,EBITDA Margin,Assets/Equity,Operating Margin,Asset Turnover,Company name,Fraud
Dec-2021 ,2.98,0.7,0.0,-1.0,1.09,0.0,65.6,0.9,-1.07,19.3,1.21,2.16,16.0,211.1,45.8,21.44,16.0,-20.6,0.3,71.7,2.16,23.5,0.02,BCPG,0
Mar-2022 ,5.51,6.3,0.0,4.9,1.01,0.0,63.7,4.9,1.0,117.7,0.77,2.1,152.2,199.7,44.2,12.11,152.2,22.6,3.0,76.8,2.1,190.5,0.02,BCPG,0
Jun-2022 ,5.38,1.3,0.0,-0.9,0.9,0.0,65.0,1.1,-0.75,23.0,0.89,1.99,25.9,164.6,41.8,3.14,25.9,11.2,0.6,76.2,1.99,43.1,0.02,BCPG,0
Sep-2022 ,6.13,2.5,0.0,2.2,0.86,0.0,66.2,2.2,1.0,41.5,0.88,1.94,47.0,149.9,41.8,3.59,47.0,11.6,1.3,77.6,1.94,64.4,0.03,BCPG,0
Dec-2022 ,6.61,1.2,0.0,-0.6,0.86,0.0,57.9,1.0,-0.57,23.4,0.85,1.92,27.5,175.0,41.6,5.36,27.5,14.8,0.6,73.0,1.92,42.3,0.02,BCPG,0
Mar-2023 ,6.11,2.1,0.0,1.7,0.88,0.0,50.9,1.7,1.0,48.5,0.84,1.94,57.6,200.7,42.5,9.13,57.6,15.7,1.1,72.7,1.94,75.2,0.02,BCPG,0
Jun-2023 ,5.55,0.9,0.0,-0.3,1.18,0.0,48.1,0.7,-0.45,18.5,0.74,2.25,24.9,184.7,50.3,17.17,24.9,25.7,0.4,71.7,2.25,50.4,0.02,BCPG,0
Sep-2023 ,2.09,2.3,0.0,1.9,1.21,0.0,55.0,1.9,1.0,36.1,0.81,2.31,44.5,146.2,47.6,18.2,44.5,18.8,1.0,78.9,2.31,53.7,0.02,BCPG,0
Dec-2023 ,1.04,-0.4,0.0,-2.1,1.39,0.0,41.7,-0.6,0.0,-13.2,0.0,2.51,-10.2,177.1,44.4,30.03,-10.2,0.0,-0.2,73.7,2.51,16.7,0.02,BCPG,0
Mar-2024 ,1.0,1.8,0.0,1.4,1.32,0.0,42.0,1.4,1.0,36.9,0.79,2.41,46.7,183.1,43.4,35.59,46.7,21.0,0.7,74.9,2.41,44.5,0.02,BCPG,0
Mar-2012 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CKP,0
