Period End Date,Total Revenue,Provision for Income Taxes,Net Income,Net Income Before Taxes,Revenue,Minority Interest,Inc Tax Ex Impact of Sp Items,Normalized EBITDA,"Other, Net",Net Income Before Extra. Items,Cost of Revenue,Net Income After Taxes,Diluted Normalized EPS,Total Operating Expense,Diluted EPS Excluding ExtraOrd Items,Diluted Weighted Average Shares,DPS - Common Stock Primary Issue,"Minority Interest, Supplemental",Normalized Income Before Taxes,Basic EPS Excluding Extraordinary Items,"Selling/General/Admin. Expenses, Total",Basic Weighted Average Shares,Selling/General/Administrative Expense,Income Available to Com Excl ExtraOrd,Income Available to Com Incl ExtraOrd,Normalized Income After Taxes,Normalized EBIT,"Depreciation, Supplemental",Normalized Inc. Avail to Com.,Diluted EPS Including ExtraOrd Items,Basic EPS Including Extraordinary Items,Basic Normalized EPS,"Other Operating Expenses, Total",Operating Income,"Interest Inc.(Exp.),Net-Non-Op., Total","Cost of Revenue, Total",Diluted Net Income,Company name,Fraud
2005-03-31,0.0013379716350013227,0.5933944954128442,0.36223607836503385,0.4085568715991423,0.0013379716350013227,0.7990353697749196,0.6258863235639098,0.06434129575022048,0.42300493449038634,0.36223607836503385,0.04370469371370528,0.36223607836503385,0.22499999999999998,0.33260803251023474,0.32307692307692304,0.4938224932117973,0.0,0.7990353697749196,0.1745573235098364,0.32307692307692304,0.0,0.4938224932117973,0.0,0.36223607836503385,0.36223607836503385,0.1749430218792044,0.11620677316831891,0.0,0.1749430218792044,0.32307692307692304,0.32307692307692304,0.22499999999999998,0.6423108722612649,0.3927020402527014,0.9547757506177152,0.04370469371370528,0.36223607836503385,AKR,0
2005-06-30,0.2893181210012893,0.5897946701616427,0.4459694131080638,0.4837517396264507,0.2893181210012893,0.7990353697749196,0.6243274535176735,0.20874245170035383,0.48194657137995583,0.4459694131080638,0.2523903930192332,0.4459694131080638,0.4,0.48172281202009376,0.43076923076923074,0.4938224932117973,0.0,0.7990353697749196,0.2963436624514372,0.43076923076923074,0.20953317669344113,0.4938224932117973,0.2083245569852099,0.4459694131080638,0.4459694131080638,0.2997492371727821,0.2502241586158995,0.19004507454636513,0.2997492371727821,0.43076923076923074,0.43076923076923074,0.4,0.7318106655642828,0.4659727736159538,0.93663114283575,0.2523903930192332,0.4459694131080638,AKR,0
2005-09-30,0.3127966850739128,0.5915945827872434,0.4384865673535413,0.4772340387406597,0.3127966850739128,0.7990353697749196,0.6251068885407917,0.20092526525603704,0.3456525438148716,0.4384865673535413,0.2853374404010945,0.4384865673535413,0.375,0.5057153443018718,0.41538461538461535,0.4938224932117973,0.0,0.7990353697749196,0.28578753076292046,0.41538461538461535,0.2847112179662314,0.4938224932117973,0.2851595769037044,0.4384865673535413,0.4384865673535413,0.2885959054547317,0.24212287680747618,0.19524598374234312,0.2885959054547317,0.41538461538461535,0.41538461538461535,0.375,0.5248553121124431,0.46154359558578156,0.8965233234332493,0.2853374404010945,0.4384865673535413,AKR,0
2005-12-31,0.3472936482837473,0.5915945827872434,0.420568442531956,0.46103774317439267,0.3472936482837473,0.7990353697749196,0.6251068885407917,0.17296735261741036,0.05203335034881745,0.420568442531956,0.4092493288174313,0.420568442531956,0.35,0.5517326703507759,0.39999999999999997,0.4938224932117973,0.0,0.7990353697749196,0.25955585308093554,0.39999999999999997,0.20127315447243327,0.4938224932117973,0.20043042263839916,0.420568442531956,0.420568442531956,0.2618885809345397,0.2129127991412515,0.21816850945794972,0.2618885809345397,0.39999999999999997,0.39999999999999997,0.35,0.07900992145514674,0.4455736988066881,0.9045099458407166,0.4092493288174313,0.420568442531956,AKR,0
2006-03-31,0.18094566213378094,0.5915945827872434,0.3639951154012877,0.4099007890288554,0.18094566213378094,0.7990353697749196,0.6251068885407917,0.08201310441647881,0.4506040496852136,0.3639951154012877,0.24132143968953562,0.3639951154012877,0.22499999999999998,0.4744619485455362,0.32307692307692304,0.4938224932117973,0.0,0.7990353697749196,0.1767339452381321,0.32307692307692304,0.2104803016228622,0.4938224932117973,0.21010119510966618,0.3639951154012877,0.3639951154012877,0.17756490187156138,0.12124981583212309,0.23115151982124285,0.17756490187156138,0.32307692307692304,0.32307692307692304,0.22499999999999998,0.684218685407193,0.39545920069964674,0.9230538847430553,0.24132143968953562,0.3639951154012877,AKR,0
2006-06-30,0.3164602946781164,0.5915945827872434,0.4179199750483702,0.458643778259597,0.3164602946781164,0.7990353697749196,0.6251068885407917,0.1697091392044318,0.46111961885315644,0.4179199750483702,0.3435167391879335,0.4179199750483702,0.32499999999999996,0.5287717933913836,0.3846153846153846,0.4938224932117973,0.0,0.7990353697749196,0.25567856424226476,0.3846153846153846,0.18783126605103545,0.4938224932117973,0.18732542698841526,0.4179199750483702,0.4179199750483702,0.2579409870166709,0.20981035970617332,0.21531764071348772,0.2579409870166709,0.3846153846153846,0.3846153846153846,0.32499999999999996,0.7001860272840016,0.4438775157938344,0.8912821024783486,0.3435167391879335,0.4179199750483702,AKR,0
2006-09-30,0.3473812246089474,0.6796941896024465,0.4260715456265925,0.4780571135042796,0.3473812246089474,0.7990353697749196,0.6632575843568147,0.20144304335654917,0.407588905904373,0.4260715456265925,0.30997516565979527,0.4260715456265925,0.35,0.5339811290865268,0.39999999999999997,0.4100516021881654,0.0,0.7990353697749196,0.2871205906480722,0.39999999999999997,0.36889605303899603,0.4100516021881654,0.3698154677411969,0.4260715456265925,0.4260715456265925,0.2700910665004107,0.24156511123739766,0.21493238818045227,0.2700910665004107,0.39999999999999997,0.39999999999999997,0.35,0.6189024390243902,0.461238650878586,0.9203334414855117,0.30997516565979527,0.4260715456265925,AKR,0
2006-12-31,0.3646175428353646,0.7675316732197467,0.40945386591670807,0.4750455438684514,0.3646175428353646,0.7990353697749196,0.7012947702180148,0.1876798279124492,0.41187680789518466,0.40945386591670807,0.3587895073157145,0.40945386591670807,0.4,0.5532421863237591,0.43076923076923074,0.0,1.0,0.7990353697749196,0.28224302320182026,0.43076923076923074,0.3118044551299565,0.0,0.31240441412152575,0.40945386591670807,0.40945386591670807,0.24532208150875306,0.2329692071309802,0.12035289132026042,0.24532208150875306,0.43076923076923074,0.43076923076923074,0.4,0.6254133939644481,0.45653905018354224,0.9593431003069857,0.3587895073157145,0.40945386591670807,AKR,0
2007-03-31,0.0,0.6072520751419834,0.3493214954061512,0.3987779310839142,0.0,0.7990353697749196,0.6318872165088878,0.06325311982353449,0.39142419601837675,0.3493214954061512,0.0,0.3493214954061512,0.19999999999999998,0.3406596571709864,0.30769230769230765,0.4938224932117973,0.0,0.7990353697749196,0.15871925642732213,0.30769230769230765,0.23450448973644428,0.4938224932117973,0.23366454507990297,0.3493214954061512,0.3493214954061512,0.15569357688648303,0.10152596240870536,0.24879608583426435,0.15569357688648303,0.30769230769230765,0.30769230769230765,0.19999999999999998,0.5943571723852832,0.3846756654123658,0.9245513764444554,0.0,0.3493214954061512,AKR,0
2007-06-30,0.13930798485253926,0.6462472695500219,0.35804663628770494,0.41199610562593697,0.13930798485253926,0.7990353697749196,0.6487737141213951,0.09096898172411688,0.3735579377233283,0.35804663628770494,0.14735119876600716,0.35804663628770494,0.22499999999999998,0.43670964794107525,0.32307692307692304,0.4938224932117973,0.0,0.7990353697749196,0.1801275403594038,0.32307692307692304,0.3341074258237255,0.4938224932117973,0.3203626539676725,0.35804663628770494,0.35804663628770494,0.16869857441431219,0.12790511670981458,0.27325962168201257,0.16869857441431219,0.32307692307692304,0.32307692307692304,0.22499999999999998,0.5672281934683754,0.3990978239605989,0.8879127461501983,0.14735119876600716,0.35804663628770494,AKR,0
