Period End Date,"Tangible Book Value, Common Equity",Total Equity & Minority Interest,"Accounts Receivable - Trade, Gross",Total Liabilities,Minority Interest,Total Assets,Total Liabilities & Shareholders' Equity,Net Debt Incl. Pref.Stock & Min.Interest,Total Long Term Debt,"Other Liabilities, Total","Other Current liabilities, Total",Receivables - Other,Common Stock,Income Taxes Payable,Additional Paid-In Capital,Cash & Equivalents,Capital Lease Obligations,"Common Stock, Total",Notes Payable/Short Term Debt,Long Term Investments,Current Port. of LT Debt/Capital Leases,Defered Income Tax - Long Term Asset,Total Debt,"Property/Plant/Equipment, Total - Net",Total Equity,Cash and Short Term Investments,Long Term Debt,Treas Shares - Common Stock Prmry Issue,Other Long Term Assets,"Accounts Receivable - Trade, Net","Total Receivables, Net",Other Property/Plant/Equipment - Net,Total Current Assets less Inventory,Total Current Liabilities,Other Payables,Total Current Assets,Total Common Shares Outstanding,Minority Interest - Non Redeemable,Shares Outs - Common Stock Primary Issue,Retained Earnings (Accumulated Deficit),"Curr. Port. of LT Capital Leases, Suppl.","Other Long Term Assets, Total",Company name,Fraud
2004-12-31,0.0,0.0,0.6481191476493395,0.2650263738876335,0.0,0.0,0.0,0.3330611148494283,0.2089858953202354,0.47053291329882735,0.6659837796739039,0.008333983265183337,0.0,0.19606197460799596,0.3624629950570163,0.12604861177826882,0.14591511285574094,0.0,0.15442992733760488,0.015364608419227432,0.12067968512177142,0.32536504945831374,0.3659541049781994,0.03898846395495395,0.0,0.07151515622450327,0.20780878478559503,0.0,0.8135943114917042,0.5525807043881155,0.5644852091455974,0.005086965945536733,0.38824880616463575,0.33208376262920614,0.13675044432424077,0.03050219211296379,1.7029755239761357e-05,0.0,1.7029755239761357e-05,0.5675702452620135,0.7122888998196426,0.06279561589020419,AKR,0
2005-06-30,0.2316790627769856,0.3050643264737951,0.6310170534933202,0.14889728821197523,0.9936906774510778,0.03901424252137675,0.03901372218729815,0.34970941239278025,0.0683991344147959,0.47053291329882735,0.1139900312579201,0.12436353102403264,0.1494000095616006,0.19606197460799596,0.6996378741798222,0.14274570083581517,0.10856231599607456,0.1494000095616006,0.21145809014056902,0.015364608419227432,0.060706605523205705,0.32536504945831374,0.2532663444492358,0.0,0.20849765451499067,0.08839641627749761,0.06771297481777816,0.0,0.4520987843107271,0.6019105528615092,0.6419333412534696,0.005661189346082685,0.4733998408855463,0.2176982556188216,0.007012595626303998,0.21288347694139398,1.7029755239761357e-05,0.9936906774510778,1.7029755239761357e-05,0.629203396002423,0.7122888998196426,0.021306282194160954,AKR,0
2005-12-31,0.31405140853212066,0.3778484835896154,0.38121145683705754,0.1778503108150386,0.9936906774510778,0.12338970276100458,0.12338922811275121,0.42592766322479014,0.04604259426471963,0.47053291329882735,0.1856678212384895,0.19318574309493836,0.1494000095616006,0.19606197460799596,0.01660249104800696,0.16856566432894612,0.18700932286555444,0.1494000095616006,0.3159675685335224,0.015364608419227432,0.06478011949137312,0.32536504945831374,0.3428403945666235,0.1823319560213756,0.2915151623429838,0.11450117722020622,0.044363673156475346,0.0,1.0,0.35521270965860613,0.41191368491538055,0.35289923133224227,0.317233011097947,0.26319649167405185,0.1112114597017232,0.11188631406231608,1.7029755239761357e-05,0.9936906774510778,1.7029755239761357e-05,0.7198941117475647,0.7122888998196426,0.08418965048219942,AKR,0
2006-03-31,0.31701953832517626,0.38047112135982164,0.2881408560227236,0.22954242088572974,0.9936906774510778,0.17280102920409957,0.17280058131003762,0.3849902777505934,0.0504382414297724,0.47053291329882735,0.29300076032778577,0.09121700667387164,0.1494000095616006,0.19606197460799596,0.01660249104800696,0.3312518013257758,0.16437684003925412,0.1494000095616006,0.298676022562524,0.015364608419227432,0.06481679578760513,0.32536504945831374,0.32912519165349047,0.23080241687103328,0.29450653931629434,0.27898176279984144,0.04904598644962194,0.0,0.598669623059867,0.2575250294305062,0.28951517966109014,0.39249740060249483,0.3314846294293057,0.31108511743719297,0.26108878757437604,0.14039349484622066,1.7029755239761357e-05,0.9936906774510778,1.7029755239761357e-05,0.7232409244538074,0.7122888998196426,0.038128416858990676,AKR,0
2006-06-30,0.35143627885467643,0.4108817334062487,0.5531990150230583,0.23639744345685698,0.9936906774510778,0.20325535610635115,0.20325492470204887,0.4397419638741325,0.07592163028925492,0.47053291329882735,0.2768649150967306,0.10105511793477656,0.1494000095616006,0.19606197460799596,0.01660249104800696,0.17254299164184841,0.14131501472031405,0.1494000095616006,0.3037596520506014,0.015364608419227432,0.06485347208383713,0.32536504945831374,0.3589385391212687,0.2501247732356987,0.3291928408915251,0.11852237495434872,0.07481894562336798,0.0,0.6644238856181666,0.521643572269443,0.5560178635072524,0.40828288983894734,0.44364314863464915,0.29869855258710926,0.2367668650027046,0.17496797812571763,1.7029755239761357e-05,0.9936906774510778,1.7029755239761357e-05,0.7620486561039138,0.7122888998196426,0.04567512307273796,AKR,0
2006-09-30,0.7556753632124552,0.7680671547819384,0.6227765117560022,0.07735334977056285,0.9936906774510778,0.34162829531573524,0.3416279388346618,0.1849974319223192,0.09179406544820501,0.47053291329882735,0.2003294753738278,0.2565485276258175,0.4213080269637137,0.19606197460799596,1.0,0.5781688923047362,0.4335745829244357,0.4213080269637137,0.09214519796971872,0.015364608419227432,0.06656014240183283,0.32536504945831374,0.1553898052321403,0.29223929699413775,0.7365980330395295,0.52862238039365,0.08698081854868524,0.0,0.7310191910696536,0.591420872439006,0.663477011804603,0.4426885466305212,0.6844420787139585,0.12923626433809166,0.16666022718491613,0.40340134577568343,1.7029755239761357e-05,0.9936906774510778,1.7029755239761357e-05,0.8062168501721206,0.7122888998196426,0.05331835692410295,AKR,0
2006-12-31,0.7851554973216693,0.7941157842476926,0.5148016545884588,0.1543092726437228,0.9936906774510778,0.4327947266284903,0.4327944195102722,0.1996668585694491,0.11821153906031075,0.47053291329882735,0.9999999999999999,0.4292892716677994,0.4213080269637137,0.3098996842652172,1.0,0.39225285810356425,0.7140578999018645,0.4213080269637137,0.050037181471521586,0.015364608419227432,0.06431433052922673,0.32536504945831374,0.13567345239806428,0.5056495936891273,0.7663090633828582,0.3418562004149409,0.10983589332482381,0.0,0.7355302393149323,0.4804246633042088,0.5943423226879503,0.6170350847984721,0.5499960889133093,0.18557530723331578,0.9999999999999999,0.27866857560075997,1.7029755239761357e-05,0.9936906774510778,1.7029755239761357e-05,0.839458148328723,0.7122888998196426,0.05383609607132515,AKR,0
2007-03-31,0.7187629581101391,0.735451374960926,0.18479117840826859,0.3483795687090191,0.9936906774510778,0.5638319876287589,0.5638317514618032,0.3602111965487196,0.2187073823831616,0.47053291329882735,0.3828292641716651,0.6814925406393102,0.4213080269637137,0.31256411281190466,1.0,0.7475146507829762,0.6507605495583906,0.4213080269637137,0.1698479883094536,0.015364608419227432,0.1438615494268106,0.32536504945831374,0.4055185724210627,0.5348692168854908,0.6993965201842209,0.8180786833782723,0.2111228290013893,0.0,0.7288018961694319,0.145402900929896,0.32043881154755854,0.6409061923774043,0.5896144431661869,0.302162596873457,0.29095993354454835,0.5118678036479228,1.7029755239761357e-05,0.9936906774510778,1.7029755239761357e-05,0.7644864150343242,0.7122888998196426,0.05306387497038357,AKR,0
2007-06-30,0.7181085976338202,0.7348731824221296,0.15250132302275593,0.6005416124295262,0.9936906774510778,0.7942366086512055,0.7942364972388316,0.7413429460204245,0.4686007410405704,0.47053291329882735,0.8973937653121568,0.7476296056956314,0.4213080269637137,0.18050171189534125,1.0,0.18594293399942358,0.5859298331697743,0.4213080269637137,0.17156294765482913,0.015364608419227432,0.22340999086760222,0.32536504945831374,0.6963534928848641,0.930766811319028,0.6987370345829899,0.1334105196086811,0.46180871473769003,0.0,0.7178683385579938,0.10573381862168024,0.29679720491192446,0.9643365803551516,0.2895310702450248,0.3638652267707247,0.7050411482883857,0.4100148197576964,1.7029755239761357e-05,0.9936906774510778,1.7029755239761357e-05,0.7639197773078973,0.7122888998196426,0.051809015681353494,AKR,0
2007-09-30,0.7606350919110563,0.7724495681943708,0.7792847036969035,0.6479767599890471,0.9936906774510778,0.8675408692789507,0.8675407975578049,0.7992350435628315,0.44860198648690724,0.47053291329882735,0.8581143870913238,1.0,0.4213080269637137,0.35018584389113144,1.0,0.290287251417043,0.5195657507360157,0.4213080269637137,0.22457824970384527,0.015364608419227432,0.3029608773948093,0.32536504945831374,0.7809146063916439,0.960304039115352,0.7415966076495669,0.23899512794013658,0.44265450427486797,0.0,0.6725284807707012,0.7312508775150932,0.9834730157358706,0.9884671564947243,0.8229479672842368,0.4258941117690231,0.580963604049146,0.5282826563130224,1.7029755239761357e-05,0.9936906774510778,1.7029755239761357e-05,0.8118519406907593,0.7122888998196426,0.046605298489781226,AKR,0
