Period End Date,Pretax ROE,(Total Debt - Cash) / EBITDA,Reinvestment Rate,Current Ratio,Pretax Margin,x Earnings Retention,Gross Margin,% LT Debt to Total Capital,Effective Tax Rate,x Pretax Margin,ROE,Times Interest Earned,x Leverage (Assets/Equity),Quick Ratio,Cash Cycle (Days),Operating Margin,Net Margin,Pretax ROA,Asset Turnover,Assets/Equity,x Tax Complement,Debt/Equity,EBITDA Margin,Company name,Fraud
2009-12-01,-11.0,202.34,-10.9,0.48,-21.2,1.0,4.9,0.9,1320.0,-21.2,-10.9,-1.2,3.03,0.18,141.6,-11.7,-20.9,-3.7,0.18,3.03,-12.2,1.7,-4.4,AKR,0
2010-03-01,-6.5,44.74,-6.7,0.52,-13.0,1.0,15.4,0.8,1320.0,-13.0,-6.7,-0.1,3.47,0.22,150.8,-1.3,-13.4,-2.0,0.15,3.47,-12.2,1.73,7.4,AKR,0
2010-06-01,-11.1,44.74,-11.1,0.48,-23.1,1.0,7.6,0.7,1320.0,-23.1,-11.1,-0.8,3.68,0.18,167.7,-10.5,-23.1,-3.1,0.13,3.68,-12.2,2.15,-2.6,AKR,0
2010-09-01,-5.6,38.82,-6.0,0.5,-10.1,1.0,18.0,0.5,1320.0,-10.1,-6.0,0.2,4.07,0.18,164.4,1.8,-10.8,-1.5,0.14,4.07,-12.2,2.4,10.1,AKR,0
2010-12-01,-37.0,13.22,-42.2,0.48,-30.3,1.0,24.8,0.5,1320.0,-30.3,-42.2,1.8,5.4,0.23,90.2,-23.6,-34.6,-8.1,0.27,5.4,-12.2,3.42,16.5,AKR,0
2011-03-01,-13.2,82.37,-15.2,0.49,-14.5,1.0,14.7,0.3,1320.0,-14.5,-15.2,-0.3,6.31,0.21,132.9,-3.1,-16.7,-2.3,0.16,6.31,-12.2,3.99,4.6,AKR,0
2011-06-01,-6.8,30.2,-11.2,0.51,-5.3,1.0,21.2,0.4,1320.0,-5.3,-11.2,0.4,7.38,0.24,112.0,4.2,-8.7,-1.0,0.19,7.38,-12.2,4.68,10.5,AKR,0
2011-09-01,-4.3,25.08,-10.5,0.51,-2.4,1.0,19.3,0.2,1320.0,-2.4,-10.5,0.7,8.38,0.28,90.4,5.3,-5.9,-0.5,0.23,8.38,-12.2,5.18,10.5,AKR,0
2011-12-01,12.8,13.91,4.9,0.52,5.5,1.0,21.9,0.1,61.8,5.5,4.9,1.9,7.95,0.3,71.0,11.4,2.1,1.6,0.28,7.95,0.38,4.84,14.8,AKR,0
2012-03-01,2.1,19.71,-3.9,1.48,1.1,1.0,24.0,77.8,287.9,1.1,-3.9,1.2,8.66,0.68,96.3,8.2,-2.1,0.2,0.22,8.66,-1.88,5.17,13.0,AKR,0
2012-06-01,4.8,24.35,-0.1,1.53,2.9,1.0,21.5,79.4,102.6,2.9,-0.1,1.7,8.46,0.68,112.5,6.9,-0.1,0.6,0.2,8.46,-0.03,5.02,11.7,AKR,0
2012-09-01,19.2,13.71,11.4,1.47,8.9,1.0,25.2,72.7,40.6,8.9,11.4,4.1,8.21,0.75,89.5,11.8,5.3,2.3,0.26,8.21,0.59,4.85,15.6,AKR,0
2012-12-01,39.5,6.54,24.8,2.05,18.2,0.95,35.8,73.9,34.1,18.2,26.0,7.5,5.44,0.96,88.7,21.1,12.0,6.0,0.33,5.44,0.66,3.32,25.7,AKR,0
2013-03-01,11.0,13.93,6.9,1.18,8.0,1.0,26.6,51.1,37.0,8.0,6.9,3.7,5.32,0.61,118.3,11.0,5.0,2.1,0.26,5.32,0.63,3.15,15.1,AKR,0
2013-06-01,1.5,24.9,-0.6,1.16,1.5,1.0,22.7,51.4,138.0,1.5,-0.6,1.4,5.24,0.58,146.7,5.7,-0.6,0.3,0.19,5.24,-0.38,3.13,11.4,AKR,0
2013-09-01,2.1,15.14,-1.7,1.11,1.8,1.0,27.0,51.0,180.3,1.8,-1.7,3.2,5.46,0.58,127.1,5.5,-1.4,0.4,0.22,5.46,-0.8,3.24,16.6,AKR,0
2013-12-01,58.9,14.65,49.4,1.94,98.4,0.86,22.9,18.0,2.6,98.4,57.4,0.7,1.64,1.21,107.2,105.7,95.9,23.1,0.23,1.64,0.97,0.32,9.9,AKR,0
2014-03-01,-0.1,7.98,-0.1,1.8,-0.3,0.86,23.8,16.5,2.6,-0.3,-0.1,0.9,1.66,1.0,135.9,1.9,-0.5,0.0,0.16,1.66,0.97,0.33,8.2,AKR,0
2014-06-01,1.3,5.5,0.9,1.67,3.5,1.0,26.8,16.1,33.9,3.5,0.9,2.4,1.73,0.9,111.9,6.1,2.3,0.8,0.22,1.73,0.66,0.35,10.9,AKR,0
2014-09-01,3.2,4.13,2.7,1.62,7.8,1.0,29.2,14.2,14.4,7.8,2.7,4.9,1.76,0.89,111.1,9.8,6.6,1.8,0.24,1.76,0.86,0.35,14.3,AKR,0
2014-12-01,6.2,1.6,-2.5,1.7,11.0,-0.53,34.6,12.7,23.3,11.0,4.7,12.1,1.71,1.14,79.7,12.3,8.5,3.6,0.32,1.71,0.77,0.3,18.8,AKR,0
2015-03-01,-0.5,4.36,-0.5,1.75,-2.2,-0.53,23.2,11.2,23.3,-2.2,-0.5,0.3,1.64,0.95,155.1,1.0,-1.9,-0.3,0.15,1.64,0.77,0.27,8.1,AKR,0
2015-06-01,1.3,4.42,1.0,1.48,3.3,1.0,25.3,9.8,26.0,3.3,1.0,3.8,1.76,0.74,111.1,4.5,2.4,0.8,0.23,1.76,0.74,0.32,9.1,AKR,0
2015-09-01,1.9,5.59,1.5,1.45,3.8,1.0,23.7,8.2,23.3,3.8,1.5,3.6,1.81,0.74,101.6,5.2,2.9,1.1,0.29,1.81,0.77,0.34,9.0,AKR,0
2015-12-01,6.9,2.35,0.2,1.68,14.3,0.04,33.6,6.9,21.3,14.3,5.4,11.8,1.59,0.9,118.3,15.7,11.3,4.0,0.28,1.59,0.79,0.28,20.9,AKR,0
2016-03-01,0.1,7.34,0.1,1.73,0.3,1.0,24.8,5.3,-4.8,0.3,0.1,1.1,1.54,0.73,204.1,2.7,0.3,0.0,0.17,1.54,1.05,0.23,9.7,AKR,0
2016-06-01,-1.5,17.31,-1.4,1.52,-5.5,1.0,16.4,3.8,-4.8,-5.5,-1.4,-1.7,1.58,0.55,178.0,-3.4,-5.3,-1.0,0.18,1.58,1.05,0.22,3.5,AKR,0
2016-09-01,-0.7,10.19,-0.4,1.45,-2.9,1.0,18.4,2.0,-4.8,-2.9,-0.4,-0.3,1.58,0.45,199.4,-0.7,-1.7,-0.5,0.16,1.58,1.05,0.24,7.3,AKR,0
2016-12-01,-4.3,10.19,-6.5,1.25,-8.4,1.0,6.2,7.0,-4.8,-8.4,-3.7,-3.3,1.78,0.7,85.9,-6.9,-7.2,-2.6,0.31,1.78,1.05,0.38,-0.4,AKR,0
2017-03-01,-2.1,10.19,-2.1,1.18,-7.7,1.0,15.3,6.2,-4.8,-7.7,-2.1,-2.6,1.8,0.43,156.7,-8.6,-7.5,-1.2,0.16,1.8,1.05,0.38,-1.0,AKR,0
2017-06-01,-1.8,10.19,-1.8,1.11,-5.7,1.0,15.8,5.6,-4.8,-5.7,-1.8,-2.8,1.91,0.42,146.7,-6.9,-5.7,-1.0,0.17,1.91,1.05,0.45,-0.1,AKR,0
2017-09-01,6.3,3.99,6.4,1.22,13.2,1.0,29.9,5.5,-2.1,13.2,6.4,7.3,1.79,0.52,105.4,12.9,13.5,3.4,0.26,1.79,1.02,0.35,17.6,AKR,0
2017-12-01,36.0,0.67,31.9,1.34,50.6,0.9,54.7,7.6,1.9,50.6,35.3,60.6,1.68,0.5,81.7,50.3,49.7,20.8,0.41,1.68,0.98,0.3,53.9,AKR,0
2018-03-01,-0.6,13.39,-0.5,1.36,-2.3,0.9,17.4,7.1,1.9,-2.3,-0.5,-0.2,1.67,0.47,160.3,-0.3,-1.9,-0.4,0.17,1.67,0.98,0.33,7.4,AKR,0
2018-06-01,-0.6,11.98,-0.7,1.31,-1.7,0.9,18.4,7.2,1.9,-1.7,-0.7,-0.2,1.68,0.44,135.4,-0.2,-2.2,-0.3,0.2,1.68,0.98,0.29,6.7,AKR,0
2018-09-01,0.5,7.03,0.6,1.34,1.7,1.0,18.4,7.4,-14.1,1.7,0.6,2.3,1.66,0.49,125.4,3.0,1.9,0.3,0.19,1.66,1.14,0.28,10.6,AKR,0
2018-12-01,-33.4,6.67,-26.7,1.35,-88.1,1.0,19.6,8.3,-14.1,-88.1,-26.7,3.0,1.83,0.59,117.0,-86.8,-70.5,-19.2,0.22,1.83,1.14,0.4,10.9,AKR,0
2019-03-01,-2.9,6.67,-3.2,1.35,-10.3,1.0,17.0,9.2,-14.1,-10.3,-3.2,-3.8,1.8,0.47,176.3,-8.5,-11.2,-1.6,0.16,1.8,1.14,0.37,-0.3,AKR,0
2019-06-01,5.7,4.31,6.0,1.44,12.0,1.0,33.4,7.5,-5.7,12.0,6.0,10.7,1.86,0.72,137.9,13.2,12.6,3.1,0.26,1.86,1.06,0.47,17.2,AKR,0
2019-09-01,2.2,7.17,2.0,1.5,4.9,1.0,23.0,7.1,7.7,4.9,2.0,5.2,1.81,0.68,151.2,6.4,4.6,1.2,0.24,1.81,0.93,0.4,11.6,AKR,0
2019-12-01,4.3,3.66,4.0,1.63,7.3,1.0,24.3,6.7,5.1,7.3,4.0,11.3,1.76,0.86,113.9,8.4,7.0,2.4,0.33,1.76,0.93,0.35,15.0,AKR,0
2020-03-01,-0.4,16.59,-0.6,1.61,-1.1,1.0,18.0,6.0,5.1,-1.1,-0.6,0.3,1.81,0.82,172.6,0.5,-1.5,-0.2,0.21,1.81,0.93,0.38,4.9,AKR,0
2020-06-01,1.0,8.31,0.8,1.62,3.0,1.0,18.8,5.6,24.8,3.0,0.8,2.8,1.83,0.74,190.1,4.7,2.3,0.6,0.18,1.83,0.77,0.35,9.9,AKR,0
2020-09-01,3.1,4.14,2.8,1.85,8.1,1.0,26.3,5.2,9.7,8.1,2.8,7.7,1.67,0.84,169.4,9.3,7.3,1.8,0.22,1.67,0.91,0.28,13.8,AKR,0
2020-12-01,8.3,1.24,6.6,2.82,21.0,1.0,35.7,5.0,20.2,21.0,6.6,24.9,1.44,1.32,163.7,21.9,16.8,5.3,0.25,1.44,0.8,0.13,28.5,AKR,0
2021-03-01,2.7,0.97,2.2,2.86,8.4,1.0,25.5,4.5,18.8,8.4,2.2,13.1,1.43,1.42,162.7,9.1,6.9,1.9,0.22,1.43,0.81,0.1,14.7,AKR,0
2021-06-01,1.2,0.97,1.0,2.83,4.6,1.0,23.0,3.6,15.8,4.6,1.0,6.4,1.44,1.48,176.5,5.5,3.9,0.8,0.18,1.44,0.84,0.09,11.9,AKR,0
2021-09-01,1.9,0.97,1.6,2.24,7.0,1.0,25.8,2.9,15.0,7.0,1.6,8.9,1.59,0.87,197.4,7.9,5.9,1.3,0.18,1.59,0.85,0.19,13.8,AKR,0
2021-12-01,3.3,1.3,-0.8,2.16,9.9,-0.29,23.5,2.4,19.0,9.9,2.7,12.3,1.62,0.73,211.8,11.0,8.0,2.1,0.21,1.62,0.81,0.23,18.5,AKR,0
2022-03-01,1.9,3.78,1.6,2.4,7.1,1.0,23.4,2.1,17.1,7.1,1.6,5.9,1.54,0.64,310.9,8.6,5.9,1.2,0.17,1.54,0.83,0.2,14.0,AKR,0
2022-06-01,3.2,3.05,1.0,2.07,8.1,0.37,21.4,1.7,16.5,8.1,2.7,10.2,1.65,0.68,216.0,9.0,6.8,2.0,0.25,1.65,0.84,0.21,12.7,AKR,0
2022-09-01,3.0,3.84,2.4,1.96,8.3,1.0,24.5,2.1,20.6,8.3,2.4,7.8,1.73,0.64,254.7,9.5,6.6,1.8,0.21,1.73,0.79,0.3,13.9,AKR,0
2022-12-01,6.9,2.06,0.4,2.18,12.0,0.08,21.8,1.8,21.9,12.0,5.4,14.0,1.61,0.76,156.8,13.0,9.4,4.1,0.34,1.61,0.78,0.2,15.6,AKR,0
2023-03-01,5.5,2.41,4.5,2.24,11.7,1.0,21.7,1.3,19.4,11.7,4.5,13.4,1.59,0.94,189.1,12.7,9.5,3.5,0.29,1.59,0.81,0.27,15.7,AKR,0
2023-06-01,1.1,5.66,0.7,2.13,4.2,1.0,27.9,1.1,35.4,4.2,0.7,4.0,1.61,0.75,357.5,6.3,2.7,0.7,0.17,1.61,0.65,0.27,13.6,AKR,0
2023-09-01,5.0,2.58,2.5,2.21,13.8,0.61,27.0,1.5,19.2,13.8,4.1,10.6,1.59,0.8,248.0,15.2,11.1,3.1,0.23,1.59,0.81,0.24,19.1,AKR,0
2023-12-01,8.1,0.87,-0.3,2.38,15.9,-0.05,26.8,1.2,22.6,15.9,6.2,17.9,1.5,1.04,159.9,16.9,12.3,5.2,0.33,1.5,0.77,0.19,19.5,AKR,0
2024-03-01,3.3,0.73,2.5,2.3,10.9,1.0,26.3,1.0,21.5,10.9,2.5,9.4,1.53,0.87,253.0,12.2,8.5,2.2,0.2,1.53,0.76,0.2,16.4,AKR,0
2024-06-01,3.4,2.14,2.6,2.08,9.8,1.0,24.9,0.9,22.5,9.8,2.6,8.8,1.61,0.76,238.0,11.0,7.6,2.2,0.22,1.61,0.77,0.22,14.7,AKR,0
2018-03-01,2.2,21.29,2.1,0.35,7.7,1.0,30.3,39.5,-15.5,7.7,2.1,0.0,2.55,0.3,48.1,18.4,9.0,0.9,0.09,2.55,1.16,1.45,35.6,ACE,0
2018-06-01,2.2,21.29,2.1,0.35,20.5,1.0,29.6,39.5,11.6,20.5,2.1,0.0,2.55,0.3,48.1,30.8,18.1,0.9,0.09,2.55,0.88,1.45,34.5,ACE,0
2018-09-01,2.2,21.29,2.1,0.35,8.7,1.0,27.8,39.5,-4.0,8.7,2.1,0.0,2.55,0.3,48.1,18.4,9.0,0.9,0.09,2.55,1.04,1.45,31.5,ACE,0
2018-12-01,2.2,21.29,2.1,0.7,9.8,1.0,29.7,49.6,4.5,9.8,2.1,0.0,2.49,0.64,48.1,19.0,9.3,0.9,0.09,2.49,0.96,1.4,29.3,ACE,0
2019-03-01,2.3,19.2,2.4,0.66,10.5,1.0,29.2,48.6,-3.8,10.5,2.4,0.0,2.43,0.58,47.8,19.6,10.9,0.9,0.09,2.43,1.04,1.33,32.6,ACE,0
2019-06-01,3.5,15.52,3.6,0.39,15.4,1.0,31.9,36.5,-3.1,15.4,3.6,0.0,2.35,0.32,46.2,23.7,15.9,1.5,0.09,2.35,1.03,1.25,36.2,ACE,0
2019-09-01,3.8,15.41,3.8,0.39,18.1,1.0,33.7,34.6,0.5,18.1,3.8,0.0,2.26,0.32,62.5,26.6,18.0,1.7,0.09,2.26,1.0,1.19,37.4,ACE,0
2019-12-01,3.0,10.33,2.9,1.04,20.1,1.0,33.8,13.9,2.9,20.1,2.9,0.0,1.31,0.91,72.3,27.0,19.5,1.8,0.09,1.31,0.97,0.28,39.3,ACE,0
2020-03-01,5.8,5.61,2.6,1.31,48.1,0.49,31.7,13.8,8.5,48.1,5.4,0.0,1.27,1.06,68.2,50.0,44.0,4.5,0.09,1.27,0.92,0.23,35.7,ACE,0
2020-06-01,2.1,5.2,2.2,1.42,14.3,1.0,27.2,16.2,-6.2,14.3,2.2,0.0,1.31,1.13,61.8,15.9,15.2,1.6,0.11,1.31,1.06,0.27,30.9,ACE,0
2020-09-01,3.6,5.73,3.6,1.61,27.9,1.0,30.9,20.5,2.1,27.9,3.6,0.0,1.39,1.29,76.0,29.8,27.3,2.7,0.1,1.39,0.98,0.34,35.9,ACE,0
2020-12-01,2.1,6.84,0.6,1.52,18.1,0.28,33.2,19.5,-2.7,18.1,2.1,0.0,1.37,1.19,89.8,20.1,18.6,1.5,0.08,1.37,1.03,0.33,36.6,ACE,0
2021-03-01,3.2,6.95,3.0,1.92,29.6,1.0,33.4,22.6,7.4,29.6,3.0,0.0,1.41,1.44,100.7,32.2,27.4,2.3,0.08,1.41,0.93,0.37,39.8,ACE,0
2021-06-01,3.1,7.19,1.5,1.8,28.0,0.5,33.6,22.2,5.6,28.0,2.9,0.0,1.43,1.39,107.0,30.6,26.4,2.2,0.08,1.43,0.94,0.38,40.0,ACE,0
2021-09-01,3.5,7.47,3.2,1.76,30.4,1.0,33.8,21.6,7.8,30.4,3.2,0.0,1.4,1.33,107.8,32.8,28.0,2.5,0.08,1.4,0.92,0.36,38.4,ACE,0
2021-12-01,2.9,6.71,2.6,2.01,24.7,0.94,33.2,21.3,4.5,24.7,2.8,0.0,1.41,1.61,102.1,26.9,23.6,2.1,0.08,1.41,0.96,0.36,38.9,ACE,0
2022-03-01,2.6,6.9,2.4,2.01,21.3,1.0,29.1,20.3,6.5,21.3,2.4,0.0,1.38,1.52,100.6,23.4,19.9,1.8,0.09,1.38,0.94,0.33,34.9,ACE,0
2022-06-01,3.2,7.14,2.8,2.23,26.5,1.0,28.3,21.9,11.6,26.5,2.8,0.0,1.42,1.66,107.8,28.3,23.4,2.3,0.09,1.42,0.88,0.36,34.1,ACE,0
2022-09-01,3.0,7.49,2.7,2.42,23.0,1.0,25.6,20.9,8.6,23.0,2.7,0.0,1.39,1.82,103.4,24.8,21.0,2.1,0.09,1.39,0.91,0.33,29.3,ACE,0
2022-12-01,1.3,7.8,0.2,1.71,9.7,0.12,25.7,20.1,-8.9,9.7,1.4,0.0,1.42,1.17,114.6,11.6,10.5,0.9,0.09,1.42,1.09,0.36,29.7,ACE,0
2023-03-01,2.0,8.55,1.9,1.52,16.5,1.0,26.8,19.0,4.2,16.5,1.9,0.0,1.41,0.94,131.9,19.0,15.8,1.4,0.09,1.41,0.96,0.35,31.4,ACE,0
2023-06-01,2.4,9.15,2.2,1.71,21.2,1.0,26.1,19.9,7.8,21.2,2.2,0.0,1.4,1.08,142.1,24.3,19.6,1.7,0.08,1.4,0.92,0.35,32.3,ACE,0
2023-09-01,2.3,8.6,2.1,1.6,21.2,1.0,28.2,18.6,8.4,21.2,2.1,0.0,1.38,0.99,139.1,24.3,19.5,1.7,0.08,1.38,0.92,0.32,33.8,ACE,0
2023-12-01,1.0,8.81,1.1,2.18,9.9,1.0,27.2,21.4,-4.4,9.9,1.1,0.0,1.43,1.55,140.6,13.1,10.3,0.7,0.08,1.43,1.04,0.37,32.4,ACE,0
2024-03-01,2.0,9.98,1.7,1.77,20.6,1.0,23.8,20.2,15.7,20.6,1.7,0.0,1.43,1.21,160.9,25.0,17.3,1.4,0.07,1.43,0.84,0.35,31.3,ACE,0
2021-03-01,-0.4,2.35,-1.2,2.79,8.8,1.0,10.8,17.6,8.7,8.8,-0.5,13.6,1.56,2.06,59.5,9.2,8.0,-0.2,0.21,1.56,0.68,0.41,12.2,BBGI,0
2021-06-01,-0.4,2.35,-1.2,2.79,4.6,1.0,6.5,17.6,9.2,4.6,-0.5,6.4,1.56,2.06,59.5,5.0,4.2,-0.2,0.21,1.56,0.65,0.41,8.0,BBGI,0
2021-09-01,-0.4,2.35,-1.2,2.79,23.8,1.0,6.5,17.6,15.2,23.8,-0.5,5.0,1.56,2.06,59.5,24.0,20.1,-0.2,0.21,1.56,0.79,0.41,8.0,BBGI,0
2021-12-01,-0.4,2.35,-1.2,2.79,3.1,1.0,5.7,17.6,-3.9,3.1,-0.5,5.7,1.56,2.06,59.5,3.8,3.3,-0.2,0.21,1.56,0.46,0.41,6.4,BBGI,0
2022-03-01,-0.4,2.35,-1.2,2.79,5.8,-0.66,8.6,17.6,8.5,5.8,-0.5,9.2,1.56,2.06,59.5,6.5,5.3,-0.2,0.21,1.56,0.61,0.41,9.2,BBGI,0
2022-06-01,-0.4,2.35,-1.2,3.17,-1.1,-0.66,1.1,18.1,8.5,-1.1,-0.5,-1.0,1.52,2.26,59.5,-0.4,-0.9,-0.2,0.21,1.52,0.61,0.36,2.4,BBGI,0
2022-09-01,-0.9,4.88,-0.7,2.77,-3.2,-0.66,-0.1,15.7,8.5,-3.2,-0.7,-2.9,1.5,2.14,61.6,-2.3,-3.0,-0.6,0.19,1.5,0.61,0.37,1.3,BBGI,0
2022-12-01,0.2,1.04,-1.2,3.5,0.5,-8.37,3.4,16.7,-16.3,0.5,0.1,1.9,1.45,2.89,49.1,1.2,0.6,0.1,0.22,1.45,0.93,0.29,4.5,BBGI,0
2023-03-01,-0.3,5.11,-0.3,2.34,-0.8,-8.37,2.5,14.2,-16.3,-0.8,-0.3,-0.1,1.55,1.47,66.2,0.0,-0.9,-0.2,0.2,1.55,0.93,0.37,3.8,BBGI,0
2023-06-01,0.0,6.29,-0.4,1.78,0.0,-8.37,1.9,7.3,-16.3,0.0,-0.4,0.2,1.49,1.14,73.9,0.8,-0.3,0.0,0.21,1.49,0.93,0.34,4.0,BBGI,0
2023-09-01,0.3,2.69,0.0,1.83,0.8,1.0,3.3,6.7,14.5,0.8,0.0,2.6,1.45,1.21,55.2,1.4,0.7,0.2,0.26,1.45,0.06,0.29,4.9,BBGI,0
2023-12-01,1.2,1.1,0.1,1.72,2.8,0.09,4.5,5.6,4.2,2.8,0.8,7.6,1.45,1.34,39.4,3.2,2.6,0.9,0.31,1.45,0.68,0.27,6.0,BBGI,0
2024-03-01,1.6,2.54,1.3,1.45,3.0,1.0,4.8,4.5,4.4,3.0,1.3,10.2,1.6,0.9,37.5,3.4,2.9,1.0,0.34,1.6,0.81,0.32,5.8,BBGI,0
2024-06-01,0.7,6.92,0.4,1.4,1.3,1.0,2.8,3.9,8.9,1.3,0.4,3.9,1.6,0.92,42.0,1.8,1.2,0.4,0.34,1.6,0.59,0.36,3.9,BBGI,0
2015-03-01,5.7,11.2,-4.1,2.53,72.8,1.0,79.6,44.5,0.2,72.8,5.8,0.0,2.09,0.0,110.8,79.0,72.7,2.7,0.05,2.09,1.0,0.98,94.6,BCPG,0
2015-06-01,5.7,11.2,-4.1,2.53,72.8,1.0,80.1,44.5,0.1,72.8,5.8,0.0,2.09,0.0,110.8,78.9,72.7,2.7,0.05,2.09,1.0,0.98,94.3,BCPG,0
2015-09-01,5.7,11.2,-4.1,2.53,71.3,1.0,78.7,44.5,0.1,71.3,5.8,0.0,2.09,0.0,110.8,78.0,71.3,2.7,0.05,2.09,1.0,0.98,94.5,BCPG,0
2015-12-01,5.7,11.2,-4.1,2.53,68.6,1.0,79.0,44.5,1.9,68.6,5.8,0.0,2.09,0.0,110.8,75.7,67.4,2.7,0.05,2.09,0.98,0.98,91.4,BCPG,0
2016-03-01,5.7,11.2,-4.1,2.53,78.1,1.0,76.0,44.5,-0.1,78.1,5.8,0.0,2.09,0.0,110.8,90.5,78.3,2.7,0.05,2.09,1.0,0.98,80.0,BCPG,0
2016-06-01,5.7,11.2,-4.1,2.5,59.3,-0.71,74.7,45.5,-1.1,59.3,5.8,0.0,2.14,0.0,110.8,49.6,59.9,2.7,0.05,2.14,1.01,1.0,68.8,BCPG,0
