Period End Date,Pretax ROE,(Total Debt - Cash) / EBITDA,Reinvestment Rate,Current Ratio,Pretax Margin,x Earnings Retention,Gross Margin,% LT Debt to Total Capital,Effective Tax Rate,x Pretax Margin,ROE,Times Interest Earned,x Leverage (Assets/Equity),Quick Ratio,Cash Cycle (Days),Operating Margin,Net Margin,Pretax ROA,Asset Turnover,Assets/Equity,x Tax Complement,Debt/Equity,EBITDA Margin,Company name,Fraud
2004-06-01,0.6,23.92,0.6,0.89,8.6,1.0,48.5,40.5,0.0,8.6,0.6,9.6,4.72,0.55,174.4,9.5,8.6,0.3,0.24,4.72,1.17,2.45,18.9,AKR,0
2004-12-01,0.6,23.92,0.6,0.89,-9.7,1.0,35.8,40.5,0.0,-9.7,0.6,-7.6,4.72,0.55,174.4,-7.9,-9.7,0.3,0.24,4.72,1.17,2.45,-6.0,AKR,0
2005-03-01,0.6,23.92,0.6,0.89,1.2,1.0,17.5,40.5,7.6,1.2,0.6,1.6,4.72,0.55,174.4,3.0,1.1,0.3,0.24,4.72,0.92,2.45,5.3,AKR,0
2005-06-01,0.6,23.92,0.6,1.42,16.0,1.0,31.5,9.4,-0.3,16.0,0.6,14.3,2.39,0.79,174.4,17.2,16.1,0.3,0.24,2.39,1.0,0.88,19.8,AKR,0
2005-09-01,0.6,23.92,0.6,1.42,14.2,1.0,30.5,9.4,0.0,14.2,0.6,10.2,2.39,0.79,174.4,15.7,14.2,0.3,0.24,2.39,1.0,0.88,18.2,AKR,0
2005-12-01,0.6,23.92,0.6,1.14,10.5,1.0,22.0,5.2,0.0,10.5,0.6,8.5,2.23,0.58,174.4,11.9,10.5,0.3,0.24,2.23,1.0,0.92,14.4,AKR,0
2006-03-01,0.6,23.92,0.6,1.05,1.1,1.0,19.5,5.7,0.0,1.1,0.6,1.7,2.37,0.53,174.4,2.7,1.1,0.3,0.24,2.37,1.0,0.89,6.0,AKR,0
2006-06-01,6.9,8.11,6.9,1.12,10.5,1.0,25.1,7.9,0.0,10.5,6.9,7.6,2.29,0.62,140.6,12.1,10.5,3.0,0.28,2.29,1.0,0.89,14.6,AKR,0
2006-09-01,6.5,4.62,5.5,2.22,13.7,1.0,31.5,7.9,16.6,13.7,5.5,11.9,1.5,1.27,164.4,14.9,11.4,3.7,0.27,1.5,0.83,0.27,17.4,AKR,0
2006-12-01,4.8,2.54,-3.4,1.66,12.8,-1.07,28.5,10.1,34.5,12.8,3.2,15.5,1.59,0.93,166.6,13.7,8.4,3.1,0.24,1.59,0.66,0.24,15.6,AKR,0
2007-03-01,-0.5,26.22,-0.6,1.49,-2.4,-1.07,25.3,15.7,34.5,-2.4,-0.6,0.0,1.92,0.72,331.8,0.0,-3.1,-0.3,0.11,1.92,0.66,0.57,5.1,AKR,0
2007-06-01,0.5,28.46,-0.1,1.21,1.8,-1.07,25.7,27.6,111.6,1.8,-0.1,1.8,2.29,0.45,269.4,3.9,-0.2,0.2,0.13,2.29,-0.12,0.91,7.9,AKR,0
2007-09-01,7.1,9.38,4.7,1.19,13.6,1.0,29.0,24.6,34.1,13.6,4.7,7.2,2.3,0.69,153.6,15.8,9.0,3.1,0.23,2.3,0.66,0.96,17.9,AKR,0
2007-12-01,0.8,26.87,-6.5,1.09,1.9,-151.54,17.1,23.8,94.8,1.9,0.0,2.4,2.11,0.58,150.3,3.3,0.1,0.4,0.2,2.11,0.05,0.81,7.1,AKR,0
2008-03-01,-0.4,27.74,-1.0,1.01,-1.0,-151.54,18.7,18.2,94.8,-1.0,-1.0,0.7,2.48,0.47,169.3,2.6,-2.7,-0.2,0.16,2.48,0.05,1.03,8.5,AKR,0
2008-06-01,-1.6,28.77,-2.4,1.25,-3.3,-151.54,13.7,33.0,94.8,-3.3,-2.4,0.3,2.56,0.51,131.8,1.8,-4.9,-0.6,0.19,2.56,0.05,1.13,7.1,AKR,0
2008-09-01,2.2,15.51,0.4,1.19,3.6,1.0,18.1,28.8,84.1,3.6,0.4,1.9,2.77,0.56,121.5,7.4,0.6,0.8,0.23,2.77,0.16,1.33,11.9,AKR,0
2008-12-01,0.1,33.03,-8.4,1.2,0.1,1.0,17.7,30.1,1320.0,0.1,-1.1,1.1,2.57,0.55,126.9,4.1,-1.8,0.0,0.24,2.57,-12.2,1.18,5.7,AKR,0
2009-03-01,-0.8,19.34,-1.8,1.15,-2.2,1.0,25.1,28.6,1320.0,-2.2,-1.8,0.8,2.47,0.38,212.2,8.2,-4.9,-0.3,0.15,2.47,-12.2,1.16,15.6,AKR,0
2009-06-01,-6.5,159.0,-6.9,0.96,-22.0,1.0,12.6,27.0,1320.0,-22.0,-6.9,-0.5,2.76,0.3,270.0,-7.8,-23.4,-2.5,0.11,2.76,-12.2,1.44,2.7,AKR,0
2009-09-01,-7.5,202.34,-8.3,0.57,-18.9,1.0,11.0,1.1,1320.0,-18.9,-8.3,-0.6,2.88,0.19,206.5,-7.1,-20.9,-2.7,0.14,2.88,-12.2,1.44,1.7,AKR,0
