Exchange Date,Close,Company name,Fraud
2014-09-26,2.39,AKR,0
2014-09-27,2.39,AKR,0
2014-09-28,2.39,AKR,0
2014-09-29,2.39,AKR,0
2014-09-30,2.39,AKR,0
2014-10-01,2.39,AKR,0
2014-10-02,2.39,AKR,0
2014-10-03,2.25,AKR,0
2014-10-04,2.25,AKR,0
2014-10-05,2.25,AKR,0
2014-10-06,2.25,AKR,0
2014-10-07,2.25,AKR,0
2014-10-08,2.25,AKR,0
2014-10-09,2.25,AKR,0
2014-10-10,2.31,AKR,0
2014-10-11,2.31,AKR,0
2014-10-12,2.31,AKR,0
2014-10-13,2.31,AKR,0
2014-10-14,2.31,AKR,0
2014-10-15,2.31,AKR,0
2014-10-16,2.31,AKR,0
2014-10-17,2.15,AKR,0
2014-10-18,2.15,AKR,0
2014-10-19,2.15,AKR,0
2014-10-20,2.15,AKR,0
2014-10-21,2.15,AKR,0
2014-10-22,2.15,AKR,0
2014-10-23,2.15,AKR,0
2014-10-24,2.13,AKR,0
2014-10-25,2.13,AKR,0
2014-10-26,2.13,AKR,0
2014-10-27,2.13,AKR,0
2014-10-28,2.13,AKR,0
2014-10-29,2.13,AKR,0
2014-10-30,2.13,AKR,0
2014-10-31,2.25,AKR,0
2014-11-01,2.25,AKR,0
2014-11-02,2.25,AKR,0
2014-11-03,2.25,AKR,0
2014-11-04,2.25,AKR,0
2014-11-05,2.25,AKR,0
2014-11-06,2.25,AKR,0
2014-11-07,2.71,AKR,0
2014-11-08,2.71,AKR,0
2014-11-09,2.71,AKR,0
2014-11-10,2.71,AKR,0
2014-11-11,2.71,AKR,0
2014-11-12,2.71,AKR,0
2014-11-13,2.71,AKR,0
2014-11-14,2.69,AKR,0
2014-11-15,2.69,AKR,0
2014-11-16,2.69,AKR,0
2014-11-17,2.69,AKR,0
2014-11-18,2.69,AKR,0
2014-11-19,2.69,AKR,0
2014-11-20,2.69,AKR,0
2014-11-21,2.71,AKR,0
2014-11-22,2.71,AKR,0
2014-11-23,2.71,AKR,0
2014-11-24,2.71,AKR,0
2014-11-25,2.71,AKR,0
2014-11-26,2.71,AKR,0
2014-11-27,2.71,AKR,0
2014-11-28,2.67,AKR,0
2014-11-29,2.67,AKR,0
2014-11-30,2.67,AKR,0
2014-12-01,2.67,AKR,0
2014-12-02,2.67,AKR,0
2014-12-03,2.67,AKR,0
2014-12-04,2.67,AKR,0
2014-12-05,2.73,AKR,0
2014-12-06,2.73,AKR,0
2014-12-07,2.73,AKR,0
2014-12-08,2.73,AKR,0
2014-12-09,2.73,AKR,0
2014-12-10,2.73,AKR,0
2014-12-11,2.73,AKR,0
2014-12-12,2.57,AKR,0
2014-12-13,2.57,AKR,0
2014-12-14,2.57,AKR,0
2014-12-15,2.57,AKR,0
2014-12-16,2.57,AKR,0
2014-12-17,2.57,AKR,0
2014-12-18,2.57,AKR,0
2014-12-19,2.41,AKR,0
2014-12-20,2.41,AKR,0
2014-12-21,2.41,AKR,0
2014-12-22,2.41,AKR,0
2014-12-23,2.41,AKR,0
2014-12-24,2.41,AKR,0
2014-12-25,2.41,AKR,0
2014-12-26,2.53,AKR,0
2014-12-27,2.53,AKR,0
2014-12-28,2.53,AKR,0
2014-12-29,2.53,AKR,0
2014-12-30,2.53,AKR,0
2014-12-31,2.53,AKR,0
2015-01-01,2.53,AKR,0
2015-01-02,2.49,AKR,0
2015-01-03,2.49,AKR,0
2015-01-04,2.49,AKR,0
2015-01-05,2.49,AKR,0
2015-01-06,2.49,AKR,0
2015-01-07,2.49,AKR,0
2015-01-08,2.49,AKR,0
2015-01-09,2.71,AKR,0
2015-01-10,2.71,AKR,0
2015-01-11,2.71,AKR,0
2015-01-12,2.71,AKR,0
2015-01-13,2.71,AKR,0
2015-01-14,2.71,AKR,0
2015-01-15,2.71,AKR,0
2015-01-16,2.89,AKR,0
2015-01-17,2.89,AKR,0
2015-01-18,2.89,AKR,0
2015-01-19,2.89,AKR,0
2015-01-20,2.89,AKR,0
2015-01-21,2.89,AKR,0
2015-01-22,2.89,AKR,0
2015-01-23,3.07,AKR,0
2015-01-24,3.07,AKR,0
2015-01-25,3.07,AKR,0
2015-01-26,3.07,AKR,0
2015-01-27,3.07,AKR,0
2015-01-28,3.07,AKR,0
2015-01-29,3.07,AKR,0
2015-01-30,2.97,AKR,0
2015-01-31,2.97,AKR,0
2015-02-01,2.97,AKR,0
2015-02-02,2.97,AKR,0
2015-02-03,2.97,AKR,0
2015-02-04,2.97,AKR,0
2015-02-05,2.97,AKR,0
2015-02-06,3.05,AKR,0
2015-02-07,3.05,AKR,0
2015-02-08,3.05,AKR,0
2015-02-09,3.05,AKR,0
2015-02-10,3.05,AKR,0
2015-02-11,3.05,AKR,0
2015-02-12,3.05,AKR,0
2015-02-13,3.01,AKR,0
2015-02-14,3.01,AKR,0
2015-02-15,3.01,AKR,0
2015-02-16,3.01,AKR,0
2015-02-17,3.01,AKR,0
2015-02-18,3.01,AKR,0
2015-02-19,3.01,AKR,0
2015-02-20,2.91,AKR,0
2015-02-21,2.91,AKR,0
2015-02-22,2.91,AKR,0
2015-02-23,2.91,AKR,0
2015-02-24,2.91,AKR,0
2015-02-25,2.91,AKR,0
2015-02-26,2.91,AKR,0
2015-02-27,2.97,AKR,0
2015-02-28,2.97,AKR,0
2015-03-01,2.97,AKR,0
2015-03-02,2.97,AKR,0
2015-03-03,2.97,AKR,0
2015-03-04,2.97,AKR,0
2015-03-05,2.97,AKR,0
2015-03-06,2.99,AKR,0
2015-03-07,2.99,AKR,0
2015-03-08,2.99,AKR,0
2015-03-09,2.99,AKR,0
2015-03-10,2.99,AKR,0
2015-03-11,2.99,AKR,0
2015-03-12,2.99,AKR,0
2015-03-13,2.89,AKR,0
2015-03-14,2.89,AKR,0
2015-03-15,2.89,AKR,0
2015-03-16,2.89,AKR,0
2015-03-17,2.89,AKR,0
2015-03-18,2.89,AKR,0
2015-03-19,2.89,AKR,0
2015-03-20,2.61,AKR,0
2015-03-21,2.61,AKR,0
2015-03-22,2.61,AKR,0
2015-03-23,2.61,AKR,0
2015-03-24,2.61,AKR,0
2015-03-25,2.61,AKR,0
2015-03-26,2.61,AKR,0
2015-03-27,2.39,AKR,0
2015-03-28,2.39,AKR,0
2015-03-29,2.39,AKR,0
2015-03-30,2.39,AKR,0
2015-03-31,2.39,AKR,0
2015-04-01,2.39,AKR,0
2015-04-02,2.39,AKR,0
2015-04-03,2.47,AKR,0
2015-04-04,2.47,AKR,0
2015-04-05,2.47,AKR,0
2015-04-06,2.47,AKR,0
2015-04-07,2.47,AKR,0
2015-04-08,2.47,AKR,0
2015-04-09,2.47,AKR,0
2015-04-10,2.53,AKR,0
2015-04-11,2.53,AKR,0
2015-04-12,2.53,AKR,0
2015-04-13,2.53,AKR,0
2015-04-14,2.53,AKR,0
2015-04-15,2.53,AKR,0
2015-04-16,2.53,AKR,0
2015-04-17,2.57,AKR,0
2015-04-18,2.57,AKR,0
2015-04-19,2.57,AKR,0
2015-04-20,2.57,AKR,0
2015-04-21,2.57,AKR,0
2015-04-22,2.57,AKR,0
2015-04-23,2.57,AKR,0
2015-04-24,2.61,AKR,0
2015-04-25,2.61,AKR,0
2015-04-26,2.61,AKR,0
2015-04-27,2.61,AKR,0
2015-04-28,2.61,AKR,0
2015-04-29,2.61,AKR,0
2015-04-30,2.61,AKR,0
2015-05-01,2.23,AKR,0
2015-05-02,2.23,AKR,0
2015-05-03,2.23,AKR,0
2015-05-04,2.23,AKR,0
2015-05-05,2.23,AKR,0
2015-05-06,2.23,AKR,0
2015-05-07,2.23,AKR,0
2015-05-08,1.88,AKR,0
2015-05-09,1.88,AKR,0
2015-05-10,1.88,AKR,0
2015-05-11,1.88,AKR,0
2015-05-12,1.88,AKR,0
2015-05-13,1.88,AKR,0
2015-05-14,1.88,AKR,0
2015-05-15,1.84,AKR,0
2015-05-16,1.84,AKR,0
2015-05-17,1.84,AKR,0
2015-05-18,1.84,AKR,0
2015-05-19,1.84,AKR,0
2015-05-20,1.84,AKR,0
2015-05-21,1.84,AKR,0
2015-05-22,1.95,AKR,0
2015-05-23,1.95,AKR,0
2015-05-24,1.95,AKR,0
2015-05-25,1.95,AKR,0
2015-05-26,1.95,AKR,0
2015-05-27,1.95,AKR,0
2015-05-28,1.95,AKR,0
2015-05-29,1.84,AKR,0
2015-05-30,1.84,AKR,0
2015-05-31,1.84,AKR,0
2015-06-01,1.84,AKR,0
2015-06-02,1.84,AKR,0
2015-06-03,1.84,AKR,0
