Period End Date,Pretax ROE,(Total Debt - Cash) / EBITDA,Reinvestment Rate,Current Ratio,Pretax Margin,x Earnings Retention,Gross Margin,% LT Debt to Total Capital,Effective Tax Rate,x Pretax Margin,ROE,Times Interest Earned,x Leverage (Assets/Equity),Quick Ratio,Cash Cycle (Days),Operating Margin,Net Margin,Pretax ROA,Asset Turnover,Assets/Equity,x Tax Complement,Debt/Equity,EBITDA Margin,Company name,Fraud
2004-06-01,0.39207507820646503,0.11528735062230376,0.4672489082969433,0.1722689075630252,0.5184986595174262,0.9999999999999999,0.8755020080321285,0.5094577553593946,0.010568922869350125,0.5184986595174262,0.4297188755020081,0.25219941348973607,0.4550484094052558,0.2846153846153846,0.3609075043630018,0.5002597402597402,0.47536057692307687,0.4609929078014185,0.43333333333333335,0.4550484094052558,1.0,0.46365422396856587,0.4156928213689482,AKR,0
2004-12-01,0.39207507820646503,0.11528735062230376,0.4672489082969433,0.1722689075630252,0.4203753351206434,0.9999999999999999,0.6204819277108433,0.5094577553593946,0.010568922869350125,0.4203753351206434,0.4297188755020081,0.0,0.4550484094052558,0.2846153846153846,0.3609075043630018,0.40987012987012983,0.36538461538461536,0.4609929078014185,0.43333333333333335,0.4550484094052558,1.0,0.46365422396856587,0.0,AKR,0
2005-03-01,0.39207507820646503,0.11528735062230376,0.4672489082969433,0.1722689075630252,0.4788203753351206,0.9999999999999999,0.25301204819277107,0.5094577553593946,0.016265647252829623,0.4788203753351206,0.4297188755020081,0.1348973607038123,0.4550484094052558,0.2846153846153846,0.3609075043630018,0.46649350649350646,0.4302884615384615,0.4609929078014185,0.43333333333333335,0.4550484094052558,0.981301421091997,0.46365422396856587,0.18864774624373953,AKR,0
2005-06-01,0.39207507820646503,0.11528735062230376,0.4672489082969433,0.3949579831932773,0.5581769436997319,0.9999999999999999,0.5341365461847389,0.11727616645649432,0.01034405217000225,0.5581769436997319,0.4297188755020081,0.32111436950146627,0.1327800829875519,0.46923076923076923,0.3609075043630018,0.5402597402597402,0.5204326923076923,0.4609929078014185,0.43333333333333335,0.1327800829875519,0.987284966342558,0.1552062868369352,0.4307178631051753,AKR,0
2005-09-01,0.39207507820646503,0.11528735062230376,0.4672489082969433,0.3949579831932773,0.5485254691689008,0.9999999999999999,0.5140562248995983,0.11727616645649432,0.010568922869350125,0.5485254691689008,0.4297188755020081,0.26099706744868034,0.1327800829875519,0.46923076923076923,0.3609075043630018,0.5324675324675324,0.509014423076923,0.4609929078014185,0.43333333333333335,0.1327800829875519,0.987284966342558,0.1552062868369352,0.40400667779632715,AKR,0
2005-12-01,0.39207507820646503,0.11528735062230376,0.4672489082969433,0.27731092436974786,0.528686327077748,0.9999999999999999,0.3433734939759036,0.06431273644388398,0.010568922869350125,0.528686327077748,0.4297188755020081,0.2360703812316715,0.11065006915629322,0.3076923076923076,0.3609075043630018,0.5127272727272727,0.48677884615384615,0.4609929078014185,0.43333333333333335,0.11065006915629322,0.987284966342558,0.16306483300589392,0.340567612687813,AKR,0
2006-03-01,0.39207507820646503,0.11528735062230376,0.4672489082969433,0.23949579831932777,0.47828418230562997,0.9999999999999999,0.2931726907630522,0.07061790668348045,0.010568922869350125,0.47828418230562997,0.4297188755020081,0.13636363636363635,0.13001383125864452,0.2692307692307693,0.3609075043630018,0.4649350649350649,0.4302884615384615,0.4609929078014185,0.43333333333333335,0.13001383125864452,0.987284966342558,0.15717092337917488,0.20033388981636058,AKR,0
2006-06-01,0.45776850886339937,0.0368919521991372,0.5360262008733625,0.26890756302521013,0.528686327077748,0.9999999999999999,0.4056224899598394,0.09836065573770492,0.010568922869350125,0.528686327077748,0.4929718875502008,0.2228739002932551,0.11894882434301524,0.3384615384615385,0.24293193717277486,0.5137662337662338,0.48677884615384615,0.5248226950354611,0.5666666666666668,0.11894882434301524,0.987284966342558,0.15717092337917488,0.343906510851419,AKR,0
2006-09-01,0.45359749739311783,0.01958645311647741,0.5207423580786027,0.73109243697479,0.5458445040214477,0.9999999999999999,0.5341365461847389,0.09836065573770492,0.023011768233265874,0.5458445040214477,0.4789156626506025,0.2859237536656891,0.009681881051175678,0.8384615384615385,0.3260034904013962,0.5283116883116883,0.49218749999999994,0.541371158392435,0.5333333333333334,0.009681881051175678,0.9745699326851159,0.03536345776031435,0.3906510851419031,AKR,0
2006-12-01,0.43587069864442124,0.009272574007041205,0.423580786026201,0.49579831932773105,0.5410187667560321,0.9864297889078274,0.4738955823293173,0.12610340479192936,0.03642905329435575,0.5410187667560321,0.4558232931726908,0.3387096774193548,0.02213001383125865,0.576923076923077,0.3336823734729494,0.522077922077922,0.4741586538461538,0.5271867612293145,0.43333333333333335,0.02213001383125865,0.961854899027674,0.029469548133595286,0.36060100166944903,AKR,0
