Period End Date,"Tangible Book Value, Common Equity",Total Equity & Minority Interest,"Accounts Receivable - Trade, Gross",Total Liabilities,Minority Interest,Total Assets,Total Liabilities & Shareholders' Equity,Net Debt Incl. Pref.Stock & Min.Interest,Total Long Term Debt,"Other Liabilities, Total","Other Current liabilities, Total",Receivables - Other,Common Stock,Income Taxes Payable,Additional Paid-In Capital,Cash & Equivalents,Capital Lease Obligations,"Common Stock, Total",Notes Payable/Short Term Debt,Long Term Investments,Current Port. of LT Debt/Capital Leases,Defered Income Tax - Long Term Asset,Total Debt,"Property/Plant/Equipment, Total - Net",Total Equity,Cash and Short Term Investments,Long Term Debt,Treas Shares - Common Stock Prmry Issue,Other Long Term Assets,"Accounts Receivable - Trade, Net","Total Receivables, Net",Other Property/Plant/Equipment - Net,Total Current Assets less Inventory,Total Current Liabilities,Other Payables,Total Current Assets,Total Common Shares Outstanding,Minority Interest - Non Redeemable,Shares Outs - Common Stock Primary Issue,Retained Earnings (Accumulated Deficit),"Curr. Port. of LT Capital Leases, Suppl.","Other Long Term Assets, Total",Company name,Fraud
2004-12-31,213202.0,65847.0,425090.0,912887.0,-179534.0,1158267.0,1158268.0,388877.0,270921.0,71545.0,190948.0,4409.0,508174.0,14717.0,107500.0,33950.0,3921.0,508174.0,224316.0,1632.0,107124.0,33901.5,602361.0,375317.0,245381.0,33950.0,267000.0,0.0,10787.0,389706.0,394115.0,8097.0,447718.0,821500.0,38687.0,729311.0,1002140.0,-179534.0,1002140.0,-167701.0,11101.5,10787.0,AKR,0
2005-06-30,513794.0,513794.0,418756.0,716527.0,326.0,1230321.0,1230321.0,413544.0,90312.0,71545.0,60269.0,14823.0,608174.0,14717.0,207500.0,38295.0,3312.0,608174.0,303459.0,1632.0,58068.0,33901.5,451839.0,324618.0,513794.0,38295.0,87000.0,0.0,6059.0,407976.0,422799.0,9011.0,492350.0,626215.0,11824.0,888928.0,1002140.0,326.0,1002140.0,-96783.0,11101.5,6059.0,AKR,0
2005-12-31,620668.0,620668.0,326237.0,765483.0,326.0,1386151.0,1386151.0,526473.0,61591.0,71545.0,77238.0,21000.0,608174.0,14717.0,4924.0,45014.0,4591.0,608174.0,448496.0,1632.0,61400.0,33901.5,571487.0,561715.0,620668.0,45014.0,57000.0,0.0,13225.0,316608.0,337608.0,561715.0,410495.0,703892.0,33399.0,800537.0,1002140.0,326.0,1002140.0,7570.0,11101.5,13225.0,AKR,0
2006-03-31,624519.0,624519.0,291767.0,852888.0,326.0,1477407.0,1477407.0,465818.0,67238.0,71545.0,102648.0,11848.0,608174.0,14717.0,4924.0,87349.0,4222.0,608174.0,424499.0,1632.0,61430.0,33901.5,553167.0,624744.0,624519.0,87349.0,63016.0,0.0,7976.0,280428.0,292276.0,624744.0,417965.0,785650.0,64432.0,825486.0,1002140.0,326.0,1002140.0,11421.0,11101.5,7976.0,AKR,0
2006-06-30,669173.0,669173.0,389935.0,864479.0,326.0,1533652.0,1533652.0,546941.0,99976.0,71545.0,98828.0,12731.0,608174.0,14717.0,4924.0,46049.0,3846.0,608174.0,431554.0,1632.0,61460.0,33901.5,592990.0,649870.0,669173.0,46049.0,96130.0,0.0,8836.0,378248.0,390979.0,649870.0,476753.0,764503.0,59396.0,855745.0,1002140.0,326.0,1002140.0,56075.0,11101.5,8836.0,AKR,0
2006-09-30,1193653.0,1193653.0,415704.0,595555.0,326.0,1789208.0,1789208.0,169498.0,120367.0,71545.0,80709.0,26687.0,790174.0,14717.0,296582.0,151603.0,8611.0,790174.0,137878.0,1632.0,62856.0,33901.5,321101.0,704634.0,1193653.0,151603.0,111756.0,0.0,9707.0,404091.0,430778.0,704634.0,602968.0,475188.0,44880.0,1055666.0,1002140.0,326.0,1002140.0,106897.0,11101.5,9707.0,AKR,0
2006-12-31,1231902.0,1231902.0,375714.0,725678.0,326.0,1957580.0,1957580.0,191233.0,154305.0,71545.0,270023.0,42191.0,790174.0,23262.0,296582.0,103223.0,13184.0,790174.0,79441.0,1632.0,61019.0,33901.5,294765.0,982144.0,1231902.0,103532.0,141121.0,0.0,9766.0,362982.0,405173.0,982144.0,532498.0,571373.0,217428.0,946502.0,1002140.0,326.0,1002140.0,145146.0,11101.5,9766.0,AKR,0
2007-03-31,1145761.0,1145761.0,253490.0,1053827.0,326.0,2199588.0,2199588.0,429104.0,283410.0,71545.0,123914.0,64827.0,790174.0,23462.0,296582.0,195671.0,12152.0,790174.0,245713.0,1632.0,126086.0,33901.5,655209.0,1020140.0,1145761.0,226105.0,271258.0,0.0,9678.0,238902.0,303729.0,1020140.0,553264.0,770417.0,70617.0,1150594.0,1002140.0,326.0,1002140.0,58880.0,11101.5,9678.0,AKR,0
2007-06-30,1144912.0,1144912.0,241531.0,1480202.0,326.0,2625114.0,2625114.0,993809.0,604443.0,71545.0,245732.0,70763.0,790174.0,13549.0,296582.0,49536.0,11095.0,790174.0,248093.0,1632.0,191154.0,33901.5,1043690.0,1534949.0,1144912.0,49881.0,593348.0,0.0,9535.0,224210.0,294973.0,1534949.0,395975.0,875759.0,156355.0,1061454.0,1002140.0,326.0,1002140.0,58228.0,11101.5,9535.0,AKR,0
2007-09-30,1200088.0,1200088.0,473669.0,1560409.0,326.0,2760497.0,2760497.0,1079585.0,578751.0,71545.0,236433.0,93414.0,790174.0,26286.0,296582.0,76689.0,10013.0,790174.0,321667.0,1632.0,256224.0,33901.5,1156642.0,1573358.0,1200088.0,77057.0,568738.0,0.0,8942.0,455879.0,549293.0,1573358.0,675566.0,981658.0,130664.0,1164960.0,1002140.0,326.0,1002140.0,113381.0,11101.5,8942.0,AKR,0
